timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,TEHRIPSP,TEHRIPSP_P,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,70DSBRPL2025/08/09,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.6600,0.0000,0.0000,41.7451,0.0000,0.0000,0.0000,0.0000,38.0300,10.7600,77.9300,0.0000,80.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,431.9100,0.0000,0.0000,7.5000,30.6400,53.0000,73.6500,61.4000,24.0900,8.9800,18.8100,11.4600,19.2000,41.6700,0.0000,0.0000,0.0000,0.0000,4.0600,47.3200,25.9100,7.6900,0.0000,15.2000,0.0000,0.0000,2.6400,28.0000,8.4600,0.0000,0.0000,0.0000,13.5800,16.6000,18.5100,20.9300,15.0600,18.8400,24.8700,15.6000,61.3600,5.4000,8.0900,1.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.6700,41.6600,0.0000,2.1200,2.1800,0.0000,5.9400,10.2214,27.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7800,3.9900,2.7600,9.8200,0.0000,0.0000,1650.1055,1225.98,19.89,22.5271,0.00,2873.4484
2,BRPL,70DSBRPL2025/08/09,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.6600,0.0000,0.0000,41.7451,0.0000,0.0000,0.0000,0.0000,38.0300,6.3700,77.9300,0.0000,80.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,355.1300,0.0000,0.0000,7.9100,30.6400,53.0000,73.6500,61.4000,24.0900,8.9800,18.8100,11.4600,19.2000,41.6700,0.0000,0.0000,0.0000,0.0000,4.0600,47.3200,25.9100,7.6900,0.0000,15.2000,0.0000,0.0000,2.6400,28.0000,8.4600,0.0000,0.0000,0.0000,13.5800,16.6000,18.5100,20.9300,15.0600,18.8400,24.8700,15.6000,61.3600,5.4000,8.0900,1.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,41.6600,0.0000,2.1200,2.1800,0.0000,5.9400,10.2214,27.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7800,3.9900,2.7600,9.8200,0.0000,0.0000,1569.9555,1256.68,20.70,22.1414,0.00,2825.1941
3,BRPL,70DSBRPL2025/08/09,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.6600,0.0000,0.0000,41.7451,0.0000,0.0000,0.0000,0.0000,38.0300,5.8400,77.9300,0.0000,80.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,369.6600,0.0000,0.0000,7.9100,30.6400,53.0000,73.6500,61.4000,24.0900,8.9800,18.3300,11.4600,19.2000,41.6700,0.0000,0.0000,0.0000,0.0000,4.0600,47.3200,25.9100,7.6900,0.0000,15.2000,0.0000,0.0000,2.6400,28.0000,8.4600,0.0000,0.0000,0.0000,16.0000,11.0600,18.5100,20.9300,15.0600,18.8400,24.8700,15.6000,61.3600,5.4000,8.0900,0.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.3300,41.3400,0.0000,2.1200,2.1800,0.0000,5.9400,10.2214,27.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7800,3.9900,2.7600,9.8200,0.0000,0.0000,1580.6555,1112.73,32.11,21.1020,0.00,2704.3935
4,BRPL,70DSBRPL2025/08/09,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.6600,0.0000,0.0000,42.5493,0.0000,0.0000,0.0000,0.0000,38.0300,5.8400,77.9300,0.0000,80.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,432.3800,0.0000,0.0000,7.9100,30.6400,53.0000,73.6500,61.4000,24.0900,8.9800,18.3300,11.4600,19.2000,41.6700,0.0000,0.0000,0.0000,0.0000,4.0600,47.3200,25.9100,7.6900,0.0000,15.2000,0.0000,0.0000,2.6400,28.0000,8.4600,0.0000,0.0000,0.0000,16.0000,11.0600,17.4400,20.9300,15.0600,18.8400,24.8700,15.6000,61.3600,5.4000,8.0900,0.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6700,41.0000,0.0000,2.1200,2.1800,0.0000,5.9400,10.2214,27.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7800,3.9900,2.7600,9.8200,0.0000,0.0000,1643.8897,1002.36,48.78,20.7343,0.00,2674.2954
5,BRPL,70DSBRPL2025/08/09,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.6600,0.0000,0.0000,42.5493,0.0000,0.0000,0.0000,0.0000,38.0300,10.6300,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,420.1300,0.0000,0.0000,7.9100,30.6400,53.0000,73.6500,61.4000,24.0900,8.9800,18.3300,11.4600,19.2000,41.6700,0.0000,0.0000,0.0000,0.0000,4.0600,47.3200,25.9100,7.6900,0.0000,15.2000,0.0000,0.0000,2.6400,28.0000,8.4600,0.0000,0.0000,0.0000,16.0000,16.6000,17.4400,20.9300,15.0600,18.8400,24.8700,15.6000,61.3600,5.4000,8.0900,0.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6700,41.0000,0.0000,2.1200,2.1800,0.0000,5.9400,10.2214,27.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7800,3.9900,2.7600,9.8200,0.0000,0.0000,1645.2976,891.49,69.77,20.2861,0.00,2586.2715
6,BRPL,70DSBRPL2025/08/09,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.6600,0.0000,0.0000,42.5493,0.0000,0.0000,0.0000,0.0000,38.0300,10.6300,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,366.5000,0.0000,0.0000,7.9100,30.6400,53.0000,73.6500,61.4000,24.0900,9.1500,18.3300,11.4600,19.2000,41.6700,0.0000,0.0000,0.0000,0.0000,4.0600,47.3200,25.9100,7.6900,0.0000,15.2000,0.0000,0.0000,2.6400,28.0000,8.4600,0.0000,0.0000,0.0000,16.0000,16.6000,17.4400,20.9300,15.0600,18.8400,24.8700,15.6000,61.3600,5.4000,8.0900,0.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.3300,40.3400,0.0000,2.1200,2.1800,0.0000,5.9400,10.2214,27.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7800,3.9900,2.7600,9.8200,0.0000,0.0000,1590.1476,859.91,110.00,19.2040,0.00,2540.8536
7,BRPL,70DSBRPL2025/08/09,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.6600,0.0000,0.0000,42.5493,0.0000,0.0000,0.0000,0.0000,38.0300,11.0800,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,309.7500,0.0000,0.0000,7.9100,30.6400,53.0000,73.6500,61.4000,24.0900,9.1500,19.0400,11.7200,19.2000,41.6700,0.0000,0.0000,0.0000,0.0000,4.0600,47.3200,25.9100,7.6900,0.0000,15.2000,0.0000,0.0000,2.6400,28.0000,8.4600,0.0000,0.0000,0.0000,22.0700,16.6000,17.4400,20.9300,15.0600,18.8400,24.8700,15.6000,61.3600,5.4000,8.0900,0.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.3300,39.3400,0.0000,2.1200,2.1800,0.0000,5.9400,10.2214,27.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7800,3.9900,2.7600,9.8200,0.0000,0.0000,1539.1676,853.19,57.00,18.7540,0.00,2430.6036
8,BRPL,70DSBRPL2025/08/09,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.6600,0.0000,0.0000,42.5493,0.0000,0.0000,0.0000,0.0000,38.0300,10.6300,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,262.5800,0.0000,0.0000,7.9100,30.6400,53.0000,73.6500,61.4000,24.0900,9.1500,19.0400,11.7200,19.2000,41.6700,0.0000,0.0000,0.0000,0.0000,4.0600,47.3200,25.9100,7.6900,0.0000,15.2000,0.0000,0.0000,2.6400,28.0000,8.4600,0.0000,0.0000,0.0000,22.0700,16.6000,17.4400,20.9300,15.0600,18.8400,24.8700,15.6000,61.3600,5.4000,8.0900,0.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,38.3400,0.0000,2.1200,2.1800,0.0000,5.9400,10.2214,27.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7800,3.9900,2.7600,9.8200,0.0000,0.0000,1489.5276,866.67,63.00,20.2035,0.00,2398.9941
9,BRPL,70DSBRPL2025/08/09,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.6600,0.0000,0.0000,42.5493,0.0000,0.0000,0.0000,0.0000,38.0300,10.9200,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,191.9600,0.0000,0.0000,7.9100,30.6400,53.0000,73.6500,61.4000,24.0900,9.1600,19.0400,11.7200,19.2000,41.6700,0.0000,0.0000,0.0000,0.0000,4.0600,47.3200,25.9100,7.6900,0.0000,15.2000,0.0000,0.0000,2.6400,28.0000,8.3900,0.0000,0.0000,0.0000,13.5800,11.0600,17.4400,20.9300,15.0600,17.8000,24.8700,15.6000,61.3600,5.4000,8.0900,0.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.6700,37.6600,0.0000,2.1200,2.1800,0.0000,5.9400,10.2214,27.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7800,3.9900,2.8800,9.8200,0.0000,0.0000,1402.1876,901.06,64.00,19.4005,0.00,2347.8471
10,BRPL,70DSBRPL2025/08/09,0.0000,0.0000,0.0000,0.0000,12.4590,0.0000,0.0000,0.0000,58.6600,0.0000,0.0000,42.5493,0.0000,0.0000,0.0000,0.0000,38.0300,10.9200,77.9300,0.0000,83.8479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,143.9700,0.0000,0.0000,7.9100,30.6400,53.0000,73.6500,61.4000,24.0900,9.1600,19.0400,11.7200,19.2000,41.6700,0.0000,0.0000,0.0000,0.0000,4.0600,47.3200,25.9100,7.6900,0.0000,15.2000,0.0000,0.0000,2.6400,28.0000,8.3900,0.0000,0.0000,0.0000,13.5800,11.0600,17.4400,20.9300,15.0600,17.8000,24.8700,15.6000,61.3600,5.4000,8.0900,0.7300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.6700,37.3400,0.0000,2.1200,2.1800,0.0000,5.9400,10.2214,27.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7800,3.9900,2.8800,9.8200,0.0000,0.0000,1352.6676,903.87,66.00,18.3186,0.00,2304.2190
