timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,66DSBRPL2025/02/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.6700,0.0000,15.5670,46.8049,0.0000,0.0000,0.0000,0.0000,38.0800,3.3200,0.0000,0.0000,84.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,173.0100,0.0000,0.0000,9.1400,61.3000,50.1400,35.4100,58.7000,26.5300,3.8100,15.0400,9.6800,13.9600,62.6000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0500,11.8300,0.0000,0.0000,30.3600,0.0000,0.0000,0.0000,11.4800,0.0000,0.0000,0.0000,0.0000,0.2400,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.6700,28.3400,0.0000,0.0000,0.0000,0.0000,0.0000,10.6386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,938.5223,-117.70,0.00,8.4426,0.00,812.3797
2,BRPL,66DSBRPL2025/02/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.6700,0.0000,15.5670,46.8049,0.0000,0.0000,0.0000,0.0000,38.0800,3.3200,0.0000,0.0000,84.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,173.0100,0.0000,0.0000,9.1400,61.3000,50.1400,35.4100,58.7000,26.5300,3.8100,15.0400,9.6800,13.9600,62.6000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0500,11.8300,0.0000,0.0000,30.3600,0.0000,0.0000,0.0000,11.4800,0.0000,0.0000,0.0000,0.0000,0.2400,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.6700,28.3400,0.0000,0.0000,0.0000,0.0000,0.0000,10.6386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,938.1223,-144.70,0.00,8.6501,0.00,784.7722
3,BRPL,66DSBRPL2025/02/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.6700,0.0000,15.5670,46.8049,0.0000,0.0000,0.0000,0.0000,38.0800,3.3200,0.0000,0.0000,84.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,173.0100,0.0000,0.0000,9.1400,61.3000,50.1400,35.4100,58.7000,26.5300,3.8100,15.0400,9.6800,13.9600,62.6000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0500,11.8300,0.0000,0.0000,30.3600,0.0000,0.0000,0.0000,11.4800,0.0000,0.0000,0.0000,0.0000,0.2400,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3300,28.6600,0.0000,0.0000,0.0000,0.0000,0.0000,10.6386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,938.5923,-165.70,0.00,8.8175,0.00,764.0748
4,BRPL,66DSBRPL2025/02/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.6700,0.0000,15.5670,46.8049,0.0000,0.0000,0.0000,0.0000,38.0800,3.3200,0.0000,0.0000,84.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,173.0100,0.0000,0.0000,9.1400,61.3000,50.1400,35.4100,58.7000,26.5300,3.8100,15.0400,9.6800,13.9600,62.6000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0500,11.8300,0.0000,0.0000,30.3600,0.0000,0.0000,0.0000,11.4800,0.0000,0.0000,0.0000,0.0000,0.2400,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,28.6600,0.0000,0.0000,0.0000,0.0000,0.0000,10.6386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,938.7823,-186.70,0.00,8.9828,0.00,743.0995
5,BRPL,66DSBRPL2025/02/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.6700,0.0000,15.5670,46.8049,0.0000,0.0000,0.0000,0.0000,26.1000,3.3200,0.0000,0.0000,84.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,173.0100,0.0000,0.0000,8.7800,61.3000,50.1400,35.4100,58.7000,26.5300,3.8100,15.0400,9.6800,13.9600,62.6000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0500,11.8300,0.0000,0.0000,30.3600,0.0000,0.0000,0.0000,11.4800,0.0000,0.0000,0.0000,0.0000,0.2400,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,28.6600,0.0000,0.0000,0.0000,0.0000,0.0000,10.6386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,926.9323,-161.75,0.00,9.1006,0.00,756.0817
6,BRPL,66DSBRPL2025/02/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.6700,0.0000,15.5670,46.8049,0.0000,0.0000,0.0000,0.0000,26.1000,3.3200,0.0000,0.0000,84.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,173.0100,0.0000,0.0000,8.7800,61.3000,50.1400,35.4100,58.7000,26.5300,3.8100,15.0400,9.6800,13.9600,62.6000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0500,11.8300,0.0000,0.0000,30.3600,0.0000,0.0000,0.0000,11.4800,0.0000,0.0000,0.0000,0.0000,0.2400,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3300,29.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,928.6123,-177.71,0.00,9.2232,0.00,741.6791
7,BRPL,66DSBRPL2025/02/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.6700,0.0000,15.5670,46.8049,0.0000,0.0000,0.0000,0.0000,26.1000,3.3200,0.0000,0.0000,84.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,173.0100,0.0000,0.0000,8.7800,61.3000,50.1400,35.4100,58.7000,26.5300,3.8100,15.0400,9.6800,13.9600,62.6000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0500,11.8300,0.0000,0.0000,30.3600,0.0000,0.0000,0.0000,11.4800,0.0000,0.0000,0.0000,0.0000,0.2400,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.6700,28.6600,0.0000,0.0000,0.0000,0.0000,0.0000,10.6386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,929.5923,-201.24,0.00,9.2345,0.00,719.1178
8,BRPL,66DSBRPL2025/02/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.6700,0.0000,15.5670,46.8049,0.0000,0.0000,0.0000,0.0000,26.1000,3.3200,0.0000,0.0000,84.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,173.0100,0.0000,0.0000,8.7800,61.3000,50.1400,35.4100,58.7000,26.5300,3.8100,15.0400,9.6800,13.9600,62.6000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0300,11.8300,0.0000,0.0000,30.3600,0.0000,0.0000,0.0000,11.4800,0.0000,0.0000,0.0000,0.0000,0.2400,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.3300,28.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,921.5823,-206.09,0.00,9.1498,0.00,706.3425
9,BRPL,66DSBRPL2025/02/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.6700,0.0000,15.5670,46.8049,0.0000,0.0000,0.0000,0.0000,26.1000,3.3200,0.0000,0.0000,84.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,173.0100,0.0000,0.0000,8.7800,61.3000,50.1400,35.4100,58.7000,26.5300,3.8100,15.0400,9.6800,13.9600,62.6000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0300,11.8300,0.0000,0.0000,30.3600,0.0000,0.0000,0.0000,11.4800,0.0000,0.0000,0.0000,0.0000,0.2400,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,2.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.3300,27.6600,0.0000,0.0000,0.0000,0.0000,0.0000,10.6386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,924.0523,-221.90,0.00,9.1394,0.00,693.0129
10,BRPL,66DSBRPL2025/02/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.6700,0.0000,15.5670,46.8049,0.0000,0.0000,0.0000,0.0000,26.1000,3.3200,0.0000,0.0000,84.0218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,173.0100,0.0000,0.0000,8.7800,61.3000,50.1400,35.4100,58.7000,26.5300,3.8100,15.0400,9.6800,13.9600,62.6000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0300,11.8300,0.0000,0.0000,30.3600,0.0000,0.0000,0.0000,11.4800,0.0000,0.0000,0.0000,0.0000,0.2400,1.8900,0.0000,0.0000,0.0000,0.0000,7.2400,0.0000,1.0000,2.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.3300,26.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,921.9023,-228.90,0.00,9.1772,0.00,683.8251
