timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,47DSBRPL2023/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.3400,0.0000,11.3372,74.9685,0.0000,0.0000,0.0000,0.0000,38.3600,13.2500,71.2000,0.0000,110.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,497.3300,0.0000,0.0000,6.0600,62.8900,51.5100,72.3700,60.1300,29.0000,9.2100,18.6000,11.8900,17.5500,61.9600,0.0000,0.6000,0.0000,0.0000,2.1100,17.7000,11.3400,7.1200,0.0000,27.8100,0.0000,0.0000,1.5300,24.6600,8.2800,0.0000,0.0000,0.0000,20.1900,15.3300,17.9200,18.6500,13.1600,16.4400,22.3500,1.5000,57.3300,5.1300,5.5600,0.7000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000,7.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.8000,53.6200,0.0000,1.2200,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5500,10.8889,1746.4946,936.34,92.00,24.5741,0.00,2750.2605
2,BRPL,47DSBRPL2023/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.3400,0.0000,11.3372,74.9685,0.0000,0.0000,0.0000,0.0000,38.3600,13.2500,71.2000,0.0000,110.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,497.3300,0.0000,0.0000,6.0600,62.8900,51.5100,72.3700,60.1300,29.0000,8.9200,18.6000,11.5100,17.5500,61.9600,0.0000,0.0000,0.0000,0.0000,2.1100,17.7000,11.3400,7.1200,0.0000,27.8100,0.0000,0.0000,1.5300,24.6600,8.2800,0.0000,0.0000,0.0000,20.1900,15.3300,17.9200,18.6500,13.1600,16.4400,22.3500,1.5000,57.3300,5.1300,5.5600,0.7000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000,7.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.7500,53.3600,0.0000,1.2200,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5500,10.8889,1744.8546,929.34,74.00,24.6213,0.00,2723.5733
3,BRPL,47DSBRPL2023/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.3400,0.0000,11.3372,74.9685,0.0000,0.0000,0.0000,0.0000,38.3600,13.2500,71.2000,0.0000,110.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,497.3300,0.0000,0.0000,6.0600,62.8900,51.5100,72.3700,60.1300,29.0000,8.9200,18.6000,11.5100,17.5500,61.9600,0.0000,0.0000,0.0000,0.0000,2.1100,17.7000,11.3400,7.1200,0.0000,27.8100,0.0000,0.0000,1.5300,24.6600,8.2800,0.0000,0.0000,0.0000,20.1900,15.3300,17.9200,18.6500,13.1600,16.4400,22.3500,1.5000,57.3300,5.1700,5.5600,0.7000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000,23.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.1400,53.6600,0.0000,1.2200,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5500,10.8889,1760.7646,918.34,57.00,24.8581,0.00,2711.2465
4,BRPL,47DSBRPL2023/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.3400,0.0000,11.3372,74.9685,0.0000,0.0000,0.0000,0.0000,38.3600,13.2500,71.2000,0.0000,110.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,497.3300,0.0000,0.0000,6.0600,62.8900,51.5100,72.3700,60.1300,29.0000,8.9200,18.6000,11.5100,17.5500,61.9600,0.0000,0.0000,0.0000,0.0000,2.1100,17.7000,11.3400,7.1200,0.0000,27.8100,0.0000,0.0000,1.5300,24.6600,8.2800,0.0000,0.0000,0.0000,20.1900,15.3300,17.9200,18.6500,13.1600,16.4400,22.3500,1.5000,57.3300,5.1700,5.5600,0.7000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000,23.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.0000,53.3600,0.0000,1.2200,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5500,10.8889,1760.2146,926.34,11.00,24.7829,0.00,2672.7717
5,BRPL,47DSBRPL2023/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.3400,0.0000,11.3372,74.9685,0.0000,0.0000,0.0000,0.0000,38.3600,13.2500,71.2000,0.0000,110.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,505.2700,0.0000,0.0000,6.0600,62.8900,51.5100,72.3700,60.1300,29.0000,8.9200,18.6000,11.5100,17.5500,61.9600,0.0000,0.0000,0.0000,0.0000,2.1100,17.7000,11.3400,7.1200,0.0000,27.8100,0.0000,0.0000,1.5300,24.6600,8.2800,0.0000,0.0000,0.0000,19.7200,15.3300,17.9200,18.6500,13.1600,12.8200,22.3500,7.1900,57.3300,3.3800,5.5600,0.7000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000,23.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.8100,53.3600,0.0000,1.2200,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5500,10.8889,1767.7446,890.34,0.00,25.1659,0.00,2632.9187
6,BRPL,47DSBRPL2023/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.3400,0.0000,11.3372,74.9685,0.0000,0.0000,0.0000,0.0000,38.3600,13.2500,71.2000,0.0000,110.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,497.3200,0.0000,0.0000,6.0600,62.8900,51.5100,72.3700,60.1300,29.0000,8.9200,18.6000,11.5100,17.5500,61.9600,0.0000,0.0000,0.0000,0.0000,2.1100,17.7000,11.3400,7.1200,0.0000,27.8100,0.0000,0.0000,1.5300,24.6600,8.2800,0.0000,0.0000,0.0000,19.7200,15.3300,17.9200,18.6500,13.1600,12.8200,22.3500,7.1900,57.3300,3.2700,5.5600,0.7000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000,23.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.9200,53.3600,0.0000,1.2200,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5500,10.8889,1759.7446,849.34,0.00,25.4563,0.00,2583.6283
7,BRPL,47DSBRPL2023/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.3400,0.0000,11.3372,74.9685,0.0000,0.0000,0.0000,0.0000,38.3600,13.2500,71.2000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,497.3200,0.0000,0.0000,6.0600,62.8900,51.5100,72.3700,60.1300,29.0000,8.9200,18.6000,11.5100,17.5500,61.9600,0.0000,0.0000,0.0000,0.0000,2.1100,17.7000,11.3400,7.1200,0.0000,27.8100,0.0000,0.0000,1.5300,24.6600,8.2800,0.0000,0.0000,0.0000,19.7200,15.3300,17.9200,18.6500,13.1600,12.8200,22.3500,7.1900,57.3300,2.1800,5.5600,0.7000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000,23.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.7500,53.6000,0.0000,1.2200,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5500,10.8889,1723.7146,822.34,0.00,25.3769,0.00,2520.6777
8,BRPL,47DSBRPL2023/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.3400,0.0000,11.3372,74.9685,0.0000,0.0000,0.0000,0.0000,38.3600,13.2500,71.2000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,497.3200,0.0000,0.0000,6.0600,62.8900,51.5100,72.3700,60.1300,29.0000,8.9200,18.6000,11.5100,17.5500,61.9600,0.0000,0.0000,0.0000,0.0000,2.1100,17.7000,11.3400,7.1200,0.0000,27.8100,0.0000,0.0000,1.5300,24.6600,8.2800,0.0000,0.0000,0.0000,19.7200,15.3300,17.9200,18.6500,13.1600,12.8200,22.3500,7.1900,57.3300,2.1800,5.5600,0.7000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000,21.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.5100,53.6600,0.0000,1.2200,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5500,10.8889,1721.9846,791.34,0.00,25.6344,0.00,2487.6902
9,BRPL,47DSBRPL2023/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.3400,0.0000,11.3372,74.9685,0.0000,0.0000,0.0000,0.0000,38.3600,13.2500,71.2000,0.0000,83.7697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,435.6800,0.0000,0.0000,6.0600,62.8900,51.5100,72.3700,60.1300,29.0000,8.9200,18.6000,11.5200,17.5500,61.9600,0.0000,0.0000,0.0000,0.0000,2.1100,17.7000,11.4800,7.3000,0.0000,27.8100,0.0000,0.0000,1.5300,24.6600,8.2800,0.0000,0.0000,0.0000,19.7200,15.3300,17.9200,18.6500,13.1600,12.8200,22.3500,1.5000,57.3300,2.1800,5.5600,0.7000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000,21.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.2000,49.7400,0.0000,1.2200,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5800,10.8889,1659.1243,807.34,0.00,24.9405,0.00,2441.5238
10,BRPL,47DSBRPL2023/06/19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.3400,0.0000,11.2878,74.9685,0.0000,0.0000,0.0000,0.0000,38.3600,13.2500,71.2000,0.0000,83.7697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,387.2700,0.0000,0.0000,6.0600,62.8900,51.5100,72.3700,60.1300,29.0000,8.9200,18.6000,11.5200,17.5500,61.9600,0.0000,0.0000,0.0000,0.0000,2.1100,17.7000,11.4800,7.3000,0.0000,27.8100,0.0000,0.0000,1.5300,24.6600,8.2800,0.0000,0.0000,0.0000,19.7200,15.3300,17.9200,18.6500,13.1600,12.8200,22.3500,1.5000,57.3300,2.1800,5.5600,0.7000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000,20.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.8900,49.8900,0.0000,1.2200,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5800,10.8889,1610.1349,813.34,0.00,24.4566,0.00,2399.0183
