timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,46DSBRPL2022/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.1600,0.0000,11.4578,33.9480,0.0000,0.0000,10.1844,0.0000,0.0000,63.7900,64.1600,0.0000,80.5683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.3200,0.0000,0.0000,0.0000,48.2400,50.1400,70.8300,50.0200,26.2900,6.1600,0.0000,0.0000,9.7900,62.6200,0.0000,0.0000,0.0000,0.0000,0.0000,33.4200,5.9500,6.7200,0.0000,25.8300,0.0000,0.0000,0.0000,21.5400,11.3600,0.0000,0.0000,0.0000,22.2600,13.7700,18.0700,16.5800,12.3300,15.5200,13.9900,8.0100,57.2200,3.4900,5.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,108.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1129.8185,1187.77,0.00,20.5504,0.00,2297.0381
2,BRPL,46DSBRPL2022/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.1600,0.0000,11.4578,33.9480,0.0000,0.0000,10.1844,0.0000,0.0000,63.7900,64.1600,0.0000,80.5683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.3200,0.0000,0.0000,0.0000,48.2400,50.1400,70.8300,50.0200,26.2900,3.3800,0.0000,0.0000,9.7900,62.6200,0.0000,0.0000,0.0000,0.0000,0.0000,33.4200,5.9500,6.7200,0.0000,25.8300,0.0000,0.0000,0.0000,21.5400,11.3600,0.0000,0.0000,0.0000,22.2600,13.7700,18.0700,16.5800,12.3300,15.5200,13.9900,8.0100,57.2200,3.4900,5.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,108.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1126.0585,1165.54,0.00,20.3217,0.00,2271.2768
3,BRPL,46DSBRPL2022/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.1600,0.0000,11.4578,33.9480,0.0000,0.0000,10.1844,0.0000,0.0000,63.7900,64.1600,0.0000,80.5683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.3200,0.0000,0.0000,0.0000,48.2400,50.1400,70.8300,50.0200,26.2900,2.1500,0.0000,0.0000,9.7900,62.6200,0.0000,0.0000,0.0000,0.0000,0.0000,30.3900,5.9500,6.7200,0.0000,25.8300,0.0000,0.0000,0.0000,21.5400,11.3600,0.0000,0.0000,0.0000,20.8600,13.7700,18.0700,16.5800,12.3300,15.5200,13.9900,8.0100,57.2200,3.4900,5.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1119.3085,1146.43,0.00,20.0941,0.00,2245.6444
4,BRPL,46DSBRPL2022/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.1600,0.0000,11.4578,33.9480,0.0000,0.0000,10.1844,0.0000,0.0000,63.7900,64.1600,0.0000,80.5683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.3200,0.0000,0.0000,0.0000,48.2400,50.1400,70.8300,50.0200,26.2900,2.1500,0.0000,0.0000,9.7900,62.6200,0.0000,0.0000,0.0000,0.0000,0.0000,30.3900,5.9500,6.7200,0.0000,25.8300,0.0000,0.0000,0.0000,21.5400,11.3600,0.0000,0.0000,0.0000,20.8600,13.7700,18.0700,16.5800,12.3300,15.5200,13.9900,8.0100,57.2200,3.4900,5.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1118.3285,1114.21,0.00,19.8019,0.00,2212.7366
5,BRPL,46DSBRPL2022/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.1600,0.0000,11.4578,33.9480,0.0000,0.0000,10.1844,0.0000,0.0000,63.7900,64.1600,0.0000,80.5683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.3200,0.0000,0.0000,0.0000,48.2400,50.1400,70.8300,50.0200,26.2900,2.1500,0.0000,0.0000,9.7900,62.6200,0.0000,0.0000,0.0000,0.0000,0.0000,24.4800,5.9500,6.7200,0.0000,25.8300,0.0000,0.0000,0.0000,21.5400,11.3600,0.0000,0.0000,0.0000,20.8600,13.5400,18.0700,16.5800,12.3300,15.5200,13.9900,8.0100,57.2200,3.5400,5.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,106.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1110.8285,1061.39,0.00,19.2711,0.00,2152.9474
6,BRPL,46DSBRPL2022/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.1600,0.0000,11.4578,33.9480,0.0000,0.0000,10.1844,0.0000,0.0000,63.7900,64.1600,0.0000,80.5683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.3200,0.0000,0.0000,0.0000,48.2400,50.1400,70.8300,50.0200,26.2900,2.1500,0.0000,0.0000,9.7900,62.6200,0.0000,0.0000,0.0000,0.0000,0.0000,24.4800,5.9500,6.7200,0.0000,25.8300,0.0000,0.0000,0.0000,21.5400,11.3600,0.0000,0.0000,0.0000,20.8600,13.5400,18.0700,16.5800,12.3300,15.5200,13.9900,8.0100,57.2200,3.4900,5.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,105.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1109.4985,1017.04,21.75,18.8691,0.00,2129.4194
7,BRPL,46DSBRPL2022/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.1600,0.0000,11.4578,33.9480,0.0000,0.0000,10.1844,0.0000,0.0000,63.7900,64.1600,0.0000,80.5683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.2300,0.0000,0.0000,0.0000,48.2400,50.1400,70.8300,50.0200,26.2900,4.5800,5.1200,3.0600,9.4500,62.6200,0.0000,0.0000,0.0000,0.0000,0.0000,22.7900,5.9500,6.7200,0.0000,25.8300,0.0000,0.0000,0.0000,21.5400,11.3600,0.0000,0.0000,0.0000,20.8600,13.5400,18.0700,16.5800,12.3300,15.5200,13.9900,8.0100,57.2200,5.4900,2.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1126.2085,883.61,43.36,17.8420,0.00,2035.3365
8,BRPL,46DSBRPL2022/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.1600,0.0000,11.4578,33.9480,0.0000,0.0000,10.1844,0.0000,0.0000,63.7900,64.1600,0.0000,80.5683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.2200,0.0000,0.0000,0.0000,48.2400,50.1400,70.8300,50.0200,26.2900,4.5800,5.1200,3.0600,9.4500,62.6200,0.0000,0.0000,0.0000,0.0000,0.0000,15.1900,5.9500,6.7200,0.0000,25.8300,0.0000,0.0000,0.0000,21.5400,11.3600,0.0000,0.0000,0.0000,20.8600,13.5400,18.0700,16.5800,12.3300,15.5200,13.9900,8.0100,57.2200,5.4900,2.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,103.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1117.6785,848.25,77.92,17.4558,0.00,2026.3927
9,BRPL,46DSBRPL2022/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.1600,0.0000,11.4578,33.9480,0.0000,0.0000,10.1844,0.0000,0.0000,66.0000,64.1600,0.0000,82.7211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,85.3000,0.0000,0.0000,0.0000,48.2400,50.1400,70.8300,50.0200,26.2900,4.4100,9.6700,5.6500,6.8200,62.6200,0.0000,0.0000,0.0000,0.0000,0.0000,15.1900,5.9500,6.7200,0.0000,25.8300,0.0000,0.0000,0.0000,21.5400,11.3600,0.0000,0.0000,0.0000,20.8600,13.5400,18.0700,16.5800,12.3300,15.5200,13.9900,8.0100,57.2200,5.4900,2.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,102.5200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1126.4813,742.67,107.59,16.6041,0.00,1960.1372
10,BRPL,46DSBRPL2022/07/21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.1600,0.0000,11.4578,33.9480,0.0000,0.0000,10.1844,0.0000,0.0000,66.0000,64.1600,0.0000,82.7211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,85.2900,0.0000,0.0000,0.0000,48.2400,50.1400,70.8300,50.0200,26.2900,4.4100,9.6700,5.6500,4.8300,62.6200,0.0000,0.0000,0.0000,0.0000,0.0000,8.0200,5.9500,6.7200,0.0000,25.8300,0.0000,0.0000,0.0000,21.5400,11.3600,0.0000,0.0000,0.0000,20.8600,13.5400,18.0700,16.5800,12.3300,15.5200,13.9900,8.0100,57.2200,5.4900,2.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,102.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1116.7313,814.74,55.00,17.1525,0.00,1969.3188
