timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,62DSBRPL2025/04/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5200,0.0000,15.0000,42.4350,0.0000,0.0000,0.0000,0.0000,38.1000,12.8600,34.4900,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.9100,0.0000,0.0000,7.6800,64.1900,53.3500,74.4000,48.2000,32.3900,9.2400,19.1200,11.8500,19.2200,62.6200,0.0000,0.9600,0.9000,0.0000,1.2500,7.6700,6.6800,8.2600,0.0000,16.0400,0.0000,0.0000,1.6400,31.1300,0.0000,0.0000,0.0000,0.0000,20.9800,16.8600,18.5100,21.7900,15.5500,5.0500,18.3200,8.7200,48.5400,0.0000,8.2600,1.2600,0.0000,0.0000,200.0000,0.0000,0.0600,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.3300,38.3400,0.0000,2.2100,4.6000,0.0000,4.0800,9.1784,29.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9400,3.9200,1.5000,13.1500,1891.6394,495.01,0.00,18.7095,0.00,2367.9399
2,BRPL,62DSBRPL2025/04/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5200,0.0000,15.0000,42.4350,0.0000,0.0000,0.0000,0.0000,38.1000,12.8600,34.4900,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.9100,0.0000,0.0000,7.6800,64.1900,53.3500,74.4000,48.2000,32.3900,9.2400,19.1200,11.8500,19.2300,62.6200,0.0000,0.0000,0.0000,0.0000,1.2500,7.6700,6.6800,8.2600,0.0000,16.0400,0.0000,0.0000,1.6400,31.1300,0.0000,0.0000,0.0000,0.0000,20.9800,16.8600,18.5100,21.7900,15.5500,5.0500,18.3200,8.7200,48.5400,0.0000,8.2600,1.2600,0.0000,0.0000,200.0000,0.0000,0.0600,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.3300,38.6600,0.0000,2.2100,4.6000,0.0000,4.0800,9.1784,29.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9400,3.9200,1.5000,13.1500,1890.5994,435.27,0.00,18.2354,0.00,2307.6340
3,BRPL,62DSBRPL2025/04/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5200,0.0000,15.0000,42.4350,0.0000,0.0000,0.0000,0.0000,38.1000,12.8600,34.4900,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.9100,0.0000,0.0000,7.6800,64.1900,53.3500,74.4000,48.9200,32.3900,9.2400,19.1200,11.8500,19.2300,62.6200,0.0000,0.0000,0.0000,3.6000,1.2500,7.7700,6.6800,8.2600,0.0000,16.0400,0.0000,0.0000,1.6400,31.1300,0.0000,0.0000,0.0000,0.0000,20.9800,16.8600,18.5100,21.7900,15.5500,5.0500,18.3200,8.7200,59.2200,0.0000,8.2600,1.2600,0.0000,0.0000,200.0000,0.0000,0.0600,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.3300,38.6600,0.0000,3.0400,4.6000,0.0000,4.0800,9.1784,30.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9400,3.9200,1.5000,13.1500,1907.5594,449.00,0.00,19.6292,0.00,2336.9302
4,BRPL,62DSBRPL2025/04/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5200,0.0000,15.0000,42.4350,0.0000,0.0000,0.0000,0.0000,38.1000,12.8600,34.4900,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.9100,0.0000,0.0000,7.6800,64.1900,53.3500,74.4000,48.9200,32.3900,9.2400,19.1200,11.8500,19.2300,62.6200,0.0000,0.0000,0.0100,3.8400,1.2500,0.0000,6.6800,8.2600,0.0000,16.0400,0.0000,0.0000,1.6400,31.1300,0.0000,0.0000,0.0000,0.0000,22.1100,16.8600,17.4900,21.7900,15.5500,5.0500,18.3200,8.7200,59.2200,0.0000,8.2600,1.2600,0.0000,0.0000,200.0000,0.0000,0.0600,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.6700,39.3400,0.0000,3.0400,4.6000,0.0000,4.0800,9.1784,30.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9400,3.9200,1.5000,13.1500,1901.6594,414.00,0.00,19.8561,0.00,2295.8033
5,BRPL,62DSBRPL2025/04/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5200,0.0000,15.0000,43.0008,0.0000,0.0000,0.0000,0.0000,38.1000,12.8600,34.4900,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.9100,0.0000,0.0000,7.6800,64.1900,53.3500,74.4000,48.9200,32.3900,9.2400,19.1200,11.8500,19.2300,62.6200,0.0000,0.0000,0.1300,4.3100,1.2500,0.0000,6.6800,8.2600,0.0000,16.0400,0.0000,0.0000,1.6400,31.1300,0.0000,0.0000,0.0000,0.0000,22.1100,16.2800,17.4900,21.7900,10.7700,5.0500,18.3200,8.7200,59.2200,0.0000,8.1200,1.2600,0.0000,0.0000,179.0000,0.0000,0.0600,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,37.6600,0.0000,3.0400,4.6000,0.0000,4.0800,9.1784,30.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9400,3.9200,1.5000,13.1500,1875.4552,291.00,0.00,20.6112,0.00,2145.8440
6,BRPL,62DSBRPL2025/04/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5200,0.0000,15.0000,43.0008,0.0000,0.0000,0.0000,0.0000,38.1000,12.8600,34.4900,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.9100,0.0000,0.0000,7.6800,64.1900,53.3500,74.4000,48.9200,32.3900,9.2400,19.1200,11.8500,19.2300,62.6200,0.0000,0.0000,0.3700,4.5500,1.2500,0.0000,6.6800,8.2600,0.0000,16.0400,0.0000,0.0000,1.6400,31.1300,0.0000,0.0000,0.0000,0.0000,22.1100,16.2800,17.8000,21.7900,10.7700,5.0500,18.3200,8.7200,59.2200,0.0000,8.1200,1.2600,0.0000,0.0000,179.0000,0.0000,0.0600,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.3300,37.6600,0.0000,3.0400,4.6000,0.0000,4.0800,9.1784,30.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9400,3.9200,1.5000,13.1500,1877.0952,251.08,0.00,21.2954,0.00,2106.8798
7,BRPL,62DSBRPL2025/04/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5200,0.0000,15.0000,43.0008,0.0000,0.0000,0.0000,0.0000,38.1000,12.8600,34.4900,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.9100,0.0000,0.0000,7.6800,64.1900,53.3500,74.4000,48.9200,32.3900,9.2400,19.1200,11.8500,19.2300,62.6200,0.0000,0.0000,0.3700,4.5500,1.2500,0.0000,6.6800,8.2600,0.0000,16.0400,0.0000,0.0000,1.6400,31.1300,0.0000,0.0000,0.0000,0.0000,22.1100,16.2800,17.8000,21.7900,10.7700,5.0500,18.3200,8.7200,59.2200,2.7500,8.1200,1.2600,0.0000,0.0000,200.0000,0.0000,0.0600,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6700,37.3400,0.0000,3.0400,4.6000,0.0000,4.0800,9.1784,29.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9400,3.9200,1.5000,13.1500,1900.8452,229.08,0.00,21.2622,0.00,2108.6630
8,BRPL,62DSBRPL2025/04/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5200,0.0000,15.0000,43.0008,0.0000,0.0000,0.0000,0.0000,38.1000,12.8600,34.4900,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,492.9100,0.0000,0.0000,7.6800,64.1900,53.3500,74.4000,48.9200,32.3900,9.2400,19.1200,11.8500,19.2300,62.6200,0.0000,0.0000,0.0000,4.5500,1.2500,0.0000,6.6800,8.2600,0.0000,16.0400,0.0000,0.0000,1.6400,31.1300,0.0000,0.0000,0.0000,0.0000,22.1100,16.2800,17.8000,21.7900,10.7700,5.0500,18.3200,8.7200,59.2200,2.7500,8.1200,1.2600,0.0000,0.0000,200.0000,0.0000,0.0600,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,37.3400,0.0000,3.0400,4.6000,0.0000,4.0800,9.1784,29.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9400,3.9200,1.5000,13.1500,1901.8152,191.12,0.00,21.1609,0.00,2071.7743
9,BRPL,62DSBRPL2025/04/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5200,0.0000,13.5224,43.7072,0.0000,0.0000,0.0000,0.0000,38.1000,12.8600,34.4900,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,437.4800,0.0000,0.0000,7.6800,64.1900,53.3500,74.4000,48.9200,32.3900,9.2400,19.1200,11.8500,19.2300,62.6200,0.0000,0.0000,0.0000,17.5300,0.0000,0.0000,6.6800,8.2600,0.0000,16.0400,0.0000,0.0000,1.6400,31.1300,0.0000,0.0000,0.0000,0.0000,22.1100,16.2800,17.8000,21.7900,10.7700,5.0500,18.3200,8.7200,48.5400,2.7500,8.1200,1.2600,0.0000,0.0000,200.0000,0.0000,0.0600,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,37.6600,0.0000,3.0400,4.6000,0.0000,4.0800,9.1784,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9400,3.9200,1.5000,13.1500,1846.9740,215.93,0.00,20.4899,0.00,2042.4141
10,BRPL,62DSBRPL2025/04/23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,117.5200,0.0000,13.5224,43.7072,0.0000,0.0000,0.0000,0.0000,38.1000,12.8600,34.4900,0.0000,99.6160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,370.1700,0.0000,0.0000,7.6800,64.1900,53.3500,74.4000,48.9200,32.3900,9.2400,19.1200,11.8500,19.2300,62.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.6800,5.5700,0.0000,16.0400,0.0000,0.0000,1.6400,31.1300,0.0000,0.0000,0.0000,0.0000,20.9800,16.2800,17.8000,21.7900,10.7700,5.0500,18.3200,8.7200,48.5400,2.7500,8.1200,1.2600,0.0000,0.0000,200.0000,0.0000,0.0600,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,38.6600,0.0000,3.0400,4.6000,0.0000,4.0800,9.1784,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9400,3.9200,1.5000,13.1500,1761.8240,273.93,0.00,19.3733,0.00,2016.3807
