timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,76DSBRPL2024/08/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4300,0.0000,13.0330,43.6845,0.0000,0.0000,0.0000,0.0000,38.2600,8.9800,67.1900,0.0000,79.7007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,491.9300,0.0000,0.0000,8.3700,58.9100,50.3700,71.1500,59.1300,16.4600,4.1200,17.7100,11.1900,18.7900,41.9300,0.0000,0.0000,0.0000,0.0000,0.0000,20.8300,12.0200,0.0000,0.0000,27.7600,0.0000,0.0000,0.0000,22.6300,4.3400,0.0000,0.0000,0.0000,19.6700,14.4100,12.3400,17.3500,12.7600,16.1300,21.4100,6.4800,60.9000,4.7800,5.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,46.6700,0.0000,0.0000,0.0000,0.0000,0.0000,7.5096,30.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1665.2478,736.65,35.25,20.3512,0.00,2416.7966
2,BRPL,76DSBRPL2024/08/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4300,0.0000,13.0330,43.9682,0.0000,0.0000,0.0000,0.0000,38.2600,8.9800,67.1900,0.0000,79.7007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,473.1900,0.0000,0.0000,8.3700,58.9100,50.3700,71.1500,59.1300,16.4600,4.1200,17.7100,11.1900,18.7900,41.9300,0.0000,0.0000,0.0000,0.0000,0.0000,20.8300,11.8800,0.0000,0.0000,27.7600,0.0000,0.0000,0.0000,22.6300,4.3700,0.0000,0.0000,0.0000,19.6700,14.4100,12.3400,17.3500,12.7600,16.1300,21.4100,6.4800,60.9000,4.7800,5.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,46.3300,0.0000,0.0000,0.0000,0.0000,0.0000,6.2580,30.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1645.4899,694.17,46.10,19.8284,0.00,2365.9315
3,BRPL,76DSBRPL2024/08/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4300,0.0000,13.0330,43.9682,0.0000,0.0000,0.0000,0.0000,38.2600,8.9800,67.1900,0.0000,79.7007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,450.0000,0.0000,0.0000,8.3700,58.9100,50.3700,71.1500,59.1300,16.4600,4.1500,17.7100,11.1900,18.7900,41.9300,0.0000,0.0000,0.0000,0.0000,0.0000,20.8300,11.8800,0.0000,0.0000,27.7600,0.0000,0.0000,0.0000,22.6300,4.2500,0.0000,0.0000,0.0000,15.5200,14.4100,0.0000,17.3500,12.7600,16.1300,21.4100,6.4800,60.9000,4.7800,5.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,45.6700,0.0000,0.0000,0.0000,0.0000,0.0000,5.0064,30.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1603.2883,720.24,51.52,19.6929,0.00,2355.3554
4,BRPL,76DSBRPL2024/08/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4300,0.0000,13.0330,43.9682,0.0000,0.0000,0.0000,0.0000,38.2600,8.9800,67.1900,0.0000,79.7007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,434.5600,0.0000,0.0000,8.3700,58.9100,50.3700,71.1500,59.1300,16.4600,4.1200,17.7100,11.1900,18.7900,41.9300,0.0000,0.0000,0.0000,0.0000,0.0000,20.8300,11.8800,0.0000,0.0000,27.7600,0.0000,0.0000,0.0000,22.6300,4.2500,0.0000,0.0000,0.0000,19.6700,14.4100,0.0000,17.3500,12.7600,16.1300,21.4100,6.4800,60.9000,4.7800,5.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,44.6700,0.0000,0.0000,0.0000,0.0000,0.0000,5.0064,30.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1589.7683,685.48,42.00,19.2873,0.00,2297.9610
5,BRPL,76DSBRPL2024/08/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4400,0.0000,13.0330,43.9682,0.0000,0.0000,0.0000,0.0000,38.2600,8.9800,67.1900,0.0000,79.7007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,434.5600,0.0000,0.0000,8.3700,58.9100,50.3700,71.1500,59.1300,16.4600,4.2700,18.6200,11.5900,18.7900,41.9300,0.0000,0.0000,0.0000,0.0000,0.0000,20.8300,5.9400,0.0000,0.0000,27.7600,0.0000,0.0000,0.0000,22.6300,4.4100,0.0000,0.0000,0.0000,19.6700,14.4100,0.0000,17.3500,12.7600,16.1300,21.4100,5.9400,60.9000,4.7800,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.6600,44.3300,0.0000,0.0000,0.0000,0.0000,0.0000,5.0064,30.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1580.8683,573.45,117.41,18.2715,0.00,2253.4568
6,BRPL,76DSBRPL2024/08/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4300,0.0000,13.0330,43.4009,0.0000,0.0000,0.0000,0.0000,38.3100,8.9800,67.1900,0.0000,79.7007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,434.5600,0.0000,0.0000,8.3700,58.9100,50.3700,71.1500,59.1300,16.4600,4.1300,17.9800,11.1900,18.7900,41.9300,0.0000,0.0000,0.0000,0.0000,0.0000,20.8300,5.9400,0.0000,0.0000,27.7600,0.0000,0.0000,0.0000,22.6300,4.4100,0.0000,0.0000,0.0000,15.5200,14.4100,0.0000,17.3500,12.7600,16.1300,21.4100,5.9400,60.9000,4.7800,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.6600,43.6700,0.0000,0.0000,0.0000,0.0000,0.0000,5.0064,30.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1573.1510,601.46,46.00,18.4420,0.00,2202.1690
7,BRPL,76DSBRPL2024/08/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4300,0.0000,13.0330,43.4009,0.0000,0.0000,0.0000,0.0000,38.3100,8.9800,67.1900,0.0000,79.7007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,434.5600,0.0000,0.0000,8.6700,58.9100,50.3700,71.1500,59.1300,16.4600,4.1300,17.9800,11.1900,18.7900,41.9300,0.0000,0.0000,0.0000,0.0000,0.0000,20.8300,5.9400,0.0000,0.0000,27.7600,0.0000,0.0000,0.0000,22.6300,4.4100,0.0000,0.0000,0.0000,13.5800,10.6300,0.0000,17.3500,12.7600,16.1300,21.4100,5.9400,60.9000,4.7800,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.6600,43.3300,0.0000,0.0000,0.0000,0.0000,0.0000,5.0064,30.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1567.8910,532.90,65.00,17.8219,0.00,2147.9691
8,BRPL,76DSBRPL2024/08/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4300,0.0000,13.0330,43.4009,0.0000,0.0000,0.0000,0.0000,38.3100,8.9800,67.1900,0.0000,79.7007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,434.5600,0.0000,0.0000,8.6700,58.9100,50.3700,71.1500,59.1300,16.4600,4.1300,17.9800,11.1900,18.7900,41.9300,0.0000,0.0000,0.0000,0.0000,0.0000,20.8300,5.9400,0.0000,0.0000,27.7600,0.0000,0.0000,0.0000,22.6300,4.4100,0.0000,0.0000,0.0000,19.6700,10.6300,0.0000,17.3500,12.7600,16.1300,21.4100,5.9400,60.9000,4.7800,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.6600,43.6700,0.0000,0.0000,0.0000,0.0000,0.0000,5.0064,30.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1575.3210,534.83,31.00,17.9005,0.00,2123.2505
9,BRPL,76DSBRPL2024/08/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4300,0.0000,13.0330,43.4009,0.0000,0.0000,0.0000,0.0000,38.3100,8.9800,67.1900,0.0000,83.7565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,434.5600,0.0000,0.0000,8.6700,58.9100,50.3700,71.1500,59.1300,16.4600,4.1300,17.9800,11.1900,18.7900,41.9300,0.0000,0.0000,0.0000,0.0000,0.0000,20.8300,5.9400,0.0000,0.0000,27.7600,0.0000,0.0000,0.0000,22.6300,4.4100,0.0000,0.0000,0.0000,19.6700,9.4600,0.0000,17.3500,12.7600,15.5700,21.4100,5.9400,60.9000,4.7800,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.3400,53.3300,0.0000,0.0000,0.0000,0.0000,0.0000,5.0064,30.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1588.6868,571.52,0.00,18.3210,0.00,2141.8858
10,BRPL,76DSBRPL2024/08/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118.4300,0.0000,13.0330,43.4009,0.0000,0.0000,0.0000,0.0000,38.3100,8.9800,67.1900,0.0000,83.7565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,415.2500,0.0000,0.0000,8.6700,58.9100,50.3700,71.1500,59.1300,16.4600,4.1300,17.9800,11.1900,18.7900,41.9300,0.0000,0.0000,0.0000,0.0000,0.0000,20.8300,5.9400,0.0000,0.0000,27.7600,0.0000,0.0000,0.0000,22.6300,4.4100,0.0000,0.0000,0.0000,13.5800,9.4600,0.0000,17.3500,12.7600,15.5700,21.4100,5.9400,60.9000,4.7800,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.3400,54.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.0064,30.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1563.9568,562.83,0.00,18.0402,0.00,2108.7466
