Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL
11:45-12:00,56DC2022/10/05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,84.00,120.00,0.00,0.00,203.00,0.00,0.00,653.15,93.56,0.00,320.00,0.00,0.00,58.10,100.01,272.05,0.00,0.00,0.00,0.00,0.00,0.00,215.53,0.00,0.00,14.25,92.00,118.13,123.67,348.98,138.75,21.82,42.39,26.39,46.40,147.52,0.00,2.10,0.00,21.92,0.00,31.12,8.87,2.67,12.00,39.52,0.00,0.00,0.00,50.76,27.93,0.00,34.75,53.70,4.42,10.76,28.05,26.26,19.36,27.34,48.11,0.00,80.18,11.53,6.55,0.00,0.00,0.00,950.00,0.00,0.34,6.23,16.05,0.00,200.00,5.81,5.77,40.74,34.75,0.00,44.38,14.79,14.81,300.00,300.00,100.00,200.00,200.00,200.00,4.46,18.15,6.94,4.24,22.05,4.51,0.96,4.19,2.40,0.46,8.67,0.00,0.00,0.00,0.00,8.15,8.70,22.63,22.63
11:45-12:00,56DC2022/10/05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,84.00,120.00,0.00,0.00,203.00,0.00,0.00,653.15,93.56,0.00,320.00,0.00,0.00,58.10,100.01,272.05,0.00,0.00,0.00,0.00,0.00,0.00,215.53,0.00,0.00,14.25,92.00,118.13,123.67,348.98,138.75,21.82,42.39,26.39,46.40,147.52,0.00,2.10,0.00,21.92,0.00,31.12,8.87,2.67,12.00,39.52,0.00,0.00,0.00,50.76,27.93,0.00,34.75,53.70,52.99,10.76,37.92,26.26,19.36,27.34,48.11,0.00,80.18,11.53,6.55,0.00,0.00,0.00,950.00,0.00,0.34,6.23,17.72,0.00,200.00,5.81,5.77,40.74,34.75,0.00,44.60,14.87,14.87,300.00,300.00,100.00,200.00,200.00,200.00,4.46,18.15,6.94,4.24,22.05,4.51,0.96,4.09,2.40,0.46,8.67,0.00,0.00,0.00,0.00,8.15,9.25,22.19,22.19
11:30-11:45,56DC2022/10/05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,84.00,120.00,0.00,0.00,203.00,0.00,0.00,653.15,93.56,0.00,320.00,0.00,0.00,35.31,100.01,272.05,0.00,0.00,0.00,0.00,0.00,0.00,215.53,0.00,0.00,14.25,92.00,118.13,123.67,348.98,138.75,21.82,42.39,26.39,46.40,147.52,0.00,2.10,0.00,21.92,0.00,31.12,8.87,2.67,12.00,39.52,0.00,0.00,0.00,50.76,27.93,0.00,34.75,53.70,52.99,10.76,37.92,26.26,19.36,27.34,48.11,0.00,46.48,11.53,6.55,0.00,0.00,0.00,950.00,0.00,0.36,6.23,20.06,0.00,200.00,5.81,5.77,40.74,34.75,0.00,43.67,14.56,14.55,300.00,300.00,100.00,200.00,200.00,200.00,4.46,18.15,6.94,4.24,22.05,4.51,1.15,3.99,2.40,0.46,8.67,0.00,0.00,0.00,0.00,8.15,9.73,21.67,21.67
11:30-11:45,56DC2022/10/05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,84.00,120.00,0.00,0.00,203.00,0.00,0.00,653.15,116.95,0.00,320.00,0.00,0.00,35.31,100.01,272.05,0.00,0.00,0.00,0.00,0.00,0.00,215.53,0.00,0.00,14.25,92.00,118.13,123.67,348.98,138.75,21.82,42.39,26.39,46.40,147.52,0.00,2.10,0.00,21.92,0.00,46.68,8.87,2.67,12.00,39.52,0.00,0.00,0.00,50.76,27.93,0.00,34.75,53.70,6.62,10.76,37.92,37.32,19.36,27.34,48.11,0.00,23.24,11.53,6.55,0.00,0.00,0.00,950.00,0.00,0.36,6.23,9.65,0.00,200.00,5.81,5.77,40.74,34.75,0.00,42.30,14.10,14.10,300.00,300.00,100.00,200.00,200.00,200.00,4.46,18.15,6.94,4.24,22.05,4.51,1.15,3.99,2.40,0.46,8.67,0.00,0.00,0.00,0.00,8.15,9.85,21.27,21.27
11:15-11:30,56DC2022/10/05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,84.00,120.00,0.00,0.00,203.00,0.00,0.00,653.15,116.95,0.00,320.00,0.00,0.00,35.31,100.01,272.05,0.00,0.00,0.00,0.00,0.00,0.00,215.53,0.00,0.00,14.25,92.00,118.13,123.67,348.98,138.75,21.82,42.39,26.39,46.40,147.52,0.00,2.10,0.00,21.92,0.00,46.68,8.87,2.67,12.00,39.52,0.00,0.00,0.00,50.76,27.93,0.00,34.75,53.70,6.62,10.76,37.92,37.32,29.03,27.34,48.11,0.00,23.24,11.53,6.55,0.00,0.00,0.00,950.00,0.00,0.36,6.38,10.06,0.00,200.00,5.91,5.77,40.74,34.75,0.00,40.83,13.61,13.62,300.00,300.00,100.00,200.00,200.00,200.00,4.46,18.15,6.94,4.24,22.05,4.51,1.15,3.79,2.40,0.46,8.67,0.00,0.00,0.00,0.00,8.15,9.43,20.89,20.89
11:15-11:30,56DC2022/10/05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,84.00,120.00,0.00,0.00,203.00,0.00,0.00,653.15,123.49,0.00,320.00,0.00,0.00,35.31,100.01,272.05,0.00,0.00,0.00,0.00,0.00,0.00,215.53,0.00,0.00,14.25,92.00,118.13,123.67,348.98,138.75,21.82,42.39,26.39,46.40,147.52,0.00,2.10,0.00,21.92,0.00,46.68,8.87,2.67,12.00,39.52,0.00,0.00,0.00,50.76,27.93,0.00,34.75,53.70,6.62,10.76,37.92,39.51,29.03,27.34,48.11,0.00,23.24,11.53,6.55,0.00,0.00,0.00,950.00,0.00,0.36,6.38,11.07,0.00,200.00,5.91,5.77,40.74,34.75,0.00,39.31,13.10,13.10,300.00,300.00,100.00,200.00,200.00,200.00,4.46,18.15,6.94,4.24,22.05,4.51,1.19,3.65,2.40,0.46,8.67,0.00,0.00,0.00,0.00,8.15,8.91,21.01,21.01
11:00-11:15,56DC2022/10/05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,84.00,120.00,0.00,0.00,203.00,0.00,0.00,653.15,125.38,0.00,320.00,0.00,0.00,35.31,100.01,272.05,0.00,0.00,0.00,0.00,0.00,0.00,215.53,0.00,0.00,14.25,92.00,118.13,123.67,348.98,138.75,21.82,42.39,26.39,46.40,147.52,0.00,2.10,0.00,21.92,0.00,46.68,8.87,5.20,12.00,39.52,0.00,0.00,0.00,50.76,27.93,0.00,34.75,53.70,6.62,10.76,41.24,39.51,29.03,27.34,48.11,0.00,23.24,11.53,6.55,0.00,0.00,0.00,950.00,0.00,0.36,6.38,7.34,0.00,200.00,5.91,5.77,40.74,34.75,0.00,38.58,12.86,12.85,300.00,300.00,100.00,200.00,200.00,200.00,4.46,18.15,6.94,4.24,22.05,4.51,1.19,3.65,2.40,0.46,8.67,0.00,0.00,0.00,0.00,8.15,8.47,21.10,21.10
11:00-11:15,56DC2022/10/05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,84.00,120.00,0.00,0.00,203.00,0.00,0.00,653.15,140.35,0.00,320.00,0.00,0.00,35.31,100.01,272.05,0.00,0.00,0.00,0.00,0.00,0.00,215.53,0.00,0.00,14.25,92.00,118.13,123.67,348.98,138.75,21.82,42.39,26.39,46.40,147.52,0.00,2.10,0.00,21.92,0.00,46.68,8.87,10.40,12.00,39.52,0.00,0.00,0.00,50.76,27.93,0.00,34.75,53.70,6.62,10.76,42.15,39.51,29.03,27.34,48.11,0.00,23.24,11.53,6.55,0.00,0.00,0.00,950.00,0.00,0.36,6.38,7.34,0.00,200.00,5.91,5.77,40.74,34.75,0.00,37.66,12.55,12.56,300.00,300.00,100.00,200.00,200.00,200.00,4.46,18.15,6.94,4.24,22.05,4.51,1.19,3.65,2.40,0.46,8.67,0.00,0.00,0.00,0.00,8.15,6.34,21.17,21.17
10:45-11:00,56DC2022/10/05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,84.00,120.00,0.00,0.00,203.00,0.00,0.00,653.15,140.35,0.00,320.00,0.00,0.00,35.31,100.01,272.05,0.00,0.00,0.00,0.00,0.00,0.00,215.53,0.00,0.00,14.25,92.00,118.13,123.67,348.98,138.75,21.82,42.39,26.39,46.40,147.52,0.00,2.10,0.00,21.92,0.00,56.70,17.75,10.56,12.00,39.52,0.00,0.00,0.00,50.76,27.93,0.00,34.75,53.70,6.62,10.76,42.15,39.51,29.03,36.54,48.11,3.18,23.24,11.53,6.55,0.00,0.00,0.00,950.00,0.00,0.36,6.38,7.26,0.00,200.00,6.00,5.92,40.74,34.75,0.00,33.50,11.17,11.16,300.00,300.00,100.00,200.00,200.00,200.00,4.46,18.15,6.94,4.24,22.05,4.51,1.15,3.56,2.40,0.46,8.67,0.00,0.00,0.00,0.00,8.15,5.61,21.19,21.19
10:45-11:00,56DC2022/10/05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216.00,0.00,84.00,120.00,0.00,0.00,203.00,0.00,0.00,653.15,140.35,0.00,320.00,0.00,0.00,35.31,100.01,272.05,0.00,0.00,0.00,0.00,0.00,0.00,215.53,0.00,0.00,14.25,92.00,118.13,123.67,348.98,138.75,21.82,42.39,26.39,46.40,147.52,0.00,2.10,0.00,21.92,0.00,62.24,30.17,15.74,12.00,39.52,0.00,0.00,0.00,50.76,27.93,0.00,34.75,53.70,6.62,10.76,42.15,39.51,29.03,36.54,49.44,3.18,23.24,11.53,19.66,0.00,0.00,0.00,950.00,0.00,0.36,6.38,7.34,0.00,200.00,6.00,5.92,40.74,34.75,0.00,32.60,10.87,10.87,300.00,300.00,100.00,200.00,200.00,200.00,4.46,18.15,6.94,4.24,22.05,4.51,1.15,3.56,2.40,0.46,8.67,0.00,0.00,0.00,0.00,8.15,5.52,21.57,21.57
