Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII
23:45-24:00,56DC2024/02/07,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,270.60,0.00,40.00,270.00,0.00,0.00,65.00,0.00,76.00,435.44,0.00,0.00,320.00,0.00,0.00,70.18,103.62,192.50,0.00,0.00,0.00,0.00,0.00,0.00,679.49,0.00,0.00,20.73,87.00,118.13,61.83,418.77,125.59,10.56,42.39,26.39,46.40,147.52,0.00,30.45,0.00,46.03,0.00,0.00,8.38,0.00,0.00,43.47,0.00,0.00,0.00,53.93,0.00,15.23,0.00,0.00,2.21,5.38,0.00,0.00,0.00,0.00,1.92,0.00,2.32,0.38,0.00,0.00,0.00,0.00,640.00,0.00,0.65,0.69,14.65,0.00,200.00,1.34,0.95,0.00,55.39,0.00,63.00,21.00,21.00,300.00,300.00,100.00,200.00,0.00,17.34,46.87,46.87,0.00,0.00,0.00,11.86,25.20,23.10,300.00,300.00,200.00,200.00,1.47
23:30-23:45,56DC2024/02/07,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,270.60,0.00,40.00,270.00,0.00,0.00,65.00,0.00,76.00,435.44,0.00,0.00,320.00,0.00,0.00,70.18,103.62,231.00,0.00,0.00,0.00,0.00,0.00,0.00,679.49,0.00,0.00,20.73,87.00,118.13,61.83,418.77,125.59,10.56,42.39,26.39,46.40,147.52,0.00,30.45,0.00,46.03,0.00,0.00,8.38,0.00,0.00,43.47,0.00,0.00,0.00,53.93,0.00,15.23,0.00,0.00,2.21,5.38,0.00,0.00,0.00,0.00,1.92,0.00,2.32,0.38,0.00,0.00,0.00,0.00,640.00,0.00,0.65,0.69,14.85,0.00,200.00,1.34,0.95,0.00,55.39,0.00,64.00,21.34,21.33,300.00,300.00,100.00,200.00,0.00,17.00,46.03,46.03,0.00,0.00,0.00,11.86,25.20,23.10,300.00,300.00,200.00,200.00,1.47
23:15-23:30,56DC2024/02/07,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,270.60,0.00,40.00,270.00,0.00,0.00,65.00,0.00,76.00,435.44,0.00,0.00,320.00,0.00,0.00,66.03,103.62,270.70,0.00,0.00,0.00,0.00,0.00,0.00,679.49,0.00,0.00,20.73,87.00,118.13,61.83,418.77,125.59,10.56,42.39,26.39,46.40,147.52,0.00,30.45,0.00,46.03,0.00,0.00,8.38,0.00,0.00,43.47,0.00,0.00,0.00,53.93,0.00,15.23,0.00,0.00,2.21,8.07,0.00,0.00,0.00,0.00,1.92,0.00,2.32,0.38,0.00,0.00,0.00,0.00,640.00,0.00,0.65,0.69,15.25,0.00,200.00,1.34,0.95,0.00,55.39,0.00,65.00,21.66,21.67,300.00,300.00,100.00,200.00,0.00,16.66,45.65,45.65,0.00,0.00,0.00,11.86,25.20,23.10,300.00,300.00,200.00,200.00,1.47
23:00-23:15,56DC2024/02/07,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,270.60,0.00,40.00,270.00,0.00,0.00,65.00,0.00,76.00,435.44,0.00,0.00,320.00,0.00,0.00,66.03,103.62,270.70,0.00,0.00,0.00,0.00,0.00,0.00,679.49,0.00,0.00,20.73,87.00,118.13,61.83,418.77,125.59,10.56,42.39,26.39,46.40,147.52,0.00,30.45,0.00,46.03,0.00,0.00,8.38,0.00,0.00,43.47,0.00,0.00,0.00,53.93,0.00,15.23,0.00,0.00,2.21,8.07,0.00,0.00,0.00,0.00,1.92,0.00,2.32,0.38,0.00,0.00,0.00,0.00,640.00,0.00,0.65,0.69,15.59,0.00,200.00,1.34,0.95,0.00,55.39,0.00,67.50,22.50,22.50,300.00,300.00,100.00,200.00,0.00,16.00,45.80,45.80,0.00,0.00,0.00,11.86,25.20,23.10,300.00,300.00,200.00,200.00,1.47
22:45-23:00,56DC2024/02/07,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,270.60,0.00,40.00,270.00,0.00,0.00,65.00,0.00,76.00,435.44,0.00,0.00,320.00,0.00,0.00,66.03,103.62,270.70,0.00,0.00,0.00,0.00,0.00,0.00,679.49,0.00,0.00,20.73,87.00,118.13,61.83,418.77,125.59,10.56,42.39,26.39,46.40,147.52,0.00,30.45,0.00,46.03,0.00,0.00,8.38,0.00,0.00,43.47,0.00,0.00,0.00,53.93,0.00,15.23,0.00,0.00,2.21,5.38,0.00,0.00,0.00,0.00,1.92,0.00,2.32,0.38,0.00,0.00,0.00,0.00,640.00,0.00,0.65,0.69,20.72,0.00,200.00,1.34,0.95,0.00,55.39,0.00,74.00,24.66,24.67,300.00,300.00,100.00,200.00,0.00,22.36,45.63,45.63,0.00,0.00,0.00,11.86,25.20,23.10,300.00,300.00,200.00,200.00,1.47
22:30-22:45,56DC2024/02/07,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,270.60,0.00,40.00,270.00,0.00,0.00,65.00,0.00,76.00,435.44,0.00,0.00,320.00,0.00,0.00,66.03,103.62,270.70,0.00,0.00,0.00,0.00,0.00,0.00,679.49,0.00,0.00,20.73,87.00,118.13,61.83,418.77,125.59,10.56,42.39,26.39,46.40,147.52,0.00,30.45,0.00,46.03,0.00,0.00,8.38,0.00,0.00,43.47,0.00,0.00,0.00,53.93,0.00,15.23,0.00,0.00,2.21,5.38,0.00,0.00,0.00,0.00,1.92,0.00,2.32,0.38,0.00,0.00,0.00,0.00,640.00,0.00,0.65,0.69,20.98,0.00,200.00,1.34,0.95,0.00,55.39,0.00,72.50,24.16,24.17,300.00,300.00,100.00,200.00,0.00,23.01,44.98,44.98,0.00,0.00,0.00,11.86,25.20,23.10,300.00,300.00,200.00,200.00,1.47
22:15-22:30,56DC2024/02/07,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,270.60,0.00,40.00,270.00,0.00,0.00,65.00,0.00,76.00,435.44,0.00,0.00,320.00,0.00,0.00,66.03,103.62,270.70,0.00,0.00,0.00,0.00,0.00,0.00,679.49,0.00,0.00,20.73,87.00,118.13,61.83,418.77,125.59,10.56,42.39,26.39,46.40,147.52,0.00,30.45,0.00,46.03,0.00,0.00,8.38,0.00,0.00,43.47,0.00,0.00,0.00,53.93,0.00,15.23,0.00,0.00,2.21,8.07,0.00,0.00,0.00,0.00,1.92,0.00,2.32,0.38,0.00,0.00,0.00,0.00,640.00,0.00,0.65,0.69,20.43,0.00,200.00,1.34,0.95,0.00,55.39,0.00,67.00,22.34,22.33,300.00,300.00,100.00,200.00,0.00,17.11,44.00,44.00,0.00,0.00,0.00,11.86,25.20,23.10,300.00,300.00,200.00,200.00,1.47
22:00-22:15,56DC2024/02/07,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,270.60,0.00,40.00,270.00,0.00,0.00,65.00,0.00,76.00,435.44,0.00,0.00,320.00,0.00,0.00,66.03,103.62,270.70,0.00,0.00,0.00,0.00,0.00,0.00,679.49,0.00,0.00,20.73,87.00,118.13,61.83,418.77,125.59,10.56,42.39,26.39,46.40,147.52,0.00,30.45,0.00,46.03,0.00,0.00,8.38,0.00,0.00,43.47,0.00,0.00,0.00,53.93,0.00,15.23,0.00,0.00,2.21,8.07,0.00,0.00,0.00,0.00,1.92,0.00,2.32,0.38,0.00,0.00,0.00,0.00,640.00,0.00,0.65,0.69,20.76,0.00,200.00,1.34,0.95,0.00,55.39,0.00,64.50,21.50,21.50,300.00,300.00,100.00,200.00,0.00,17.59,43.00,43.00,0.00,0.00,0.00,11.86,25.20,23.10,300.00,300.00,200.00,200.00,1.47
21:45-22:00,56DC2024/02/07,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,270.60,0.00,40.00,270.00,0.00,0.00,65.00,0.00,76.00,435.44,0.00,0.00,320.00,0.00,0.00,84.89,103.62,270.70,0.00,0.00,0.00,0.00,0.00,0.00,679.49,0.00,0.00,20.73,87.00,118.13,61.83,418.77,125.59,10.56,42.39,26.39,46.40,147.52,0.00,30.45,0.00,46.03,0.00,14.30,8.38,0.00,0.00,43.47,0.00,0.00,0.00,53.93,0.00,15.23,0.00,0.00,38.64,8.07,0.00,0.00,0.00,0.00,1.92,0.00,2.32,0.38,0.00,0.00,0.00,0.00,640.00,0.00,0.65,0.69,21.06,0.00,200.00,1.34,0.95,0.00,55.39,0.00,63.00,21.00,21.00,300.00,300.00,100.00,200.00,0.00,14.66,41.67,41.67,0.00,0.00,0.00,11.86,25.20,23.10,300.00,300.00,200.00,200.00,1.56
21:30-21:45,56DC2024/02/07,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,270.60,0.00,40.00,270.00,0.00,0.00,65.00,0.00,76.00,435.44,0.00,0.00,320.00,0.00,0.00,115.08,103.62,270.70,0.00,0.00,0.00,0.00,0.00,0.00,679.19,0.00,0.00,20.73,87.00,118.13,61.83,418.77,125.59,10.56,42.39,26.39,46.40,147.52,0.00,30.45,0.00,46.03,0.00,14.43,8.38,0.00,0.00,43.47,0.00,0.00,0.00,53.93,0.00,15.23,0.00,0.00,38.64,8.07,0.00,0.00,0.00,0.00,16.48,0.00,2.32,0.38,0.00,0.00,0.00,0.00,640.00,0.00,0.65,0.69,21.46,0.00,200.00,1.34,0.95,0.00,55.39,0.00,62.50,20.84,20.83,300.00,300.00,100.00,200.00,0.00,14.34,40.67,40.67,0.00,0.00,0.00,11.86,25.20,23.10,300.00,300.00,200.00,200.00,1.56
