Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
23:45-24:00,62DC2024/05/17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,75.00,290.00,0.00,0.00,0.00,0.00,90.20,482.44,165.14,0.00,320.00,0.00,0.00,57.97,104.18,273.33,0.00,0.00,0.00,0.00,0.00,0.00,688.72,0.00,0.00,11.82,91.78,124.38,130.58,418.77,144.96,22.63,44.91,27.64,42.49,148.30,0.00,48.23,77.58,90.70,9.27,31.08,19.60,18.80,0.00,49.90,0.00,0.00,6.28,68.33,0.00,0.00,0.00,0.00,34.22,0.00,42.15,48.50,34.83,43.54,59.18,19.07,79.38,6.66,13.04,3.09,0.00,0.00,920.00,0.00,0.79,10.42,7.21,0.00,200.00,10.13,10.77,0.00,0.00,0.00,72.50,24.16,24.17,300.00,300.00,100.00,200.00,0.00,20.66,53.33,53.33,5.53,5.56,0.00,16.68,26.81,26.24,300.00,300.00,200.00,200.00,15.59,100.00,100.00,100.00
23:30-23:45,62DC2024/05/17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,75.00,290.00,0.00,0.00,0.00,0.00,90.20,482.44,165.14,0.00,320.00,0.00,0.00,57.97,104.18,273.33,0.00,0.00,0.00,0.00,0.00,0.00,688.72,0.00,0.00,11.82,91.78,124.38,130.58,418.77,136.90,22.63,44.91,27.64,42.49,148.30,0.00,48.23,77.58,90.70,9.27,41.43,19.60,18.80,0.00,49.90,0.00,0.00,6.28,68.33,0.00,0.00,0.00,0.00,34.22,0.00,42.15,48.50,34.83,43.54,59.18,19.07,79.38,6.66,13.04,3.09,0.00,0.00,920.00,0.00,0.79,10.42,7.21,0.00,200.00,10.13,10.77,0.00,0.00,0.00,72.50,24.16,24.17,300.00,300.00,100.00,200.00,0.00,19.34,53.33,53.33,5.53,5.56,0.00,16.68,26.81,26.24,300.00,300.00,200.00,200.00,15.59,100.00,100.00,100.00
23:15-23:30,62DC2024/05/17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,75.00,290.00,0.00,0.00,0.00,0.00,90.20,482.44,165.14,0.00,320.00,0.00,0.00,57.97,104.18,273.33,0.00,0.00,0.00,0.00,0.00,0.00,688.72,0.00,0.00,11.82,91.78,124.38,130.58,418.77,132.88,22.63,44.91,27.64,42.49,148.30,0.00,48.23,77.58,90.70,9.27,41.43,19.60,18.80,0.00,49.90,0.00,0.00,6.28,68.33,0.00,0.00,0.00,0.00,34.22,0.00,42.15,48.50,34.83,43.54,59.18,19.07,79.38,2.82,13.04,3.09,0.00,0.00,920.00,0.00,0.79,10.42,7.21,0.00,200.00,10.13,10.77,0.00,0.00,0.00,72.50,24.16,24.17,300.00,300.00,100.00,200.00,0.00,19.00,53.33,53.33,5.53,5.56,0.00,16.68,26.81,26.24,300.00,300.00,200.00,200.00,15.59,100.00,100.00,100.00
23:00-23:15,62DC2024/05/17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,75.00,290.00,0.00,0.00,0.00,0.00,90.20,482.44,165.14,0.00,320.00,0.00,0.00,57.97,104.18,273.33,0.00,0.00,0.00,0.00,0.00,0.00,688.72,0.00,0.00,11.82,91.78,124.38,130.58,418.77,132.88,22.63,44.91,27.64,42.49,148.30,0.00,48.23,77.58,90.70,9.27,41.43,19.60,18.80,0.00,49.90,0.00,0.00,6.28,68.33,0.00,0.00,0.00,0.00,34.22,0.00,42.15,48.50,34.83,43.54,59.18,19.07,79.38,2.82,13.04,3.09,0.00,0.00,920.00,0.00,0.79,10.42,7.21,0.00,200.00,10.13,10.77,0.00,0.00,0.00,72.50,24.16,24.17,300.00,300.00,100.00,200.00,0.00,18.34,53.33,53.33,5.53,5.56,0.00,16.68,26.81,26.24,300.00,300.00,200.00,200.00,15.59,100.00,100.00,100.00
22:45-23:00,62DC2024/05/17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,75.00,290.00,0.00,0.00,0.00,0.00,90.20,482.44,165.14,0.00,320.00,0.00,0.00,57.97,104.18,273.33,0.00,0.00,0.00,0.00,0.00,0.00,688.72,0.00,0.00,11.82,91.78,124.38,130.58,418.77,132.88,22.63,44.91,27.64,42.49,148.30,0.00,48.23,77.58,90.70,9.27,41.43,19.60,18.80,0.00,49.90,0.00,0.00,6.28,68.33,0.00,0.00,0.00,0.00,34.22,0.00,42.15,48.50,34.83,43.54,59.18,19.07,80.18,2.82,13.04,3.09,0.00,0.00,920.00,0.00,0.79,10.42,7.21,0.00,200.00,10.31,10.77,0.00,0.00,0.00,73.00,24.34,24.33,300.00,300.00,100.00,200.00,0.00,23.34,62.67,62.67,5.53,5.56,0.00,16.68,26.81,26.74,300.00,300.00,200.00,200.00,15.69,100.00,100.00,100.00
22:30-22:45,62DC2024/05/17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,75.00,290.00,0.00,0.00,0.00,0.00,90.20,482.44,165.14,0.00,320.00,0.00,0.00,57.97,104.18,273.33,0.00,0.00,0.00,0.00,0.00,0.00,688.72,0.00,0.00,11.82,91.78,124.38,130.58,418.77,132.88,22.63,44.91,27.64,42.49,148.30,0.00,48.23,77.58,90.70,9.27,41.43,20.75,18.80,0.00,49.90,0.00,0.00,6.28,68.33,0.00,0.00,0.00,0.00,34.22,0.00,42.15,48.50,34.83,43.54,59.18,19.07,83.66,6.15,13.04,3.09,0.00,0.00,920.00,0.00,0.79,10.42,7.21,0.00,200.00,10.31,10.77,0.00,0.00,0.00,73.50,24.50,24.50,300.00,300.00,100.00,200.00,0.00,23.34,63.33,63.33,5.53,5.66,0.00,16.68,26.81,27.25,300.00,300.00,200.00,200.00,15.69,100.00,100.00,100.00
22:15-22:30,62DC2024/05/17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,75.00,290.00,0.00,0.00,0.00,0.00,90.20,482.44,165.14,0.00,320.00,0.00,0.00,57.97,104.18,273.33,0.00,0.00,0.00,0.00,0.00,0.00,688.72,0.00,0.00,11.82,91.78,124.38,130.58,418.77,132.88,22.63,44.91,27.64,42.49,148.30,0.00,48.23,77.58,90.70,9.27,41.43,20.75,18.80,0.00,49.90,0.00,0.00,6.28,68.33,0.00,0.00,0.00,0.00,34.22,0.00,42.15,48.50,34.83,43.54,59.18,19.07,83.66,6.15,13.04,3.09,0.00,0.00,920.00,0.00,0.79,10.42,7.21,0.00,200.00,10.31,10.77,0.00,0.00,0.00,75.00,25.00,25.00,300.00,300.00,100.00,200.00,0.00,23.34,60.00,60.00,5.53,5.66,0.00,16.68,26.81,27.25,300.00,300.00,200.00,200.00,15.69,100.00,100.00,100.00
22:00-22:15,62DC2024/05/17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,75.00,290.00,0.00,0.00,0.00,0.00,90.20,482.44,165.14,0.00,320.00,0.00,0.00,57.97,104.18,273.33,0.00,0.00,0.00,0.00,0.00,0.00,688.72,0.00,0.00,11.82,91.78,124.38,130.58,418.77,132.88,22.63,44.91,27.64,42.49,148.30,0.00,48.23,77.58,89.62,9.27,41.43,20.75,18.80,0.00,49.90,0.00,0.00,6.28,68.33,0.00,0.00,0.00,0.00,34.22,0.00,42.15,48.50,34.83,43.54,59.18,19.07,83.66,6.15,13.04,3.09,0.00,0.00,920.00,0.00,0.79,10.42,7.21,0.00,200.00,10.31,10.77,0.00,0.00,0.00,76.50,25.50,25.50,300.00,300.00,100.00,200.00,0.00,23.34,60.00,60.00,5.53,5.66,0.00,16.68,26.81,27.75,300.00,300.00,200.00,200.00,15.69,100.00,100.00,100.00
21:45-22:00,62DC2024/05/17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,75.00,290.00,0.00,0.00,0.00,0.00,90.20,482.44,165.14,0.00,320.00,0.00,0.00,57.97,104.18,273.33,0.00,0.00,0.00,0.00,0.00,0.00,688.72,0.00,0.00,11.82,91.78,124.38,130.58,418.77,132.88,22.63,44.91,27.64,42.49,148.30,0.00,48.23,77.58,89.62,9.27,41.43,20.75,18.80,0.00,49.90,0.00,0.00,6.28,68.33,0.00,0.00,0.00,0.00,34.22,0.00,42.15,48.50,34.83,43.54,59.18,19.07,83.66,6.15,13.04,3.09,0.00,0.00,920.00,0.00,0.79,10.42,7.21,0.00,200.00,10.51,10.77,0.00,0.00,0.00,70.00,23.34,23.33,300.00,300.00,100.00,200.00,0.00,23.66,60.00,60.00,5.53,5.66,0.00,16.68,26.81,28.26,300.00,300.00,200.00,200.00,15.78,100.00,100.00,100.00
21:30-21:45,62DC2024/05/17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.50,0.00,75.00,290.00,0.00,0.00,0.00,0.00,90.20,482.44,165.14,0.00,320.00,0.00,0.00,57.97,104.18,273.33,0.00,0.00,0.00,0.00,0.00,0.00,688.72,0.00,0.00,11.82,91.78,124.38,130.58,418.77,132.88,22.63,44.91,27.64,42.49,148.30,0.00,48.23,77.58,89.62,9.27,41.43,9.80,18.80,0.00,49.90,0.00,0.00,6.28,68.33,0.00,0.00,0.00,0.00,34.22,0.00,42.15,48.50,34.83,43.54,59.18,19.07,80.18,2.82,13.04,3.09,0.00,0.00,920.00,0.00,0.79,10.42,7.21,0.00,200.00,10.51,10.77,0.00,0.00,0.00,71.50,23.84,23.83,300.00,300.00,100.00,200.00,0.00,24.00,60.00,60.00,5.53,5.56,0.00,16.68,26.81,28.76,300.00,300.00,200.00,200.00,15.78,100.00,100.00,100.00
