Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL
23:45-24:00,82DC2023/11/19,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,265.00,0.00,0.00,75.00,0.00,90.20,653.15,0.00,0.00,320.00,0.00,0.00,71.76,104.74,149.19,0.00,0.00,0.00,0.00,0.00,0.00,341.56,0.00,0.00,20.73,92.00,118.13,123.67,418.77,136.88,20.56,42.39,26.39,45.22,98.34,0.00,0.00,0.00,0.00,0.00,31.12,8.87,0.00,0.00,0.00,0.00,0.00,0.00,54.06,0.00,22.58,46.37,36.72,6.62,5.38,0.00,0.00,0.00,0.00,16.48,0.00,2.32,5.12,0.00,0.00,0.00,0.00,980.00,0.00,0.57,1.71,7.31,0.00,200.00,2.23,1.77,8.40,23.89,45.48,48.35,16.10,16.12,300.00,300.00,100.00,200.00,140.62,13.01,36.27,36.27,0.00,0.00,0.00,11.86,25.30,25.08,300.00,300.00,200.00,200.00
23:30-23:45,82DC2023/11/19,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,265.00,0.00,0.00,75.00,0.00,90.20,653.15,0.00,0.00,320.00,0.00,0.00,71.76,104.74,149.19,0.00,0.00,0.00,0.00,0.00,0.00,341.56,0.00,0.00,20.73,92.00,118.13,123.67,418.77,136.88,20.56,42.39,26.39,45.22,98.34,0.00,0.00,0.00,0.00,0.00,31.12,8.87,0.00,0.00,0.00,0.00,0.00,0.00,54.06,0.00,22.58,46.37,36.72,6.62,5.38,0.00,0.00,0.00,0.00,16.48,0.00,2.32,5.12,0.00,0.00,0.00,0.00,980.00,0.00,0.57,1.71,7.31,0.00,200.00,2.23,1.77,8.40,23.89,45.48,48.39,16.13,16.13,300.00,300.00,100.00,200.00,140.62,13.21,36.48,36.48,0.00,0.00,0.00,11.86,25.30,25.08,300.00,300.00,200.00,200.00
23:15-23:30,82DC2023/11/19,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,265.00,0.00,0.00,75.00,0.00,90.20,653.15,0.00,0.00,320.00,0.00,0.00,71.76,104.74,192.90,0.00,0.00,0.00,0.00,0.00,0.00,341.56,0.00,0.00,20.73,92.00,118.13,123.67,418.77,136.88,20.56,42.39,26.39,45.22,98.34,0.00,0.00,0.00,0.00,0.00,31.12,8.87,0.00,0.00,0.00,0.00,0.00,0.00,54.06,0.00,22.58,46.37,36.72,6.62,5.38,0.00,0.00,0.00,0.00,16.48,0.00,2.32,5.12,0.00,0.00,0.00,0.00,980.00,0.00,0.57,1.71,7.31,0.00,200.00,2.23,1.77,8.40,23.89,45.48,49.17,16.38,16.39,300.00,300.00,100.00,200.00,140.62,13.68,37.00,37.00,0.00,0.00,0.00,11.86,25.30,25.08,300.00,300.00,200.00,200.00
23:00-23:15,82DC2023/11/19,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,265.00,0.00,0.00,75.00,0.00,90.20,653.15,0.00,0.00,320.00,0.00,0.00,71.76,104.74,231.48,0.00,0.00,0.00,0.00,0.00,0.00,341.56,0.00,0.00,20.73,92.00,118.13,123.67,418.77,136.88,20.56,42.39,26.39,45.22,98.34,0.00,0.00,0.00,0.00,0.00,31.12,8.87,0.00,0.00,0.00,0.00,0.00,0.00,54.06,0.00,22.58,46.37,36.72,6.62,5.38,0.00,0.00,0.00,0.00,16.48,0.00,2.32,5.12,0.00,0.00,0.00,0.00,980.00,0.00,0.57,1.71,7.31,0.00,200.00,2.23,1.77,8.40,23.89,45.48,50.03,16.68,16.67,300.00,300.00,100.00,200.00,140.62,14.62,35.87,35.87,0.00,0.00,0.00,11.86,25.30,25.08,300.00,300.00,200.00,200.00
22:45-23:00,82DC2023/11/19,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,265.00,0.00,0.00,75.00,0.00,90.20,653.15,18.94,0.00,320.00,0.00,0.00,71.76,104.74,271.27,0.00,0.00,0.00,0.00,0.00,0.00,341.56,0.00,0.00,20.73,92.00,118.13,123.67,418.77,136.88,20.56,42.39,26.39,45.22,98.34,0.00,0.00,0.00,0.00,0.00,31.12,8.87,0.00,0.00,0.00,0.00,0.00,0.00,54.06,0.00,22.58,46.37,36.72,6.62,5.38,0.00,0.00,0.00,0.00,16.48,0.00,2.32,5.12,0.00,0.00,0.00,0.00,980.00,0.00,0.57,1.71,7.31,0.00,200.00,2.23,1.84,8.40,23.89,45.48,52.71,17.56,17.57,300.00,300.00,100.00,200.00,140.62,15.01,35.80,35.80,0.00,0.00,0.00,11.86,25.30,25.08,300.00,300.00,200.00,200.00
22:30-22:45,82DC2023/11/19,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,265.00,0.00,0.00,75.00,0.00,90.20,653.15,18.94,0.00,320.00,0.00,0.00,71.76,104.74,271.27,0.00,0.00,0.00,0.00,0.00,0.00,341.56,0.00,0.00,20.73,92.00,118.13,123.67,418.77,136.88,20.56,42.39,26.39,45.22,98.34,0.00,0.00,0.00,0.00,0.00,31.12,8.87,0.00,0.00,0.00,0.00,0.00,0.00,54.06,0.00,22.58,46.37,36.72,6.62,5.38,0.00,0.00,0.00,0.00,16.48,0.00,2.32,5.12,0.00,0.00,0.00,0.00,980.00,0.00,0.57,1.71,7.31,0.00,200.00,2.23,1.84,8.40,23.89,45.48,55.83,18.61,18.61,300.00,300.00,100.00,200.00,140.62,15.10,37.15,37.15,0.00,0.00,0.00,11.86,25.30,25.08,300.00,300.00,200.00,200.00
22:15-22:30,82DC2023/11/19,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,265.00,0.00,0.00,75.00,0.00,90.20,653.15,18.94,0.00,320.00,0.00,0.00,71.76,104.74,271.27,0.00,0.00,0.00,0.00,0.00,0.00,341.56,0.00,0.00,20.73,92.00,118.13,123.67,418.77,136.88,20.56,42.39,26.39,45.22,98.34,0.00,0.00,0.00,0.00,0.00,31.12,8.87,0.00,0.00,0.00,0.00,0.00,0.00,54.06,0.00,22.58,46.37,36.72,49.68,5.38,0.00,0.00,0.00,0.00,16.48,0.00,2.32,5.12,0.00,0.00,0.00,0.00,980.00,0.00,0.57,1.71,7.31,0.00,200.00,2.23,1.84,8.40,23.89,45.48,57.95,19.32,19.32,300.00,300.00,100.00,200.00,140.62,15.26,39.56,39.56,0.00,0.00,0.00,11.86,25.30,25.08,300.00,300.00,200.00,200.00
22:00-22:15,82DC2023/11/19,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,265.00,0.00,0.00,75.00,0.00,90.20,653.15,18.94,0.00,320.00,0.00,0.00,71.76,104.74,271.27,0.00,0.00,0.00,0.00,0.00,0.00,341.56,0.00,0.00,20.73,92.00,118.13,123.67,418.77,136.88,20.56,42.39,26.39,45.22,98.34,0.00,0.00,0.00,0.00,0.00,31.12,8.87,0.00,0.00,0.00,0.00,0.00,0.00,54.06,0.00,22.58,46.37,36.72,49.68,5.38,0.00,0.00,0.00,0.00,16.48,0.00,2.32,5.12,0.00,0.00,0.00,0.00,980.00,0.00,0.57,1.71,7.31,0.00,200.00,2.23,1.84,8.40,23.89,45.48,60.33,20.10,20.11,300.00,300.00,100.00,200.00,140.62,15.27,42.04,42.04,0.00,0.00,0.00,11.86,25.30,25.08,300.00,300.00,200.00,200.00
21:45-22:00,82DC2023/11/19,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,265.00,0.00,0.00,75.00,0.00,90.20,653.15,18.94,0.00,320.00,0.00,0.00,71.76,104.74,271.27,0.00,0.00,0.00,0.00,0.00,0.00,341.56,0.00,0.00,20.73,92.00,118.13,123.67,418.77,136.88,20.56,42.39,26.39,45.22,98.34,0.00,0.00,0.00,0.00,0.00,31.12,8.87,0.00,0.00,0.00,0.00,0.00,0.00,54.06,0.00,22.58,46.37,36.72,6.62,5.38,0.00,0.00,0.00,0.00,16.48,0.00,2.32,5.12,0.00,0.00,0.00,0.00,980.00,0.00,0.57,1.78,7.31,0.00,200.00,2.23,1.84,8.40,23.89,45.48,57.81,19.26,19.27,300.00,300.00,100.00,200.00,140.62,15.31,42.86,42.86,0.00,0.00,0.00,11.86,25.30,25.08,300.00,300.00,200.00,200.00
21:30-21:45,82DC2023/11/19,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,270.60,0.00,42.00,265.00,0.00,0.00,75.00,0.00,90.20,653.15,18.94,0.00,320.00,0.00,0.00,71.76,104.74,271.27,0.00,0.00,0.00,0.00,0.00,0.00,341.56,0.00,0.00,20.73,92.00,118.13,123.67,418.77,136.88,20.56,42.39,26.39,45.22,98.34,0.00,0.00,0.00,0.00,0.00,31.12,8.87,0.00,0.00,0.00,0.00,0.00,0.00,54.06,0.00,22.58,46.37,36.72,6.62,5.38,0.00,0.00,0.00,0.00,16.48,0.00,2.32,5.12,0.00,0.00,0.00,0.00,980.00,0.00,0.57,1.78,7.31,0.00,200.00,2.23,1.84,8.40,23.89,45.48,57.36,19.12,19.12,300.00,300.00,100.00,200.00,140.62,15.34,44.24,44.24,0.00,0.00,0.00,11.86,25.30,25.08,300.00,300.00,200.00,200.00
