Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA
23:45-24:00,58DC2022/12/19,0.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,0.00,0.00,0.00,0.00,0.00,90.20,655.27,0.00,0.00,320.00,0.00,0.00,65.81,104.75,269.49,0.00,0.00,0.00,0.00,0.00,0.00,689.37,0.00,0.00,20.73,94.39,120.66,126.48,348.98,144.14,11.10,43.53,26.96,33.08,98.34,0.00,0.00,0.00,0.00,0.00,0.00,9.06,0.00,12.00,44.03,0.00,0.00,0.00,53.65,1.14,40.00,0.00,95.88,4.42,8.07,0.00,0.00,0.00,0.00,0.00,0.00,2.79,1.15,0.00,1.41,0.00,0.00,1040.00,0.00,0.74,1.39,19.49,0.00,200.00,1.75,1.52,5.41,73.66,1.69,31.22,10.41,10.40,300.00,300.00,100.00,200.00,200.00,200.00,1.92,5.34,2.25,1.79,6.30,1.97,0.85,0.42,0.79,0.07,3.77,0.26,1.98,1.09,1.64,3.52,3.44,14.54,14.54,1.24,0.00,2.46,1.94,1.96,2.68,1.33,2.13,5.31,1.87,2.78,1.94,3.51,1.77,0.00,0.00,0.02,0.00,3.54,1.34,0.00,3.35,0.02,2.79,0.00,0.00,0.84,1.72
23:30-23:45,58DC2022/12/19,0.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,0.00,0.00,0.00,0.00,0.00,90.20,655.27,0.00,0.00,320.00,0.00,0.00,65.81,104.75,269.49,0.00,0.00,0.00,0.00,0.00,0.00,689.37,0.00,0.00,20.73,94.39,120.66,126.48,348.98,144.14,11.10,43.53,26.96,33.08,98.34,0.00,0.00,0.00,0.00,0.00,0.00,9.06,0.00,12.00,44.03,0.00,0.00,0.00,53.65,1.08,40.00,0.00,95.88,4.42,8.07,0.00,0.00,0.00,0.00,0.00,0.00,2.79,1.15,0.00,1.41,0.00,0.00,1040.00,0.00,0.74,1.39,19.46,0.00,200.00,1.75,1.52,5.41,73.66,1.69,32.77,10.92,10.93,300.00,300.00,100.00,200.00,200.00,200.00,1.92,5.34,2.25,1.79,6.30,1.97,0.85,0.64,0.79,0.07,3.77,0.26,1.98,1.09,1.64,3.52,3.55,15.35,15.35,1.24,0.00,2.46,1.94,1.96,2.68,1.33,2.13,5.31,1.87,2.78,1.94,3.51,1.77,0.00,0.00,0.02,0.00,3.54,1.34,0.00,3.35,0.02,2.79,0.00,0.00,0.84,1.72
23:15-23:30,58DC2022/12/19,0.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,0.00,0.00,0.00,0.00,0.00,90.20,655.27,0.00,0.00,320.00,0.00,0.00,65.81,104.75,269.49,0.00,0.00,0.00,0.00,0.00,0.00,689.37,0.00,0.00,20.73,94.39,120.66,126.48,348.98,144.14,11.10,43.53,26.96,33.39,98.34,0.00,0.00,0.00,0.00,0.00,0.00,9.06,0.00,12.00,44.03,0.00,0.00,0.00,53.65,1.00,40.00,0.00,95.88,6.62,8.07,0.00,0.00,0.00,0.00,0.00,0.00,2.79,1.15,6.55,1.41,0.00,0.00,1040.00,0.00,0.74,1.39,19.39,0.00,200.00,1.75,1.52,5.41,73.66,1.69,33.23,11.08,11.07,300.00,300.00,100.00,200.00,200.00,200.00,1.92,5.34,2.25,1.79,6.30,1.97,0.86,0.71,0.77,0.07,3.77,0.26,1.98,1.09,1.64,3.52,3.63,15.81,15.81,1.24,0.00,2.45,1.94,1.96,2.68,1.33,2.13,5.31,1.87,2.78,1.94,3.51,1.77,0.00,0.00,0.02,0.00,3.54,1.34,0.00,3.35,0.02,2.79,0.00,0.00,0.84,1.72
23:00-23:15,58DC2022/12/19,0.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,0.00,0.00,0.00,0.00,0.00,90.20,655.27,0.00,0.00,320.00,0.00,0.00,65.81,104.75,269.49,0.00,0.00,0.00,0.00,0.00,0.00,689.37,0.00,0.00,20.73,94.39,120.66,126.48,348.98,144.14,11.10,43.53,26.96,33.39,98.34,0.00,0.00,0.00,0.00,0.00,0.00,9.06,0.00,12.00,44.03,0.00,0.00,0.00,53.65,0.86,40.00,0.00,95.88,6.62,8.07,0.00,0.00,0.00,0.00,0.00,0.00,2.79,1.15,6.55,1.41,0.00,0.00,1040.00,0.00,0.74,1.39,19.31,0.00,200.00,1.75,1.52,5.41,73.66,1.69,32.16,10.72,10.72,300.00,300.00,100.00,200.00,200.00,200.00,1.92,5.34,2.25,1.79,6.30,1.97,0.86,0.78,0.77,0.07,3.77,0.26,1.98,1.09,1.64,3.52,3.82,16.27,16.27,1.24,0.00,2.45,1.94,1.96,2.68,1.33,2.13,5.31,1.87,2.78,1.94,3.51,1.77,0.00,0.00,0.02,0.00,3.54,1.34,0.00,3.35,0.02,2.79,0.00,0.00,0.84,1.72
22:45-23:00,58DC2022/12/19,0.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,0.00,0.00,0.00,0.00,0.00,90.20,655.27,0.00,0.00,320.00,0.00,0.00,65.81,104.75,269.49,0.00,0.00,0.00,0.00,0.00,0.00,689.37,0.00,0.00,20.73,94.39,120.66,126.48,348.98,144.14,11.10,43.53,26.96,33.39,98.34,0.00,0.00,0.00,0.00,0.00,0.00,9.06,0.00,12.00,44.03,0.00,0.00,0.00,53.65,0.71,40.00,0.00,95.88,8.83,8.07,0.00,0.00,0.00,0.00,0.00,0.00,2.79,1.15,6.55,1.41,0.00,0.00,1040.00,0.00,0.74,1.39,19.18,0.00,200.00,1.75,1.52,5.41,73.66,1.69,31.16,10.39,10.38,300.00,300.00,100.00,200.00,200.00,200.00,1.92,5.34,2.25,1.79,6.30,1.97,0.87,0.87,0.84,0.07,3.77,0.26,1.98,1.09,1.64,3.52,3.88,16.66,16.66,1.24,0.00,2.45,1.94,1.96,2.68,1.33,2.13,5.31,1.87,2.78,1.94,3.51,1.77,0.00,0.00,0.02,0.00,3.54,1.34,0.00,3.35,0.02,2.79,0.00,0.00,0.84,1.72
22:30-22:45,58DC2022/12/19,0.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,0.00,0.00,0.00,0.00,0.00,90.20,655.27,0.00,0.00,320.00,0.00,0.00,65.81,104.75,269.49,0.00,0.00,0.00,0.00,0.00,0.00,689.37,0.00,0.00,20.73,94.39,120.66,126.48,348.98,144.14,11.10,43.53,26.96,33.39,98.34,0.00,0.00,0.00,0.00,0.00,0.00,9.06,0.00,12.00,44.03,0.00,0.00,0.00,53.65,0.55,40.00,0.00,95.88,8.83,8.07,0.00,0.00,0.00,0.00,0.00,0.00,2.79,1.15,6.55,1.41,0.00,0.00,1040.00,0.00,0.74,1.39,27.31,0.00,200.00,1.75,1.52,5.41,73.66,1.69,30.77,10.26,10.25,300.00,300.00,100.00,200.00,200.00,200.00,1.92,5.34,2.25,1.79,6.30,1.97,0.90,0.88,0.84,0.07,3.77,0.26,1.98,1.09,1.64,3.52,5.20,16.71,16.71,1.24,0.00,2.45,1.94,1.96,2.68,1.33,2.13,5.31,1.87,2.78,1.94,3.51,1.77,0.00,0.00,0.02,0.00,3.54,1.34,0.00,3.35,0.02,2.79,0.00,0.00,0.84,1.72
22:15-22:30,58DC2022/12/19,0.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,0.00,0.00,0.00,0.00,0.00,90.20,655.27,0.00,0.00,320.00,0.00,0.00,65.81,104.75,269.49,0.00,0.00,0.00,0.00,0.00,0.00,689.37,0.00,0.00,20.73,94.39,120.66,126.48,348.98,144.14,11.10,43.53,26.96,33.39,98.34,0.00,0.00,0.00,0.00,0.00,16.06,9.06,0.00,12.00,44.03,0.00,0.00,0.00,53.65,0.38,40.00,0.00,95.88,8.83,8.07,0.00,0.00,0.00,0.00,0.00,0.00,2.79,1.79,6.55,1.41,0.00,0.00,1040.00,0.00,0.74,1.39,25.79,0.00,200.00,1.75,1.52,5.41,73.66,1.69,30.08,10.03,10.03,300.00,300.00,100.00,200.00,200.00,200.00,1.92,5.34,2.25,1.79,6.30,1.97,0.90,0.88,0.84,0.08,3.77,0.26,1.98,1.09,1.64,3.52,5.15,17.52,17.52,1.24,0.00,2.45,1.94,1.96,2.68,1.33,2.13,5.31,1.87,2.74,1.94,3.51,1.77,0.00,0.00,0.02,0.00,3.54,1.34,0.00,3.35,0.02,2.79,0.00,0.00,0.84,1.72
22:00-22:15,58DC2022/12/19,0.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,0.00,0.00,0.00,0.00,0.00,90.20,655.27,0.00,0.00,320.00,0.00,0.00,65.81,104.75,269.49,0.00,0.00,0.00,0.00,0.00,0.00,689.37,0.00,0.00,20.73,94.39,120.66,126.48,348.98,144.14,11.10,43.53,26.96,33.39,98.34,0.00,0.00,0.00,0.00,0.00,16.06,9.06,0.00,12.00,44.03,0.00,0.00,0.00,53.65,0.19,40.00,0.00,95.88,8.83,8.07,0.00,0.00,0.00,0.00,0.00,0.00,2.79,1.79,6.55,1.41,0.00,0.00,1040.00,0.00,0.74,1.39,23.81,0.00,200.00,1.75,1.52,5.41,73.66,1.69,30.11,10.04,10.04,300.00,300.00,100.00,200.00,200.00,200.00,1.92,5.34,2.25,1.79,6.30,1.97,0.90,0.88,0.84,0.08,3.77,0.26,1.98,1.09,1.64,3.52,5.08,25.42,25.42,1.24,0.00,2.45,1.94,1.96,2.68,1.33,2.13,5.31,1.87,2.74,1.94,3.51,1.77,0.00,0.00,0.02,0.00,3.54,1.34,0.00,3.35,0.02,2.79,0.00,0.00,0.84,1.72
21:45-22:00,58DC2022/12/19,0.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,0.00,0.00,0.00,0.00,0.00,90.20,655.27,0.00,0.00,320.00,0.00,0.00,65.81,104.75,269.49,0.00,0.00,0.00,0.00,0.00,0.00,689.37,0.00,0.00,20.73,94.39,120.66,126.48,348.98,144.14,11.10,43.53,26.96,33.39,98.34,0.00,0.00,0.00,0.00,0.00,16.06,18.13,0.00,12.00,44.03,0.00,0.00,0.00,53.65,0.01,40.00,0.00,95.88,8.83,8.07,0.00,0.00,0.00,0.00,0.00,0.00,2.79,1.79,0.00,1.41,0.00,0.00,1040.00,0.00,0.74,1.39,22.07,0.00,200.00,1.75,1.52,5.41,73.66,1.69,30.74,10.25,10.24,300.00,300.00,100.00,200.00,200.00,200.00,1.92,5.34,2.25,1.79,6.30,1.97,0.86,0.86,0.97,0.08,3.77,0.26,1.98,1.09,1.64,3.52,5.05,25.99,25.99,1.24,0.00,2.45,1.94,1.96,2.68,1.33,2.13,5.31,1.87,2.74,1.94,3.51,1.77,0.00,0.00,0.02,0.00,3.54,1.34,0.00,3.35,0.02,2.79,0.00,0.00,0.84,1.72
21:30-21:45,58DC2022/12/19,0.00,220.00,0.00,0.00,0.00,0.00,0.00,0.00,270.60,0.00,84.00,0.00,0.00,0.00,0.00,0.00,90.20,655.27,0.00,0.00,320.00,0.00,0.00,65.81,104.75,269.49,0.00,0.00,0.00,0.00,0.00,0.00,689.37,0.00,0.00,20.73,94.39,120.66,126.48,348.98,144.14,11.10,43.53,26.96,33.39,98.34,0.00,0.00,0.00,0.00,0.00,16.06,18.13,0.00,12.00,44.03,0.00,0.00,0.00,53.65,0.00,40.00,0.00,95.88,8.83,8.07,0.00,0.00,0.00,0.00,0.00,0.00,2.79,1.79,0.00,1.41,0.00,0.00,1040.00,0.00,0.74,1.39,20.37,0.00,200.00,1.75,1.52,5.41,73.66,1.69,30.13,10.04,10.05,300.00,300.00,100.00,200.00,200.00,200.00,1.92,5.34,2.25,1.79,6.30,1.97,0.86,0.86,0.97,0.08,3.77,0.26,1.98,1.09,1.64,3.52,5.00,26.09,26.09,1.24,0.00,2.45,1.94,1.96,2.68,1.33,2.13,5.31,1.87,2.74,1.94,3.51,1.77,0.00,0.00,0.02,0.00,3.54,1.34,0.00,3.35,0.02,2.79,0.00,0.00,0.84,1.72
