Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL
23:45-24:00,47DC2023/02/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,84.00,320.00,0.00,0.00,0.00,0.00,80.00,437.60,0.00,0.00,320.00,0.00,0.00,94.47,77.79,133.87,0.00,0.00,0.00,0.00,0.00,0.00,687.84,0.00,0.00,20.73,92.92,119.16,62.40,279.18,119.32,14.35,29.97,18.11,34.80,147.52,0.00,46.25,22.62,2.29,0.00,0.00,8.33,16.35,0.00,42.81,0.00,0.00,0.00,26.04,0.00,0.00,15.04,93.73,36.43,30.94,0.00,0.00,0.00,0.00,0.00,0.00,12.78,3.84,6.55,0.38,0.00,0.00,360.00,460.00,0.88,1.40,19.25,0.00,200.00,1.34,1.38,0.00,0.00,0.00,47.83,15.94,15.95,300.00,300.00,100.00,200.00,200.00,200.00,1.92,7.87,3.00,1.14,9.44,1.68,0.83,1.25,1.92,0.18,3.77,0.00,2.03,2.19,1.64,3.52,11.56,44.22,44.22,1.00,0.00,1.96,1.94,0.98,2.68,1.33,4.26,5.31,0.94,2.69,1.94,3.51,3.54,0.00,0.02,0.02,0.00,1.77,1.34,0.00,4.29,0.00,2.79,0.00,0.00,0.84,2.74,8.00
23:30-23:45,47DC2023/02/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,84.00,320.00,0.00,0.00,0.00,0.00,80.00,437.60,0.00,0.00,320.00,0.00,0.00,94.47,77.79,133.87,0.00,0.00,0.00,0.00,0.00,0.00,687.84,0.00,0.00,20.73,92.92,119.16,62.40,279.18,119.32,14.35,29.97,18.11,34.80,147.52,0.00,46.25,22.62,2.29,0.00,0.00,8.33,16.35,0.00,42.81,0.00,0.00,0.00,26.04,0.00,0.00,15.04,93.73,36.43,30.94,0.00,0.00,0.00,0.00,0.00,0.00,12.78,3.84,6.55,0.38,0.00,0.00,360.00,460.00,0.88,1.40,20.78,0.00,200.00,1.34,1.38,0.00,0.00,0.00,49.31,16.44,16.44,300.00,300.00,100.00,200.00,200.00,200.00,1.92,7.87,3.00,1.14,9.44,1.68,0.83,1.25,1.92,0.18,3.77,0.00,2.03,2.19,1.64,3.52,11.22,44.78,44.78,1.00,0.06,1.96,1.94,0.98,2.68,1.33,4.26,5.31,0.94,2.69,1.94,3.51,3.54,0.00,0.02,0.02,0.00,1.77,1.34,0.00,4.29,0.00,2.79,0.00,0.00,0.84,2.74,12.00
23:15-23:30,47DC2023/02/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,84.00,320.00,0.00,0.00,0.00,0.00,80.00,437.60,0.00,0.00,320.00,0.00,0.00,115.25,77.79,133.87,0.00,0.00,0.00,0.00,0.00,0.00,687.84,0.00,0.00,20.73,92.92,119.16,62.40,279.18,119.32,14.35,29.97,18.11,34.80,147.52,0.00,46.25,22.62,2.29,0.00,0.00,8.33,16.35,0.00,42.81,0.00,0.00,0.00,26.04,0.00,0.00,15.04,93.73,36.43,30.94,0.00,0.00,0.00,0.00,0.00,0.00,12.78,3.84,6.55,0.38,0.00,0.00,360.00,460.00,0.88,1.40,22.31,0.00,200.00,1.34,1.38,0.00,0.00,0.00,50.72,16.91,16.91,300.00,300.00,100.00,200.00,200.00,200.00,1.92,7.87,3.00,1.14,9.44,1.68,0.83,1.25,1.92,0.18,3.77,0.00,2.03,2.19,1.64,3.52,10.88,45.07,45.07,1.00,0.50,1.96,1.94,0.98,2.68,1.33,4.26,5.31,0.94,2.69,1.94,3.51,3.54,0.00,0.02,0.02,0.00,1.77,1.34,0.00,4.29,0.00,2.79,0.00,0.00,0.84,2.74,12.00
23:00-23:15,47DC2023/02/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,84.00,320.00,0.00,0.00,0.00,0.00,80.00,437.60,0.00,0.00,320.00,0.00,0.00,115.25,77.79,133.87,0.00,0.00,0.00,0.00,0.00,0.00,687.84,0.00,0.00,20.73,92.92,119.16,62.40,279.18,119.32,14.35,29.97,18.11,34.80,147.52,0.00,46.25,22.62,2.29,0.00,0.00,8.33,16.35,0.00,42.81,0.00,0.00,0.00,26.04,0.00,0.00,15.04,93.73,36.43,30.94,0.00,0.00,0.00,0.00,0.00,0.00,12.78,3.84,6.55,0.38,0.00,0.00,360.00,460.00,0.88,1.40,23.94,0.00,200.00,1.34,1.38,0.00,0.00,0.00,52.51,17.50,17.50,300.00,300.00,100.00,200.00,200.00,200.00,1.92,7.87,3.00,1.14,9.44,1.68,0.83,1.25,1.92,0.18,3.77,0.00,2.03,2.19,1.64,3.52,10.55,45.21,45.21,1.00,0.50,1.96,1.94,0.98,2.68,1.33,4.26,5.31,0.94,2.69,1.94,3.51,3.54,0.00,0.02,0.02,0.00,1.77,1.34,0.00,4.29,0.00,2.79,0.00,0.00,0.84,2.74,12.00
22:45-23:00,47DC2023/02/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,84.00,320.00,0.00,0.00,0.00,0.00,80.00,437.60,0.00,0.00,320.00,0.00,0.00,115.25,77.79,133.87,0.00,0.00,0.00,0.00,0.00,0.00,687.84,0.00,0.00,20.73,92.92,119.16,62.40,279.18,119.32,14.35,29.97,18.11,34.80,147.52,0.00,46.25,22.62,2.29,0.00,0.00,8.33,16.35,0.00,42.81,0.00,0.00,0.00,26.04,0.00,0.00,15.04,93.73,36.43,30.94,0.00,0.00,0.00,0.00,0.00,0.00,12.78,1.54,6.55,0.38,0.00,0.00,360.00,460.00,0.88,1.47,25.74,0.00,200.00,1.34,1.38,0.00,0.00,0.00,53.90,17.97,17.96,300.00,300.00,100.00,200.00,200.00,200.00,1.92,7.79,3.00,1.14,9.44,1.68,0.83,1.25,1.92,0.18,3.77,0.00,2.03,2.19,1.64,3.52,8.20,45.55,45.55,1.00,0.50,1.96,1.94,0.98,2.68,1.33,4.26,5.31,0.94,2.69,1.94,3.51,3.54,0.00,0.02,0.02,0.00,1.77,1.34,0.00,4.29,0.00,2.79,0.00,0.00,0.84,2.74,5.00
22:30-22:45,47DC2023/02/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,84.00,320.00,0.00,0.00,0.00,0.00,80.00,437.60,0.00,0.00,320.00,0.00,0.00,115.25,77.79,133.87,0.00,0.00,0.00,0.00,0.00,0.00,687.84,0.00,0.00,20.73,92.92,119.16,62.40,279.18,119.32,14.35,29.97,18.11,34.80,147.52,0.00,46.25,22.62,2.29,0.00,0.00,8.53,16.35,0.00,42.81,0.00,0.00,0.00,26.04,0.00,0.00,15.04,93.73,36.43,30.94,7.11,3.47,10.03,0.00,0.00,0.00,12.78,1.54,6.55,0.38,0.00,0.00,360.00,460.00,0.88,1.47,27.65,0.00,200.00,1.34,1.38,0.00,0.00,0.00,48.38,16.12,16.13,300.00,300.00,100.00,200.00,200.00,200.00,1.92,7.79,3.00,1.14,9.44,1.68,0.85,1.28,1.92,0.18,3.77,0.00,2.03,2.19,1.64,3.52,7.96,45.21,45.21,1.00,0.50,1.96,1.94,0.98,2.68,1.33,4.26,5.31,0.94,2.69,1.94,3.51,3.54,0.00,0.02,0.02,0.00,1.77,1.34,0.00,4.29,0.00,2.79,0.00,0.00,0.84,2.74,5.00
22:15-22:30,47DC2023/02/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,84.00,320.00,0.00,0.00,0.00,0.00,80.00,437.60,0.00,0.00,320.00,0.00,0.00,115.25,77.79,133.87,0.00,0.00,0.00,0.00,0.00,0.00,687.84,0.00,0.00,20.73,92.92,119.16,62.40,279.18,119.32,14.35,29.97,18.11,34.80,147.52,0.00,46.25,22.62,2.29,0.00,0.00,8.53,16.35,0.00,42.81,0.00,0.00,0.00,26.04,0.00,0.00,15.04,93.73,36.43,30.94,20.94,13.60,20.07,0.00,0.00,0.00,12.78,1.54,6.55,0.38,0.00,0.00,360.00,460.00,0.88,1.47,18.25,0.00,200.00,1.34,1.38,0.00,0.00,0.00,47.39,15.80,15.79,300.00,300.00,100.00,200.00,200.00,200.00,1.92,7.79,3.00,1.14,9.44,1.68,0.85,1.28,1.92,0.18,3.77,0.00,2.03,2.19,1.64,3.52,7.65,33.05,33.05,1.00,0.50,1.94,1.94,0.98,2.68,1.33,4.26,5.31,0.94,2.69,1.94,3.51,3.54,0.00,0.02,0.02,0.00,1.77,1.34,0.00,4.29,0.00,2.79,0.00,0.00,0.84,2.74,5.00
22:00-22:15,47DC2023/02/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,84.00,320.00,0.00,0.00,0.00,0.00,80.00,437.60,0.00,0.00,320.00,0.00,0.00,115.25,77.79,133.87,0.00,0.00,0.00,0.00,0.00,0.00,687.84,0.00,0.00,20.73,92.92,119.16,62.40,279.18,119.32,14.35,29.97,18.11,34.80,147.52,0.00,46.25,22.62,2.29,0.00,0.00,8.53,16.35,0.00,42.81,0.00,0.00,0.00,26.04,0.00,0.00,15.04,93.73,36.43,30.94,28.05,13.60,20.07,0.00,0.00,0.00,12.78,1.54,6.55,0.38,0.00,0.00,360.00,460.00,0.88,1.47,19.24,0.00,200.00,1.34,1.38,0.00,0.00,0.00,46.42,15.47,15.48,300.00,300.00,100.00,200.00,200.00,200.00,1.92,7.79,3.00,1.14,9.44,1.68,0.85,1.28,1.92,0.18,3.77,0.00,2.03,2.19,1.64,3.52,7.23,32.61,32.61,1.00,0.50,1.94,1.94,0.98,2.68,1.33,4.26,5.31,0.94,2.69,1.94,3.51,3.54,0.00,0.02,0.02,0.00,1.77,1.34,0.00,4.29,0.00,2.79,0.00,0.00,0.84,2.74,5.00
21:45-22:00,47DC2023/02/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,84.00,320.00,0.00,0.00,0.00,0.00,80.00,437.60,0.00,0.00,320.00,0.00,0.00,115.25,77.79,133.87,0.00,0.00,0.00,0.00,0.00,0.00,687.84,0.00,0.00,20.73,92.92,119.16,62.40,279.18,119.32,14.35,29.97,18.11,34.80,147.52,0.00,46.25,22.62,2.29,0.00,0.00,16.66,16.35,0.00,42.81,0.00,0.00,0.00,26.04,0.00,0.00,15.04,93.73,36.43,30.94,20.94,13.60,20.07,0.00,0.00,0.00,12.78,1.54,6.55,0.38,0.00,0.00,360.00,460.00,0.88,1.47,20.04,0.00,200.00,1.34,1.45,0.00,0.00,0.00,45.34,15.11,15.12,300.00,300.00,100.00,200.00,200.00,200.00,1.92,7.79,3.00,1.14,9.44,1.68,0.83,1.25,1.92,0.18,3.77,0.00,2.03,2.19,1.64,3.52,7.28,32.10,32.10,1.00,0.50,1.94,1.94,0.98,2.68,1.33,4.26,5.31,0.94,2.69,1.94,3.51,3.54,0.00,0.02,0.02,0.00,1.77,1.34,0.00,4.29,0.00,2.79,0.00,0.00,0.84,2.74,7.00
21:30-21:45,47DC2023/02/22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.30,0.00,84.00,320.00,0.00,0.00,0.00,0.00,80.00,437.60,0.00,0.00,320.00,0.00,0.00,115.25,77.79,133.87,0.00,0.00,0.00,0.00,0.00,0.00,687.84,0.00,0.00,20.73,92.92,119.16,62.40,279.18,119.32,14.35,29.97,18.11,34.80,147.52,0.00,46.25,22.62,2.29,0.00,0.00,16.66,16.35,0.00,42.81,0.00,0.00,0.00,26.04,0.00,0.00,15.04,93.73,36.43,30.94,13.98,13.60,20.07,0.00,0.00,0.00,12.78,1.54,6.55,0.38,0.00,0.00,360.00,460.00,0.55,1.47,20.84,0.00,200.00,1.34,1.45,0.00,0.00,0.00,43.84,14.61,14.62,300.00,300.00,100.00,200.00,200.00,200.00,1.92,7.79,3.00,1.14,9.44,1.68,0.83,1.25,1.92,0.18,3.77,0.00,2.03,2.19,1.64,3.52,7.21,32.36,32.36,1.00,0.50,1.94,1.94,0.98,2.68,1.33,4.26,5.31,0.94,2.69,1.94,3.51,3.54,0.00,0.02,0.02,0.00,1.77,1.34,0.00,4.29,0.00,2.79,0.00,0.00,0.84,2.74,7.00
