Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,TEHRIPSP,TEHRIPSP_P
00:00-00:15,60DC2025/08/27,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,0.00,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,48.09,125.27,130.84,360.00,113.75,21.65,44.52,27.38,45.53,148.30,0.00,52.09,81.18,105.40,8.63,82.36,45.08,15.47,0.00,24.11,0.00,0.00,0.00,65.60,13.08,0.00,0.00,0.00,2.21,37.41,14.05,0.00,0.00,42.46,0.00,0.00,0.00,11.06,0.00,2.87,0.00,0.00,0.00,0.00,0.00,200.00,42.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,37.50,12.50,12.50,300.00,300.00,100.00,200.00,0.00,12.33,33.34,33.33,5.73,6.97,0.00,13.15,25.15,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.66,192.57,416.00
00:15-00:30,60DC2025/08/27,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,0.00,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,48.09,125.27,130.84,360.00,113.75,21.65,44.52,27.38,45.53,148.30,0.00,52.09,81.18,105.40,8.63,82.36,45.08,15.47,0.00,24.11,0.00,0.00,0.00,65.60,13.11,0.00,0.00,0.00,2.21,37.41,14.05,0.00,0.00,42.46,0.00,0.00,0.00,11.06,0.00,2.87,0.00,0.00,0.00,0.00,0.00,200.00,42.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,37.99,12.67,12.67,300.00,300.00,100.00,200.00,0.00,12.67,33.34,33.33,5.73,6.97,0.00,13.15,25.15,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.66,192.57,416.00
00:30-00:45,60DC2025/08/27,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,0.00,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,48.09,125.27,130.84,360.00,113.75,21.65,44.52,27.38,45.53,148.30,0.00,52.09,81.18,105.40,8.63,82.36,45.08,15.47,0.00,24.11,0.00,0.00,0.00,65.60,13.15,0.00,0.00,0.00,2.21,37.41,14.05,0.00,0.00,42.46,0.00,0.00,0.00,11.06,0.00,2.87,0.00,0.00,0.00,0.00,0.00,200.00,42.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,39.00,13.00,13.00,300.00,300.00,100.00,200.00,0.00,13.00,33.34,33.33,5.73,6.97,0.00,13.15,25.15,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.66,192.57,416.00
00:45-01:00,60DC2025/08/27,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,0.00,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,48.09,125.27,130.84,360.00,113.75,21.65,44.52,27.38,45.53,148.30,0.00,52.09,81.18,105.40,8.63,82.36,45.08,15.47,0.00,24.11,0.00,0.00,0.00,65.60,13.17,0.00,0.00,0.00,2.21,37.41,14.05,0.00,0.00,42.46,0.00,0.00,0.00,11.06,0.00,2.87,0.00,0.00,0.00,0.00,0.00,200.00,42.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,40.01,13.33,13.33,300.00,300.00,100.00,200.00,0.00,13.00,34.00,34.00,5.73,6.97,0.00,13.15,25.15,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.66,192.57,416.00
01:00-01:15,60DC2025/08/27,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,0.00,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,48.09,125.27,130.84,360.00,113.75,21.65,44.52,27.38,45.53,148.30,0.00,52.34,81.18,105.40,8.63,82.36,45.08,15.47,0.00,24.11,0.00,0.00,0.00,65.60,13.20,0.00,0.00,0.00,2.21,37.41,14.05,0.00,0.00,42.46,0.00,0.00,0.00,11.06,0.00,2.87,0.00,0.00,0.00,0.00,0.00,200.00,42.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,40.99,13.67,13.67,300.00,300.00,100.00,200.00,0.00,13.00,34.34,34.33,5.73,6.97,0.00,13.15,25.15,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.66,192.57,416.00
01:15-01:30,60DC2025/08/27,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,0.00,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,48.09,125.27,130.84,360.00,113.75,21.65,44.52,27.38,45.53,148.30,0.00,52.34,81.18,105.40,8.63,82.36,45.08,15.47,0.00,24.11,0.00,0.00,0.00,65.60,13.26,0.00,0.00,0.00,2.21,37.41,14.05,0.00,0.00,42.46,0.00,0.00,0.00,11.06,0.00,2.87,0.00,0.00,0.00,0.00,0.00,200.00,42.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,42.00,14.00,14.00,300.00,300.00,100.00,200.00,0.00,12.67,34.00,34.00,5.73,6.97,0.00,13.15,25.15,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.66,192.57,416.00
01:30-01:45,60DC2025/08/27,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,0.00,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,48.09,125.27,130.84,360.00,113.75,21.65,44.52,27.38,45.53,148.30,0.00,52.34,81.18,105.40,8.63,82.36,45.08,15.47,0.00,24.11,0.00,0.00,0.00,65.60,18.82,0.00,0.00,0.00,5.52,37.41,14.05,0.00,0.00,42.46,0.00,0.00,0.00,11.06,0.00,2.87,0.00,0.00,0.00,0.00,0.00,200.00,42.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,41.51,13.83,13.83,300.00,300.00,100.00,200.00,0.00,12.33,33.34,33.33,5.73,6.97,0.00,13.15,25.15,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.66,192.57,416.00
01:45-02:00,60DC2025/08/27,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,0.00,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,48.09,125.27,130.84,360.00,113.75,21.65,44.52,27.38,45.53,148.30,0.00,52.34,81.18,105.40,8.63,82.36,45.08,15.47,0.00,24.11,0.00,0.00,0.00,65.60,18.84,0.00,0.00,0.00,5.52,37.41,14.05,0.00,0.00,42.46,0.00,0.00,0.00,11.06,0.00,2.87,0.00,0.00,0.00,0.00,0.00,200.00,42.01,0.00,200.00,20.00,100.00,0.00,0.00,0.00,40.01,13.33,13.33,300.00,300.00,100.00,200.00,0.00,12.00,33.00,33.00,5.73,6.97,0.00,13.15,25.15,100.00,300.00,300.00,200.00,200.00,18.70,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.66,192.57,416.00
02:00-02:15,60DC2025/08/27,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,0.00,0.00,0.00,0.00,0.00,70.17,104.18,270.59,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,48.09,125.27,130.84,337.50,113.75,21.65,44.52,27.38,45.53,148.30,0.00,52.60,81.18,105.40,8.63,82.36,45.08,15.47,0.00,24.11,0.00,0.00,0.00,65.60,19.23,0.00,0.00,0.00,8.28,37.41,14.05,0.00,0.00,42.46,0.00,0.00,0.00,11.06,0.00,2.87,0.00,0.00,0.00,0.00,0.00,200.00,42.02,0.00,200.00,20.00,100.00,0.00,0.00,0.00,37.50,12.50,12.50,300.00,300.00,100.00,200.00,0.00,9.33,32.00,32.00,5.73,6.97,0.00,13.15,25.15,100.00,300.00,300.00,200.00,200.00,18.51,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.66,192.57,416.00
02:15-02:30,60DC2025/08/27,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,270.60,0.00,0.00,290.00,0.00,0.00,0.00,0.00,90.20,667.27,0.00,0.00,0.00,0.00,0.00,70.17,104.18,265.08,0.00,0.00,0.00,0.00,0.00,0.00,689.39,0.00,0.00,20.80,48.09,125.27,130.84,315.00,113.75,21.65,44.52,27.38,45.53,148.30,0.00,52.60,81.18,105.40,8.63,82.36,45.08,15.47,0.00,24.11,0.00,0.00,0.00,65.60,19.29,0.00,0.00,0.00,8.28,37.41,14.05,0.00,0.00,42.46,0.00,0.00,0.00,11.06,0.00,2.87,0.00,0.00,0.00,0.00,0.00,200.00,42.02,0.00,200.00,20.00,100.00,0.00,0.00,0.00,34.99,11.67,11.67,300.00,300.00,100.00,200.00,0.00,8.33,31.00,31.00,5.73,6.97,0.00,13.15,25.15,100.00,300.00,300.00,200.00,200.00,18.51,100.00,100.00,100.00,0.00,14.08,8.85,6.13,38.66,192.57,416.00
