Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,80.85,62.56,6.74,-50.00,0.00,77.00
00:15 - 00:30,70.26,59.68,6.26,-50.00,0.00,76.99
00:30 - 00:45,9.63,53.90,5.97,-50.00,0.00,96.24
00:45 - 01:00,-40.00,49.09,5.49,-50.00,0.00,96.24
01:00 - 01:15,-46.00,25.99,5.29,-50.00,0.00,115.50
01:15 - 01:30,0.00,30.80,5.10,-50.00,0.00,115.50
01:30 - 01:45,-12.00,72.19,4.91,-50.00,0.00,173.25
01:45 - 02:00,0.00,102.99,4.62,-50.00,0.00,163.62
02:00 - 02:15,22.14,100.10,4.33,-51.00,0.00,96.25
02:15 - 02:30,76.04,78.93,4.04,-53.00,0.00,81.81
02:30 - 02:45,80.85,62.56,3.56,-62.00,0.00,81.82
02:45 - 03:00,39.46,62.56,3.18,-62.00,0.00,77.00
03:00 - 03:15,66.41,67.38,2.89,-61.00,0.00,91.43
03:15 - 03:30,39.46,66.41,2.60,-60.00,0.00,91.44
03:30 - 03:45,68.34,57.75,2.12,-58.00,0.00,93.36
03:45 - 04:00,61.60,57.75,1.64,-59.00,0.00,90.47
04:00 - 04:15,132.83,38.50,1.25,-58.00,0.00,34.65
04:15 - 04:30,111.65,38.50,1.25,-59.00,0.00,27.91
04:30 - 04:45,91.44,38.50,1.25,-61.00,0.00,18.29
04:45 - 05:00,72.19,38.50,1.25,-63.00,0.00,3.85
05:00 - 05:15,96.25,34.65,1.25,-62.00,0.00,-15.00
05:15 - 05:30,132.83,38.50,1.25,-60.00,0.00,-6.00
05:30 - 05:45,141.48,48.13,2.12,-57.00,0.00,-7.00
05:45 - 06:00,132.82,43.31,3.37,-57.00,0.00,2.89
