Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,0.00,0.00,7.39,0.00,0.00,-10.00
00:15 - 00:30,0.00,0.00,7.00,0.00,0.00,-14.00
00:30 - 00:45,0.00,0.00,6.72,0.00,0.00,-19.00
00:45 - 01:00,0.00,0.00,6.52,0.00,0.00,-23.00
01:00 - 01:15,0.00,-8.00,6.43,0.00,0.00,-56.00
01:15 - 01:30,0.00,-10.00,6.33,0.00,0.00,-69.00
01:30 - 01:45,0.00,0.00,6.33,0.00,0.00,-86.00
01:45 - 02:00,0.00,0.00,6.33,0.00,0.00,-87.00
02:00 - 02:15,0.00,0.00,6.24,0.00,0.00,-63.00
02:15 - 02:30,0.00,0.00,6.14,0.00,0.00,-63.00
02:30 - 02:45,0.00,0.00,6.14,0.00,0.00,-64.00
02:45 - 03:00,0.00,0.00,6.04,0.00,0.00,-65.00
03:00 - 03:15,-2.00,0.00,6.04,0.00,0.00,-75.00
03:15 - 03:30,-45.00,0.00,5.95,0.00,0.00,-77.00
03:30 - 03:45,-12.00,0.00,5.95,0.00,0.00,-74.00
03:45 - 04:00,-8.00,0.00,5.95,0.00,0.00,-70.00
04:00 - 04:15,0.00,0.00,6.14,0.00,0.00,-42.00
04:15 - 04:30,28.78,0.00,6.52,0.00,0.00,-42.00
04:30 - 04:45,21.10,0.00,6.72,0.00,0.00,-35.00
04:45 - 05:00,41.25,0.00,7.48,0.00,0.00,-37.00
05:00 - 05:15,74.82,-10.00,5.28,0.00,0.00,-28.00
05:15 - 05:30,101.69,0.00,7.96,0.00,0.00,28.78
05:30 - 05:45,118.95,-7.00,0.96,0.00,0.00,28.78
05:45 - 06:00,122.79,-7.00,1.73,0.00,0.00,-34.00
06:00 - 06:15,94.97,-15.00,3.65,0.00,0.00,-22.00
06:15 - 06:30,68.11,-15.00,5.28,0.00,0.00,-39.00
06:30 - 06:45,24.95,-16.00,6.04,0.00,0.00,-97.00
06:45 - 07:00,18.23,-8.00,6.81,0.00,0.00,105.52
07:00 - 07:15,24.95,-19.00,7.48,0.00,0.00,21.10
07:15 - 07:30,41.25,-22.00,8.25,0.00,0.00,22.06
07:30 - 07:45,30.70,-34.00,9.21,0.00,0.00,21.10
07:45 - 08:00,53.72,-38.00,10.17,0.00,0.00,17.27
08:00 - 08:15,54.68,-43.00,11.51,0.00,0.00,50.84
08:15 - 08:30,75.78,-25.00,11.90,0.00,0.00,58.52
08:30 - 08:45,90.18,-37.00,21.10,0.00,0.00,45.09
08:45 - 09:00,81.54,-42.00,20.82,0.00,0.00,42.21
