Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),East_Delhi_Waste_Processing_Company_Limited_(EDWPCL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-107.00,14.45,-1.50,9.64,-10.00,0.00,0.00
00:15 - 00:30,-40.00,11.56,-1.50,9.44,-10.00,0.00,33.74
00:30 - 00:45,77.10,0.00,-1.50,9.25,-15.00,0.00,33.73
00:45 - 01:00,0.00,0.00,-1.50,9.16,-15.00,0.00,33.72
01:00 - 01:15,23.13,-2.00,-1.50,9.06,-16.00,0.00,-29.00
01:15 - 01:30,4.82,-6.00,-1.50,8.96,-16.00,0.00,-30.00
01:30 - 01:45,-26.00,-17.00,-1.50,8.87,-16.00,0.00,-30.00
01:45 - 02:00,48.18,-13.00,-1.50,8.77,-16.00,0.00,-29.00
02:00 - 02:15,106.98,-27.00,-1.50,8.67,-16.00,0.00,11.56
02:15 - 02:30,108.90,-7.00,-1.50,8.67,-16.00,0.00,13.49
02:30 - 02:45,108.90,0.00,-1.50,8.67,-16.00,0.00,14.46
02:45 - 03:00,69.39,0.00,-1.50,8.67,-16.00,0.00,13.49
03:00 - 03:15,63.60,0.00,-1.50,8.87,-16.00,0.00,15.42
03:15 - 03:30,52.04,0.00,-1.50,8.96,-16.00,0.00,14.46
03:30 - 03:45,14.46,0.00,-1.50,8.96,-16.00,0.00,11.56
03:45 - 04:00,14.46,0.00,-1.50,9.25,-16.00,0.00,5.78
04:00 - 04:15,22.16,0.00,-1.50,9.64,-16.00,0.00,-6.00
04:15 - 04:30,19.27,0.00,-1.50,9.83,-16.00,0.00,-6.00
04:30 - 04:45,12.52,-65.00,-1.50,10.60,-16.00,0.00,6.75
04:45 - 05:00,-48.00,-63.00,-1.50,10.98,-16.00,0.00,6.75
05:00 - 05:15,107.93,-35.00,-1.50,11.47,-16.00,0.00,-3.00
05:15 - 05:30,88.66,-65.00,-1.50,12.34,-16.00,0.00,-26.00
05:30 - 05:45,104.08,-54.00,-1.50,13.20,-16.00,0.00,-40.00
05:45 - 06:00,96.37,-33.00,-1.50,14.17,-16.00,0.00,-45.00
06:00 - 06:15,-85.00,26.98,-1.50,14.65,-16.00,0.00,-30.00
06:15 - 06:30,-120.00,16.38,-1.50,15.13,-16.00,0.00,-55.00
06:30 - 06:45,-144.00,10.60,-1.50,16.09,-16.00,0.00,-50.00
06:45 - 07:00,-119.00,17.35,-1.50,16.86,-16.00,0.00,-50.00
07:00 - 07:15,-142.00,-9.00,-1.50,17.73,-10.00,0.00,-120.00
07:15 - 07:30,-56.00,-46.00,-1.50,18.41,-10.00,0.00,-95.00
07:30 - 07:45,-145.00,-35.00,-1.50,19.56,-10.00,0.00,-60.00
07:45 - 08:00,-47.00,-18.00,-1.50,19.56,-10.00,0.00,-35.00
08:00 - 08:15,0.00,0.00,-1.50,21.39,0.00,0.00,-35.00
08:15 - 08:30,0.00,0.00,-1.50,21.68,0.00,0.00,-40.00
08:30 - 08:45,0.00,0.00,-1.50,21.49,0.00,0.00,-30.00
08:45 - 09:00,0.00,0.00,-1.50,21.01,0.00,0.00,-25.00
09:00 - 09:15,-12.00,0.00,-1.50,20.82,-18.00,0.00,-5.00
09:15 - 09:30,-7.00,0.00,-1.50,20.72,-14.00,0.00,-10.00
09:30 - 09:45,0.00,38.55,-1.50,20.53,-10.00,0.00,19.27
09:45 - 10:00,0.00,31.80,-1.50,20.43,-10.00,0.00,33.73
10:00 - 10:15,0.00,0.00,-1.00,19.66,-10.00,0.00,43.37
10:15 - 10:30,-13.00,0.00,-1.00,18.70,-10.00,0.00,45.29
10:30 - 10:45,93.48,6.75,-1.00,18.50,0.00,0.00,28.91
10:45 - 11:00,96.36,6.75,-1.00,18.12,0.00,0.00,33.73
11:00 - 11:15,71.31,0.00,-1.00,17.64,0.00,0.00,24.09
11:15 - 11:30,68.42,11.56,-1.00,17.06,0.00,0.00,33.73
11:30 - 11:45,46.26,12.53,-1.00,16.38,0.00,0.00,43.37
11:45 - 12:00,38.54,6.75,-1.00,16.19,0.00,0.00,38.55
12:00 - 12:15,60.71,6.75,-1.00,20.24,0.00,0.00,53.00
12:15 - 12:30,34.69,7.71,-1.00,20.24,0.00,0.00,48.19
12:30 - 12:45,57.83,8.67,-1.00,19.27,0.00,0.00,43.37
12:45 - 13:00,40.48,7.71,-1.00,19.27,0.00,0.00,48.18
13:00 - 13:15,-18.00,14.46,-1.00,18.31,0.00,0.00,-10.00
13:15 - 13:30,-34.00,9.64,-1.00,18.31,0.00,0.00,38.55
13:30 - 13:45,-41.00,7.71,-1.00,18.31,0.00,0.00,48.18
13:45 - 14:00,-19.00,1.93,-1.00,18.31,0.00,0.00,62.64
14:00 - 14:15,0.00,10.60,-1.00,17.35,0.00,0.00,57.82
14:15 - 14:30,0.00,8.67,-1.00,17.35,0.00,0.00,57.82
14:30 - 14:45,0.00,6.75,-1.00,17.35,0.00,0.00,43.36
14:45 - 15:00,-9.00,-2.00,-1.00,17.35,0.00,0.00,43.36
15:00 - 15:15,-50.00,0.00,-1.00,18.31,0.00,0.00,38.55
15:15 - 15:30,-23.00,-15.00,-1.00,18.31,0.00,0.00,43.37
15:30 - 15:45,20.24,-10.00,-1.00,18.31,0.00,0.00,43.36
15:45 - 16:00,36.62,-35.00,-1.00,18.31,0.00,0.00,53.00
16:00 - 16:15,-68.00,-20.00,-1.00,18.31,0.00,0.00,38.55
16:15 - 16:30,-82.00,9.64,-1.00,18.31,0.00,0.00,28.91
16:30 - 16:45,-106.00,10.60,-1.00,18.31,0.00,0.00,39.51
16:45 - 17:00,-97.00,9.64,-1.00,18.31,0.00,0.00,48.18
17:00 - 17:15,-32.00,4.82,-1.00,18.31,0.00,0.00,58.78
17:15 - 17:30,-20.00,18.31,-1.00,18.31,0.00,0.00,87.70
17:30 - 17:45,-26.00,20.24,-1.00,19.27,0.00,0.00,91.55
17:45 - 18:00,130.10,25.06,-1.00,19.27,0.00,0.00,108.90
18:00 - 18:15,25.06,41.44,-1.00,19.27,0.00,0.00,5.78
18:15 - 18:30,0.00,39.52,-1.00,19.27,0.00,0.00,-39.00
