Time Period,BSES_Rajdhani_Power_Limited_(BRPL),BSES_Yamuna_Power_Limited_(BYPL),GE_(U)_Elect_Supply_Delhi_Cantt_(MES),New_Delhi_Municipal_Council,Northern_Railway_Delhi,Pragati_CCGT_III,Tata_Power_Delhi_Distribution_Limited
00:00 - 00:15,-56.00,-83.00,5.80,-35.00,0.00,0.00,-56.00
00:15 - 00:30,-58.00,-89.00,5.80,-35.00,0.00,0.00,-42.00
00:30 - 00:45,-55.00,-65.00,5.80,-35.00,0.00,0.00,-9.00
00:45 - 01:00,-47.00,-24.00,5.32,-35.00,0.00,0.00,-16.00
01:00 - 01:15,-69.00,30.92,5.32,-51.00,0.00,0.00,-20.00
01:15 - 01:30,-64.00,51.21,5.32,-50.00,0.00,0.00,-13.00
01:30 - 01:45,-91.00,54.12,3.38,-50.00,0.00,0.00,-32.00
01:45 - 02:00,0.00,13.53,2.90,-51.00,0.00,0.00,-35.00
02:00 - 02:15,-18.00,53.15,2.42,-51.00,0.00,0.00,-32.00
02:15 - 02:30,-21.00,53.15,2.42,-51.00,0.00,0.00,-30.00
02:30 - 02:45,-27.00,50.25,2.42,-52.00,0.00,0.00,-15.00
02:45 - 03:00,-24.00,50.26,1.93,-51.00,0.00,0.00,-15.00
03:00 - 03:15,-24.00,43.49,1.93,-52.00,0.00,0.00,-31.00
03:15 - 03:30,-10.00,50.26,1.93,-52.00,0.00,0.00,-20.00
03:30 - 03:45,-25.00,55.09,1.93,-51.00,0.00,0.00,-17.00
03:45 - 04:00,-12.00,53.15,1.45,-51.00,0.00,0.00,-19.00
04:00 - 04:15,0.00,87.95,1.45,-50.00,0.00,0.00,12.56
04:15 - 04:30,0.00,83.11,0.97,-50.00,0.00,0.00,-8.00
04:30 - 04:45,-11.00,89.87,0.97,-52.00,0.00,0.00,-22.00
04:45 - 05:00,-17.00,86.97,0.97,-52.00,0.00,0.00,-26.00
05:00 - 05:15,12.56,64.75,1.45,-52.00,0.00,0.00,-15.00
05:15 - 05:30,10.63,83.11,1.45,-52.00,0.00,0.00,-16.00
05:30 - 05:45,12.56,84.08,1.45,-52.00,0.00,0.00,6.76
05:45 - 06:00,29.96,77.31,1.45,-52.00,0.00,0.00,10.63
06:00 - 06:15,43.49,64.74,1.45,-53.00,0.00,0.00,19.33
06:15 - 06:30,22.23,66.68,1.45,-53.00,1.55,0.00,33.82
06:30 - 06:45,59.92,68.61,1.45,-52.00,1.74,0.00,24.16
06:45 - 07:00,20.29,50.25,2.42,-52.00,0.00,0.00,28.03
07:00 - 07:15,60.88,71.52,3.38,-10.00,0.00,0.00,-30.00
07:15 - 07:30,56.05,13.53,4.35,-10.00,0.00,0.00,-10.00
07:30 - 07:45,68.61,43.49,5.32,-10.00,0.00,0.00,60.88
07:45 - 08:00,57.98,60.88,7.25,-10.00,0.00,0.00,65.72
08:00 - 08:15,51.22,72.47,3.87,-10.00,0.00,0.00,43.49
08:15 - 08:30,51.22,72.47,5.32,-10.00,0.00,0.00,25.13
08:30 - 08:45,20.29,54.13,6.76,-10.00,0.00,0.00,48.32
08:45 - 09:00,15.46,52.19,8.21,-10.00,0.00,0.00,41.56
09:00 - 09:15,58.95,91.81,14.01,-30.00,0.00,0.00,19.33
09:15 - 09:30,98.57,98.57,14.98,-24.00,0.00,0.00,19.33
09:30 - 09:45,37.69,79.24,15.46,0.00,0.00,0.00,67.65
09:45 - 10:00,65.72,79.25,15.46,0.00,0.00,0.00,57.98
10:00 - 10:15,51.22,67.65,13.53,0.00,0.00,0.00,5.80
10:15 - 10:30,66.68,67.65,14.01,0.00,0.00,0.00,3.87
10:30 - 10:45,112.10,101.47,14.98,0.00,0.00,0.00,-1.00
10:45 - 11:00,151.72,96.64,14.98,0.00,0.00,0.00,-17.00
11:00 - 11:15,236.77,133.36,14.98,0.00,0.00,0.00,12.56
11:15 - 11:30,256.09,129.50,14.98,0.00,0.00,0.00,24.16
11:30 - 11:45,269.61,135.30,14.50,0.00,0.00,0.00,62.82
11:45 - 12:00,284.12,137.23,15.46,0.00,0.00,0.00,72.48
12:00 - 12:15,173.95,181.69,20.29,0.00,0.00,0.00,62.82
12:15 - 12:30,181.68,188.45,20.29,0.00,0.00,0.00,91.81
12:30 - 12:45,201.01,227.11,21.26,0.00,0.00,0.00,77.31
12:45 - 13:00,224.20,235.81,21.26,0.00,0.00,0.00,77.31
13:00 - 13:15,89.88,148.82,21.26,0.00,0.00,0.00,14.50
13:15 - 13:30,111.14,134.33,21.26,0.00,0.00,0.00,12.56
13:30 - 13:45,187.48,159.46,21.26,0.00,0.00,0.00,28.99
13:45 - 14:00,226.14,148.83,21.26,0.00,0.00,0.00,28.99
14:00 - 14:15,212.61,157.52,22.23,0.00,0.00,0.00,48.32
14:15 - 14:30,214.54,166.22,22.23,0.00,0.77,0.00,48.32
14:30 - 14:45,202.94,182.65,20.78,0.00,0.00,0.00,67.65
14:45 - 15:00,162.36,168.14,20.78,0.00,0.00,0.00,67.65
15:00 - 15:15,187.48,207.78,21.26,0.00,0.00,0.00,91.81
15:15 - 15:30,187.48,202.95,21.26,0.00,0.77,0.00,77.31
15:30 - 15:45,204.88,198.11,20.29,0.00,0.00,0.00,62.82
15:45 - 16:00,191.34,191.35,19.33,0.00,0.00,0.00,53.15
16:00 - 16:15,200.04,115.97,12.56,0.00,0.00,0.00,67.65
16:15 - 16:30,193.28,120.80,11.60,0.00,0.00,0.00,28.99
16:30 - 16:45,217.44,140.13,10.63,0.00,0.00,0.00,9.66
16:45 - 17:00,207.77,140.13,11.60,0.00,0.00,0.00,4.83
17:00 - 17:15,231.94,123.70,12.56,0.00,0.00,0.00,28.99
17:15 - 17:30,275.43,127.56,10.63,0.00,0.00,0.00,0.00
17:30 - 17:45,214.54,64.75,9.66,-24.00,0.00,0.00,19.33
17:45 - 18:00,128.54,72.48,8.21,-24.00,0.00,0.00,24.16
18:00 - 18:15,176.85,28.99,5.80,-30.00,0.00,0.00,28.99
18:15 - 18:30,142.05,28.03,4.83,-86.00,0.00,0.00,33.82
18:30 - 18:45,110.17,20.29,4.35,-86.00,0.00,0.00,48.32
18:45 - 19:00,88.90,22.23,4.35,-77.00,0.00,0.00,48.32
19:00 - 19:15,55.08,36.72,4.83,-75.00,0.00,0.00,106.31
19:15 - 19:30,19.33,31.89,5.32,-80.00,0.00,0.00,67.64
19:30 - 19:45,0.00,9.66,5.32,-80.00,0.00,0.00,53.15
19:45 - 20:00,0.00,4.33,5.62,-80.00,0.00,-6.30,64.96
20:00 - 20:15,50.41,0.00,6.30,-80.00,1.18,0.00,50.42
20:15 - 20:30,68.02,0.00,6.07,-80.00,0.00,0.00,72.87
20:30 - 20:45,70.34,-6.00,6.67,-80.00,0.00,0.00,74.05
20:45 - 21:00,122.33,-18.00,6.67,-80.00,0.00,0.00,88.98
21:00 - 21:15,90.43,-11.00,5.46,-80.00,0.00,0.00,80.71
21:15 - 21:30,78.34,-18.00,4.70,-78.00,0.00,0.00,80.94
21:30 - 21:45,78.64,-9.00,3.58,-82.00,0.00,0.00,23.83
21:45 - 22:00,77.17,-10.00,3.75,-85.00,0.00,0.00,25.03
22:00 - 22:15,43.96,0.00,2.22,-69.00,0.00,0.00,13.91
22:15 - 22:30,32.83,0.00,2.20,-70.00,0.00,0.00,19.31
22:30 - 22:45,39.77,0.00,2.74,-70.00,0.00,0.00,-5.00
22:45 - 23:00,17.21,35.85,2.87,-67.00,0.00,0.00,47.70
23:00 - 23:15,170.30,51.44,4.14,-66.00,0.00,0.00,80.41
23:15 - 23:30,111.61,60.56,4.76,-66.00,0.00,0.00,68.73
23:30 - 23:45,134.60,49.60,5.51,-66.00,0.00,0.00,59.04
23:45 - 24:00,114.07,36.50,5.48,-66.00,0.00,0.00,59.32
