Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL
96,60IS2023/10/22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,211.6400,0.0000,38.0000,157.9998,0.0000,0.0000,0.0000,0.0000,74.1200,328.7900,21.0600,0.0000,270.0001,0.0000,0.0000,96.6500,101.2300,271.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.1200,0.0000,0.0000,13.7700,88.9200,54.8100,119.5200,335.9800,100.0200,10.4200,20.9000,14.1000,42.2400,95.0500,0.0000,0.0000,0.0000,0.0000,0.0000,30.0800,8.5800,0.0000,0.0000,39.8400,0.0000,0.0000,0.0000,25.3900,5.6700,0.0000,0.0000,0.0000,16.0100,18.1900,0.0000,0.0000,0.0000,1.2800,31.7400,0.0000,12.9200,7.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,2.5600,7.4100,0.0000,0.0000,3.0600,2.5300,0.0000,0.0000,0.0000,23.8200,7.9400,7.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,26.1600,26.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5001,26.1000,0.0000,0.0000
95,60IS2023/10/22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,211.6400,0.0000,38.0000,157.9998,0.0000,0.0000,0.0000,0.0000,74.1200,328.7900,21.0600,0.0000,270.0001,0.0000,0.0000,96.6500,101.2300,271.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.1200,0.0000,0.0000,13.7700,88.9200,54.8100,119.5200,335.9800,100.0200,10.4200,20.9000,14.1000,42.2400,95.0500,0.0000,0.0000,0.0000,0.0000,0.0000,30.0800,8.5800,0.0000,0.0000,39.8400,0.0000,0.0000,0.0000,25.3900,5.6700,0.0000,0.0000,0.0000,16.0100,18.1900,0.0000,0.0000,0.0000,1.2800,31.7400,0.0000,12.9200,7.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,2.5600,7.4100,0.0000,0.0000,3.0600,2.5300,0.0000,0.0000,0.0000,24.0100,8.0100,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,25.6500,25.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5001,26.1000,0.0000,0.0000
94,60IS2023/10/22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,211.6400,0.0000,38.0000,157.9998,0.0000,0.0000,0.0000,0.0000,74.1200,328.7900,21.0600,0.0000,270.0001,0.0000,0.0000,96.6500,101.2300,271.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.1200,0.0000,0.0000,13.7700,88.9200,54.8100,119.5200,335.9800,100.0200,10.4200,20.9000,14.1000,42.2400,95.0500,0.0000,0.0000,0.0000,0.0000,0.0000,30.0800,9.5300,0.0000,0.0000,39.8400,0.0000,0.0000,0.0000,25.3900,5.6700,0.0000,0.0000,0.0000,27.7400,18.1900,0.0000,0.0000,0.0000,1.2800,31.7400,0.0000,12.9200,5.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,2.5600,7.4100,0.0000,0.0000,3.0600,2.5300,0.0000,0.0000,0.0000,24.2500,8.0800,8.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,25.9100,25.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5001,26.1000,0.0000,0.0000
93,60IS2023/10/22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,211.6400,0.0000,38.0000,157.9998,0.0000,0.0000,0.0000,0.0000,74.1200,328.7900,21.0600,0.0000,270.0001,0.0000,0.0000,96.6500,101.2300,271.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.1200,0.0000,0.0000,13.7700,88.9200,54.8100,119.5200,335.9800,100.0200,10.4200,20.9000,14.1000,42.2400,95.0500,0.0000,0.0000,0.0000,0.0000,0.0000,30.0800,17.1500,0.0000,0.0000,39.8400,0.0000,0.0000,0.0000,25.3900,5.6700,0.0000,0.0000,0.0000,27.7400,18.1900,0.0000,0.0000,0.0000,1.2800,31.7400,0.0000,12.9200,5.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,2.5600,7.4100,0.0000,0.0000,3.0600,2.5300,0.0000,0.0000,0.0000,24.4500,8.1400,8.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,26.4900,26.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5001,27.0600,0.0000,0.0000
92,60IS2023/10/22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,211.6400,0.0000,38.0000,157.9998,0.0000,0.0000,0.0000,0.0000,74.1200,328.7900,21.0600,0.0000,270.0001,0.0000,0.0000,96.6500,101.2300,271.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.1200,0.0000,0.0000,13.7700,88.9200,54.8100,119.5200,335.9800,100.0200,10.4200,53.7100,14.1000,42.2400,95.0500,0.0000,0.0000,0.0000,0.0000,0.0000,30.0800,17.1500,0.0000,0.0000,39.8400,0.0000,0.0000,0.0000,25.3900,5.6700,0.0000,0.0000,0.0000,27.7400,18.1900,0.0000,0.0000,0.0000,1.2800,31.7400,0.0000,12.9200,5.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,2.6400,7.4100,0.0000,0.0000,3.1100,2.5300,0.0000,0.0000,0.0000,24.8400,8.2800,8.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,26.6500,26.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5001,27.0600,0.0000,0.0000
91,60IS2023/10/22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,211.6400,0.0000,38.0000,157.9998,0.0000,0.0000,0.0000,0.0000,74.1200,328.7900,21.0600,0.0000,270.0001,0.0000,0.0000,96.6500,101.2300,271.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.1200,0.0000,0.0000,13.7700,88.9200,54.8100,119.5200,335.9800,100.0200,10.4200,53.7100,14.1000,42.2400,95.0500,0.0000,0.0000,0.0000,0.0000,0.0000,45.0600,17.1500,0.0000,0.0000,39.8400,0.0000,0.0000,0.0000,25.3900,5.6700,0.0000,0.0000,0.0000,27.7400,18.1900,0.0000,0.0000,0.0000,1.2800,31.7400,0.0000,12.9200,5.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,2.6400,7.4100,0.0000,0.0000,3.1100,2.5300,0.0000,0.0000,0.0000,25.6500,8.5400,8.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,26.2400,26.2400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5001,27.0600,0.0000,0.0000
90,60IS2023/10/22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,211.6400,0.0000,38.0000,157.9998,0.0000,0.0000,0.0000,0.0000,74.1200,328.7900,21.0600,0.0000,270.0001,0.0000,0.0000,96.6500,101.2300,271.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.1200,0.0000,0.0000,13.7700,88.9200,54.8100,119.5200,335.9800,100.0200,10.4200,53.7100,14.1000,42.2400,95.0500,0.0000,0.0000,0.0000,0.0000,0.0000,45.0600,17.1500,0.0000,0.0000,39.8400,0.0000,0.0000,0.0000,25.3900,4.2600,0.0000,0.0000,0.0000,27.7400,18.1900,0.0000,0.0000,0.0000,1.2800,31.7400,0.0000,12.9200,5.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,2.6400,7.4100,0.0000,0.0000,3.1100,2.5300,0.0000,0.0000,0.0000,25.8500,8.6100,8.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,26.1500,26.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5001,28.0300,0.0000,0.0000
89,60IS2023/10/22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,211.6400,0.0000,38.0000,157.9998,0.0000,0.0000,0.0000,0.0000,74.1200,328.7900,21.0600,0.0000,270.0001,0.0000,0.0000,96.6500,101.2300,271.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.1200,0.0000,0.0000,13.7700,88.9200,54.8100,119.5200,335.9800,100.0200,10.4200,53.7100,14.1000,42.2400,95.0500,0.0000,0.0000,0.0000,0.0000,0.0000,45.0600,17.1500,0.0000,0.0000,39.8400,0.0000,0.0000,0.0000,25.3900,4.2600,0.0000,0.0000,0.0000,27.7400,18.1900,0.0000,0.0000,0.0000,1.2800,31.7400,0.0000,12.9200,5.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,2.6400,7.4100,0.0000,0.0000,3.1100,2.5300,0.0000,0.0000,0.0000,25.9200,8.6300,8.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,25.3700,25.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5001,28.0300,0.0000,0.0000
88,60IS2023/10/22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,211.6400,0.0000,38.0000,157.9998,0.0000,0.0000,0.0000,0.0000,74.1200,328.7900,21.0600,0.0000,270.0001,0.0000,0.0000,96.6500,101.2300,271.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.1200,0.0000,0.0000,13.7700,88.9200,54.8100,119.5200,335.9800,100.0200,10.4200,53.7200,14.1000,42.2400,95.0500,0.0000,0.0000,0.0000,0.0000,0.0000,45.0600,17.1500,0.0000,0.0000,39.8400,0.0000,0.0000,0.0000,25.3900,4.2600,0.0000,0.0000,0.0000,27.7400,21.4500,13.5000,0.0000,0.0000,1.2800,31.7400,0.0000,12.9200,5.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,2.3300,7.4100,0.0000,0.0000,3.1100,2.6100,0.0000,0.0000,0.0000,25.5800,8.5200,8.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,25.0700,25.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5001,28.0300,0.0000,0.0000
87,60IS2023/10/22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,211.6400,0.0000,38.0000,157.9998,0.0000,0.0000,0.0000,0.0000,74.1200,328.7900,21.0600,0.0000,270.0001,0.0000,0.0000,96.6500,101.2300,271.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,330.1200,0.0000,0.0000,13.7700,88.9200,54.8100,119.5200,335.9800,100.0200,10.4200,53.7200,14.1000,42.2400,95.0500,0.0000,0.0000,0.0000,0.0000,0.0000,58.0300,17.1500,10.2000,0.0000,39.8400,0.0000,0.0000,0.0000,25.3900,4.2600,0.0000,0.0000,0.0000,27.7400,21.4500,13.5000,11.6000,0.0000,7.9200,31.7400,0.0000,12.9200,5.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,2.3300,7.6600,0.0000,0.0000,3.1100,2.6100,0.0000,0.0000,0.0000,25.7600,8.5800,8.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,25.1800,25.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5001,28.0300,0.0000,0.0000
