Timeslot,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,TEHRIPSP,TEHRIPSP_P
1,69IS2025/07/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.0400,0.0000,33.1564,148.0000,0.0000,0.0000,0.0000,0.0000,86.6900,496.5300,168.9500,0.0000,300.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,566.4500,0.0000,0.0000,17.6400,94.5000,120.3900,125.7500,320.0400,108.3900,20.7900,43.2400,26.6100,43.7600,93.7300,0.0000,15.3800,39.4100,25.1700,8.2800,62.2300,38.9800,11.7400,0.0000,23.4100,0.0000,0.0000,5.4800,62.7300,31.7100,0.0000,0.0000,0.0000,50.9300,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,34.2800,60.3100,10.5900,18.8100,3.0900,0.0000,0.0000,0.0000,0.0000,0.3900,10.4800,42.0200,0.0000,0.0000,7.9200,10.7300,0.0000,0.0000,0.0000,30.0000,10.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.3300,34.6600,34.6700,5.3300,6.6900,0.0000,12.6400,24.4000,28.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,23.0400,79.9400,0.0000
2,69IS2025/07/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.0400,0.0000,33.1564,148.0000,0.0000,0.0000,0.0000,0.0000,86.6900,494.2000,168.9500,0.0000,300.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,566.4500,0.0000,0.0000,17.6400,94.5000,120.3900,125.7500,320.0400,108.3900,20.7900,43.2400,26.6100,43.7600,93.7300,0.0000,11.5300,19.2200,19.4000,8.2800,62.2300,38.9800,11.7400,0.0000,23.4100,0.0000,0.0000,5.4800,62.7300,31.7100,0.0000,0.0000,0.0000,50.9300,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,34.2800,60.3100,10.5900,18.8100,3.0900,0.0000,0.0000,0.0000,0.0000,0.3900,10.4800,42.0200,0.0000,0.0000,7.9200,10.7300,0.0000,0.0000,0.0000,29.5100,9.8300,9.8300,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,33.6600,33.6700,5.3300,6.6900,0.0000,12.6400,24.4000,28.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,23.0400,79.9400,0.0000
3,69IS2025/07/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.0400,0.0000,33.1564,148.0000,0.0000,0.0000,0.0000,0.0000,86.6900,481.6700,168.9500,0.0000,300.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,566.4500,0.0000,0.0000,17.6400,94.5000,120.3900,125.7500,320.0400,109.3100,20.7900,43.2400,26.6100,43.7600,93.7300,0.0000,11.5300,19.2200,19.4000,8.2800,62.2300,38.9800,11.7400,0.0000,23.4100,0.0000,0.0000,5.4800,62.7300,31.7100,0.0000,0.0000,0.0000,50.9300,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,34.2800,60.3100,10.5900,18.8100,3.0900,0.0000,0.0000,0.0000,0.0000,0.3900,10.4800,42.0200,0.0000,0.0000,7.9200,10.7300,0.0000,0.0000,0.0000,28.9900,9.6700,9.6700,0.0000,0.0000,0.0000,0.0000,0.0000,10.6700,33.3400,33.3300,5.3300,6.6900,0.0000,12.6400,24.4000,29.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,23.0400,79.9400,0.0000
4,69IS2025/07/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.0400,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,86.6900,488.1800,168.9500,0.0000,300.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,566.4500,0.0000,0.0000,17.6400,94.5000,120.3900,125.7500,320.0400,109.3100,20.7900,43.2400,26.6100,43.7600,93.7300,0.0000,11.5300,19.2200,19.4000,8.2800,62.2300,38.9800,11.7400,0.0000,23.4100,0.0000,0.0000,5.4800,62.7300,31.7100,0.0000,0.0000,0.0000,45.6200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,34.2800,60.3100,10.5900,18.8100,3.0900,0.0000,0.0000,0.0000,0.0000,0.3900,10.4800,42.0200,0.0000,0.0000,7.9200,10.7300,0.0000,0.0000,0.0000,28.5000,9.5000,9.5000,0.0000,0.0000,0.0000,0.0000,0.0000,10.3300,32.6600,32.6700,5.3300,6.6900,0.0000,12.6400,24.4000,29.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,23.0400,79.9400,0.0000
5,69IS2025/07/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.0400,0.0000,33.0001,148.0001,0.0000,0.0000,0.0000,0.0000,86.6900,488.1800,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,566.4500,0.0000,0.0000,17.6400,94.5000,120.3900,125.7500,320.0400,109.3100,20.7900,43.2400,26.6100,43.7600,93.7300,0.0000,11.5300,19.2200,19.4000,8.2800,62.2300,38.9800,11.7400,0.0000,23.4100,0.0000,0.0000,5.4800,62.7300,31.7100,0.0000,0.0000,0.0000,45.6200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,34.2800,60.3100,10.5900,18.8100,3.0900,0.0000,0.0000,0.0000,0.0000,0.3900,10.4800,43.0200,0.0000,0.0000,7.6400,10.7300,0.0000,0.0000,0.0000,28.0100,9.3300,9.3300,0.0000,0.0000,0.0000,0.0000,0.0000,10.0000,32.6600,32.6700,5.3300,6.6900,0.0000,12.6400,24.4000,29.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,23.0400,79.9400,0.0000
6,69IS2025/07/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.0400,0.0000,33.0001,148.0001,0.0000,0.0000,0.0000,0.0000,86.6900,488.1800,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,566.4500,0.0000,0.0000,17.6400,94.5000,120.3900,125.7500,320.0400,109.3100,20.7900,43.2400,26.6100,43.7600,93.7300,0.0000,11.5300,19.2200,19.4000,8.2800,62.2300,38.9800,11.7400,0.0000,23.4100,0.0000,0.0000,5.4800,62.7300,31.7100,0.0000,0.0000,0.0000,45.6200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,34.2800,60.3100,10.5900,18.8100,3.0900,0.0000,0.0000,0.0000,0.0000,0.3900,10.4800,43.0200,0.0000,0.0000,7.6400,10.7300,0.0000,0.0000,0.0000,27.4900,9.1700,9.1700,0.0000,0.0000,0.0000,0.0000,0.0000,9.6700,32.0000,32.0000,5.3300,6.6900,0.0000,12.6400,24.4000,29.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,23.0400,79.9400,0.0000
7,69IS2025/07/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.0400,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,86.6900,500.5900,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,566.4500,0.0000,0.0000,17.6400,94.5000,120.3900,125.7500,320.0400,109.3100,20.7900,43.2400,26.6100,43.7600,93.7300,0.0000,1.1000,1.9600,1.6200,8.2800,62.2300,38.9800,11.7400,0.0000,23.4100,0.0000,0.0000,5.4800,62.7300,31.7100,0.0000,0.0000,0.0000,45.6200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,34.2800,60.3100,10.5900,18.8100,3.0900,0.0000,0.0000,0.0000,0.0000,0.3900,5.6600,43.0200,0.0000,0.0000,7.6400,10.7300,0.0000,0.0000,0.0000,27.0000,9.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,28.3400,28.3300,5.3300,6.6900,0.0000,12.6400,24.4000,29.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,23.0400,79.9400,0.0000
8,69IS2025/07/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.0400,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,86.6900,499.9600,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,566.4500,0.0000,0.0000,17.6400,94.5000,120.3900,125.7500,320.0400,109.3100,20.7900,43.2400,26.6100,43.7600,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,62.2300,38.9800,11.7400,0.0000,23.4100,0.0000,0.0000,5.4800,62.7300,31.7100,0.0000,0.0000,0.0000,45.6200,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,34.2800,60.3100,10.5900,18.8100,3.0900,0.0000,0.0000,0.0000,0.0000,0.3900,5.6600,43.0200,0.0000,0.0000,7.6400,10.7300,0.0000,0.0000,0.0000,26.5100,8.8300,8.8300,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,27.0000,27.0000,5.3300,6.6900,0.0000,12.6400,24.4000,28.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,23.0400,79.9400,0.0000
9,69IS2025/07/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.0400,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,86.6900,451.9000,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,605.4100,0.0000,0.0000,17.6400,94.5000,120.3900,125.7500,320.0400,109.3100,20.7900,43.2400,26.6100,43.7600,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,62.2300,38.9800,11.7400,0.0000,23.4100,0.0000,0.0000,5.4800,62.7300,26.1600,0.0000,0.0000,0.0000,46.6700,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,34.2800,60.3100,10.5900,18.8100,3.0900,0.0000,0.0000,0.0000,0.0000,0.3900,5.6600,43.0200,0.0000,0.0000,7.3600,10.7300,0.0000,0.0000,0.0000,25.9900,8.6700,8.6700,0.0000,0.0000,0.0000,0.0000,0.0000,7.3300,26.3400,26.3300,5.3300,6.6900,0.0000,12.6400,24.4000,28.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,23.0400,0.0000,0.0000
10,69IS2025/07/25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,130.0400,0.0000,33.0000,148.0000,0.0000,0.0000,0.0000,0.0000,86.6900,451.9000,168.9500,0.0000,270.0000,0.0000,0.0000,115.2900,100.1300,270.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,573.6000,0.0000,0.0000,17.6400,94.5000,120.3900,125.7500,320.0400,109.3100,20.7900,43.2400,26.6100,43.7600,93.7300,0.0000,0.0000,0.0000,0.0000,8.2800,62.2300,21.6500,11.7400,0.0000,23.4100,0.0000,0.0000,5.4800,62.7300,26.1600,0.0000,0.0000,0.0000,46.6700,37.4500,40.5100,45.2800,32.6200,40.8100,53.2300,34.2800,60.3100,10.5900,18.8100,3.0900,0.0000,0.0000,0.0000,0.0000,0.3900,5.6600,43.0200,0.0000,0.0000,7.3600,10.7300,0.0000,0.0000,0.0000,25.5000,8.5000,8.5000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,26.6600,26.6700,5.3300,6.6900,0.0000,12.6400,24.4000,28.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,3.2400,23.0400,0.0000,0.0000
