genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,6.90922925,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,2.1558856,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,17.5783707,,,,,,,3.3115599,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,2.6663175,,,23.565795,,0,,1.0579998,0,,,3.517041,6.9803195,4.3710876,0,6.5201136,5.3833395,
2,0,0,0,6.90922925,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,2.1558856,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,17.5783707,,,,,,,3.3115599,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,2.6663175,,,23.565795,,0,,1.0579998,0,,,3.517041,6.9803195,4.3710876,0,6.5201136,5.3833395,
3,0,0,0,6.90922925,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,2.1558856,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,3.3115599,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,2.6663175,,,23.565795,,0,,1.0579998,0,,,3.517041,6.9803195,4.3710876,0,6.5201136,5.3833395,
4,0,0,0,6.90922925,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,2.1558856,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,3.3115599,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,2.6663175,,,23.565795,,0,,1.0579998,0,,,3.517041,6.9803195,4.3710876,0,6.5201136,5.3833395,
5,0,0,0,6.90922925,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,2.8485336,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,3.3115599,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,2.6663175,,,23.565795,,0,,0,0,,,3.517041,6.9803195,4.3710876,0,6.5201136,5.3833395,
6,0,0,0,6.90922925,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,3.3115599,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,2.6663175,,,23.565795,,0,,0,0,,,3.517041,6.9803195,4.3710876,0,6.5201136,5.3833395,
7,0,0,0,6.99834575,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,3.3115599,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,2.6663175,,,23.565795,,0,,0,0,,,3.517041,6.9803195,4.3710876,0,6.5201136,5.3833395,
8,0,0,0,6.99834575,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,3.3115599,5.1573049,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,2.6663175,,,23.565795,,0,,0,0,,,3.517041,6.9803195,4.3710876,0,6.5201136,5.3833395,
9,0,0,0,6.99834575,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,4.13889905,4.7274128,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,2.6663175,,,23.565795,,0,,0,0,,,3.517041,6.9803195,4.3710876,0,6.5201136,5.3833395,
10,0,0,0,6.99834575,0,0,0,10.99481625,,3.3005544,7.112391,6.6684222,4.90105,0,0,0,13.5977633,4.1059216,1.54236225,8.3416025,3.509792,211.75353155,,,7.7333542,25.024142,,,,0,,0,,3.5313355,15.7892889,,,,,,,4.13889905,4.7274128,0,0,8.67284,2.8521405,15.52422795,20.0418075,0,,,0,28.9490344,1.77895575,,,23.565795,,0,,0,0,,,3.517041,6.9803195,4.3710876,0,6.5201136,5.3833395,
