genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI2,PARBATI3,RAMPUR,RAPPB,RAPPC,RAPPD,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TEHRIPSP,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,7.2816744,0,0,0,11.2537062,,2.2003696,7.112391,6.6707784,4.9038209,0,0,0,10.6984592,4.1093624,6.1675273,7.7639991,3.509792,317.5909825,,,7.6827322,16.6833238,,,,0,,0,,3.4786829,25.80509305,,,,,,,0,4.72610435,0,0,8.671421,0,7.4246931,20.04257365,0,,,0,28.474875,1.7777045,,,23.28394145,,3.0525066,,1.881451,0,,0,,3.51866625,7.15275,4.4500599,0,8.8352264,5.67344745,
2,0,0,0,7.2816744,0,0,0,11.2537062,,2.2003696,7.112391,6.6707784,4.9038209,0,0,0,10.6984592,4.1093624,6.1675273,7.7639991,3.509792,317.5909825,,,7.6827322,16.6833238,,,,0,,0,,3.4786829,25.80509305,,,,,,,0,4.72610435,0,0,8.671421,0,7.4246931,20.04257365,0,,,0,28.474875,1.7777045,,,23.28394145,,3.0525066,,1.881451,0,,0,,3.51866625,7.15275,4.4500599,0,8.8352264,5.67344745,
3,0,0,0,7.2816744,0,0,0,11.2537062,,2.2003696,7.112391,6.6707784,4.9038209,0,0,0,10.6984592,4.1093624,6.1675273,7.7639991,3.509792,317.5909825,,,7.6827322,16.6833238,,,,0,,0,,3.4786829,25.80509305,,,,,,,0,4.72610435,0,0,8.671421,0,7.4246931,20.04257365,0,,,0,28.474875,1.7777045,,,23.28394145,,3.0525066,,1.881451,0,,0,,3.51866625,7.15275,4.4500599,0,8.8352264,5.67344745,
4,0,0,0,7.2816744,0,0,0,11.2537062,,2.2003696,7.112391,6.6707784,4.9038209,0,0,0,10.6984592,4.1093624,6.1675273,7.7639991,3.509792,317.5909825,,,7.6827322,16.6833238,,,,0,,0,,3.4786829,25.80509305,,,,,,,0,4.72610435,0,0,8.671421,0,7.4246931,20.04257365,0,,,0,28.474875,1.7777045,,,23.28394145,,3.0525066,,1.881451,0,,0,,3.51866625,7.15275,4.4500599,0,6.3328122,5.67344745,
5,0,0,0,7.2816744,0,0,0,11.2537062,,2.2003696,7.112391,6.6707784,4.9038209,0,0,0,10.6984592,4.1093624,6.1675273,7.7639991,3.509792,317.5909825,,,7.6827322,16.6833238,,,,0,,0,,3.4786829,25.80509305,,,,,,,0,4.72610435,0,0,8.671421,0,7.4246931,20.04257365,0,,,0,28.474875,1.7777045,,,23.28394145,,3.0660058,,1.881451,0,,0,,3.51866625,7.15275,4.4500599,0,6.3328122,4.0851151,
6,0,0,0,7.2816744,0,0,0,11.2537062,,2.2003696,7.112391,6.6707784,4.9038209,0,0,0,10.6984592,4.1093624,6.1675273,7.7639991,3.509792,317.5909825,,,7.6827322,16.6833238,,,,0,,0,,3.4786829,25.80509305,,,,,,,0,4.72610435,0,0,8.671421,0,7.4246931,20.04257365,0,,,0,28.474875,1.7777045,,,23.28394145,,3.0660058,,1.881451,0,,0,,3.51866625,7.15275,4.4500599,0,6.3328122,4.0851151,
7,0,0,0,7.2816744,0,0,0,11.2537062,,1.1001848,7.112391,6.6707784,4.9038209,0,0,0,10.6984592,4.1093624,6.1675273,7.7639991,3.509792,317.5909825,,,7.7333542,16.6833238,,,,0,,0,,3.4786829,25.80509305,,,,,,,0,4.72610435,0,0,8.671421,0,7.4246931,20.04257365,0,,,0,28.474875,1.7777045,,,23.28394145,,3.0660058,,1.881451,0,,0,,3.51866625,7.15275,4.4500599,0,6.3328122,4.0851151,
8,0,0,0,7.2816744,0,0,0,11.2537062,,1.1001848,7.112391,6.6707784,4.9038209,0,0,0,10.6984592,4.1093624,6.1675273,7.7639991,3.509792,317.5909825,,,7.7333542,16.6833238,,,,0,,0,,3.4786829,25.80509305,,,,,,,0,4.72610435,0,0,8.671421,0,7.4246931,20.04257365,0,,,0,28.474875,1.7777045,,,23.28394145,,3.0913168,,1.881451,0,,0,,3.51866625,7.15275,4.4500599,0,6.3328122,4.0851151,
9,0,0,0,7.2816744,0,0,0,11.2904,,1.1001848,7.112391,6.6707784,4.9038209,0,0,0,10.6984592,4.1093624,6.1675273,7.7639991,3.509792,317.5909825,,,7.7333542,16.6833238,,,,0,,0,,3.4786829,25.80509305,,,,,,,0,4.72610435,0,0,8.671421,0,7.4246931,20.04257365,0,,,0,28.474875,1.7777045,,,23.28394145,,3.0913168,,1.881451,0,,0,,3.51866625,7.15275,4.4500599,0,6.3328122,4.0851151,
10,0,0,0,7.2816744,0,0,0,11.2904,,1.1001848,7.112391,6.6707784,4.9038209,0,0,0,10.6984592,4.1093624,6.1675273,7.7639991,3.509792,317.5909825,,,7.7333542,16.6833238,,,,0,,0,,3.4786829,25.80509305,,,,,,,0,4.72610435,0,0,8.671421,0,7.4246931,20.04257365,0,,,0,28.474875,1.7777045,,,23.28394145,,3.0913168,,1.881451,0,,0,,3.51866625,7.15275,4.4500599,0,6.3328122,4.0851151,
