genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
1,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,7.112391,4.2739554,3.26629765,0,0,0,14.6168968,5.1291856,6.197158,8.22744945,3.509792,225.3391965,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,19.1820992,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,1.7775879,,,20.6288159,,2.1328736,,2.19362,0,,,3.469928,7.046424,0,0,4.8445254,5.58390525,
2,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,7.112391,4.2739554,3.26629765,0,0,0,14.6168968,5.1291856,6.197158,8.22744945,3.509792,225.3391965,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,19.1820992,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,1.7775879,,,20.6288159,,2.1581846,,2.19362,0,,,3.469928,7.046424,0,0,4.8445254,5.58390525,
3,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1291856,6.197158,8.22744945,3.509792,225.3391965,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,19.1820992,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0.87651355,,,20.6288159,,2.2071192,,2.19362,0,,,3.469928,7.046424,0,0,4.8445254,5.58390525,
4,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,239.3115615,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,19.1820992,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0.76598995,,,20.6288159,,2.2324302,,2.19362,0,,,3.469928,7.046424,0,0,8.4758102,5.58390525,
5,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,19.1820992,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.2324302,,2.19362,0,,,3.469928,7.103712,0,0,8.4758102,3.1767582,
6,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,19.1820992,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.2324302,,2.19362,0,,,3.469928,7.1544528,0,0,6.1471982,3.1767582,
7,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,19.1820992,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.2324302,,2.19362,0,,,3.469928,7.1544528,0,0,5.7759702,3.1767582,
8,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,19.1820992,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.2324302,,2.19362,0,,,3.469928,7.1544528,0,0,5.7759702,3.1767582,
9,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,15.79402385,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.2324302,,2.19362,0,,,3.469928,7.1544528,0,0,5.7759702,3.1767582,
10,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,15.79402385,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.2324302,,2.19362,0,,,3.469928,7.1544528,0,0,5.7759702,3.1767582,
11,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,15.79402385,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.2324302,,2.19362,0,,,3.469928,7.1544528,0,0,5.7759702,3.1767582,
12,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,15.79402385,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.2324302,,2.19362,0,,,3.469928,7.1544528,0,0,5.7759702,3.1767582,
13,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,3.26629765,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,15.79402385,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.2071192,,1.9455722,0,,,3.469928,7.1544528,0,0,8.4758102,5.58390525,
14,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,4.2739554,1.63391305,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,15.79402385,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.2071192,,1.9455722,0,,,3.469928,7.1544528,0,0,8.4758102,5.58390525,
15,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,4.741594,2.0253783,1.63391305,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,15.79402385,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.1834956,,1.9455722,0,,,3.469928,7.1544528,0,0,5.9615842,5.58390525,
16,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,2.370797,2.0253783,1.63391305,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,15.79402385,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.1834956,,1.9455722,0,,,3.469928,7.1544528,0,0,5.7759702,5.58390525,
17,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,2.370797,2.0253783,1.63391305,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,15.79402385,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.1581846,,1.9455722,0,,,3.469928,7.1544528,0,0,5.7759702,3.1767582,
18,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,2.370797,2.0253783,1.63391305,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,15.79402385,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.1581846,,1.9455722,0,,,3.469928,7.1544528,0,0,5.7759702,3.1767582,
19,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,0,2.0253783,1.63391305,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,15.79402385,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.1328736,,1.9455722,0,,,3.469928,7.1544528,0,0,5.4013674,3.1767582,
20,0,0,0,7.2276589,0,0,0,11.7464688,,1.1001848,0,2.0253783,1.63391305,0,0,0,14.6168968,5.1318036,6.197158,8.22744945,3.509792,318.7283715,,,7.0685186,16.6833238,,,,0,,0,,6.8302443,15.79402385,,,,,,,0.536679,0,0,8.7356896,7.7625933,20.0419857,0,,,0,13.0031044,0,,,20.6288159,,2.083939,,1.9455722,0,,,3.469928,7.1544528,0,0,5.4013674,3.1767582,
