timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,NDPL,63DSNDPL2022/09/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.6600,0.0000,12.0000,23.1360,0.0000,0.0000,6.7480,0.0000,24.7000,445.9500,44.8800,0.0000,66.7505,0.0000,0.0000,116.2200,0.0000,272.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8500,0.0000,0.0000,6.1500,13.6500,35.0600,0.0000,51.7900,37.0600,6.4700,12.5900,7.8400,10.3300,43.7900,0.0000,0.0000,0.0000,0.0000,0.0000,18.4800,2.6300,3.1300,0.0000,11.3200,0.0000,0.0000,0.0000,14.9200,8.6400,0.0000,0.0000,0.0000,7.8600,9.4700,12.5100,11.6000,8.6300,10.8600,14.6800,0.7500,0.0000,3.8400,3.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.9100,10.1200,0.0000,0.0000,0.0000,6.5600,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,6.4700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1483.5345,398.96,0.00,16.5660,0.00,1865.9285
2,NDPL,63DSNDPL2022/09/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.6600,0.0000,12.0000,23.1360,0.0000,0.0000,6.7480,0.0000,24.7000,445.9500,44.8800,0.0000,66.7505,0.0000,0.0000,116.2200,0.0000,272.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8500,0.0000,0.0000,6.1500,13.6500,35.0600,0.0000,51.7900,37.0600,6.4700,12.5900,7.8400,10.3300,43.7900,0.0000,0.0000,0.0000,0.0000,0.0000,18.4800,2.6300,3.1300,0.0000,11.3200,0.0000,0.0000,0.0000,14.9200,8.6400,0.0000,0.0000,0.0000,13.1100,9.4700,12.5100,11.6000,8.6300,10.8600,14.6800,0.7500,0.0000,3.8400,3.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.9100,10.1200,0.0000,0.0000,0.0000,6.5600,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,6.6300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1488.9445,372.84,0.00,16.3837,0.00,1845.4008
3,NDPL,63DSNDPL2022/09/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.6600,0.0000,12.0000,23.1360,0.0000,0.0000,6.7480,0.0000,24.7000,445.9500,44.8800,0.0000,66.7505,0.0000,0.0000,116.2200,0.0000,272.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8500,0.0000,0.0000,6.1500,13.6500,35.0600,0.0000,51.7900,37.0600,6.4700,12.5900,7.8400,10.3300,43.7900,0.0000,0.0000,0.0000,0.0000,0.0000,18.4800,2.6300,3.1300,0.0000,11.3200,0.0000,0.0000,0.0000,14.9200,8.6400,0.0000,0.0000,0.0000,15.5700,9.4700,12.5100,11.6000,8.6300,10.8600,14.6800,0.7500,0.0000,3.8400,3.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.9100,10.1200,0.0000,0.0000,0.0000,6.5600,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,6.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1491.6445,348.64,0.00,16.1945,0.00,1824.0900
4,NDPL,63DSNDPL2022/09/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.6600,0.0000,12.0000,23.1360,0.0000,0.0000,6.7480,0.0000,24.7000,445.9500,44.8800,0.0000,66.7505,0.0000,0.0000,116.2200,0.0000,272.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8500,0.0000,0.0000,6.1500,13.6500,35.0600,0.0000,51.7900,37.0600,6.4700,12.5900,7.8400,10.3300,43.7900,0.0000,0.0000,0.0000,0.0000,0.0000,13.8600,2.6300,3.1300,0.0000,11.3200,0.0000,0.0000,0.0000,14.9200,8.6400,0.0000,0.0000,0.0000,15.5700,9.4700,12.5100,11.6000,8.6300,10.8600,14.6800,0.7500,0.0000,3.8400,3.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.9100,10.1200,0.0000,0.0000,0.0000,6.5600,9.5400,0.0000,0.0000,0.0000,0.0000,0.0000,6.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1487.1345,328.34,0.00,15.9762,0.00,1799.4983
5,NDPL,63DSNDPL2022/09/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.6600,0.0000,12.0000,23.1360,0.0000,0.0000,6.3620,0.0000,24.7000,445.9500,44.8800,0.0000,66.7505,0.0000,0.0000,116.2200,0.0000,272.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8500,0.0000,0.0000,6.1500,13.6500,35.0600,0.0000,51.7900,37.0600,6.4700,12.5900,7.8400,10.3300,43.7900,0.0000,0.0000,0.0000,0.0000,0.0000,13.8600,2.6300,3.1300,0.0000,11.3200,0.0000,0.0000,0.0000,14.9200,8.6400,0.0000,0.0000,0.0000,15.5700,9.4700,12.5100,11.6000,8.6300,10.8600,14.6800,0.7500,0.0000,3.8400,3.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.9100,9.9700,0.0000,0.0000,0.0000,6.4200,9.1500,0.0000,0.0000,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1486.0985,252.11,0.00,15.2962,0.00,1722.9123
6,NDPL,63DSNDPL2022/09/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.6600,0.0000,12.0000,23.1360,0.0000,0.0000,6.3621,0.0000,24.7000,445.9500,44.8800,0.0000,66.7505,0.0000,0.0000,116.2200,0.0000,272.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8500,0.0000,0.0000,6.1500,13.6500,35.0600,0.0000,51.7900,37.0600,6.4700,12.5900,7.8400,10.3300,43.7900,0.0000,0.0000,0.0000,0.0000,0.0000,13.8600,2.6300,3.1300,0.0000,11.3200,0.0000,0.0000,0.0000,14.9200,8.6400,0.0000,0.0000,0.0000,15.5700,9.4700,12.5100,11.6000,8.6300,10.8600,14.6800,0.7500,0.0000,3.8400,3.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.9100,9.9700,0.0000,0.0000,0.0000,6.4200,9.1500,0.0000,0.0000,0.0000,0.0000,0.0000,7.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1486.1286,278.89,0.00,15.5322,0.00,1749.4864
7,NDPL,63DSNDPL2022/09/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.6600,0.0000,12.0000,23.1360,0.0000,0.0000,6.3621,0.0000,24.7000,445.9500,44.8800,0.0000,66.7505,0.0000,0.0000,116.2200,0.0000,272.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8500,0.0000,0.0000,6.1500,13.6500,35.0600,0.0000,51.7900,37.0600,6.4700,12.5900,7.8400,10.3300,43.7900,0.0000,0.0000,0.0000,0.0000,0.0000,13.7600,2.6300,3.1300,0.0000,11.3200,0.0000,0.0000,0.0000,14.9200,8.6400,0.0000,0.0000,0.0000,13.1100,9.1800,12.5100,11.6000,8.6300,10.8600,14.6800,0.7500,0.0000,3.8400,3.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.9100,9.9700,0.0000,0.0000,0.0000,6.4200,9.1500,0.0000,0.0000,0.0000,0.0000,0.0000,7.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1483.2486,257.61,0.00,15.3196,0.00,1725.5390
8,NDPL,63DSNDPL2022/09/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.6600,0.0000,12.0000,23.1360,0.0000,0.0000,6.3621,0.0000,24.7000,445.9500,44.8800,0.0000,66.7505,0.0000,0.0000,116.2200,0.0000,272.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8500,0.0000,0.0000,6.1500,13.6500,35.0600,0.0000,51.7900,37.0600,6.4700,12.5900,7.8400,10.3300,43.7900,0.0000,0.0000,0.0000,0.0000,0.0000,13.1800,2.6300,2.9700,0.0000,11.3200,0.0000,0.0000,0.0000,14.9200,8.6400,0.0000,0.0000,0.0000,13.1100,9.1800,12.5100,11.6000,8.6300,10.8600,14.6800,0.7500,0.0000,3.8400,3.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.9100,9.9700,0.0000,0.0000,0.0000,6.4200,9.1500,0.0000,0.0000,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1482.5986,175.52,6.87,14.5914,0.00,1650.3972
9,NDPL,63DSNDPL2022/09/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.6600,0.0000,12.0000,23.1360,0.0000,0.0000,6.3621,0.0000,24.7000,445.9500,44.8800,0.0000,66.7505,0.0000,0.0000,116.2200,0.0000,272.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8500,0.0000,0.0000,6.1500,13.6500,35.0600,0.0000,51.7900,37.0600,6.4700,12.5900,7.8400,10.3300,43.7900,0.0000,0.0000,0.0000,0.0000,0.0000,13.1800,2.6300,2.7700,0.0000,11.3200,0.0000,0.0000,0.0000,14.9200,8.6400,0.0000,0.0000,0.0000,13.1100,9.1800,12.5100,11.6000,8.6300,10.8600,14.6800,0.7500,0.0000,3.8400,3.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.9100,9.8100,0.0000,0.0000,0.0000,6.2800,9.1500,0.0000,0.0000,0.0000,0.0000,0.0000,7.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1482.2086,180.12,11.44,14.6285,0.00,1659.1401
10,NDPL,63DSNDPL2022/09/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.6600,0.0000,9.5449,23.1360,0.0000,0.0000,4.5000,0.0000,24.7000,445.9500,44.8800,0.0000,66.7505,0.0000,0.0000,116.2200,0.0000,272.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.8500,0.0000,0.0000,6.1500,13.6500,35.0600,0.0000,51.7900,37.0600,6.4700,12.5900,7.8400,10.3300,43.7900,0.0000,0.0000,0.0000,0.0000,0.0000,13.1800,2.6300,2.7700,0.0000,11.3200,0.0000,0.0000,0.0000,14.9200,8.6400,0.0000,0.0000,0.0000,13.1100,9.1800,12.5100,11.6000,8.6300,10.8600,14.6800,0.7500,0.0000,3.8400,3.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.9100,9.8100,0.0000,0.0000,0.0000,6.2800,9.1500,0.0000,0.0000,0.0000,0.0000,0.0000,7.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1478.0314,120.12,-0.60,14.0637,0.00,1583.4877
