timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,TEHRIPSP,TEHRIPSP_P,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,NDPL,67DSNDPL2025/07/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.3600,0.0000,11.0000,27.8846,0.0000,0.0000,0.0000,0.0000,26.6100,186.5900,43.7000,0.0000,65.2500,0.0000,0.0000,115.3800,0.0000,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9400,0.0000,0.0000,6.1400,27.1500,35.0500,0.0000,42.0800,39.8400,6.1500,12.5000,7.7800,13.4400,43.7600,0.0000,0.0000,0.0000,0.0000,0.0000,13.1600,10.4700,0.0000,0.0000,5.9900,0.0000,0.0000,0.0000,15.1600,8.7200,0.0000,0.0000,0.0000,8.1300,7.0100,12.9300,12.1200,8.9200,10.4400,14.1200,8.2000,0.0000,3.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.4800,0.0000,0.0000,0.0000,6.9900,10.7300,0.0000,0.0000,0.0000,0.0000,0.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0600,0.0000,0.0000,1220.0020,784.50,0.00,15.6351,0.00,1988.8669
2,NDPL,67DSNDPL2025/07/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.3600,0.0000,11.0000,27.8846,0.0000,0.0000,0.0000,0.0000,26.6100,186.5900,43.7000,0.0000,65.2500,0.0000,0.0000,115.3800,0.0000,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9400,0.0000,0.0000,6.1400,27.1500,35.0500,0.0000,44.3800,39.8400,6.1500,12.5000,7.7800,13.4400,43.7600,0.0000,0.0000,0.0000,0.0000,0.0000,13.1600,10.4700,0.0000,0.0000,5.9900,0.0000,0.0000,0.0000,15.1600,8.7200,0.0000,0.0000,0.0000,8.1300,7.0100,12.9300,12.1200,8.9200,10.4400,14.1200,8.2000,0.0000,3.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.4800,0.0000,0.0000,0.0000,6.9900,10.7300,0.0000,0.0000,0.0000,0.0000,0.0000,12.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0600,0.0000,0.0000,1222.9720,765.26,0.00,15.5082,0.00,1972.7238
3,NDPL,67DSNDPL2025/07/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.3600,0.0000,11.0000,27.8846,0.0000,0.0000,0.0000,0.0000,26.6100,186.5900,43.7000,0.0000,65.2500,0.0000,0.0000,115.3800,0.0000,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9400,0.0000,0.0000,6.1400,27.1500,35.0500,0.0000,42.4000,39.8400,6.1500,12.5000,7.7800,13.4400,43.7600,0.0000,0.0000,0.0000,0.0000,0.0000,13.1600,10.4700,0.0000,0.0000,5.9900,0.0000,0.0000,0.0000,15.1600,8.6800,0.0000,0.0000,0.0000,8.1300,6.4000,12.9300,12.1200,8.9200,10.4400,14.1200,8.2000,0.0000,3.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8900,10.4800,0.0000,0.0000,0.0000,6.9900,10.3500,0.0000,0.0000,0.0000,0.0000,0.0000,13.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0600,0.0000,0.0000,1221.3520,746.03,-18.00,15.3456,0.00,1934.0364
4,NDPL,67DSNDPL2025/07/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.3600,0.0000,11.0000,27.8846,0.0000,0.0000,0.0000,0.0000,26.6100,186.5900,43.7000,0.0000,65.2500,0.0000,0.0000,115.3800,0.0000,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9400,0.0000,0.0000,6.1400,27.1500,35.0500,0.0000,42.4500,39.8400,6.1500,12.5000,7.7800,13.4400,43.7600,0.0000,0.0000,0.0000,0.0000,0.0000,13.1600,10.4700,0.0000,0.0000,5.9900,0.0000,0.0000,0.0000,15.1600,8.6800,0.0000,0.0000,0.0000,8.1300,6.4000,12.9300,12.1200,8.9200,10.4400,14.1200,8.2000,0.0000,3.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8900,10.4800,0.0000,0.0000,0.0000,6.9900,10.3500,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0600,0.0000,0.0000,1222.2320,731.60,-20.95,15.2399,0.00,1917.6421
5,NDPL,67DSNDPL2025/07/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.3600,0.0000,11.0000,27.8846,0.0000,0.0000,0.0000,0.0000,26.6100,157.7300,43.7000,0.0000,57.0000,0.0000,0.0000,82.5900,0.0000,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9500,0.0000,0.0000,6.1400,27.1500,35.0500,0.0000,43.2900,39.8400,6.1500,12.5000,7.7800,13.4400,43.7600,0.0000,0.0000,0.0000,0.0000,0.0000,13.1600,10.4700,0.0000,0.0000,5.9900,0.0000,0.0000,0.0000,15.1600,8.6800,0.0000,0.0000,0.0000,8.8100,7.6300,12.9300,12.1200,8.9200,10.4400,14.1200,8.2000,0.0000,3.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8900,10.4800,0.0000,0.0000,0.0000,6.5300,10.1300,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0600,0.0000,0.0000,1151.4120,750.83,-8.38,14.8375,0.00,1879.0245
6,NDPL,67DSNDPL2025/07/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.3600,0.0000,11.0000,27.8846,0.0000,0.0000,0.0000,0.0000,26.6100,128.8800,43.7000,0.0000,57.0000,0.0000,0.0000,64.1500,0.0000,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9500,0.0000,0.0000,6.1400,27.1500,35.0500,0.0000,44.5000,39.8400,6.1500,12.5000,7.1100,13.4400,43.7600,0.0000,0.0000,0.0000,0.0000,0.0000,13.1600,10.4700,0.0000,0.0000,5.9900,0.0000,0.0000,0.0000,15.1600,8.6800,0.0000,0.0000,0.0000,8.8100,7.6300,12.9300,12.1200,8.9200,10.4400,14.1200,8.2000,0.0000,3.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8900,10.4800,0.0000,0.0000,0.0000,6.5300,10.1300,0.0000,0.0000,0.0000,0.0000,0.0000,16.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0600,0.0000,0.0000,1105.8320,765.26,0.00,14.5945,0.00,1856.4975
7,NDPL,67DSNDPL2025/07/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.3600,0.0000,11.0000,27.8846,0.0000,0.0000,0.0000,0.0000,26.6100,100.9900,43.7000,0.0000,57.0000,0.0000,0.0000,89.9300,0.0000,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9500,0.0000,0.0000,6.1400,27.1500,35.0500,0.0000,45.6700,39.8400,6.1500,12.5000,7.5800,13.4400,43.7600,0.0000,0.0000,0.0000,0.0000,0.0000,13.1600,10.4700,0.0000,0.0000,5.9900,0.0000,0.0000,0.0000,15.1600,8.6800,0.0000,0.0000,0.0000,9.4800,7.6300,12.9300,12.1200,8.9200,10.4400,14.1200,5.4700,0.0000,3.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8900,10.4800,0.0000,0.0000,0.0000,6.5300,10.1300,0.0000,0.0000,0.0000,0.0000,0.0000,24.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0600,0.0000,0.0000,1111.3020,707.56,0.00,14.1871,0.00,1804.6749
8,NDPL,67DSNDPL2025/07/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.3600,0.0000,11.0000,27.8846,0.0000,0.0000,0.0000,0.0000,26.6100,100.9900,43.7000,0.0000,57.0000,0.0000,0.0000,81.4500,0.0000,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9500,0.0000,0.0000,6.1400,27.1500,35.0500,0.0000,45.6700,39.8400,4.7400,6.8900,4.2800,13.4400,43.7600,0.0000,0.0000,0.0000,0.0000,0.0000,13.1600,10.4700,0.0000,0.0000,5.9900,0.0000,0.0000,0.0000,15.1600,8.6800,0.0000,0.0000,0.0000,9.4800,7.6300,12.9300,12.1200,8.9200,10.4400,14.1200,5.4700,0.0000,3.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8900,10.4800,0.0000,0.0000,0.0000,6.5300,10.1300,0.0000,0.0000,0.0000,0.0000,0.0000,24.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0600,0.0000,0.0000,1092.5020,701.55,0.00,14.0872,0.00,1779.9648
9,NDPL,67DSNDPL2025/07/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.3600,0.0000,11.0000,27.8846,0.0000,0.0000,0.0000,0.0000,21.2000,101.3300,43.7000,0.0000,58.6034,0.0000,0.0000,72.9600,0.0000,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1500,0.0000,0.0000,6.1400,27.1500,35.0500,0.0000,42.3700,39.8400,3.3900,6.9100,4.2800,13.4400,43.7600,0.0000,0.0000,0.0000,0.0000,0.0000,13.1600,10.4700,0.0000,0.0000,5.9900,0.0000,0.0000,0.0000,15.1600,8.6800,0.0000,0.0000,0.0000,9.4800,6.4000,12.9300,12.1200,8.9200,10.7900,14.1200,5.4700,0.0000,3.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8900,10.4800,0.0000,0.0000,0.0000,6.0600,9.9700,0.0000,0.0000,0.0000,0.0000,0.0000,24.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0600,0.0000,0.0000,1074.6054,631.95,0.00,13.7791,0.00,1692.7763
10,NDPL,67DSNDPL2025/07/07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.3600,0.0000,11.0000,27.8846,0.0000,0.0000,0.0000,0.0000,20.1100,101.3300,43.7000,0.0000,58.6034,0.0000,0.0000,70.1300,0.0000,270.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9500,0.0000,0.0000,6.1400,27.1500,35.0500,0.0000,42.3700,39.8400,3.3900,6.8900,4.2800,13.4400,43.7600,0.0000,0.0000,0.0000,0.0000,0.0000,13.1600,10.4700,0.0000,0.0000,5.9900,0.0000,0.0000,0.0000,15.1600,8.6800,0.0000,0.0000,0.0000,9.4800,6.4000,12.9300,12.1200,8.9200,10.7900,14.1200,5.4700,0.0000,3.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8900,10.4800,0.0000,0.0000,0.0000,6.0600,9.9700,0.0000,0.0000,0.0000,0.0000,0.0000,24.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0600,0.0000,0.0000,1070.6254,610.95,0.00,13.9119,0.00,1667.6635
