timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,NDPL,71DSNDPL2025/04/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.7600,0.0000,10.5413,0.0000,0.0000,0.0000,0.0000,0.0000,26.6300,352.2500,20.0200,0.0000,56.5226,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7800,0.0000,0.0000,6.1400,27.1600,35.0500,0.0000,122.6400,41.2400,6.1500,5.7700,7.7900,13.4400,43.7800,0.0000,0.0000,0.0000,0.0000,0.0000,2.9200,2.7200,4.8500,0.0000,12.6400,0.0000,0.0000,0.0000,15.9100,0.0000,0.0000,0.0000,0.0000,14.3400,10.1900,8.6200,4.0400,0.0000,0.0000,10.1100,4.1300,0.0000,0.0800,5.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8300,5.0400,0.0000,0.0000,0.0000,3.1800,5.3700,0.0000,0.0000,0.0000,0.0000,0.0000,32.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6200,0.0000,0.0000,0.0000,1395.7249,137.06,-127.25,13.2661,0.00,1392.2688
2,NDPL,71DSNDPL2025/04/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.7600,0.0000,10.5413,0.0000,0.0000,0.0000,0.0000,0.0000,26.6300,352.6700,13.3500,0.0000,56.5226,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7800,0.0000,0.0000,6.1400,27.1600,35.0500,0.0000,122.6400,41.2400,6.1500,5.7700,7.7900,13.4400,43.7800,0.0000,0.0000,0.0000,0.0000,0.0000,2.9200,2.7200,4.8500,0.0000,12.6400,0.0000,0.0000,0.0000,15.9100,0.0000,0.0000,0.0000,0.0000,14.3400,10.1900,8.6200,4.0400,0.0000,0.0000,10.1100,4.1300,0.0000,1.7900,5.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8300,5.0400,0.0000,0.0000,0.0000,3.1800,5.3700,0.0000,0.0000,0.0000,0.0000,0.0000,32.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6200,0.0000,0.0000,0.0000,1390.6849,140.06,-133.70,13.2034,0.00,1383.8415
3,NDPL,71DSNDPL2025/04/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.7600,0.0000,10.5413,0.0000,0.0000,0.0000,0.0000,0.0000,26.6300,340.6900,13.3500,0.0000,56.5226,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7800,0.0000,0.0000,6.1400,27.1600,35.0500,0.0000,122.6400,41.2400,6.1500,5.7700,7.7900,13.4400,43.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7200,4.8500,0.0000,12.6400,0.0000,0.0000,0.0000,15.9100,0.0000,0.0000,0.0000,0.0000,14.3400,10.1900,8.6200,4.0400,0.0000,0.0000,10.1100,4.1300,0.0000,1.7900,5.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8300,5.0400,0.0000,0.0000,0.0000,3.1800,5.3700,0.0000,0.0000,0.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6200,0.0000,0.0000,0.0000,1375.4549,158.06,-145.07,12.9442,0.00,1375.5007
4,NDPL,71DSNDPL2025/04/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.7600,0.0000,10.5413,0.0000,0.0000,0.0000,0.0000,0.0000,26.6300,340.6900,13.3500,0.0000,56.5226,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.7800,0.0000,0.0000,6.1400,27.1600,35.0500,0.0000,122.6400,41.2400,6.1500,5.7700,7.7900,13.4400,43.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7200,4.8500,0.0000,12.6400,0.0000,0.0000,0.0000,15.9100,0.0000,0.0000,0.0000,0.0000,14.3400,10.1900,8.6200,4.0400,0.0000,0.0000,10.1100,4.1300,0.0000,1.7900,5.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.8300,5.0400,0.0000,0.0000,0.0000,3.1800,5.3700,0.0000,0.0000,0.0000,0.0000,0.0000,31.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6200,0.0000,0.0000,0.0000,1375.1249,158.06,-167.47,12.9416,0.00,1352.7733
5,NDPL,71DSNDPL2025/04/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.7600,0.0000,10.5413,0.0000,0.0000,0.0000,0.0000,0.0000,26.6300,336.8100,13.3500,0.0000,56.5226,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9600,0.0000,0.0000,6.1400,27.1600,35.0500,0.0000,122.6400,41.2400,6.1500,5.7700,7.7900,13.4400,43.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7200,4.8500,0.0000,12.6400,0.0000,0.0000,0.0000,15.9100,0.0000,0.0000,0.0000,0.0000,14.3400,9.7000,8.6200,4.0400,0.0000,0.0000,10.1100,4.1300,0.0000,1.7900,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8300,5.0400,0.0000,0.0000,0.0000,3.1800,5.3700,0.0000,0.0000,0.0000,0.0000,0.0000,31.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6200,0.0000,0.0000,0.0000,1371.1649,157.88,-191.31,12.9094,0.00,1324.8255
6,NDPL,71DSNDPL2025/04/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.7600,0.0000,10.5413,0.0000,0.0000,0.0000,0.0000,0.0000,26.6300,336.8100,13.3500,0.0000,56.5226,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9600,0.0000,0.0000,6.1400,27.1600,35.0500,0.0000,122.6400,41.2400,6.1500,5.7700,7.7900,13.4400,43.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7200,3.2300,0.0000,12.6400,0.0000,0.0000,0.0000,15.9100,0.0000,0.0000,0.0000,0.0000,14.3400,9.7000,8.6200,4.0400,0.0000,0.0000,10.1100,4.1300,0.0000,1.7900,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8300,5.0400,0.0000,0.0000,0.0000,3.1800,5.3700,0.0000,0.0000,0.0000,0.0000,0.0000,31.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6200,0.0000,0.0000,0.0000,1369.5449,134.88,-181.00,13.0761,0.00,1310.3488
7,NDPL,71DSNDPL2025/04/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.7600,0.0000,10.5413,0.0000,0.0000,0.0000,0.0000,0.0000,26.6300,248.2800,13.3500,0.0000,56.5226,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9600,0.0000,0.0000,5.6000,27.1600,35.0500,0.0000,122.6400,41.2400,6.1500,4.1100,7.7900,13.4400,43.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7200,3.2300,0.0000,12.6400,0.0000,0.0000,0.0000,15.9100,0.0000,0.0000,0.0000,0.0000,14.3400,9.7000,8.6200,4.0400,0.0000,0.0000,10.1100,4.1300,0.0000,1.7900,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8300,5.0400,0.0000,0.0000,0.0000,3.1800,5.3700,0.0000,0.0000,0.0000,0.0000,0.0000,31.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6200,0.0000,0.0000,0.0000,1278.8149,20.58,0.00,13.2600,0.00,1286.1349
8,NDPL,71DSNDPL2025/04/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.7600,0.0000,10.5413,0.0000,0.0000,0.0000,0.0000,0.0000,26.6300,307.2800,13.3500,0.0000,56.5226,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9600,0.0000,0.0000,3.8300,27.1600,35.0500,0.0000,122.6400,41.2400,6.1500,5.7700,7.7900,13.4400,43.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7200,3.2300,0.0000,12.6400,0.0000,0.0000,0.0000,15.9100,0.0000,0.0000,0.0000,0.0000,14.3400,9.7000,8.0400,4.0400,0.0000,0.0000,10.1100,4.1300,0.0000,0.2400,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8300,5.0400,0.0000,0.0000,0.0000,3.1800,5.3700,0.0000,0.0000,0.0000,0.0000,0.0000,31.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6200,0.0000,0.0000,0.0000,1335.5749,-54.12,0.00,14.2853,0.00,1267.1696
9,NDPL,71DSNDPL2025/04/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.7600,0.0000,10.2413,0.0000,0.0000,0.0000,0.0000,0.0000,26.6300,371.8100,13.3500,0.0000,56.5226,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9600,0.0000,0.0000,3.4600,27.1600,35.0500,0.0000,122.6400,41.2400,6.1500,5.7700,7.7900,13.4400,43.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7200,3.2300,0.0000,12.6400,0.0000,0.0000,0.0000,15.9100,0.0000,0.0000,0.0000,0.0000,14.3400,9.7000,8.0400,7.5100,0.0000,0.0000,10.1100,4.1300,0.0000,0.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8300,5.0400,0.0000,0.0000,0.0000,3.0800,5.2200,0.0000,0.0000,0.0000,0.0000,0.0000,31.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6200,0.0000,0.0000,0.0000,1402.4149,-133.56,0.00,15.1231,0.00,1253.7318
10,NDPL,71DSNDPL2025/04/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.7600,0.0000,10.2413,0.0000,0.0000,0.0000,0.0000,0.0000,26.6300,371.8100,13.3500,0.0000,56.5226,0.0000,0.0000,115.0600,0.0000,272.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9600,0.0000,0.0000,3.4600,27.1600,35.0500,0.0000,122.6400,41.2400,6.1500,5.7700,7.7900,13.4400,43.7800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7200,3.2300,0.0000,12.6400,0.0000,0.0000,0.0000,15.9100,0.0000,0.0000,0.0000,0.0000,14.3400,9.7000,8.0400,7.5100,0.0000,0.0000,10.1100,4.1300,0.0000,0.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8300,5.0400,0.0000,0.0000,0.0000,3.0800,5.2200,0.0000,0.0000,0.0000,0.0000,0.0000,32.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6200,0.0000,0.0000,0.0000,1402.7449,-145.56,0.00,15.2192,0.00,1241.9657
