timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,NDPL,77DSNDPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3700,0.0000,9.9768,0.0000,0.0000,0.0000,0.0000,0.0000,17.7400,258.8500,44.4700,0.0000,-0.9788,0.0000,0.0000,64.5600,0.0000,273.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9800,0.0000,0.0000,6.3800,13.6700,35.2900,0.0000,33.4300,38.3300,4.2400,5.6600,0.0000,13.3500,30.3300,0.0000,0.0000,0.0000,0.0000,0.0000,20.0600,10.5400,3.0600,0.0000,11.6300,0.0000,0.0000,0.0000,15.0500,3.0300,0.0000,0.0000,0.0000,13.2800,9.6200,12.2100,11.5000,5.6300,10.6200,14.1800,4.7300,0.0000,2.2800,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1057.3846,362.36,0.00,11.9259,0.00,1407.8187
2,NDPL,77DSNDPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3700,0.0000,9.9768,0.0000,0.0000,0.0000,0.0000,0.0000,17.7400,258.8500,44.4700,0.0000,-0.9788,0.0000,0.0000,64.5600,0.0000,273.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9800,0.0000,0.0000,6.1800,13.6700,35.2900,0.0000,33.4300,38.3300,3.5500,5.6600,0.0000,13.3500,29.3800,0.0000,0.0000,0.0000,0.0000,0.0000,20.0600,10.5400,3.0600,0.0000,11.6300,0.0000,0.0000,0.0000,15.0500,3.0300,0.0000,0.0000,0.0000,13.2800,9.6200,12.2100,11.5000,5.6300,10.6200,14.1800,4.7300,0.0000,2.2800,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1055.5446,362.36,0.00,11.9104,0.00,1405.9942
3,NDPL,77DSNDPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3700,0.0000,9.9768,0.0000,0.0000,0.0000,0.0000,0.0000,17.7400,258.8500,44.4700,0.0000,-0.9788,0.0000,0.0000,64.5600,0.0000,273.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9800,0.0000,0.0000,6.1800,13.6700,35.2900,0.0000,33.4300,38.3300,3.5500,5.6600,0.0000,13.3500,29.3800,0.0000,0.0000,0.0000,0.0000,0.0000,20.0600,10.5400,3.0600,0.0000,11.6300,0.0000,0.0000,0.0000,15.0500,3.0700,0.0000,0.0000,0.0000,13.2800,9.6200,8.1300,11.5000,5.6300,10.6800,14.1800,4.1600,0.0000,2.2800,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1050.9946,186.36,0.00,13.3506,0.00,1224.0040
4,NDPL,77DSNDPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3700,0.0000,9.9768,0.0000,0.0000,0.0000,0.0000,0.0000,17.7400,258.8500,44.4700,0.0000,-0.9788,0.0000,0.0000,64.5600,0.0000,273.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9800,0.0000,0.0000,3.8700,13.6700,35.2900,0.0000,33.4300,38.3300,3.5500,5.6600,0.0000,13.3500,29.3800,0.0000,0.0000,0.0000,0.0000,0.0000,20.0600,10.5400,3.0600,0.0000,11.6300,0.0000,0.0000,0.0000,15.0500,3.0700,0.0000,0.0000,0.0000,14.9300,9.6200,8.1400,11.5000,5.6300,10.6800,14.1800,4.1600,0.0000,2.2800,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1050.3446,163.36,0.00,13.5383,0.00,1200.1663
5,NDPL,77DSNDPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3700,0.0000,9.9768,0.0000,0.0000,0.0000,0.0000,0.0000,17.7400,258.8500,44.4700,0.0000,-0.9788,0.0000,0.0000,64.5600,0.0000,232.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9800,0.0000,0.0000,3.8700,13.6700,35.2900,0.0000,33.4300,38.3300,3.5500,5.6600,0.0000,13.3500,29.3800,0.0000,0.0000,0.0000,0.0000,0.0000,20.0600,10.5400,3.0600,0.0000,11.6300,0.0000,0.0000,0.0000,15.0500,3.0700,0.0000,0.0000,0.0000,14.9300,9.6200,8.1400,11.5000,5.6300,10.6800,14.1800,4.7300,0.0000,3.8600,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1011.0946,196.17,0.00,12.9298,0.00,1194.3348
6,NDPL,77DSNDPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3700,0.0000,9.9768,0.0000,0.0000,0.0000,0.0000,0.0000,17.7400,258.8500,44.4700,0.0000,-0.9788,0.0000,0.0000,64.5600,0.0000,232.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9800,0.0000,0.0000,3.8700,13.6700,35.2900,0.0000,33.4300,38.3300,3.5500,5.6600,0.0000,13.3500,29.3800,0.0000,0.0000,0.0000,0.0000,0.0000,20.0600,10.5400,3.0600,0.0000,11.6300,0.0000,0.0000,0.0000,15.0500,3.0700,0.0000,0.0000,0.0000,14.9300,9.6200,8.1400,11.5000,5.6300,10.6800,14.1800,4.7300,0.0000,3.8600,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1011.0946,181.17,0.00,13.0558,0.00,1179.2088
7,NDPL,77DSNDPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3700,0.0000,9.9768,0.0000,0.0000,0.0000,0.0000,0.0000,17.7400,258.8500,41.3000,0.0000,-0.9788,0.0000,0.0000,64.5600,0.0000,232.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9800,0.0000,0.0000,3.8700,13.6700,35.2900,0.0000,33.4300,38.3300,3.5500,5.6600,0.0000,13.3500,29.3800,0.0000,0.0000,0.0000,0.0000,0.0000,20.0600,10.5400,3.0600,0.0000,11.6300,0.0000,0.0000,0.0000,15.0500,3.0700,0.0000,0.0000,0.0000,13.2800,9.6200,8.1400,11.5000,5.6300,10.6800,14.1800,4.7300,0.0000,3.8600,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1006.2746,194.17,0.00,12.9061,0.00,1187.5385
8,NDPL,77DSNDPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3700,0.0000,9.9768,0.0000,0.0000,0.0000,0.0000,0.0000,17.7400,258.8500,41.3000,0.0000,-0.9788,0.0000,0.0000,64.5600,0.0000,232.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9800,0.0000,0.0000,3.8700,13.6700,35.2900,0.0000,33.4300,38.3300,3.5500,5.6600,0.0000,13.3500,29.3800,0.0000,0.0000,0.0000,0.0000,0.0000,20.0600,10.5400,1.5200,0.0000,11.6300,0.0000,0.0000,0.0000,15.0500,3.0700,0.0000,0.0000,0.0000,13.2800,9.6200,8.1400,7.3700,5.6300,10.6800,14.1800,4.7300,0.0000,3.8600,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1000.6046,195.17,0.00,12.8501,0.00,1182.9245
9,NDPL,77DSNDPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3700,0.0000,9.9768,0.0000,0.0000,0.0000,0.0000,0.0000,17.7400,258.8500,41.3000,0.0000,-0.9788,0.0000,0.0000,64.5600,0.0000,193.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9800,0.0000,0.0000,4.0000,13.6700,35.2900,0.0000,33.4300,38.3300,3.5500,5.6600,0.0000,13.3500,29.3800,0.0000,0.0000,0.0000,0.0000,0.0000,20.0600,10.5400,1.5200,0.0000,11.6300,0.0000,0.0000,0.0000,15.0500,3.0700,0.0000,0.0000,0.0000,13.2800,9.6200,8.1400,6.9800,5.6300,10.9100,14.1800,4.7300,0.0000,3.8600,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,965.1646,223.08,0.00,12.3165,0.00,1175.9281
10,NDPL,77DSNDPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3700,0.0000,9.9768,0.0000,0.0000,0.0000,0.0000,0.0000,17.7400,258.8500,41.3000,0.0000,-0.9788,0.0000,0.0000,64.5600,0.0000,150.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9800,0.0000,0.0000,4.0000,13.6700,35.2900,0.0000,33.4300,38.3300,3.5500,5.6600,0.0000,13.3500,29.3800,0.0000,0.0000,0.0000,0.0000,0.0000,20.0600,10.5400,0.0000,0.0000,11.6300,0.0000,0.0000,0.0000,15.0500,3.0700,0.0000,0.0000,0.0000,13.2800,9.6200,8.1400,6.9800,5.6300,10.9100,14.1800,4.7300,0.0000,3.8600,1.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,920.5546,257.08,0.00,11.6561,0.00,1165.9785
