timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,NDPL,54DSNDPL2023/09/16,0.0000,0.0000,0.0000,0.0000,7.8483,0.0000,0.0000,0.0000,75.3800,0.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,561.2600,41.7700,0.0000,69.6064,70.0000,0.0000,58.2100,0.0000,272.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1300,0.0000,0.0000,6.0400,27.3900,35.1600,0.0000,61.9500,41.4700,5.7800,12.6100,4.5200,12.5400,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,13.5000,2.6400,0.0000,0.0000,11.5700,0.0000,0.0000,0.0000,7.4800,4.8100,0.0000,0.0000,0.0000,1.9700,9.6100,12.5500,11.7600,8.6500,8.1400,14.7100,0.0000,0.0000,3.9700,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0400,7.6500,0.0000,0.0000,0.0000,5.9700,7.5600,0.0000,0.0000,0.0000,0.0000,0.0000,12.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1012,0.0000,0.0000,0.0000,1587.5559,174.76,0.00,15.5084,0.00,1746.8075
2,NDPL,54DSNDPL2023/09/16,0.0000,0.0000,0.0000,0.0000,7.8483,0.0000,0.0000,0.0000,75.3800,0.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,561.2600,41.7700,0.0000,69.6064,70.0000,0.0000,58.2100,0.0000,272.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1300,0.0000,0.0000,6.0400,27.3900,35.1600,0.0000,61.9500,41.4700,5.7800,12.6100,4.5200,12.6500,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,13.5000,2.6400,0.0000,0.0000,11.5700,0.0000,0.0000,0.0000,7.4800,4.8100,0.0000,0.0000,0.0000,1.9700,9.6100,12.5500,11.7600,8.6500,8.1400,14.7100,0.0000,0.0000,3.9700,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0400,7.6500,0.0000,0.0000,0.0000,5.9700,7.5600,0.0000,0.0000,0.0000,0.0000,0.0000,12.1600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1012,0.0000,0.0000,0.0000,1587.7059,154.76,0.00,15.6857,0.00,1726.7802
3,NDPL,54DSNDPL2023/09/16,0.0000,0.0000,0.0000,0.0000,7.8483,0.0000,0.0000,0.0000,75.3800,0.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,561.2600,41.7700,0.0000,69.6064,70.0000,0.0000,58.2100,0.0000,272.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1300,0.0000,0.0000,6.0400,27.3900,35.1600,0.0000,61.9500,41.4700,5.7800,12.6100,4.5200,12.6500,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,13.5000,2.6400,0.0000,0.0000,11.5700,0.0000,0.0000,0.0000,7.4800,4.8100,0.0000,0.0000,0.0000,1.9700,9.6100,12.5500,11.7600,8.6500,8.1400,14.7100,0.0000,0.0000,3.9700,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0400,7.6500,0.0000,0.0000,0.0000,5.9700,7.5600,0.0000,0.0000,0.0000,0.0000,0.0000,14.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1012,0.0000,0.0000,0.0000,1589.8459,149.76,0.00,15.7485,0.00,1723.8574
4,NDPL,54DSNDPL2023/09/16,0.0000,0.0000,0.0000,0.0000,7.8483,0.0000,0.0000,0.0000,75.3800,0.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,561.2600,41.7700,0.0000,69.6064,70.0000,0.0000,58.2100,0.0000,272.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1300,0.0000,0.0000,6.0400,27.3900,35.1600,0.0000,61.9500,41.4700,5.7800,12.6100,4.5200,12.6500,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,2.6400,0.0000,0.0000,11.5700,0.0000,0.0000,0.0000,7.4800,4.8100,0.0000,0.0000,0.0000,14.4600,9.6100,12.5500,11.7600,8.6500,8.1400,14.7100,0.0000,0.0000,3.9700,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0400,7.6500,0.0000,0.0000,0.0000,5.9700,7.5600,0.0000,0.0000,0.0000,0.0000,0.0000,14.4700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.1012,0.0000,0.0000,0.0000,1598.0059,144.76,0.00,15.8643,0.00,1726.9016
5,NDPL,54DSNDPL2023/09/16,0.0000,0.0000,0.0000,0.0000,7.8483,0.0000,0.0000,0.0000,75.3800,0.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,561.2600,41.7700,0.0000,69.6064,30.0000,0.0000,58.2100,0.0000,272.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1300,0.0000,0.0000,6.0400,27.3900,35.1600,0.0000,61.9500,41.4700,5.9600,12.6100,4.5800,12.6500,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,9.0000,2.6400,0.0000,0.0000,11.5700,0.0000,0.0000,0.0000,7.4800,4.8100,0.0000,0.0000,0.0000,14.4600,3.2000,8.3500,11.7600,8.6500,8.1400,14.7100,0.0000,0.0000,3.9700,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0400,7.5700,0.0000,0.0000,0.0000,5.9700,7.4100,0.0000,0.0000,0.0000,0.0000,0.0000,14.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3118,0.0000,0.0000,0.0000,1547.7665,154.64,0.00,14.9812,0.00,1687.4253
6,NDPL,54DSNDPL2023/09/16,0.0000,0.0000,0.0000,0.0000,7.8483,0.0000,0.0000,0.0000,75.3800,0.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,561.2600,41.7700,0.0000,69.6064,30.0000,0.0000,58.2100,0.0000,272.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1300,0.0000,0.0000,6.0400,27.3900,35.1600,0.0000,61.9500,41.4700,5.9500,12.6100,4.5800,12.6500,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,4.9700,2.6400,0.0000,0.0000,11.5700,0.0000,0.0000,0.0000,7.4800,4.8100,0.0000,0.0000,0.0000,1.9700,2.8000,8.3500,11.7600,8.6500,8.1400,14.7100,0.0000,0.0000,3.9700,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0400,7.5700,0.0000,0.0000,0.0000,5.9700,7.4100,0.0000,0.0000,0.0000,0.0000,0.0000,14.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3118,0.0000,0.0000,0.0000,1530.9765,139.64,0.00,14.9654,0.00,1655.6511
7,NDPL,54DSNDPL2023/09/16,0.0000,0.0000,0.0000,0.0000,7.8483,0.0000,0.0000,0.0000,75.3800,0.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,523.9200,41.7700,0.0000,69.6064,30.0000,0.0000,58.2100,0.0000,272.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1300,0.0000,0.0000,6.0400,27.3900,35.1600,0.0000,61.9500,41.4700,2.9100,12.6100,4.0400,12.6500,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,4.9700,2.6400,0.0000,0.0000,11.5700,0.0000,0.0000,0.0000,7.4800,4.8100,0.0000,0.0000,0.0000,1.9700,2.8000,8.3500,11.7600,8.6500,8.1400,14.7100,0.0000,0.0000,3.9700,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0400,7.5700,0.0000,0.0000,0.0000,5.9700,7.4100,0.0000,0.0000,0.0000,0.0000,0.0000,15.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3118,0.0000,0.0000,0.0000,1490.3165,144.64,0.00,14.5636,0.00,1620.3929
8,NDPL,54DSNDPL2023/09/16,0.0000,0.0000,0.0000,0.0000,7.8483,0.0000,0.0000,0.0000,75.3800,0.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,514.2100,41.7700,0.0000,69.6064,30.0000,0.0000,58.2100,0.0000,272.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1300,0.0000,0.0000,6.0400,27.3900,35.1600,0.0000,61.9500,41.4700,2.9100,12.6100,4.0400,12.6500,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,4.9700,2.6400,0.0000,0.0000,11.5700,0.0000,0.0000,0.0000,7.4800,4.8100,0.0000,0.0000,0.0000,1.9700,2.8000,8.3500,11.7600,8.6500,8.1400,14.7100,0.0000,0.0000,3.9700,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0400,7.5700,0.0000,0.0000,0.0000,5.9700,7.4100,0.0000,0.0000,0.0000,0.0000,0.0000,15.1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3118,0.0000,0.0000,0.0000,1480.7365,134.64,0.00,14.5673,0.00,1600.8092
9,NDPL,54DSNDPL2023/09/16,0.0000,0.0000,0.0000,0.0000,8.1642,0.0000,0.0000,0.0000,75.3800,0.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,561.2600,41.7700,0.0000,69.6064,30.0000,0.0000,58.2100,0.0000,272.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1300,0.0000,0.0000,6.0400,27.3900,35.1600,0.0000,61.9500,41.4700,2.9100,12.6100,4.0300,12.6500,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6400,0.0000,0.0000,11.5700,0.0000,0.0000,0.0000,7.4800,4.8100,0.0000,0.0000,0.0000,1.9700,2.8000,8.3500,11.7600,8.6500,8.1400,14.7100,0.0000,0.0000,3.9700,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0400,7.4100,0.0000,0.0000,0.0000,5.8800,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3118,0.0000,0.0000,0.0000,1527.1024,149.49,-74.96,15.1940,0.00,1586.4384
10,NDPL,54DSNDPL2023/09/16,0.0000,0.0000,0.0000,0.0000,8.1642,0.0000,0.0000,0.0000,75.3800,0.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,523.9200,41.7700,0.0000,69.6064,30.0000,0.0000,58.2100,0.0000,272.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1300,0.0000,0.0000,6.0400,27.3900,35.1600,0.0000,61.9500,41.4700,2.9100,12.6100,4.0300,12.6500,29.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6400,0.0000,0.0000,11.5700,0.0000,0.0000,0.0000,7.4800,4.8100,0.0000,0.0000,0.0000,1.9700,2.8000,8.3500,11.7600,8.6500,8.1400,14.7100,0.0000,0.0000,3.9700,1.9500,0.0000,0.0000,0.0000,0.0000,0.0000,1.0400,7.4100,0.0000,0.0000,0.0000,5.8800,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,19.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3118,0.0000,0.0000,0.0000,1489.4424,149.49,-57.09,14.8626,0.00,1566.9798
