timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,SBSRBYPL,SBSRTPDDL,RSTOSU7,RSTPS1TO6,TALST2,SIMHST2,KUDGI,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,KGSU3AND4,KKNP,VALLURNTECL,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,VSTPS_I,VSTPS_II,VSTPS_III,VSTPS_IV,VSTPS_V,LARA_I,SIPAT_I,SIPAT_II,KSTPS_I_II,MOUDA,MOUDA_II,SOLAPUR,GAN_NAPM,KAWASCMGAS,GAN_COMGAS,GAN_RLNG,KHARGONE_I,KSTPS7,KAWAS_RLNG,GADARWAR_I,KAWAS_ZLIQ,TAPS_II,KAWAS_APM,GAN_APM,KAPS,MEJA,TWEPL,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,NDPL,50DSNDPL2023/02/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.4100,0.0000,11.4797,0.0000,0.0000,0.0000,0.0000,0.0000,23.6300,372.0700,0.0000,0.0000,69.6000,0.0000,0.0000,115.2500,0.0000,133.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0100,0.0000,0.0000,6.1300,25.3000,34.4800,0.0000,16.2900,34.0800,4.1700,8.6300,5.2400,10.2800,43.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4600,1.5800,0.0000,12.3200,0.0000,0.0000,0.0000,7.5900,0.0000,0.0000,0.0000,0.0000,11.4800,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6800,1.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,1.1700,0.0000,0.0000,0.0000,1.3400,1.3800,0.0000,0.0000,0.0000,0.0000,0.0000,8.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4162,1026.7159,-337.08,0.00,12.1936,0.00,677.4423
2,NDPL,50DSNDPL2023/02/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.4100,0.0000,11.4797,0.0000,0.0000,0.0000,0.0000,0.0000,23.6400,372.0700,0.0000,0.0000,69.6000,0.0000,0.0000,115.2500,0.0000,133.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0100,0.0000,0.0000,6.1300,25.3000,34.4800,0.0000,16.2900,34.0800,4.1700,8.6300,5.2400,10.2800,43.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4600,1.5800,0.0000,12.3200,0.0000,0.0000,0.0000,7.5900,0.0000,0.0000,0.0000,0.0000,11.4800,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6800,1.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,1.1700,0.0000,0.0000,0.0000,1.3400,1.3800,0.0000,0.0000,0.0000,0.0000,0.0000,8.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4162,1026.6559,-343.08,0.00,12.2459,0.00,671.3300
3,NDPL,50DSNDPL2023/02/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.4100,0.0000,11.4797,0.0000,0.0000,0.0000,0.0000,0.0000,23.6300,372.0700,0.0000,0.0000,69.6000,0.0000,0.0000,115.2500,0.0000,133.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0100,0.0000,0.0000,6.1300,25.3000,34.4800,0.0000,16.2900,34.0800,4.1700,8.6300,5.2400,10.2800,43.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4600,1.5800,0.0000,12.3200,0.0000,0.0000,0.0000,7.5900,0.0000,0.0000,0.0000,0.0000,11.4800,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6800,1.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,1.1700,0.0000,0.0000,0.0000,1.3400,1.3800,0.0000,0.0000,0.0000,0.0000,0.0000,8.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4162,1026.5759,-354.08,0.00,12.3420,0.00,660.1539
4,NDPL,50DSNDPL2023/02/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.4100,0.0000,11.4797,0.0000,0.0000,0.0000,0.0000,0.0000,23.6300,372.0700,0.0000,0.0000,69.6000,0.0000,0.0000,115.2500,0.0000,133.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0100,0.0000,0.0000,6.1300,25.3000,34.4800,0.0000,16.2900,34.0800,4.1700,8.6300,5.2400,10.2800,43.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4600,1.5800,0.0000,12.3200,0.0000,0.0000,0.0000,7.5900,0.0000,0.0000,0.0000,0.0000,11.4800,9.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6800,1.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,1.1700,0.0000,0.0000,0.0000,1.3400,1.3800,0.0000,0.0000,0.0000,0.0000,0.0000,8.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4162,1026.4859,-365.08,0.00,12.4380,0.00,648.9679
5,NDPL,50DSNDPL2023/02/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.4100,0.0000,11.4797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,372.0700,0.0000,0.0000,50.0000,0.0000,0.0000,115.2500,0.0000,133.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0100,0.0000,0.0000,6.1300,25.3000,34.4800,0.0000,16.2900,34.0800,4.1700,8.6300,5.2400,10.2800,43.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4600,1.5800,0.0000,12.3200,0.0000,0.0000,0.0000,7.5900,0.0000,0.0000,0.0000,0.0000,11.0900,9.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6800,1.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,1.1700,0.0000,0.0000,0.0000,1.3400,1.3800,0.0000,0.0000,0.0000,0.0000,0.0000,8.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4162,982.7959,-358.08,0.00,11.9919,0.00,612.7240
6,NDPL,50DSNDPL2023/02/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.4100,0.0000,11.4797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,372.0700,0.0000,0.0000,50.0000,0.0000,0.0000,115.2500,0.0000,133.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0100,0.0000,0.0000,6.1300,25.3000,34.4800,0.0000,16.2900,34.0800,4.1700,8.6300,5.2400,10.2800,43.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4600,1.5800,0.0000,12.3200,0.0000,0.0000,0.0000,7.5900,0.0000,0.0000,0.0000,0.0000,11.0900,9.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6800,1.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,1.1700,0.0000,0.0000,0.0000,1.3400,1.3800,0.0000,0.0000,0.0000,0.0000,0.0000,8.3600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4162,982.8859,-368.08,0.00,12.0807,0.00,602.7252
7,NDPL,50DSNDPL2023/02/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.4100,0.0000,11.4797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,372.0700,0.0000,0.0000,50.0000,0.0000,0.0000,115.2500,0.0000,133.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0100,0.0000,0.0000,6.1300,25.3000,34.4800,0.0000,16.2900,34.0800,4.1700,8.6300,5.2400,10.2800,43.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4600,1.5800,0.0000,12.3200,0.0000,0.0000,0.0000,7.5900,0.0000,0.0000,0.0000,0.0000,11.0900,9.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6800,1.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,1.1700,0.0000,0.0000,0.0000,1.3400,1.3800,0.0000,0.0000,0.0000,0.0000,0.0000,8.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4162,982.9759,-374.08,0.00,12.1343,0.00,596.7616
8,NDPL,50DSNDPL2023/02/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.4100,0.0000,11.4797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,372.0700,0.0000,0.0000,50.0000,0.0000,0.0000,115.2500,0.0000,133.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.0100,0.0000,0.0000,6.1300,25.3000,34.4800,0.0000,16.2900,34.0800,4.1700,8.6300,5.2400,10.2800,43.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4600,1.5800,0.0000,12.3200,0.0000,0.0000,0.0000,7.5900,0.0000,0.0000,0.0000,0.0000,11.0900,9.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6800,1.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,1.1700,0.0000,0.0000,0.0000,1.3400,1.3800,0.0000,0.0000,0.0000,0.0000,0.0000,8.6200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4162,983.1459,-377.08,0.00,12.1622,0.00,593.9037
9,NDPL,50DSNDPL2023/02/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.4100,0.0000,11.4797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,317.8200,0.0000,0.0000,50.0000,0.0000,0.0000,94.4700,0.0000,133.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1300,25.3000,34.4800,0.0000,16.2900,34.0800,0.0000,8.6300,0.7000,10.2800,43.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4600,1.5800,0.0000,12.3200,0.0000,0.0000,0.0000,7.5900,0.0000,0.0000,0.0000,0.0000,11.0900,9.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6800,1.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,1.1700,0.0000,0.0000,0.0000,1.3400,1.3800,0.0000,0.0000,0.0000,0.0000,0.0000,8.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4162,890.3459,-250.17,0.00,10.2271,0.00,629.9488
10,NDPL,50DSNDPL2023/02/24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.4100,0.0000,11.4797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,269.6700,0.0000,0.0000,50.0000,0.0000,0.0000,66.1300,0.0000,133.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1300,25.3000,34.4800,0.0000,16.2900,34.0800,0.0000,8.6300,0.0000,10.2800,43.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4600,1.5800,0.0000,12.3200,0.0000,0.0000,0.0000,7.5900,0.0000,0.0000,0.0000,0.0000,11.0900,9.4300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6800,1.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.8500,1.1700,0.0000,0.0000,0.0000,1.3400,1.3800,0.0000,0.0000,0.0000,0.0000,0.0000,8.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.4162,813.0959,-178.17,0.00,8.9137,0.00,626.0122
