timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,NDPL,68DSNDPL2023/10/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8700,0.0000,11.1980,0.0000,0.0000,0.0000,0.0000,0.0000,22.7800,560.1000,6.1900,0.0000,69.6064,0.0000,0.0000,118.1200,0.0000,272.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5300,0.0000,0.0000,5.3900,27.3300,17.4100,0.0000,51.8300,30.7400,2.9600,7.4800,7.8400,13.3400,26.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6400,0.0000,0.0000,5.9000,0.0000,0.0000,0.0000,7.8000,1.1800,0.0000,0.0000,0.0000,14.7600,9.4700,0.0000,0.0000,0.0000,0.3900,4.8900,0.0000,0.0000,1.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5900,2.5700,0.0000,0.0000,0.0000,2.9300,2.3900,0.0000,0.0000,0.0000,0.0000,0.0000,7.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000,0.0000,0.0000,1388.1362,-278.13,-191.53,15.1009,0.00,903.3753
2,NDPL,68DSNDPL2023/10/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8700,0.0000,11.1980,0.0000,0.0000,0.0000,0.0000,0.0000,22.7800,560.1000,6.1900,0.0000,69.6064,0.0000,0.0000,118.1200,0.0000,272.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5300,0.0000,0.0000,5.3900,27.3300,17.4100,0.0000,51.8300,30.7400,2.9600,7.4800,7.8400,13.3400,26.5100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6400,0.0000,0.0000,5.9000,0.0000,0.0000,0.0000,7.8000,1.1800,0.0000,0.0000,0.0000,14.7600,9.4700,0.0000,0.0000,0.0000,0.3900,4.8900,0.0000,0.0000,1.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5900,2.5700,0.0000,0.0000,0.0000,2.9300,2.3900,0.0000,0.0000,0.0000,0.0000,0.0000,6.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000,0.0000,0.0000,1387.8462,-278.13,-202.56,15.0983,0.00,892.0579
3,NDPL,68DSNDPL2023/10/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8700,0.0000,11.1980,0.0000,0.0000,0.0000,0.0000,0.0000,22.7800,560.1000,6.1900,0.0000,69.6064,0.0000,0.0000,118.1200,0.0000,272.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5300,0.0000,0.0000,5.3900,27.3300,17.4100,0.0000,51.8300,30.7400,2.9600,7.4800,7.8400,13.3400,28.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6400,0.0000,0.0000,5.9000,0.0000,0.0000,0.0000,7.8000,1.1800,0.0000,0.0000,0.0000,3.9400,9.4700,0.0000,0.0000,0.0000,0.3900,4.8900,0.0000,0.0000,1.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5900,2.5700,0.0000,0.0000,0.0000,2.9300,2.3900,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000,0.0000,0.0000,1378.6162,-295.65,-207.00,14.9157,0.00,861.0505
4,NDPL,68DSNDPL2023/10/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8700,0.0000,11.1980,0.0000,0.0000,0.0000,0.0000,0.0000,22.7800,560.1000,6.1900,0.0000,69.6064,0.0000,0.0000,118.1200,0.0000,272.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5300,0.0000,0.0000,5.3900,27.3300,17.4100,0.0000,51.8300,30.7400,2.9600,7.4800,7.8400,13.3400,29.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6400,0.0000,0.0000,5.9000,0.0000,0.0000,0.0000,7.8000,1.1800,0.0000,0.0000,0.0000,3.9400,9.4700,0.0000,0.0000,0.0000,0.3900,4.8900,0.0000,0.0000,1.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5900,2.5700,0.0000,0.0000,0.0000,2.9300,2.3900,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000,0.0000,0.0000,1379.7762,-304.65,-207.31,15.0051,0.00,852.8111
5,NDPL,68DSNDPL2023/10/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8700,0.0000,11.1980,0.0000,0.0000,0.0000,0.0000,0.0000,22.7800,498.6200,6.1900,0.0000,58.7137,0.0000,0.0000,118.1200,0.0000,272.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5300,0.0000,0.0000,5.3900,27.3300,17.4100,0.0000,51.8300,30.7400,0.0000,7.4800,0.0000,13.3400,29.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6400,0.0000,0.0000,5.9000,0.0000,0.0000,0.0000,7.8000,1.1800,0.0000,0.0000,0.0000,3.9400,9.4700,0.0000,0.0000,0.0000,0.3900,4.8900,0.0000,0.0000,3.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5900,2.5700,0.0000,0.0000,0.0000,2.9300,2.3900,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000,0.0000,0.0000,1298.3135,-275.55,-163.73,14.0322,0.00,845.0013
6,NDPL,68DSNDPL2023/10/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8700,0.0000,11.1980,0.0000,0.0000,0.0000,0.0000,0.0000,22.7800,435.6900,6.1900,0.0000,58.7137,0.0000,0.0000,109.4100,0.0000,272.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5300,0.0000,0.0000,5.3900,27.3300,17.4100,0.0000,51.8300,30.7400,0.0000,7.4800,0.0000,13.3400,29.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6400,0.0000,0.0000,5.9000,0.0000,0.0000,0.0000,7.8000,1.1800,0.0000,0.0000,0.0000,3.9400,9.4700,0.0000,0.0000,0.0000,0.3900,4.8900,0.0000,0.0000,3.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5900,2.5700,0.0000,0.0000,0.0000,2.9300,2.3900,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000,0.0000,0.0000,1226.6735,-205.91,-171.69,12.7889,0.00,836.2846
7,NDPL,68DSNDPL2023/10/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8700,0.0000,11.1980,0.0000,0.0000,0.0000,0.0000,0.0000,22.7800,367.9100,6.1900,0.0000,58.7137,0.0000,0.0000,98.7800,0.0000,272.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5300,0.0000,0.0000,5.3900,27.3300,17.4100,0.0000,51.8300,30.7400,0.0000,7.4800,0.0000,13.3400,29.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6400,0.0000,0.0000,5.9000,0.0000,0.0000,0.0000,7.8000,1.1800,0.0000,0.0000,0.0000,3.9400,4.8000,0.0000,0.0000,0.0000,0.3900,4.8900,0.0000,0.0000,3.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5900,2.5700,0.0000,0.0000,0.0000,2.9300,2.3900,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000,0.0000,0.0000,1143.5935,-132.65,-178.66,11.4131,0.00,820.8704
8,NDPL,68DSNDPL2023/10/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8700,0.0000,11.1980,0.0000,0.0000,0.0000,0.0000,0.0000,22.7800,307.8800,6.1900,0.0000,58.7137,0.0000,0.0000,72.0300,0.0000,272.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5300,0.0000,0.0000,5.3900,27.3300,17.4100,0.0000,51.8300,30.7400,0.0000,7.4800,0.0000,13.3400,29.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6400,0.0000,0.0000,5.9000,0.0000,0.0000,0.0000,7.8000,1.1800,0.0000,0.0000,0.0000,3.9400,4.4000,0.0000,0.0000,0.0000,0.3900,4.8900,0.0000,0.0000,3.6100,0.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.5900,2.5700,0.0000,0.0000,0.0000,2.9300,2.3900,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000,0.0000,0.0000,1056.7435,-52.65,-185.24,9.9448,0.00,808.9087
9,NDPL,68DSNDPL2023/10/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8700,0.0000,11.1980,0.0000,0.0000,0.0000,0.0000,0.0000,22.7800,307.8800,6.1900,0.0000,58.7137,0.0000,0.0000,72.0300,0.0000,272.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5300,0.0000,0.0000,5.3900,27.3300,17.4100,0.0000,51.8300,30.7400,0.0000,9.4400,0.0000,13.3400,29.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6400,0.0000,0.0000,5.9000,0.0000,0.0000,0.0000,7.8000,1.1800,0.0000,0.0000,0.0000,3.9400,4.4000,0.0000,0.0000,0.0000,0.3900,4.8900,0.0000,0.0000,1.7100,1.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.5900,2.4900,0.0000,0.0000,0.0000,2.9300,2.3900,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000,0.0000,0.0000,1058.3335,-68.29,-170.00,10.4372,0.00,809.6063
10,NDPL,68DSNDPL2023/10/26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.8700,0.0000,11.1980,0.0000,0.0000,0.0000,0.0000,0.0000,22.7800,307.8800,6.1900,0.0000,58.7137,0.0000,0.0000,72.0300,0.0000,272.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5300,0.0000,0.0000,5.3900,27.3300,17.4100,0.0000,51.8300,30.7400,0.0000,11.4000,0.0000,13.3400,29.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6400,0.0000,0.0000,5.9000,0.0000,0.0000,0.0000,7.8000,1.1800,0.0000,0.0000,0.0000,3.9400,4.4000,0.0000,0.0000,0.0000,0.3900,4.8900,0.0000,0.0000,1.7100,1.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.5900,2.4900,0.0000,0.0000,0.0000,2.9300,2.3900,0.0000,0.0000,0.0000,0.0000,0.0000,6.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.2818,0.0000,0.0000,0.0000,0.0000,0.0000,1060.2935,-103.29,-142.00,10.7624,0.00,804.2411
