timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD
1,69EnNDPL2025/06/04,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,385.1098,37.5378,0.0000,65.2500,0.0000,0.0000,115.7800,0.0000,272.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.6477,0.0000,0.0000,6.3814,28.6207,36.7848,0.0000,62.6455,44.3403,6.4508,13.0442,8.1843,14.0606,30.3333,0.0000,12.2627,20.0277,25.1071,0.0000,6.8006,3.0288,3.2370,0.0000,6.0711,0.0000,0.0000,0.0000,15.8470,3.0588,0.0000,0.0000,0.0000,16.0640,9.8033,12.9316,12.1468,5.9500,5.6214,14.9856,5.4790,0.0000,0.7486,2.0003,0.0000,0.0000,0.0000,206.6250,0.0000,1.0203,1.9500,0.0000,0.0000,200.0000,2.1500,4.0100,0.0000,0.0000,0.0000,0.0000,0.0000,26.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7011,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,4.5308,0.0000,0.0000,6.2690
2,69EnNDPL2025/06/04,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,385.1098,37.5378,0.0000,65.2500,0.0000,0.0000,115.7800,0.0000,272.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3236,0.0000,0.0000,6.3814,28.6207,36.7848,0.0000,62.6455,44.3403,6.4508,13.0442,8.1843,14.0606,30.3333,0.0000,12.2627,20.0277,25.1071,0.0000,6.8006,3.0288,1.6185,0.0000,6.0711,0.0000,0.0000,0.0000,15.8470,3.0588,0.0000,0.0000,0.0000,16.0640,9.8033,12.9316,12.1468,5.9500,5.6214,14.9856,5.4790,0.0000,0.7486,2.0003,0.0000,0.0000,0.0000,206.6250,0.0000,1.0203,3.4300,0.0000,0.0000,200.0000,2.1500,4.0100,0.0000,0.0000,0.0000,0.0000,0.0000,27.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7011,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,4.5308,0.0000,0.0000,6.2690
3,69EnNDPL2025/06/04,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,385.1098,37.5378,0.0000,65.2500,0.0000,0.0000,115.7800,0.0000,272.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9995,0.0000,0.0000,6.3814,28.6207,36.7848,0.0000,62.6455,44.3403,6.4508,13.0442,8.1843,14.0606,30.3333,0.0000,12.2627,20.0277,25.1071,0.0000,6.8006,3.0288,1.6185,0.0000,6.0711,0.0000,0.0000,0.0000,15.8470,3.1202,0.0000,0.0000,0.0000,16.0640,9.8033,12.9316,12.1468,8.9339,2.8094,14.9856,5.8685,0.0000,0.7486,2.0003,0.0000,0.0000,0.0000,206.6250,0.0000,1.0203,3.4300,0.0000,0.0000,200.0000,2.1500,4.0100,0.0000,0.0000,0.0000,0.0000,0.0000,27.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7011,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,4.5308,0.0000,0.0000,6.2690
4,69EnNDPL2025/06/04,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,385.1098,35.9061,0.0000,65.2500,0.0000,0.0000,115.7800,0.0000,272.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3412,0.0000,0.0000,6.3814,28.6207,36.7848,0.0000,62.6455,44.3403,6.4508,13.0442,8.1843,14.0606,30.3333,0.0000,12.2627,20.0277,25.1071,0.0000,6.8006,3.0288,1.6185,0.0000,6.0711,0.0000,0.0000,0.0000,15.8470,3.1202,0.0000,0.0000,0.0000,16.0640,9.8033,12.9316,12.1468,8.9339,2.8094,14.9856,5.8685,0.0000,0.7486,2.0003,0.0000,0.0000,0.0000,206.6250,0.0000,1.0203,3.4300,0.0000,0.0000,200.0000,2.1500,4.0100,0.0000,0.0000,0.0000,0.0000,0.0000,28.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7011,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,4.5308,0.0000,0.0000,6.2690
5,69EnNDPL2025/06/04,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,385.1098,35.9061,0.0000,65.2500,0.0000,0.0000,115.7800,0.0000,272.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3412,0.0000,0.0000,6.3814,28.6207,36.7848,0.0000,62.6455,44.3403,6.4508,13.0442,8.1843,14.0606,30.3333,0.0000,12.5868,20.0277,25.1071,0.0000,6.8006,3.0288,1.6185,0.0000,6.0711,0.0000,0.0000,0.0000,15.8470,3.1202,0.0000,0.0000,0.0000,16.0640,9.8033,8.6211,12.1468,5.9500,2.8094,14.9856,5.8685,0.0000,0.7486,2.0003,0.0000,0.0000,0.0000,206.6250,0.0000,1.0203,3.4300,0.0000,0.0000,200.0000,1.9700,3.8500,0.0000,0.0000,0.0000,0.0000,0.0000,28.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7011,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,4.5308,0.0000,0.0000,6.2690
6,69EnNDPL2025/06/04,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.6893,0.0000,23.1426,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,385.1098,35.9061,0.0000,65.2500,0.0000,0.0000,115.7800,0.0000,272.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3412,0.0000,0.0000,6.3814,28.6207,36.7848,0.0000,62.6455,44.3403,6.4508,13.0442,8.1843,14.0606,30.3333,0.0000,12.5868,20.0277,25.1071,0.0000,6.8006,3.0288,1.6185,0.0000,6.0711,0.0000,0.0000,0.0000,15.8470,3.1202,0.0000,0.0000,0.0000,16.0640,9.8033,8.6211,12.1468,5.9500,2.8094,14.9856,5.8685,0.0000,0.7486,2.0003,0.0000,0.0000,0.0000,206.6250,0.0000,1.0203,3.4300,0.0000,0.0000,200.0000,1.9700,3.8500,0.0000,0.0000,0.0000,0.0000,0.0000,28.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7011,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,4.5308,0.0000,0.0000,6.2690
7,69EnNDPL2025/06/04,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.8446,0.0000,23.1426,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,385.1098,35.9061,0.0000,65.2500,0.0000,0.0000,70.3700,0.0000,272.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3412,0.0000,0.0000,6.3814,28.6207,36.7848,0.0000,62.6455,44.3403,6.4508,13.0442,8.1843,14.0606,30.3333,0.0000,12.5868,20.0277,25.1071,0.0000,6.8006,3.0288,1.6185,0.0000,6.0711,0.0000,0.0000,0.0000,15.8470,3.1202,0.0000,0.0000,0.0000,16.0640,9.8033,8.6211,12.1468,5.9500,2.8094,14.9856,5.8685,0.0000,0.4725,2.0003,0.0000,0.0000,0.0000,206.6250,0.0000,1.0203,3.4300,0.0000,0.0000,200.0000,1.9700,3.8500,0.0000,0.0000,0.0000,0.0000,0.0000,28.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7011,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,4.5308,0.0000,0.0000,6.2690
8,69EnNDPL2025/06/04,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.8446,0.0000,23.1426,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,385.1098,35.9061,0.0000,65.2500,0.0000,0.0000,70.3700,0.0000,272.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3412,0.0000,0.0000,6.3814,28.6207,36.7848,0.0000,62.6455,44.3403,6.4508,13.0442,8.1843,14.0606,30.3333,0.0000,12.5868,20.0277,25.1071,0.0000,6.8006,3.0288,1.4338,0.0000,6.0711,0.0000,0.0000,0.0000,15.8470,3.1202,0.0000,0.0000,0.0000,16.0640,9.8033,8.6211,8.0978,5.9500,2.8094,14.9856,5.8685,0.0000,0.4725,2.0003,0.0000,0.0000,0.0000,206.6250,0.0000,1.0203,3.4300,0.0000,0.0000,200.0000,1.9700,3.8500,0.0000,0.0000,0.0000,0.0000,0.0000,27.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7011,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000,0.0000,4.5308,0.0000,0.0000,6.2690
9,69EnNDPL2025/06/04,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.8446,0.0000,23.1426,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,385.1098,35.9061,0.0000,65.2500,0.0000,0.0000,70.3700,0.0000,272.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3412,0.0000,0.0000,6.3814,28.6207,36.7848,0.0000,62.6455,44.3403,6.4508,13.0413,8.1843,14.0606,30.3333,0.0000,12.7488,20.0277,25.1071,0.0000,6.8006,3.0288,1.3389,0.0000,6.0711,0.0000,0.0000,0.0000,15.8470,2.5342,0.0000,0.0000,0.0000,16.0640,9.8033,8.6211,8.0978,5.9500,2.8094,14.9856,6.0646,0.0000,0.4725,4.0007,0.0000,0.0000,0.0000,206.6250,0.0000,1.0203,3.4300,0.0000,0.0000,200.0000,1.9700,3.8500,0.0000,0.0000,0.0000,0.0000,0.0000,26.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7011,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000,0.0000,4.5308,0.0000,0.0000,6.2690
10,69EnNDPL2025/06/04,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.8446,0.0000,23.1426,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,385.1098,35.9061,0.0000,65.2500,0.0000,0.0000,70.3700,0.0000,272.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3412,0.0000,0.0000,6.3814,28.6207,36.7848,0.0000,62.6455,44.3403,6.4508,13.0413,8.1843,14.0606,30.3333,0.0000,12.7488,20.0277,25.1071,0.0000,6.8006,3.0288,0.0000,0.0000,6.0711,0.0000,0.0000,0.0000,15.8470,2.5342,0.0000,0.0000,0.0000,16.0640,9.8033,8.6211,8.0978,5.9500,2.8094,14.9856,6.0646,0.0000,0.4725,4.0007,0.0000,0.0000,0.0000,206.6250,0.0000,1.0203,3.4300,0.0000,0.0000,200.0000,1.9700,3.8500,0.0000,0.0000,0.0000,0.0000,0.0000,26.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7011,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000,0.0000,4.5308,0.0000,0.0000,6.2690
