Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD
00:00-00:15,26DC2025/05/06,0,0,0,0,0,0,0,0,9.39000000000004,0,40,300,0,0,0,0,3.12,419.68,3.84,0,30,0,0,0,3.62,0,0,0,0,0,0,0,225.07,0,0,2.51,3.36,4.31999999999999,4.55,14.53,5,6.64,11.42,8.57,1.57,8.97,0,51.17,80.77,100.46,0.17,0.969999999999999,0.359999999999999,0.44,0,0.900000000000002,0,0,0.15,2.41,0,0,0,0,1.69,1.32,1.46,-14.58,0.809999999999999,0.379999999999999,2.07,0.649999999999999,2.31999999999999,0.23,0.449999999999999,1.04,0,0,960,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,-6.88,0,0,1.85,0.300000000000001,0,8.92,0,0,300,300,200,200,18.7,100,100,100,0,0.650000000000002,189.55,195.95,0.759999999999998
00:15-00:30,26DC2025/05/06,0,0,0,0,0,0,0,0,9.39000000000004,0,40,300,0,0,0,0,3.12,419.68,3.84,0,30,0,0,0,3.62,0,0,0,0,0,0,0,365.03,0,0,0.720000000000002,3.36,4.31999999999999,4.55,14.53,5,6.64,11.42,8.57,1.57,5.15000000000001,0,51.17,80.77,100.46,0.17,1.19,0.359999999999999,0.44,0,0.900000000000002,0,0,0.15,2.41,0,0,0,0,1.69,1.32,1.46,1.13,0.809999999999999,0.379999999999999,2.07,0.649999999999999,2.75,0.23,0.449999999999999,1.04,0,0,960,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.37,0.300000000000001,0,8.92,0,0,300,300,200,200,18.7,100,100,100,0,0.650000000000002,189.55,195.95,0.759999999999998
00:30-00:45,26DC2025/05/06,0,0,0,0,0,0,0,0,9.39000000000004,0,40,300,0,0,0,0,3.12,419.69,3.84,0,30,0,0,0,3.62,0,0,0,0,0,0,0,501.18,0,0,0.720000000000002,3.36,4.31999999999999,4.55,14.53,5,7.1,15.08,9.85,1.57,5.15000000000001,0,51.17,80.77,100.46,0.17,1.19,0.359999999999999,0.44,0,0.900000000000002,0,0,0.15,2.41,0,0,0,0,1.69,1.32,1.46,1.13,0.809999999999999,0.379999999999999,2.07,0.649999999999999,2.75,0.23,0.449999999999999,1.04,0,0,960,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0.37,0.300000000000001,0,8.92,0,0,300,300,200,200,18.7,100,100,100,0,0.650000000000002,189.55,195.95,0.759999999999998
00:45-01:00,26DC2025/05/06,0,0,0,0,0,0,0,0,57.65,0,40,300,0,0,0,0,21.1,419.69,3.84,0,30,0,0,0,3.62,0,0,0,0,0,0,0,501.18,0,0,7.61,34.02,28.94,38.7,14.53,24.45,7.1,15.08,9.85,12.2,34.23,0,51.17,80.77,100.46,0.17,1.19,0.359999999999999,0.44,0,0.900000000000002,0,0,0.15,2.41,0,0,0,0,1.69,1.32,1.46,1.13,0.809999999999999,0.379999999999999,2.07,0.649999999999999,2.75,0.23,0.449999999999999,1.47,0,0,960,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,1.83,0.300000000000001,0,8.92,0,0,300,300,200,200,18.7,100,100,100,0,0.650000000000002,189.55,195.95,0.759999999999998
01:00-01:15,26DC2025/05/06,0,0,0,0,0,0,0,0,105.85,0,40,300,0,0,0,0,33.33,419.69,3.84,0,30,0,0,0,3.62,0,0,0,0,0,0,0,501.18,0,0,7.61,34.02,28.94,38.7,14.53,24.45,7.83,16.24,10.3,14.95,34.23,0,51.17,80.77,100.46,0.17,1.19,0.359999999999999,0.44,0,0.900000000000002,0,0,0.15,2.41,0,0,0,0,1.69,1.32,1.46,1.13,0.809999999999999,0.379999999999999,2.07,0.59,2.75,0.02,0.449999999999999,1.47,0,0,960,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,1.83,0.300000000000001,0,8.92,0,0,300,300,200,200,18.7,100,100,100,0,0.650000000000002,189.55,195.95,0.759999999999998
01:15-01:30,26DC2025/05/06,0,0,0,0,0,0,0,0,105.85,0,41,300,0,0,0,0,33.33,419.69,2.88,0,30,0,0,0,3.62,0,0,0,0,0,0,0,501.18,0,0,7.61,34.02,28.94,38.7,14.53,24.45,7.77,16.24,10.3,14.95,34.23,0,51.17,80.77,100.46,0.17,1.19,0.359999999999999,0.44,0,0.900000000000002,0,0,0.11,2.41,0,0,0,0,1.69,1.32,1.46,1.13,0.809999999999999,0.379999999999999,2.07,0.59,2.75,0.02,0.449999999999999,1.47,0,0,960,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,1.83,0.300000000000001,0,8.92,0,0,300,300,200,200,18.7,100,100,100,0,0.650000000000002,189.55,195.95,0.759999999999998
01:30-01:45,26DC2025/05/06,0,0,0,0,0,0,0,0,115.19,0,41,300,0,0,0,0,43.87,430.8,2.88,0,30,0,0,0,3.62,0,0,0,0,0,0,0,501.18,0,0,7.61,34.02,28.94,38.7,14.53,24.45,7.77,16.24,10.3,14.95,34.23,0,51.83,80.77,100.46,0.17,1.19,0.359999999999999,0.44,0,0.900000000000002,0,0,0.11,2.41,0,0,0,0,1.69,1.32,1.46,1.13,0.809999999999999,0.379999999999999,2.07,0.59,2.75,0.23,0.449999999999999,1.47,0,0,960,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,1.83,0.300000000000001,0,8.92,0,0,300,300,200,200,18.7,100,100,100,0,0.650000000000002,189.55,195.95,0.759999999999998
01:45-02:00,26DC2025/05/06,0,0,0,0,0,0,0,0,115.19,0,41,300,0,0,0,0,43.87,430.8,2.88,0,30,0,0,0,3.62,0,0,0,0,0,0,0,501.18,0,0,7.61,34.02,28.94,38.7,14.53,24.45,7.77,16.24,10.3,14.95,34.23,0,51.83,80.77,100.46,0.17,0.800000000000001,0.359999999999999,0.44,0,0.900000000000002,0,0,0.11,2.41,0,0,0,0,1.69,1.32,1.46,1.13,0.809999999999999,0.379999999999999,2.07,0.59,1.85,0.23,0.449999999999999,1.47,0,0,960,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,1.83,0.300000000000001,0,8.92,0,0,300,300,200,200,18.7,100,100,100,0,0.650000000000002,189.55,195.95,0.759999999999998
02:00-02:15,26DC2025/05/06,0,0,0,0,0,0,0,0,115.19,0,41,300,0,0,0,0,43.87,430.8,2.88,0,30,0,0,0,3.62,0,0,0,0,0,0,0,501.18,0,0,7.61,34.02,28.94,38.7,14.53,24.45,9.72,18.8,12.62,14.95,34.23,0,51.83,80.77,100.46,0.17,0.800000000000001,0.359999999999999,0.44,0,0.900000000000002,0,0,0.11,2.41,0,0,0,0,1.69,1.32,1.46,1.13,0.809999999999999,0.379999999999999,2.07,0.59,1.85,0,0.449999999999999,1.47,0,0,960,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,1.83,0.300000000000001,0,8.92,0,0,300,300,200,200,18.51,100,100,100,0,0.650000000000002,189.55,195.95,0.759999999999998
02:15-02:30,26DC2025/05/06,0,0,0,0,0,0,0,0,115.19,0,41,300,0,0,0,0,43.87,430.8,2.88,0,30,0,0,0,3.62,0,0,0,0,0,0,0,501.18,0,0,7.61,34.02,28.94,38.7,14.53,24.45,9.72,18.8,12.62,14.95,34.23,0,51.83,80.77,100.46,0.17,0.800000000000001,0.359999999999999,0.44,0,0.900000000000002,0,0,0.11,2.41,0,0,0,0,1.69,1.32,1.46,1.13,0.809999999999999,0.379999999999999,2.07,0.59,1.85,0,0.449999999999999,1.47,0,0,960,0,0.0299999999999999,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,1.83,0.300000000000001,0,8.92,0,0,300,300,200,200,18.51,100,100,100,0,0.650000000000002,189.55,195.95,0.759999999999998
