Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG
00:00-00:15,58DC2025/03/16,0,0,0,0,0,0,0,0,76.46,0,80.15,165,0,0,165,0,26.24,205.15,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,265.4,0,0,2.26,3.68000000000001,4.76,2.43,17.28,5.59,2.63,9.95,7.32,7.86,25.59,0,43.05,68.96,59.73,0,0,0.35,0.620000000000001,0,0.829999999999998,0,0,0,1.04,0,0,0,0,1.41999999999999,1.26,0,0,0,0,0.65,0,2.83999999999999,0,0.26,0,0,0,1020,0,-0.72,-0.47,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
00:15-00:30,58DC2025/03/16,0,0,0,0,0,0,0,0,45.08,0,80.15,165,0,0,165,0,3.62,186.15,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,155,0,0,0.739999999999998,3.68000000000001,4.76,2.43,16.19,5.59,1.67,7.3,4.56,2.21,8.02000000000001,0,43.05,68.96,59.73,0,0,0.35,0.620000000000001,0,0.829999999999998,0,0,0,1.04,0,0,0,0,1.41999999999999,1.26,0,0,0,0,0.65,0,2.83999999999999,0,0.26,0,0,0,1020,0,0,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
00:30-00:45,58DC2025/03/16,0,0,0,0,0,0,0,0,10.83,0,80.15,165,0,0,165,0,3.62,186.15,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,135.8,0,0,0.739999999999998,3.68000000000001,4.76,2.43,16.19,5.59,1.67,7.3,4.56,1.82,5.93000000000001,0,43.05,68.96,59.73,0,0,0.35,0.620000000000001,0,0.829999999999998,0,0,0,1.04,0,0,0,0,1.41999999999999,1.26,0,0,0,0,0.65,0,2.83999999999999,0.23,0.26,0,0,0,1020,0,0,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
00:45-01:00,58DC2025/03/16,0,0,0,0,0,0,0,0,10.83,0,80.15,165,0,0,165,0,3.62,186.15,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,83,0,0,0.739999999999998,3.68000000000001,4.76,2.43,16.19,5.59,1.67,7.3,4.56,1.82,5.93000000000001,0,43.05,68.96,59.73,0,0,0.35,0.620000000000001,0,0.829999999999998,0,0,0,1.04,0,0,0,0,1.41999999999999,1.26,0,0,0,0,0.65,0,2.83999999999999,0.23,0.26,0,0,0,1020,0,0,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:00-01:15,58DC2025/03/16,0,0,0,0,0,0,0,0,10.83,0,80.15,165,0,0,165,0,3.62,186.15,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,129.08,0,0,0.739999999999998,3.68000000000001,4.76,2.43,16.19,5.59,1.67,7.3,4.56,1.82,5.93000000000001,0,43.05,68.96,59.73,0,0,0.35,0.620000000000001,0,0.829999999999998,0,0,0,1.04,0,0,0,0,1.41999999999999,1.26,0,0,0,0,0,0,2.83999999999999,0.23,0.52,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:15-01:30,58DC2025/03/16,0,0,0,0,0,0,0,0,10.83,0,80.15,165,0,0,165,0,3.62,186.15,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,129.08,0,0,0.739999999999998,3.68000000000001,4.76,2.43,16.19,5.59,1.67,7.3,4.56,1.82,5.93000000000001,0,43.26,68.96,59.73,0,0,0.35,0.620000000000001,0,0.829999999999998,0,0,0,1.04,0,0,0,0,1.41999999999999,1.26,0,0,0,0,0,0,2.83999999999999,0.23,0.52,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:30-01:45,58DC2025/03/16,0,0,0,0,0,0,0,0,10.83,0,80.15,165,0,0,165,0,3.62,186.15,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,196.28,0,0,0.739999999999998,3.68000000000001,4.76,2.43,16.19,5.59,1.67,7.3,4.56,1.82,5.93000000000001,0,43.26,68.96,59.73,0,0,0.35,0.620000000000001,0,0.829999999999998,0,0,0,1.04,0,0,0,0,1.41999999999999,1.26,0,0,0,0,0,0,2.83999999999999,0.23,0.52,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
01:45-02:00,58DC2025/03/16,0,0,0,0,0,0,0,0,10.83,0,80.15,165,0,0,165,0,3.62,186.15,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,263.48,0,0,0.739999999999998,3.68000000000001,4.76,2.43,16.19,5.59,1.67,7.3,4.56,1.82,5.93000000000001,0,43.26,68.96,59.73,0,0,0.35,0.620000000000001,0,0.829999999999998,0,0,0,1.04,0,0,0,0,1.41999999999999,1.26,0,0,0,0,0,0,2.83999999999999,0.23,0.52,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.7,100,100,100,0
02:00-02:15,58DC2025/03/16,0,0,0,0,0,0,0,0,10.83,0,80.15,165,0,0,165,0,3.62,186.15,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,318.37,0,0,0.739999999999998,3.68000000000001,4.76,2.43,16.19,5.59,3.51,15.36,9.56,1.82,5.93000000000001,0,43.26,68.96,59.73,0,0,0.35,0.620000000000001,0,0.829999999999998,0,0,0,1.04,0,0,0,0,1.41999999999999,1.26,0,0,0,0,0,0,2.83999999999999,0.01,0.52,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.51,100,100,100,0
02:15-02:30,58DC2025/03/16,0,0,0,0,0,0,0,0,10.83,0,80.15,165,0,0,165,0,3.62,186.15,0,0,320,0,0,0,4.17,0,0,0,0,0,0,0,347,0,0,0.739999999999998,3.68000000000001,4.76,2.43,16.19,5.59,3.51,15.36,9.56,1.82,5.93000000000001,0,43.26,68.96,59.73,0,0,0.35,0.620000000000001,0,0.829999999999998,0,0,0,1.04,0,0,0,0,1.41999999999999,1.26,0,0,0,0,0,0,1.53,0.01,0.52,0,0,0,1020,0,0.03,0,0,0,200,0,0,0,0,0,0,0,0,300,300,100,200,0,0,0,0,0,0,0,16.68,0,0,300,300,200,200,18.51,100,100,100,0
