Timeslot,Revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,APSEPL_FTG,PARBATI2,KHURJA,GHATAMPUR,RAPPD,TEHRIPSP,TEHRIPSP_P
00:00-00:15,58DC2025/08/28,0,0,0,0,33.0001,0,0,0,46.52,0,0,142,0,0,0,0,3.42,262.59,6.66000000000002,0,0,0,0,8.81999999999999,3.95,0,0,0,0,0,0,0,213.02,0,0,0.789999999999999,1.53,4.75,4.96000000000001,47.38,6.2,0.509999999999998,3.01,1.69,1.27,3.76,0,52.09,81.18,105.4,0.33,3.11,1.71,0.59,0,0.919999999999998,0,0,0.22,2.49,5.56,0,0,0,2.28,1.43,14.58,0,0,1.6,1.45,1.47,0,0.5,0,0.96,0,0,0,0,0,200,0,0,200,20,100,0,0,0,-25.17,-8.4,-8.4,300,300,100,200,0,-1.69,-6.68,-6.67,1.23,-2.06,0,0.5,0,74.77,300,300,200,200,18.7,100,100,100,0,0.529999999999999,0.34,0.23,1.48,7.88,416
00:15-00:30,58DC2025/08/28,0,0,0,0,33.0001,0,0,0,46.53,0,0,142,0,0,0,0,3.42,284.72,6.66000000000002,0,0,0,0,0,3.95,0,0,0,0,0,0,0,256.31,0,0,0.789999999999999,1.78,4.75,4.96000000000001,14.92,6.2,0.829999999999998,3.01,1.69,1.27,3.76,0,52.09,81.18,105.4,0.33,3.11,1.71,0.59,0,0.919999999999998,0,0,0.22,2.49,0.890000000000001,0,0,0,0.17,1.43,1.06,0,0,1.6,1.45,1.47,0,0.5,0,0.75,0,0,0,0,0,200,0,0,200,20,100,0,0,0,0,0,0,300,300,100,200,0,0,0,0,1.76,0.180000000000001,0,0.5,0,100,300,300,200,200,18.7,100,100,100,0,0.529999999999999,4.85,3.36,1.48,7.88,416
00:30-00:45,58DC2025/08/28,0,0,0,0,33.0001,0,0,0,46.53,0,0,142,0,0,0,0,3.42,307.81,6.66000000000002,0,0,0,0,0,3.95,0,0,0,0,0,0,0,306.33,0,0,0.789999999999999,1.78,4.75,4.96000000000001,14.92,6.2,0.829999999999998,3.01,1.69,1.27,3.76,0,52.09,81.18,105.4,0.33,3.11,1.71,0,0,0.919999999999998,0,0,0.22,2.49,0.890000000000001,0,0,0,0.25,1.43,1.06,0,0,1.6,1.45,1.47,0,0.5,0,0.57,0,0,0,0,0,200,0,0,200,20,100,0,0,0,0,0,0,300,300,100,200,0,0,0,0,1.76,0.180000000000001,0,0.5,0,100,300,300,200,200,18.7,100,100,100,0,0.529999999999999,4.85,3.36,1.48,7.88,416
00:45-01:00,58DC2025/08/28,0,0,0,0,33.0001,0,0,0,46.53,0,0,142,0,0,0,0,3.42,342.45,6.66000000000002,0,0,0,0,0,3.95,0,0,0,0,0,0,0,354.44,0,0,0.789999999999999,1.78,4.75,4.96000000000001,14.92,6.2,0.829999999999998,3.01,1.69,1.27,3.76,0,52.09,81.18,105.4,0.33,3.11,1.71,0,0,0.919999999999998,0,0,0.22,2.49,0.890000000000001,0,0,0,0.26,1.43,1.06,0,0,1.6,1.45,1.47,0,0.5,0,0.82,0,0,0,0,0,200,0,0,200,20,100,0,0,0,0,0,0,300,300,100,200,0,0,0,0,3.22,0.180000000000001,0,0.5,0,100,300,300,200,200,18.7,100,100,100,0,0.529999999999999,4.85,3.36,1.48,7.88,416
01:00-01:15,58DC2025/08/28,0,0,0,0,33.0001,0,0,0,46.52,0,0,142,0,0,0,0,13.92,384.78,6.66000000000002,0,0,0,0,0,3.95,0,0,0,0,0,0,0,402.55,0,0,2.64,1.78,4.75,4.96000000000001,14.92,6.2,3.86,8.44,5.17,1.27,3.76,0,52.34,81.18,105.4,0.33,3.11,1.71,0,0,0.919999999999998,0,0,0.22,2.49,0.890000000000001,0,0,0,1,1.43,1.06,0,0,1.6,0,1.47,0,0.5,0,1.29,0,0,0,0,0,200,0,0,200,20,100,0,0,0,0,0,0,300,300,100,200,0,0,0,0,3.22,0.180000000000001,0,0.5,0,100,300,300,200,200,18.7,100,100,100,0,0.529999999999999,4.85,3.36,1.48,7.88,416
01:15-01:30,58DC2025/08/28,0,0,0,0,33.0001,0,0,0,46.52,0,0,142,0,0,0,0,13.92,418.45,6.66000000000002,0,0,0,0,0,3.95,0,0,0,0,0,0,0,450.65,0,0,3.94,1.78,4.75,4.96000000000001,14.92,6.2,3.86,8.44,5.17,1.27,3.76,0,52.34,81.18,105.4,0.33,3.11,1.71,0,0,0.919999999999998,0,0,0.22,2.49,0.890000000000001,0,0,0,1,1.43,1.06,0,0,1.6,0,1.47,0,0.5,0,1.51,0,0,0,0,0,200,0,0,200,20,100,0,0,0,0,0,0,300,300,100,200,0,0,0,0,3.22,0.180000000000001,0,0.5,0,100,300,300,200,200,18.7,100,100,100,0,0.529999999999999,4.85,3.36,1.48,7.88,416
01:30-01:45,58DC2025/08/28,0,0,0,0,33.0001,0,0,0,46.52,0,0,142,0,0,0,0,16.65,425.19,6.66000000000002,0,0,0,0,0,24.33,0,0,0,0,0,0,0,498.76,0,0,3.94,1.78,4.75,4.96000000000001,14.92,6.2,6.84,13.93,8.61,1.27,3.76,0,52.34,81.18,105.4,0.33,3.11,1.71,0,0,0.919999999999998,0,0,0.22,2.49,0.890000000000001,0,0,0,0.13,1.43,1.06,0,0,1.6,0,1.44,0,0.5,0,1.51,0,0,0,0,0,200,0,0,200,20,100,0,0,0,0,0,0,300,300,100,200,0,0,0,0,3.22,0.180000000000001,0,0.5,0,100,300,300,200,200,18.7,100,100,100,0,0.529999999999999,4.85,3.36,1.48,7.88,416
01:45-02:00,58DC2025/08/28,0,0,0,0,33.0001,0,0,0,48.44,0,0,142,0,0,0,0,33.8,425.19,6.66000000000002,0,0,0,0,0,51.26,0,0,0,0,0,0,0,546.86,0,0,6.71,1.78,4.75,4.96000000000001,14.92,6.2,6.84,13.93,8.61,1.27,3.76,0,52.34,81.18,105.4,0.33,3.11,1.71,0,0,0.919999999999998,0,0,0.22,2.49,0.890000000000001,0,0,0,0.13,1.43,1.06,0,0,1.6,0,1.44,0,0.5,0,1.51,0,0,0,0,0,200,0,0,200,20,100,0,0,0,0,0,0,300,300,100,200,0,0,0,0,3.22,0.180000000000001,0,0.5,0,100,300,300,200,200,18.7,100,100,100,0,0.529999999999999,4.85,3.36,1.48,7.88,416
02:00-02:15,58DC2025/08/28,0,0,0,0,33.0001,0,0,0,71.22,0,0,142,0,0,0,0,33.8,425.19,6.66000000000002,0,0,0,0,0,51.26,0,0,0,0,0,0,0,588.23,0,0,6.71,2.26,4.75,4.96000000000001,14.93,6.2,7.17,13.93,8.61,1.29,3.76,0,52.6,81.18,105.4,0.33,3.11,1.71,0.699999999999999,0,0.919999999999998,0,0,0.22,2.49,0.699999999999999,0,0,0,0.13,1.43,1.06,0,0,1.62,0,1.44,0,0.5,0,1.51,0,0,0,0,0,200,0,0,200,20,100,0,0,0,0,0,0,300,300,100,200,0,0,0,0,3.22,0.180000000000001,0,0.5,0,100,300,300,200,200,18.51,100,100,100,0,0.529999999999999,4.85,2.89,1.48,7.88,416
02:15-02:30,58DC2025/08/28,0,0,0,0,33.0001,0,0,0,91.43,0,0,142,0,0,0,0,33.8,425.19,6.66000000000002,0,0,0,0,0,51.26,0,0,0,0,0,0,0,588.23,0,0,6.71,2.26,4.75,4.96000000000001,14.93,6.2,7.17,13.93,8.61,1.29,3.76,0,52.6,81.18,105.4,0.33,3.11,1.71,0.699999999999999,0,0.919999999999998,0,0,0.22,2.49,0.699999999999999,0,0,0,0.13,1.43,1.06,0,0,1.62,0,1.44,0,0.5,0,1.51,0,0,0,0,0,200,0,0,200,20,100,0,0,0,0,0,0,300,300,100,200,0,0,0,0,3.22,0.180000000000001,0,0.5,0,100,300,300,200,200,18.51,100,100,100,0,0.529999999999999,4.85,2.89,1.48,7.88,416
