Block,Time,KHSTPP-I,KOTESHWR,NLCIIST1,NLCIIST2,NNTPP,RAMPUR,AURY_RF,BSIUL,RAPPB,RSTPSU1TO6,RSTPSU7,SIMHST1,DULHASTI,KHSTPP-II,NAPP,NTPL,TALA,TALST2,TANDA2,UNCHAHAR2,URI,URI2,ANTA_RF,DADRI_CRF,JHAJJAR,KISHANGANGA,KKNP,NLCTS2EXP,RIHAND2,SEWA2,SINGRAULI_HYDRO,ANTA_LF,DADRI_GF,DADRT2,NLCEXP,PARBATI3,ANTA_CRF,AURY_GF,CHAMERA1,DHAULIGNGA,KOLDAM,SALAL,TEHRI,VALLURNTECL,DADRI_LF,CHAMERA2,FSTPP I & II,KGSU1AND2,KGSU3AND4,KKNPPU2,KUDGI,NJPC,RAPPC,RIHAND1,SIMHST2,TANAKPUR,UNCHAHAR3,ANTA_GF,AURY_LF,DADRI_RF,BRBCL,CHAMERA3,MAPS,RIHAND3,SASAN,SINGRAULI,TelanganaSTPP,UNCHAHAR1,UNCHAHAR4,AURY_CRF
1,00:00-00:15,32.78,8.88,0,0,0,0,71.46,0,0,0,0,0,0,148.3,44.32,0,0,0,0,42.39,0.88,4.31,44.83,0,654.3,0,0,0,118.75,0,0,0,0,683.14,0,0,0,0,0,0,0,1.4,0,0,23.57,0,15.6,0,0,0,0,0,53.93,92,0,7.81,26.39,0,0,69.38,20,0,0,124.32,416.25,125.96,0,20.56,0,0

2,00:15-00:30,32.78,8.88,0,0,0,0,71.46,0,0,0,0,0,0,148.3,44.32,0,0,0,0,42.39,0.88,4.31,44.83,0,654.3,0,0,0,118.75,0,0,0,0,683.14,0,0,0,0,0,0,0,1.4,0,0,23.57,0,15.6,0,0,0,0,0,53.93,92,0,7.81,26.39,0,0,69.38,20,0,0,124.32,416.25,125.96,0,20.56,0,0

3,00:30-00:45,32.78,8.88,0,0,0,0,71.46,0,0,0,0,0,0,148.3,44.32,0,0,0,0,42.39,0.88,4.31,44.83,0,654.3,0,0,0,118.75,0,0,0,0,683.14,0,0,0,0,0,0,0,1.4,0,0,23.57,0,15.6,0,0,0,0,0,53.93,92,0,7.81,26.39,0,0,69.38,20,0,0,124.32,416.25,125.96,0,20.56,0,0

4,00:45-01:00,32.78,8.88,0,0,0,0,71.46,0,0,0,0,0,0,148.3,44.32,0,0,0,0,42.39,0.88,4.31,44.83,0,654.3,0,0,0,118.75,0,0,0,0,683.14,0,0,0,0,0,0,0,1.4,0,0,23.57,0,15.6,0,0,0,0,0,53.93,92,0,7.81,26.39,0,0,69.38,20,0,0,124.32,416.25,125.96,0,20.56,0,0

5,01:00-01:15,32.78,8.88,0,0,0,0,71.46,0,0,0,0,0,0,148.3,44.32,0,0,0,0,42.39,2.21,4.31,44.83,0,654.3,0,0,0,118.75,0,0,0,0,683.14,0,0,0,0,0,0,0,1.4,0,0,23.57,0,16.68,0,0,0,0,0,53.93,92,0,7.81,26.39,0,0,69.38,20,0,0,124.32,416.25,125.96,0,20.56,0,0

