Block,Time,JHAJJAR,NLCIIST2,NLCTS2EXP,RAPPC,UNCHAHAR3,AURY_GF,DADRI_CRF,CHAMERA2,KKNP,SEWA2,SIMHST2,SINGRAULI,TALST2,URI2,BSIUL,CHAMERA1,KOLDAM,NLCIIST1,RIHAND3,RSTPSU7,VALLURNTECL,DADRI_RF,KHSTPP-I,NAPP,PARBATI3,TALA,TANDA2,TEHRI,TelanganaSTPP,UNCHAHAR4,DULHASTI,KGSU3AND4,KKNPPU2,MAPS,NLCEXP,RSTPSU1TO6,SIMHST1,TANAKPUR,UNCHAHAR1,UNCHAHAR2,ANTA_GF,ANTA_LF,AURY_CRF,AURY_RF,DADRI_GF,DADRI_LF,BRBCL,KGSU1AND2,KHSTPP-II,KISHANGANGA,KOTESHWR,KUDGI,NNTPP,RAMPUR,RIHAND1,RIHAND2,AURY_LF,CHAMERA3,RAPPB,SALAL,SASAN,URI,ANTA_RF,DADRT2,DHAULIGNGA,FSTPP I & II,NJPC,NTPL,SINGRAULI_HYDRO,ANTA_CRF
1,00:00-00:15,413.81,0,0,60.23,27.05,0,0,44.22,0,11.58,0,141.78,0,36.35,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,30.92,10.88,0.1,76.9,0,0,53.79,0,0,0,0,0,0,12.94,20.96,42.4,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,32.08,0,83.67,409.5,48.02,48.13,686.07,40.4,20.8,167.1,0,0,0

2,00:15-00:30,413.81,0,0,60.23,27.05,0,0,44.22,0,5.79,0,141.78,0,36.35,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,30.92,10.88,0.1,76.9,0,1.62,53.79,0,0,0,0,0,0,12.94,20.96,42.4,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,32.08,0,83.67,409.5,48.02,48.13,686.07,40.4,20.8,167.1,0,0,0

3,00:30-00:45,413.81,0,0,60.23,27.05,0,0,44.22,0,5.79,0,141.78,0,36.35,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,30.92,10.88,0.1,76.9,0,1.62,53.79,0,0,0,0,0,0,12.94,20.96,42.4,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,32.08,0,83.67,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

4,00:45-01:00,413.81,0,0,60.23,27.05,0,0,44.22,0,5.79,0,141.78,0,36.35,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,30.92,10.88,0.1,76.9,0,1.62,53.79,0,0,0,0,0,0,12.94,20.96,42.4,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,32.08,0,83.67,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

5,01:00-01:15,413.81,0,0,60.23,27.05,0,0,44.22,0,5.79,0,141.78,0,36.35,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,21.08,10.88,0.01,76.9,0,1.62,53.79,0,0,0,0,0,0,12.94,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,32.08,0,83.67,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

6,01:15-01:30,413.81,0,0,60.23,27.05,0,0,44.22,0,5.79,0,141.78,0,36.35,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,21.08,10.88,0.01,76.9,0,1.62,53.79,0,0,0,0,0,0,12.94,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,32.08,0,83.67,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

7,01:30-01:45,413.81,0,0,60.23,27.05,0,0,44.22,0,0,0,141.78,0,36.35,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,10.88,0.01,76.9,0,1.62,53.79,0,0,0,0,0,0,12.94,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,32.08,0,83.67,409.5,48.02,48.13,686.07,40.4,20.8,167.1,0,0,0

8,01:45-02:00,413.81,0,0,60.23,27.05,0,0,44.22,0,0,0,141.78,0,36.35,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,10.88,0.01,76.9,0,1.62,53.79,0,0,0,0,0,0,12.94,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,32.08,0,83.67,409.5,48.02,48.13,686.07,40.4,20.8,167.1,0,0,0

9,02:00-02:15,413.81,0,0,60.23,27.05,0,0,44.22,0,0,0,141.78,0,36.35,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,10.88,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,12.94,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,32.08,0,83.67,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

10,02:15-02:30,413.81,0,0,60.23,27.05,0,0,44.22,0,0,0,141.78,0,36.35,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,10.88,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,12.94,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,32.08,0,83.67,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

11,02:30-02:45,413.81,0,0,60.23,27.05,0,0,44.22,0,0,0,141.78,0,36.35,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,10.88,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,12.94,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,32.08,0,83.67,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

12,02:45-03:00,413.81,0,0,60.23,27.05,0,0,44.22,0,0,0,141.78,0,36.35,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,10.88,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,12.94,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,32.08,0,83.67,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

13,03:00-03:15,413.81,0,0,60.23,27.05,0,0,44.22,0,0,0,141.78,0,33.98,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,11.01,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,11.78,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,79.6,409.5,48.02,48.13,686.07,40.4,20.8,167.1,0,0,0

14,03:15-03:30,413.81,0,0,60.23,27.05,0,0,44.22,0,0,0,141.78,0,33.98,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,10.89,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,11.78,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,79.6,409.5,48.02,48.13,686.07,40.4,20.8,167.1,0,0,0

15,03:30-03:45,413.81,0,0,60.23,27.05,0,0,44.22,0,0,0,141.78,0,33.98,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,10.99,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,11.78,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,79.6,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

16,03:45-04:00,413.81,0,0,60.23,27.05,0,0,44.22,0,0,0,141.78,0,33.98,6.52,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,10.98,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,11.78,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,79.6,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

17,04:00-04:15,413.81,0,0,60.23,27.05,0,0,44.22,0,0,0,141.78,0,33.98,13.04,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,10.97,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,11.78,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,79.6,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

18,04:15-04:30,413.81,0,0,60.23,27.05,0,0,44.22,0,0,0,141.78,0,33.98,13.04,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,10.86,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,11.78,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,79.6,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

19,04:30-04:45,413.81,0,0,60.23,27.05,0,0,44.22,0,0,0,141.78,0,33.98,13.04,42.15,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,10.75,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,11.78,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,74.37,409.5,48.02,48.13,686.07,40.4,20.8,167.1,0,0,0

20,04:45-05:00,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,28.1,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,10.5,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,11.78,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,74.37,409.5,48.02,48.13,686.07,40.4,20.8,167.1,0,0,0

21,05:00-05:15,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,28.1,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,10.21,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,11.78,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,74.37,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

22,05:15-05:30,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,28.1,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,9.7,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,11.78,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,74.37,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

23,05:30-05:45,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,28.1,5.35,0,127.6,0,0,97.42,33.69,45.46,8.43,9.68,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,11.78,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,74.37,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

24,05:45-06:00,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,28.1,5.35,0,127.6,0,0,97.42,33.69,45.46,54.11,9.72,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,11.78,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,74.37,409.5,44.16,48.13,686.07,40.4,20.8,167.1,0,0,0

25,06:00-06:15,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,28.1,5.35,0,127.6,0,0,97.42,33.69,45.46,54.11,9.43,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,11.78,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,74.37,409.5,48.02,46.96,686.07,40.4,20.8,167.1,0,0,0

26,06:15-06:30,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,28.1,5.35,0,127.6,0,0,97.42,33.69,45.46,54.11,9.23,1.4,76.9,0,1.62,53.79,0,0,0,0,0,0,11.53,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,74.37,409.5,48.02,46.96,686.07,40.4,20.8,167.1,0,0,0

27,06:30-06:45,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,28.1,5.35,0,127.6,0,0,97.42,33.69,45.46,54.11,9.23,1.41,76.9,0,1.62,53.79,0,0,0,0,0,0,11.53,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,74.37,409.5,44.16,46.96,686.07,40.4,20.8,167.1,0,0,0

28,06:45-07:00,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,28.1,5.35,0,127.6,0,0,97.42,33.69,45.46,54.11,9.04,1.41,76.9,0,1.62,53.79,0,0,0,0,0,0,11.53,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,74.37,409.5,44.16,46.96,686.07,40.4,20.8,167.1,0,0,0

29,07:00-07:15,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,28.1,5.35,0,127.6,0,0,97.42,33.69,45.46,54.11,9.41,1.41,76.9,0,1.62,53.79,0,0,0,0,0,0,11.53,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,74.37,409.5,44.16,46.96,686.07,40.4,20.8,167.1,0,0,0

30,07:15-07:30,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,28.1,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,9.47,1.41,76.9,0,1.62,53.79,0,0,0,0,0,0,11.53,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,74.37,409.5,44.16,46.96,686.07,40.4,20.8,167.1,0,0,0

31,07:30-07:45,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,28.1,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,9.64,1.41,76.9,0,1.62,53.79,0,0,0,0,0,0,11.53,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,74.37,409.5,48.02,46.96,686.07,40.4,20.8,167.1,0,0,0

32,07:45-08:00,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,28.1,5.35,0,127.6,0,0,97.42,33.69,45.46,17.56,9.67,1.41,76.9,0,1.62,53.79,0,0,0,0,0,0,11.53,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,74.37,409.5,48.02,46.96,686.07,40.4,20.8,167.1,0,0,0

33,08:00-08:15,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,28.1,5.35,0,127.6,0,0,94.95,33.69,45.46,17.56,12.21,1.41,76.9,0,1.62,53.79,0,0,0,0,0,0,11.53,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,75.52,409.5,44.16,46.96,686.07,40.4,20.8,167.1,0,0,0

34,08:15-08:30,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,14.05,5.35,0,127.6,0,0,94.95,33.69,45.46,17.56,12.32,1.41,76.9,0,1.62,53.79,0,0,0,0,0,0,11.53,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,75.52,409.5,44.16,46.96,686.07,40.4,20.8,167.1,0,0,0

35,08:30-08:45,413.81,0,0,60.23,27.05,0,0,29.48,0,0,0,141.78,0,33.98,13.04,14.05,5.35,0,127.6,0,0,94.95,33.69,45.46,17.56,12.41,1.41,76.9,0,1.62,53.79,0,0,0,0,0,0,11.53,20.96,43.71,0,0,0,78.06,0,0,20.01,0,98.87,1.44,38.64,0,0,3.54,0,121.71,0,21.37,0,75.52,409.5,44.16,46.96,686.07,40.4,20.8,167.1,0,0,0

