Block,Time,BSIUL,DADRT2,KGSU1AND2,RAPPC,RIHAND1,TEHRI,URI2,DHAULIGNGA,KKNP,SINGRAULI_HYDRO,TALA,UNCHAHAR3,VALLURNTECL,KHSTPP-I,MAPS,NNTPP,NTPL,RIHAND3,RSTPSU1TO6,SALAL,SIMHST1,ANTA_RF,AURY_LF,BRBCL,DULHASTI,KGSU3AND4,KHSTPP-II,NJPC,RIHAND2,UNCHAHAR2,UNCHAHAR4,ANTA_GF,DADRI_LF,DADRI_RF,KKNPPU2,NLCIIST2,RAMPUR,RAPPB,RSTPSU7,TALST2,TANAKPUR,TANDA2,TelanganaSTPP,ANTA_LF,AURY_CRF,AURY_GF,CHAMERA1,FSTPP I & II,KUDGI,NLCIIST1,PARBATI3,UNCHAHAR1,CHAMERA2,CHAMERA3,JHAJJAR,KOLDAM,KOTESHWR,SEWA2,DADRI_GF,KISHANGANGA,NAPP,NLCEXP,NLCTS2EXP,PARBATI2,SASAN,SIMHST2,SINGRAULI,URI,ANTA_CRF,AURY_RF,DADRI_CRF
1,00:00-00:15,13.04,688.87,0,69.1,97.18,12.98,39.63,0,0,0.94,0,27.67,0,45.83,0,0,0,130.75,0,70.88,0,53.44,0,20,39.62,0,148.3,82.89,124.53,20.27,2.28,0,0,74.38,0,0,3.27,0,0,0,0.51,5.65,0,0,0,0,42.15,15.29,0,0,16.86,21.63,32.49,23.3,498.51,0,10.41,18.88,0,8.56,50.94,0,0,11.24,418.77,0,150.25,34.78,0,85.35,0

2,00:15-00:30,13.04,688.87,0,69.1,97.18,12.98,39.63,0,0,0.94,0,27.67,0,45.83,0,0,0,130.75,0,70.88,0,53.44,0,20,39.62,0,148.3,44.74,124.53,20.27,2.28,0,0,74.38,0,0,1.76,0,0,0,0.51,5.65,0,0,0,0,42.15,15.29,0,0,16.86,21.63,32.49,23.3,498.51,0,10.41,18.88,0,8.56,50.94,0,0,11.24,418.77,0,150.25,34.78,0,85.35,0

3,00:30-00:45,13.04,688.87,0,69.1,97.18,0,39.63,0,0,0.94,0,27.67,0,45.83,0,0,0,130.75,0,70.88,0,53.44,0,20,39.62,0,148.3,44.74,124.53,20.27,2.28,0,0,74.38,0,0,1.76,0,0,0,0.51,5.65,0,0,0,0,42.15,15.29,0,0,16.86,21.63,32.49,23.3,498.51,0,10.41,18.88,0,8.56,50.94,0,0,11.24,418.77,0,150.25,34.78,0,85.35,0

4,00:45-01:00,13.04,688.87,0,69.1,97.18,0,39.63,0,0,0.94,0,27.67,0,45.83,0,0,0,130.75,0,70.88,0,53.44,0,20,39.62,0,148.3,44.74,124.53,20.27,2.28,0,0,74.38,0,0,1.76,0,0,0,0.51,5.65,0,0,0,0,42.15,15.29,0,0,16.86,21.63,32.49,23.3,498.51,0,10.41,18.88,0,8.56,50.94,0,0,11.24,418.77,0,150.25,34.78,0,85.35,0

5,01:00-01:15,13.04,688.87,0,69.1,97.18,0,39.63,0,0,0.95,0,27.67,0,45.83,0,0,0,130.75,0,70.88,0,53.44,0,20,39.62,0,148.3,44.74,124.53,20.27,2.28,0,0,74.38,0,0,1.76,0,0,0,0,5.65,0,0,0,0,42.15,15.29,0,0,16.86,21.63,32.49,23.3,498.51,0,10.41,18.88,0,8.56,50.94,0,0,11.24,418.77,0,150.25,34.78,0,85.35,0

