Block,Time,DADRT2,CHAMERA3,CHAMERA2,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,UNCHAHAR2,SEWA2,JHAJJAR,RIHAND2,KOTESHWR,PARBATI3,RAMPUR,RIHAND1,DULHASTI,SINGRAULI_HYDRO,KOLDAM,NJPC,RAPPC,TEHRI,DHAULIGNGA,TANDA2,RIHAND3,SINGRAULI,KISHANGANGA,NAPP,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,NLCIIST2,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCTS2EXP,NNTPP,RSTPSU7,SIMHST1,SIMHST2,TALST2,TelanganaSTPP,VALLURNTECL,NTPL,RSTPSU1TO6,FSTPP I & II,KHSTPP-II,KHSTPP-I,TALA,BRBCL,SASAN
1,00:00-00:15,688.415947,11.598717,32.333219,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,10.375318,0,0,97.055943,19.725135,0.758012,0,0,69.669668,24.382481,0,4.867258,130.580717,149.98895,5.493709,51.476056,0,13.0416,38.64,0,12.782,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,365.625

2,00:15-00:30,688.415947,11.598717,32.333219,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,10.375318,0,0,97.055943,19.725135,0.758012,0,0,69.669668,24.382481,0,5.088497,130.580717,149.98895,5.493709,51.476056,0,13.0416,38.64,0,12.782,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,382.5

3,00:30-00:45,688.415947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,10.375318,0,0,97.055943,19.725135,0.758012,0,0,69.669668,24.382481,0,5.309736,130.580717,149.98895,5.493709,51.476056,0,13.0416,33.12,0,12.782,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,390.375

4,00:45-01:00,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,10.375318,0,0,97.055943,19.725135,0.758012,0,0,69.669668,24.382481,0,5.534073,130.580717,149.98895,5.493709,51.476056,0,13.0416,33.12,0,12.782,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,398.25

5,01:00-01:15,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,10.375318,0,0,97.055943,19.725135,0.758012,0,0,69.669668,24.382481,0,5.534073,130.580717,149.98895,5.493709,51.476056,0,13.0416,33.12,0,12.782,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,406.125

6,01:15-01:30,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,10.375318,0,0,97.055943,19.725135,0.758012,0,0,69.669668,24.382481,0,5.534073,130.580717,149.98895,5.493709,51.476056,0,13.0416,33.12,0,26.726,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,414

7,01:30-01:45,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,10.375318,0,0,97.055943,19.725135,0.758012,0,0,69.669668,24.382481,0,5.534073,130.580717,149.98895,5.493709,51.476056,0,13.0416,38.64,0,79.37622,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,418.77

8,01:45-02:00,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,10.375318,0,0,97.055943,19.725135,0.758012,0,0,69.669668,24.382481,0,5.534073,130.580717,149.98895,5.493709,51.476056,0,13.0416,38.64,0,79.37622,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,418.77

9,02:00-02:15,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,10.375318,0,0,97.055943,19.725135,0.758012,0,0,69.669668,24.382481,0,5.534073,130.580717,149.98895,5.493709,51.476056,0,13.0416,33.12,0,79.37622,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,418.77

10,02:15-02:30,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,10.375318,0,0,97.055943,19.725135,0.758012,0,0,69.669668,24.382481,0,5.534073,130.580717,149.98895,5.493709,51.476056,0,13.0416,33.12,0,79.37622,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,418.77

11,02:30-02:45,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,20.750636,0,0,97.055943,19.725135,0.758012,0,0,69.669668,24.382481,0,5.534073,130.580717,149.98895,5.493709,51.476056,0,13.0416,33.12,0.6405,79.37622,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,418.77

12,02:45-03:00,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,20.750636,0,0,97.055943,19.725135,0.758012,0,0,69.669668,24.382481,0,5.534073,130.580717,149.98895,5.493709,51.476056,0,13.0416,33.12,0.6405,79.37622,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,418.77

13,03:00-03:15,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,20.750636,0,0,97.055943,19.725135,0.758012,0,0,69.669668,36.573721,0,5.534073,130.580717,149.98895,5.493709,51.476056,0,13.0416,38.64,0.6405,26.726,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,418.77

14,03:15-03:30,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,20.750636,0,0,97.055943,19.725135,0.758012,0,0,69.669668,36.573721,0,5.534073,130.580717,149.98895,5.493709,51.476056,0,13.0416,38.64,0.6405,25.564,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,418.77

15,03:30-03:45,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,20.750636,0,0,97.055943,19.725135,0.758012,0,0,69.669668,36.573721,0,5.534073,130.580717,149.98895,5.493709,51.476056,0,13.0416,33.12,0.6405,25.564,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,418.77

16,03:45-04:00,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,20.750636,0,0,97.055943,19.725135,0.758012,0,0,69.669668,36.573721,0,5.534073,130.580717,149.98895,5.493709,51.476056,0,13.0416,33.12,0.6405,25.564,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,418.77

17,04:00-04:15,688.715947,11.598717,16.166609,22.630299,3.094586,37.890519,27.638981,44.906625,9.514482,674.817829,124.384996,20.750636,0,0,97.055943,19.725135,0.758012,0,0,69.669668,36.573721,0,5.534073,130.580717,149.98895,5.493709,51.476056,0,13.0416,33.12,0.6405,25.564,0,0,108.62768,0,0,0,84.935543,0,0,0,52.527866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.801072,148.202375,34.79931,0,20.0018,418.77

