Block,Time,SINGRAULI_HYDRO,TANAKPUR,TEHRI,SINGRAULI,TANDA2,DHAULIGNGA,DULHASTI,JHAJJAR,KOLDAM,KOTESHWR,NAPP,PARBATI3,RAPPB,BSIUL,CHAMERA2,CHAMERA3,DADRT2,RAPPC,RAMPUR,NJPC,KISHANGANGA,CHAMERA1,RIHAND1,RIHAND2,SALAL,SEWA2,RIHAND3,UNCHAHAR2,UNCHAHAR3,UNCHAHAR4,URI2,UNCHAHAR1,URI,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,TALA,FSTPP I & II,BRBCL,KHSTPP-I,KHSTPP-II,VSTPS I,VSTPS II,VSTPS III,VSTPS IV,VSTPS V,LARA-I,MOUDA,SIPAT I,SIPAT II,SOLAPUR,MOUDA_II,TAPS-II,SASAN,GADARWARA-I,KHARGONE-I,KSTPS I&II,KSTPS7,KAPS,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas
1,00:00-00:15,1.095647,6.0207,30.522714,144.026761,2.525983,0,53.905351,661.459879,0,17.425727,44.150584,0,0,19.6614,43.63516,31.709733,0,59.301365,0.395741,20.475526,2.551476,42.14808,94.319982,120.694688,53.452,17.179062,126.520838,43.545976,26.963602,1.427606,35.652699,22.193777,49.68,0,6.41457,37.904278,0,0,73.287536,0,0,0,6.080757,91.211347,0,3.03,2.38,3.78,0.42,0.87,0.2,1.99,2.18,1.61,0,1.85,7.82,1.94,0,9.33,0.24,1.7,0.84,0,19.46,15.00135,41.883,147.515625,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542467,3.511691,2.793398,276.75,4.2939,3.542468,2.969334,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

2,00:15-00:30,1.095647,6.0207,30.522714,144.026761,2.525983,0,53.905351,661.459879,0,17.425727,44.150584,0,0,19.6614,43.63516,31.709733,0,59.301365,0,0,2.551476,42.14808,94.319982,120.694688,53.452,17.179062,126.520838,43.545976,26.963602,1.427606,35.652699,22.193777,49.68,0,6.41457,37.904278,0,0,73.287536,0,0,0,6.080757,91.211347,0,3.03,2.38,3.78,0.42,0.87,0.2,1.99,2.18,1.61,0,1.85,7.82,1.94,0,9.33,0.24,1.7,0.84,0,19.46,15.00135,41.883,147.515625,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542467,3.511691,2.793398,276.75,4.2939,3.542468,2.969334,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

3,00:30-00:45,1.095647,6.0207,30.522714,144.026761,2.525983,0,53.905351,661.459879,0,17.425727,44.150584,0,0,19.6614,43.63516,31.709733,0,59.301365,0,0,2.551476,42.14808,94.319982,120.694688,53.452,17.179062,126.520838,43.545976,26.963602,1.427606,35.652699,22.193777,49.68,0,6.41457,37.904278,0,0,73.287536,0,0,0,6.080757,91.211347,0,3.03,2.38,3.78,0.42,0.87,0.22,1.99,2.18,1.61,0,1.85,7.82,1.94,0,9.33,0.24,1.7,0.84,0,19.46,15.00135,41.883,147.515625,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542467,3.511691,2.793398,276.75,4.2939,3.542468,2.920281,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

4,00:45-01:00,1.095647,6.0207,30.522714,144.026761,2.525983,0,53.905351,661.459879,0,17.425727,44.150584,0,0,19.6614,43.63516,31.709733,44.780195,59.301365,0,0,2.551476,42.14808,94.319982,120.694688,53.452,17.179062,126.520838,43.545976,26.963602,1.427606,35.652699,22.193777,52.992,0,6.41457,37.904278,0,0,73.287536,0,0,0,6.080757,91.211347,0,3.03,2.38,3.78,0.42,0.87,0.22,1.99,2.18,1.61,0,1.85,7.82,1.94,0,9.33,0.24,1.7,0.84,0,19.46,15.00135,41.883,147.515625,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542467,3.511691,2.793398,276.75,4.2939,3.542468,2.920281,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

5,01:00-01:15,1.095647,0.6405,30.522714,144.026761,2.525983,0,53.905351,661.459879,0,17.425727,44.150584,0,0,13.1076,43.63516,31.709733,44.780195,59.301365,0,0,2.551476,42.14808,94.319982,120.694688,53.452,17.179062,126.520838,43.545976,26.963602,1.427606,34.64741,22.193777,52.992,0,6.41457,38.487422,0,0,73.287536,0,0,0,6.080757,91.211347,0,3.03,2.38,3.78,0.42,0.87,0.2,1.99,2.18,1.61,0,1.85,7.82,1.94,0,9.33,0.24,1.7,0.84,0,19.46,15.00135,41.883,147.515625,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542467,3.511691,2.793398,276.75,4.2939,3.542468,2.920281,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

6,01:15-01:30,1.095647,0.6405,30.522714,144.026761,2.525983,0,53.905351,661.459879,0,17.425727,44.150584,0,0,13.1076,43.63516,31.709733,59.706927,59.301365,0,0,2.551476,42.14808,94.319982,120.694688,53.452,17.179062,126.520838,43.545976,26.963602,1.427606,34.64741,22.193777,49.68,0,6.41457,38.487422,0,0,73.287536,0,0,0,6.080757,91.211347,0,3.03,2.38,3.78,0.42,0.87,0.2,1.99,2.18,1.61,0,1.85,7.82,1.94,0,9.33,0.24,1.7,0.84,0,19.46,15.00135,41.883,147.515625,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542467,3.511691,2.793398,276.75,4.2939,3.542468,2.920281,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

7,01:30-01:45,1.095647,0.6405,30.522714,144.026761,2.525983,0,53.905351,661.459879,0,8.712863,44.150584,0,0,13.1076,43.63516,31.709733,59.706927,59.301365,0,0,2.551476,42.14808,94.319982,120.694688,53.452,17.179062,126.520838,43.545976,26.963602,1.427606,34.64741,22.193777,49.68,0,6.41457,38.487422,0,0,73.287536,0,0,0,6.080757,91.211347,0,3.03,2.38,3.78,0.42,0.87,0.2,1.99,2.18,1.61,0,1.85,7.82,1.94,0,9.33,0.24,1.7,0.84,0,19.46,15.00135,41.883,147.515625,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542467,3.511691,2.793398,276.75,4.2939,3.542468,2.920281,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

8,01:45-02:00,1.095647,0.6405,30.522714,144.026761,2.525983,0,53.905351,661.459879,0,8.712863,44.150584,0,0,13.1076,43.63516,31.709733,74.633658,59.301365,0,0,2.551476,42.14808,94.319982,120.694688,53.452,17.179062,126.520838,43.545976,26.963602,1.427606,34.64741,22.193777,49.68,0,6.41457,38.487422,0,0,73.287536,0,0,0,6.080757,91.211347,0,3.03,2.38,3.78,0.42,0.87,0.2,1.99,2.18,1.61,0,1.85,7.82,1.94,0,9.33,0.24,1.7,0.84,0,19.46,15.00135,41.883,147.515625,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542467,3.511691,2.793398,276.75,4.2939,3.542468,2.920281,1.341844,0.82956,0,0,0.001858,0.021924,0,0,0.002557,0,0.018058

9,02:00-02:15,1.095647,0.6405,30.522714,144.026761,2.525983,0,53.905351,661.459879,0,8.712863,44.150584,0,0,13.1076,43.63516,21.118518,74.633658,59.301365,0,0,2.551476,42.14808,94.319982,120.694688,53.452,17.179062,126.520838,43.545976,26.963602,1.427606,34.64741,22.193777,49.68,0,6.41457,39.070565,0,0,73.287536,0,0,0,6.080757,91.211347,0,3.03,2.38,3.78,0.42,0.88,0.2,1.99,2.18,1.61,0,1.85,7.82,1.94,0,9.33,0.24,1.7,0.84,0,19.46,15.00135,41.883,147.515625,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542467,3.511691,2.793398,276.75,4.2939,3.542468,2.920281,1.341844,0.82956,0,0,0.001858,0.022111,0,0,0.002557,0,0.018058

10,02:15-02:30,1.095647,0.6405,30.522714,144.026761,2.525983,0,53.905351,661.459879,0,8.712863,44.150584,0,0,13.1076,43.63516,21.118518,89.560389,59.301365,0,0,2.551476,42.14808,94.319982,120.694688,53.452,17.179062,126.520838,43.545976,26.963602,1.427606,34.64741,22.193777,49.68,0,6.41457,39.070565,0,0,73.287536,0,0,0,6.080757,91.211347,0,3.03,2.38,3.78,0.42,0.88,0.2,1.99,2.18,1.61,0,1.85,7.82,1.94,0,9.33,0.24,1.7,0.84,0,19.46,15.00135,41.883,147.515625,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,5.313701,1.870228,3.542467,3.511691,2.793398,276.75,4.2939,3.542468,2.920281,1.341844,0.82956,0,0,0.001858,0.022111,0,0,0.002557,0,0.018058

11,02:30-02:45,1.095647,0.6405,30.522714,144.026761,2.525983,0,53.905351,661.459879,0,8.712863,44.150584,0,0,13.1076,43.63516,21.118518,89.560389,59.301365,0,0,2.551476,42.14808,94.319982,120.694688,53.452,17.179062,126.520838,43.545976,26.963602,1.427606,34.64741,22.193777,49.68,0,6.41457,39.070565,0,0,73.287536,0,0,0,6.080757,91.211347,0,3.03,2.38,3.78,0.42,0.88,0.2,1.99,2.18,1.61,0,1.85,7.82,1.94,0,9.33,0.24,1.7,0.84,0,19.46,15.00135,41.883,147.515625,2.384634,1.942962,1.959684,2.683688,1.327531,4.258125,1.938103,4.86642,1.870228,3.542467,3.511691,2.793398,276.75,4.2939,3.542468,2.920281,1.341844,0.82956,0,0,0.001858,0.022111,0,0,0.002557,0,0.018058

