Block,Time,CHAMERA2,RIHAND1,RAMPUR,NAPP,TEHRI,RIHAND3,DADRT2,DULHASTI,SINGRAULI,URI,KOLDAM,SINGRAULI_HYDRO,CHAMERA3,RIHAND2,RAPPC,NJPC,UNCHAHAR1,DHAULIGNGA,SALAL,JHAJJAR,URI2,KOTESHWR,TANAKPUR,BSIUL,PARBATI3,UNCHAHAR2,SEWA2,KISHANGANGA,TANDA2,CHAMERA1,UNCHAHAR3,UNCHAHAR4,RAPPB,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,KGSU3AND4,KKNP,KKNPPU2,NLCTS2EXP,NNTPP,NTPL,MAPS,KGSU1AND2,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,KHSTPP-I,FSTPP I & II,BRBCL,TALA,KHSTPP-II,SASAN
1,00:00-00:15,0,92,0,0,0,123.665625,683.129127,0,125.5875,3.312,0,0.78433,0,57.96,54.567,0,0,0,6.972,435.435,16.68048,6.409,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.805,29.4,0,0,0,69.8298,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,418.77

2,00:15-00:30,0,92,0,0,0,123.665625,683.129127,0,125.5875,3.312,0,0.78433,0,57.96,54.567,0,0,0,1.3944,435.435,16.68048,6.409,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.805,29.4,0,0,0,69.8298,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,418.77

3,00:30-00:45,0,92,0,0,0,123.665625,683.129127,0,125.5875,3.312,0,0.78433,0,57.96,54.567,0,0,0,1.3944,435.435,16.68048,6.409,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.805,29.4,0,0,0,69.8298,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,418.77

4,00:45-01:00,0,92,0,0,0,123.665625,683.129127,0,125.5875,3.312,0,0.78433,0,57.96,54.567,0,0,0,1.3944,435.435,16.68048,6.409,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.805,29.4,0,0,0,69.8298,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,418.77

5,01:00-01:15,0,92,0,0,0,123.665625,683.129127,0,125.5875,3.312,0,0.78433,0,57.96,54.567,0,0,0,1.3944,435.435,16.68048,6.409,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.805,29.4,0,0,0,69.8298,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,418.77

6,01:15-01:30,0,92,0,0,0,123.665625,683.129127,0,125.5875,3.312,0,0.78433,0,57.96,54.567,0,0,0,1.3944,435.435,16.68048,6.409,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.805,29.4,0,0,0,69.8298,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,418.77

7,01:30-01:45,0,92,0,0,0,123.665625,683.129127,0,125.5875,3.312,0,0.78433,0,57.96,54.567,0,0,0,1.3944,435.435,6.726,6.409,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.805,29.4,0,0,0,69.8298,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,418.77

8,01:45-02:00,0,92,0,0,0,123.665625,683.129127,0,125.5875,3.312,0,0.78433,0,57.96,54.567,0,0,0,1.3944,435.435,4.7082,6.409,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.805,29.4,0,0,0,69.8298,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,418.77

9,02:00-02:15,0,92,0,0,0,123.665625,683.129127,0,125.5875,4.416,0,0.78433,0,57.96,54.567,0,0,0,1.3944,435.435,4.7082,6.409,0,0,0,42.392196,0,0,0,0,26.39091,0,0,0,0,14.805,29.4,0,0,0,69.8298,0,0,0,92.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79931,18.140334,15.00135,0,147.515625,418.77

