Block,Time,BRBCL,KHSTPP-I,RSTPSU1TO6,SIMHST1,TANAKPUR,URI,AURY_RF,CHAMERA2,CHAMERA3,NLCTS2EXP,NTPL,UNCHAHAR2,UNCHAHAR4,URI2,AURY_CRF,KOLDAM,KOTESHWR,NJPC,RAPPC,RSTPSU7,SEWA2,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR3,AURY_GF,DADRI_CRF,DADRI_LF,CHAMERA1,JHAJJAR,KGSU3AND4,KKNPPU2,RIHAND2,SALAL,AURY_LF,BSIUL,DHAULIGNGA,KISHANGANGA,SASAN,UNCHAHAR1,ANTA_GF,ANTA_RF,KKNP,KUDGI,NLCEXP,NLCIIST1,RIHAND1,RIHAND3,SIMHST2,VALLURNTECL,ANTA_CRF,ANTA_LF,DADRI_GF,DADRT2,DULHASTI,KGSU1AND2,KHSTPP-II,MAPS,NNTPP,SINGRAULI,TALA,TEHRI,DADRI_RF,FSTPP I & II,NAPP,NLCIIST2,PARBATI3,RAMPUR,RAPPB,TALST2,TANDA2
1,00:00-00:15,15,45.53,0,0,5.76,0.45,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,348.98,19.98,0,43.99,0,0,0,0,92,62.16,0,0,0,0,0,683.14,16.48,0,148.3,0,0,139.69,0,0,90.42,20.8,43.79,0,0,0,0,0,0

2,00:15-00:30,15,45.53,0,0,5.76,0.45,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,348.98,19.98,0,43.99,0,0,0,0,92,62.16,0,0,0,0,0,683.14,16.48,0,148.3,0,0,139.69,0,0,90.42,20.8,43.79,0,0,0,0,0,0

3,00:30-00:45,15,45.53,0,0,5.76,0.45,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.65,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,348.98,19.98,0,44.21,0,0,0,0,92,62.16,0,0,0,0,0,683.14,16.48,0,148.3,0,0,139.69,0,0,90.42,20.8,43.79,0,0,0,0,0,0

4,00:45-01:00,15,45.53,0,0,5.76,0.45,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.65,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,348.98,19.98,0,44.21,0,0,0,0,92,62.16,0,0,0,0,0,683.14,16.48,0,148.3,0,0,139.69,0,0,90.42,20.8,43.79,0,0,0,0,0,0

5,01:00-01:15,15,45.53,0,0,5.76,0.45,70.81,0,0,0,0,42.39,0,4.31,0,0,8.87,0,26.01,0,0,0.65,0,0,0,0,0,0,434.65,0,0,118.76,1.4,0,0,0,0,348.98,19.98,0,44.21,0,0,0,0,92,62.16,0,0,0,0,0,683.14,16.48,0,148.3,0,0,139.69,0,0,90.42,20.8,43.79,0,0,0,0,0,0

