Block,Time,BSIUL,CHAMERA1,SINGRAULI,TANAKPUR,TANDA2,UNCHAHAR1,UNCHAHAR2,UNCHAHAR4,URI,SINGRAULI_HYDRO,TEHRI,URI2,UNCHAHAR3,SEWA2,CHAMERA2,CHAMERA3,DADRT2,DHAULIGNGA,JHAJJAR,KISHANGANGA,KOTESHWR,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,RIHAND2,RIHAND3,DULHASTI,KOLDAM,SALAL,NJPC,RAPPC,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,TALST2,VALLURNTECL,NTPL,NLCIIST2,NLCTS2EXP,NNTPP,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,SIMHST2,RSTPSU1TO6,RSTPSU7,SIMHST1,KUDGI,MAPS,NLCEXP,NLCIIST1,TALA,KHSTPP-II,KHSTPP-I,FSTPP I & II,BRBCL,TAPS-II,VSTPS V,VSTPS I,KSTPS7,SOLAPUR,GADARWARA-I,KSTPS I&II,SIPAT II,KHARGONE-I,SIPAT I,VSTPS IV,MOUDA_II,VSTPS III,MOUDA,VSTPS II,LARA-I,KAPS,SASAN,KAWAS-APM,KAWAS-NAPM,KAWAS-RLNG,KAWAS-zLIQ,KAWAS-ComGas,GANDHAR-APM,GANDHAR-NAPM,GANDHAR-RLNG,GANDHAR-ComGas
1,00:00-00:15,6.49,42.14808,132.710689,0,4.233847,22.444045,44.326064,2.392833,48.576,1.053695,50.350934,36.506751,27.350811,18.108732,46.424172,22.310403,691.093984,0,667.076637,6.41486,27.85743,48.377483,0,0.663309,0,46.90201,122.432091,128.451291,18.910588,1.621209,69.72,21.51372,65.267821,0,3.734724,28.632886,6.22454,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,1.52,0,0.22,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.24,1.83,1.02,0,147.515625,45.2215,20.73185,20.0018,1.361689,1.318423,2.325404,1.332638,2.941752,3.411552,2.948952,1.857394,3.518163,3.518163,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.140171,348.975,0,0,0,0,0.02032,0,0,0.001107,0.022515

2,00:15-00:30,6.49,42.14808,132.710689,0,4.233847,22.444045,44.326064,2.392833,48.576,1.053695,50.350934,36.506751,27.350811,18.108732,46.424172,22.310403,691.093984,0,667.076637,6.41486,27.85743,48.377483,0,0.663309,0,46.90201,122.432091,128.451291,18.910588,0,69.72,21.51372,65.267821,0,3.734724,28.632886,6.22454,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,1.52,0,0.22,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.24,1.83,1.02,0,147.515625,45.2215,20.73185,20.0018,1.361689,1.318423,2.325404,1.332638,3.208991,3.411552,2.948952,1.857394,3.518163,3.518163,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.140171,348.975,0,0,0,0,0.02032,0,0,0.001107,0.022515

3,00:30-00:45,6.49,42.14808,132.710689,0,4.233847,22.444045,44.326064,2.392833,48.576,1.053695,50.350934,31.561589,27.350811,18.108732,46.424172,22.310403,691.093984,0,667.076637,6.41486,9.137237,48.377483,0,0.663309,0,46.90201,122.432091,128.451291,18.910588,0,69.72,21.51372,65.267821,0,3.734724,28.632886,6.22454,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,1.52,0,0.22,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.24,1.83,1.02,0,147.515625,45.2215,20.73185,20.0018,1.361689,1.318423,2.325404,1.332638,3.476229,3.411552,2.948952,1.857394,3.518163,3.518163,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.140171,348.975,0,0,0,0,0.02032,0,0,0.001107,0.022515

4,00:45-01:00,6.49,28.09872,132.710689,0,4.233847,22.444045,44.326064,2.392833,48.576,1.053695,50.350934,31.561589,27.350811,18.108732,46.424172,22.310403,691.093984,0,667.076637,6.41486,9.137237,48.377483,0,0.663309,0,46.90201,122.432091,128.451291,18.910588,0,69.72,21.51372,65.267821,0,3.734724,28.632886,6.22454,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,1.52,0,0.22,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.24,1.83,1.02,0,147.515625,45.2215,20.73185,20.0018,1.361689,1.318423,2.325404,1.332638,3.517452,3.411552,2.948952,1.857394,3.518163,3.518163,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.140171,348.975,0,0,0,0,0.02032,0,0,0.001107,0.022515

5,01:00-01:15,6.49,28.09872,132.710689,0.6405,4.233847,22.444045,44.326064,2.392833,48.576,1.053695,50.350934,31.561589,27.350811,18.108732,46.424172,22.310403,691.093984,0,667.076637,6.41486,9.137237,48.377483,0,0,0,46.90201,122.432091,128.451291,18.910588,0,69.72,0,65.267821,0,3.734724,28.632886,6.22454,0,74.209985,0,0,0,7.784326,96.00669,0,3.03,3.57,3.78,1.52,0,0.22,2.01,2.18,0,0,1.85,7.95,1.94,0,9.33,0.24,1.83,1.02,0,147.515625,45.2215,20.73185,20.0018,1.361689,1.318423,2.325404,1.332638,3.517452,3.411552,2.948952,1.857394,3.518163,3.518163,2.665275,3.487597,1.946241,1.9248,1.929632,4.228905,1.140171,348.975,0,0,0,0,0.02032,0,0,0.001107,0.022515

