Block,Time,BRBCL,BSIUL,CHAMERA2,KGSU3AND4,NJPC,NLCIIST2,RIHAND2,TALST2,UNCHAHAR4,RIHAND1,RSTPSU7,SIMHST2,UNCHAHAR1,CHAMERA3,KHSTPP-I,KHSTPP-II,NTPL,PARBATI3,ANTA_RF,DADRI_GF,KKNPPU2,KOLDAM,NNTPP,PARBATI2,RAPPC,RAPPD,RSTPSU1TO6,SASAN,SINGRAULI_HYDRO,UNCHAHAR2,ANTA_LF,AURY_LF,KOTESHWR,KUDGI,NLCIIST1,RIHAND3,SEWA2,TALA,UNCHAHAR3,URI,AURY_CRF,DADRI_CRF,CHAMERA1,DHAULIGNGA,JHAJJAR,KISHANGANGA,KKNP,NAPP,SALAL,SIMHST1,SINGRAULI,URI2,VALLURNTECL,ANTA_GF,AURY_RF,DADRI_RF,DADRT2,FSTPP I & II,MAPS,RAPPB,TEHRI,DADRI_LF,DULHASTI,KGSU1AND2,NLCEXP,NLCTS2EXP,RAMPUR,TANAKPUR,TANDA2,TelanganaSTPP,ANTA_CRF,AURY_GF
1,00:00-00:15,20,13.04,48.81,0,180.89,0,124.58,0,2.26,97.23,0,0,21.64,35.03,45.53,148.3,0,50.64,49.86,0,0,9.59,0,41.33,67.88,19.14,0,413.44,1.15,44.51,0,0,10.43,0,0,95.79,12.61,10.58,27.68,49.68,0,0,42.22,43.78,605.67,8.63,0,25.51,0,0,150.34,38.1,0,0,80.77,98.41,573.92,20.8,0,0,29.61,0,58.69,0,0,0,6.98,8.33,5.7,0,0,0

2,00:15-00:30,20,13.04,48.81,0,180.89,0,124.58,0,2.25,97.23,0,0,21.64,35.03,45.53,148.3,0,50.64,49.86,0,0,9.59,0,41.33,67.88,19.14,0,413.44,1.15,44.5,0,0,10.43,0,0,95.79,12.61,10.58,27.68,49.68,0,0,42.22,43.78,605.67,8.63,0,25.51,0,0,150.34,38.1,0,0,80.77,98.41,573.92,20.8,0,0,29.61,0,58.69,0,0,0,6.98,8.33,5.7,0,0,0

3,00:30-00:45,20,13.04,48.81,0,180.89,0,124.58,0,2.22,97.23,0,0,21.64,35.03,45.53,148.3,0,50.64,49.86,0,0,9.59,0,41.33,67.88,19.14,0,413.44,1.15,44.51,0,0,10.43,0,0,95.79,12.61,12.94,27.68,50.23,0,0,42.22,43.78,605.67,8.63,0,25.51,0,0,150.34,38.1,0,0,80.77,98.41,573.92,20.8,0,0,29.61,0,58.69,0,0,0,6.98,11.53,5.7,0,0,0

4,00:45-01:00,20,13.04,48.81,0,180.89,0,124.58,0,2.23,97.23,0,0,21.64,35.03,45.53,148.3,0,50.64,49.86,0,0,9.59,0,41.33,67.88,19.14,0,413.44,1.15,44.52,0,0,10.43,0,0,95.79,12.61,12.94,27.68,50.23,0,0,42.22,43.78,605.67,8.63,0,25.51,0,0,150.34,38.1,0,0,80.77,98.41,573.92,20.8,0,0,29.61,0,58.69,0,0,0,6.98,11.53,5.7,0,0,0

5,01:00-01:15,20,13.04,48.81,0,180.89,0,124.58,0,2.3,97.23,0,0,21.64,35.03,45.53,148.3,0,50.64,51.17,0,0,9.59,0,41.33,67.88,19.14,0,413.44,1.15,45,0,0,10.43,0,0,95.79,12.61,14.11,27.68,50.23,0,0,42.22,43.78,605.67,8.63,0,25.51,0,0,150.34,38.1,0,0,80.77,98.41,573.92,20.8,0,0,29.61,0,58.69,0,0,0,6.98,11.53,5.7,0,0,0

6,01:15-01:30,20,13.04,48.81,0,180.89,0,124.58,0,3.2,97.23,0,0,21.64,35.03,45.53,148.3,0,50.64,51.17,0,0,9.59,0,41.33,67.88,19.14,0,413.44,1.15,45,0,0,10.43,0,0,95.79,12.61,14.11,27.68,50.23,0,0,42.22,43.78,605.67,8.63,0,25.51,0,0,150.34,38.1,0,0,80.77,98.41,573.92,20.8,0,0,29.61,0,58.69,0,0,0,6.98,11.53,5.7,0,0,0

7,01:30-01:45,20,13.04,48.81,0,180.89,0,124.58,0,3.2,97.23,0,0,21.64,35.03,45.53,148.3,0,50.64,51.17,0,0,9.59,0,41.33,67.88,19.14,0,413.44,1.15,45,0,0,10.43,0,0,95.79,12.61,14.11,27.68,50.23,0,0,42.22,43.78,605.67,8.63,0,25.51,0,0,150.34,38.1,0,0,80.77,98.41,573.92,20.8,0,0,29.61,0,58.69,0,0,0,6.98,11.53,5.7,0,0,0

8,01:45-02:00,20,13.04,48.81,0,180.89,0,124.58,0,3.2,97.23,0,0,21.64,35.03,45.53,148.3,0,50.64,51.17,0,0,9.59,0,41.33,67.88,19.14,0,413.44,1.15,45,0,0,10.43,0,0,95.79,6.3,14.11,27.68,50.23,0,0,42.22,43.78,670.67,8.63,0,25.51,0,0,150.34,38.1,0,0,80.77,98.41,573.92,20.8,0,0,29.61,0,58.69,0,0,0,6.98,11.53,5.7,0,0,0

9,02:00-02:15,20,13.04,48.81,0,180.89,0,124.58,0,3.2,97.23,0,0,21.64,35.03,45.53,148.3,0,50.64,51.83,0,0,9.59,0,41.33,67.88,19.14,0,413.44,1.15,45,0,0,10.43,0,0,95.79,6.3,14.11,27.68,50.23,0,0,42.22,43.78,670.67,8.63,0,25.51,0,0,150.34,38.1,0,0,80.77,98.41,573.92,20.8,0,0,29.61,0,58.69,0,0,0,6.98,7.68,5.7,0,0,0

10,02:15-02:30,20,13.04,48.81,0,180.89,0,124.58,0,3.2,97.23,0,0,21.64,35.03,45.53,148.3,0,50.64,51.83,0,0,9.59,0,41.33,67.88,19.14,0,413.44,1.15,45,0,0,10.43,0,0,95.79,6.02,14.11,27.68,50.23,0,0,42.22,43.78,670.67,8.63,0,25.51,0,0,150.34,38.1,0,0,80.77,98.41,573.92,20.8,0,0,29.61,0,58.69,0,0,0,6.98,7.68,5.7,0,0,0

