Block,Time,BSIUL,CHAMERA1,CHAMERA2,KKNPPU2,NJPC,RIHAND1,RIHAND3,RSTPSU7,SALAL,SASAN,UNCHAHAR1,VALLURNTECL,ANTA_RF,DADRI_LF,NAPP,TANAKPUR,ANTA_CRF,DADRI_RF,KGSU1AND2,KHSTPP-II,NLCIIST2,PARBATI3,RAPPB,RAPPC,TANDA2,TEHRI,URI2,AURY_CRF,CHAMERA3,DADRT2,KGSU3AND4,KKNP,KOTESHWR,NLCEXP,NTPL,RAMPUR,RSTPSU1TO6,ANTA_LF,BRBCL,FSTPP I & II,KISHANGANGA,KOLDAM,NNTPP,SEWA2,SIMHST1,SINGRAULI_HYDRO,TALST2,UNCHAHAR2,URI,ANTA_GF,AURY_LF,AURY_RF,DADRI_GF,KUDGI,SIMHST2,SINGRAULI,TelanganaSTPP,DHAULIGNGA,DULHASTI,KHSTPP-I,MAPS,DADRI_CRF,JHAJJAR,NLCIIST1,NLCTS2EXP,RIHAND2,TALA,UNCHAHAR3,UNCHAHAR4,AURY_GF
1,00:00-00:15,0,14.05,11.19,0,127.78,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,10.96,0,102,0,98.87,0,0,0,60.23,2.89,53.16,35.46,0,10.69,481.64,0,0,9.66,0,0,2.75,0,0,15,20.8,0,4.01,0,0,0,0,0,43.11,50.34,0,0,77.33,0,0,0,100.48,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

2,00:15-00:30,0,0,11.19,0,102.23,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,10.96,0,102,0,98.87,0,0,0,60.23,2.89,53.16,35.46,0,10.69,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,4.01,0,0,0,0,0,43.11,50.34,0,0,77.33,0,0,0,100.48,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

3,00:30-00:45,0,0,11.19,0,102.23,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,10.96,0,102,0,98.87,0,0,0,60.23,2.89,53.16,35.46,0,10.69,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,4.01,0,0,0,0,0,43.11,16.56,0,0,77.33,0,0,0,100.48,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

4,00:45-01:00,0,0,11.19,0,102.23,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,10.96,0,102,0,98.87,0,0,0,60.23,2.89,35.44,35.46,0,10.69,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,11.04,0,0,77.33,0,0,0,100.48,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

5,01:00-01:15,0,0,11.19,0,102.23,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,10.96,0,102,0,98.87,0,0,0,60.23,2.89,35.44,35.46,0,10.69,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,11.04,0,0,77.33,0,0,0,100.48,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

6,01:15-01:30,0,0,11.19,0,93.12,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,10.96,0,102,0,98.87,0,0,0,60.23,2.89,35.44,35.46,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,11.04,0,0,77.33,0,0,0,100.48,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

7,01:30-01:45,0,0,11.19,0,93.12,47.33,127.6,0,79.38,405,20.96,0,31.94,0,46.06,10.96,0,102,0,98.87,0,0,0,60.23,2.89,35.44,11.82,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,13.25,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

8,01:45-02:00,0,0,11.19,0,93.12,47.33,127.6,0,79.38,405,20.96,0,31.94,0,46.06,10.96,0,102,0,98.87,0,0,0,60.23,2.89,35.44,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,13.25,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

9,02:00-02:15,6.52,0,11.19,0,93.12,47.33,127.6,0,79.38,405,20.96,0,31.94,0,46.06,10.96,0,102,0,98.87,0,0,0,60.23,2.89,35.44,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,13.25,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

10,02:15-02:30,6.52,0,11.19,0,93.12,47.33,127.6,0,79.38,405,20.96,0,31.94,0,46.06,10.96,0,102,0,98.87,0,0,0,60.23,2.89,35.44,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,13.25,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

11,02:30-02:45,6.52,0,11.19,0,93.12,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,10.96,0,102,0,98.87,0,0,0,60.23,2.89,17.72,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,11.04,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

12,02:45-03:00,6.52,0,11.19,0,93.12,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,10.96,0,102,0,98.87,0,0,0,60.23,2.89,17.72,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,11.04,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

13,03:00-03:15,6.52,0,12.68,0,93.12,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,9.48,0,102,0,98.87,0,0,0,60.23,2.89,17.72,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,16.56,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

14,03:15-03:30,6.52,0,12.68,0,93.12,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,9.48,0,102,0,98.87,0,0,0,60.23,2.89,17.72,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,16.56,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

15,03:30-03:45,6.52,0,12.68,0,93.12,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,9.48,0,102,0,98.87,0,0,0,60.23,2.89,17.72,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,12.15,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

16,03:45-04:00,6.52,11.85,12.68,0,93.12,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,9.48,0,102,0,98.87,0,0,0,60.23,2.89,17.72,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,12.15,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.32,0,1.62,0

17,04:00-04:15,6.52,11.85,12.68,0,93.12,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,9.48,0,102,0,98.87,0,2.81,0,60.23,2.89,17.72,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,12.15,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.17,0,1.62,0

18,04:15-04:30,6.52,11.85,12.68,0,93.12,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,9.48,0,102,0,98.87,0,15.46,0,60.23,2.89,17.72,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,12.15,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.17,0,1.62,0

19,04:30-04:45,6.52,14.05,12.68,0,93.12,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,9.48,0,102,0,98.87,0,3.94,0,60.23,2.89,17.72,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,12.15,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.17,0,1.62,0

20,04:45-05:00,6.52,14.05,12.68,0,93.12,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,9.48,0,102,0,98.87,0,3.94,0,60.23,2.89,17.44,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,12.15,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.02,0,1.62,0

21,05:00-05:15,6.52,14.05,12.68,0,93.12,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,9.48,0,102,0,98.87,0,3.94,0,60.23,2.89,34.01,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,12.15,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,10.02,0,1.62,0

22,05:15-05:30,6.52,14.05,12.68,0,93.12,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,9.48,0,102,0,98.87,0,5.62,0,60.23,2.89,34.01,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,12.15,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,9.74,0,1.62,0

23,05:30-05:45,6.52,14.05,12.68,0,93.12,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,9.48,0,102,0,98.87,0,8.43,0,60.23,2.89,34.01,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,12.15,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,9.58,0,1.62,0

24,05:45-06:00,6.52,14.05,12.68,0,93.12,47.33,127.6,0,38.35,405,20.96,0,31.94,0,46.06,9.48,0,102,0,98.87,0,54.11,0,60.23,2.89,34.01,10.35,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,12.15,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,9.43,0,1.62,0

25,06:00-06:15,6.52,14.05,12.68,0,93.12,47.33,127.6,0,46.48,405,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,54.11,0,60.23,2.89,34.01,10.78,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,12.15,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,9.43,0,1.62,0

26,06:15-06:30,6.52,13.43,12.68,0,93.12,47.33,127.6,0,79.38,405,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,54.11,0,60.23,2.89,34.01,10.78,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,12.15,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,9.15,0,1.62,0

27,06:30-06:45,6.52,0,12.68,0,93.12,47.33,127.6,0,79.38,405,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,54.11,0,60.23,2.89,34.01,10.78,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,16.56,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,9,0,1.62,0

28,06:45-07:00,6.52,0,12.68,0,93.12,47.33,127.6,0,79.38,405,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,54.11,0,60.23,2.89,17,10.78,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,16.56,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,9,0,1.62,0

29,07:00-07:15,6.52,0,12.68,0,93.12,47.33,127.6,0,79.38,405,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,54.11,0,60.23,2.89,0,10.78,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,50.79,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,9,0,1.62,0

30,07:15-07:30,6.52,0,12.68,0,93.12,47.33,127.6,0,46.48,405,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,7.03,0,60.23,2.89,0,10.78,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,50.79,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,9,0,1.62,0

31,07:30-07:45,6.52,0,12.68,0,93.12,47.33,127.6,0,51.13,410.62,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,3.94,0,60.23,2.89,0,10.78,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,16.56,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,8.26,0,1.62,0

32,07:45-08:00,6.52,0,12.68,0,93.12,47.33,127.6,0,51.13,410.62,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,3.94,0,60.23,2.89,0,10.78,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,4.01,0,0,0,0,0,43.71,11.04,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,8.26,0,1.62,0

33,08:00-08:15,6.52,0,12.68,0,93.12,47.33,127.6,0,51.13,410.62,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,3.94,0,60.23,2.89,0,10.78,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,0.99,0,0,0,0,0,43.71,11.04,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,8.26,0,1.62,0

34,08:15-08:30,6.52,0,12.68,0,93.12,47.33,127.6,0,51.13,410.62,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,3.94,0,60.23,2.89,0,10.78,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,0.99,0,0,0,0,0,43.71,11.04,0,0,77.33,0,0,0,106.72,0,30.23,54.53,44.92,0,0,413.81,0,0,121.71,8.26,0,1.62,0

35,08:30-08:45,6.52,0,12.68,0,93.12,47.33,127.6,0,51.13,410.62,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,15.46,0,60.23,2.89,0,10.78,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,0,0,0,0,0,0,43.71,11.04,0,0,77.33,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,8.84,0,1.62,0

36,08:45-09:00,6.52,0,12.68,0,93.12,47.33,127.6,0,51.13,410.62,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,15.46,0,60.23,2.89,0,10.78,0,10.69,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,0,0,0,0,0,0,43.71,11.04,0,0,77.33,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,8.84,0,1.62,0

37,09:00-09:15,6.52,0,12.68,0,93.12,47.33,127.6,0,51.13,410.62,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,15.46,0,60.23,2.89,0,10.78,0,21.37,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,0,0,0,0,0,0,43.71,19.87,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,8.84,0,1.62,0

38,09:15-09:30,6.52,0,26.85,0,93.12,47.33,127.6,0,51.13,410.62,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,15.46,0,60.23,2.89,0,10.78,0,21.37,343.03,0,0,9.66,0,0,2,0,0,15,20.8,0,0,0,0,0,0,0,43.71,19.87,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,8.96,0,1.62,0

39,09:30-09:45,6.52,0,26.85,0,102.23,47.33,127.6,0,51.13,410.62,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,15.46,0,60.23,2.89,0,35.46,0,21.37,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,50.79,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.27,0,1.62,0

40,09:45-10:00,6.52,0,26.85,0,102.23,47.33,127.6,0,51.13,410.62,20.96,0,30.75,0,46.06,9.48,0,102,0,98.87,0,15.46,0,60.23,2.89,0,35.46,0,21.37,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,50.79,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.27,0,1.62,0

41,10:00-10:15,6.52,0,26.85,0,102.23,47.33,127.6,0,51.13,410.62,20.96,0,30.51,0,46.06,9.48,0,102,0,98.87,0,15.46,0,60.23,2.89,0,35.46,0,21.37,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,16.56,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.27,0,1.62,0

42,10:15-10:30,6.52,0,26.85,0,102.23,47.33,127.6,0,51.13,410.62,20.96,0,30.51,0,46.06,9.48,0,102,0,98.87,0,3.94,0,60.23,2.89,0,35.46,0,21.37,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,11.04,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.27,0,1.62,0

43,10:30-10:45,6.52,0,26.85,0,102.23,47.33,127.6,0,38.35,410.62,20.96,0,30.51,0,46.06,9.48,0,102,0,98.87,0,0,0,60.23,2.89,0,35.46,0,21.37,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,11.04,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.27,0,1.62,0

44,10:45-11:00,6.52,0,26.85,0,102.23,47.33,127.6,0,38.35,410.62,20.96,0,30.51,0,46.06,9.48,0,102,0,98.87,0,0,0,60.23,2.89,0,35.46,0,21.37,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,11.04,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.27,0,1.62,0

45,11:00-11:15,6.52,0,26.85,0,102.23,47.33,127.6,0,38.35,410.62,20.96,0,30.51,0,46.06,9.48,0,1.85,0,98.87,0,0,0,60.23,2.89,0,10.35,0,21.37,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,11.04,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.27,0,1.62,0

46,11:15-11:30,6.52,0,26.85,0,102.23,47.33,127.6,0,38.35,410.62,20.96,0,30.51,0,46.06,9.48,0,1.85,0,98.87,0,0,0,60.23,2.89,0,10.35,0,21.37,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,11.04,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.27,0,1.62,0

47,11:30-11:45,6.52,0,26.85,0,102.23,47.33,127.6,0,38.35,410.62,20.96,0,30.51,0,46.06,9.48,0,2.47,0,90.22,0,0,0,60.23,2.89,0,10.35,0,21.37,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,11.04,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.27,0,1.62,0

48,11:45-12:00,0,0,26.85,0,102.23,47.33,127.6,0,38.35,410.62,20.96,0,30.51,0,46.06,9.48,0,2.47,0,90.22,0,0,0,60.23,2.89,0,10.35,0,21.37,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,11.04,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.27,0,1.62,0

49,12:00-12:15,0,0,26.85,0,102.23,47.33,127.6,0,38.35,410.62,20.96,0,2.36,0,46.06,9.48,0,4.94,0,90.22,0,0,0,60.23,2.89,0,10.35,0,21.37,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,11.04,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.55,0,1.62,0

50,12:15-12:30,0,0,26.85,0,102.23,47.33,127.6,0,38.35,410.62,20.96,0,4.73,0,46.06,9.48,0,4.94,0,90.22,0,0,0,60.23,2.89,0,10.35,0,21.37,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,11.04,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.55,0,1.62,0

51,12:30-12:45,0,0,26.85,0,102.23,47.33,127.6,0,38.35,410.62,20.96,0,4.73,0,46.06,9.48,0,4.94,0,90.22,0,0,0,60.23,2.89,0,10.35,0,10.69,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,11.04,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.55,0,1.62,0

52,12:45-13:00,0,0,12.68,0,102.23,47.33,127.6,0,38.35,410.62,20.96,0,4.73,0,46.06,9.48,0,8.01,0,90.22,0,0,0,60.23,2.89,0,10.35,0,10.69,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,11.04,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.55,0,1.62,0

53,13:00-13:15,0,0,12.68,0,102.23,47.33,127.6,0,51.13,410.62,20.96,0,4.73,0,46.06,9.48,0,8.01,0,90.22,0,0,0,60.23,2.89,0,10.35,0,10.69,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,15.45,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.85,0,1.62,0

54,13:15-13:30,0,0,12.68,0,102.23,47.33,127.6,0,51.13,410.62,20.96,0,4.73,0,46.06,9.48,0,9.86,0,90.22,0,0,0,60.23,2.89,0,10.35,0,10.69,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,15.45,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.7,0,1.62,0

55,13:30-13:45,0,0,12.68,0,102.23,47.33,127.6,0,51.13,410.62,20.96,0,4.73,0,46.06,9.48,0,9.86,0,93.36,0,0,0,60.23,2.89,0,10.35,0,10.69,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,15.45,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.7,0,1.62,0

56,13:45-14:00,0,0,12.68,0,102.23,47.33,127.6,0,51.13,410.62,20.96,0,4.73,0,46.06,9.48,0,12.95,0,93.36,0,0,0,60.23,2.89,0,10.35,0,10.69,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,15.45,0,0,76.72,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.7,0,1.62,0

57,14:00-14:15,0,0,12.68,0,102.23,47.33,127.6,0,51.13,410.62,20.96,0,4.73,0,46.06,9.48,0,27.12,0,93.36,0,0,0,60.23,2.89,0,10.35,0,10.69,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,17.67,0,0,76.47,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.55,0,1.62,0

58,14:15-14:30,0,0,12.68,0,102.23,47.33,127.6,0,51.13,410.62,20.96,0,4.73,0,46.06,9.48,0,18.5,0,93.36,0,0,0,60.23,2.89,0,10.35,0,10.69,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0,0,0,0,0,0,0,43.71,17.67,0,0,76.47,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.55,0,1.62,0

59,14:30-14:45,0,0,12.68,0,102.23,47.33,127.6,0,51.13,410.62,20.96,0,7.1,0,46.06,9.48,0,19.73,0,93.36,0,0,0,60.23,2.89,0,10.35,0,10.69,343.03,0,0,9.66,0,0,2.19,0,0,15,20.8,0.14,0,0,0,0,0,0,43.71,17.67,0,0,76.47,0,0,0,106.72,0,20.05,54.53,44.92,0,0,413.81,0,0,121.71,9.41,0,1.62,0

