Block,Time,DADRI_RF,AURY_GF,UNCHAHAR4,AURY_CRF,URI2,AURY_LF,RAPPC,TANAKPUR,JHAJJAR,DHAULIGNGA,ANTA_GF,ANTA_CRF,TANDA2,ANTA_RF,AURY_RF,RAMPUR,TEHRI,DULHASTI,DADRI_GF,BSIUL,ANTA_LF,NJPC,CHAMERA1,KOLDAM,CHAMERA3,RIHAND1,KISHANGANGA,DADRI_CRF,SEWA2,SALAL,UNCHAHAR1,RAPPB,URI,DADRI_LF,RIHAND3,NAPP,UNCHAHAR2,SINGRAULI,KOTESHWR,PARBATI3,UNCHAHAR3,DADRT2,CHAMERA2,KUDGI,KHSTPP-II,BRBCL,KHSTPP-I,FSTPP I & II,TALA,SASAN,RIHAND2,SINGRAULI_HYDRO,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,30.832009,0.000000,49.309939,12.691700,446.569200,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43.844976,47.785375,0.000000,0.000000,0.000000,59.499063,0.000000,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,23.586973,19.317501,0.000000,46.953562,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,25.508671,663.841507,25.460321,45.30,142.342386,15.568915,30.809903,19.689642,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,30.832009,0.000000,49.309939,12.691700,446.569200,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29.229984,47.785375,0.000000,0.000000,0.000000,59.499063,0.000000,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,23.586973,19.317501,0.000000,46.953562,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,25.508671,663.841507,25.460321,36.71,142.342386,16.992838,31.095619,19.689642,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,30.832009,0.000000,49.309939,12.691700,446.569200,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.614992,47.785375,0.000000,0.000000,0.000000,59.499063,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,23.586973,19.317501,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,25.508671,663.841507,25.460321,30.93,142.342386,16.992838,31.095619,19.689642,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,30.832009,0.000000,49.309939,12.691700,446.569200,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,59.499063,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,23.586973,19.317501,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,25.508671,663.841507,25.460321,30.93,142.342386,16.992838,31.095619,19.689642,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,30.832009,0.000000,49.309939,12.691700,446.569200,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,45.219288,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,23.586973,19.317501,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,25.508671,663.841507,25.460321,29.00,142.342386,16.507668,31.095619,19.689642,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

6,01:15-01:30,0.000000,0.000000,0.000000,0.000000,30.832009,0.000000,49.309939,12.691700,446.569200,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,45.219288,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,23.586973,19.317501,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,25.508671,663.841507,9.019345,28.03,142.342386,16.992838,31.095619,19.689642,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

7,01:30-01:45,0.000000,0.000000,0.000000,0.000000,11.702433,0.000000,49.309939,12.691700,446.569200,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,45.219288,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,23.586973,19.317501,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,25.508671,663.841507,9.019345,28.03,142.342386,16.992838,31.095619,19.689642,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

8,01:45-02:00,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,12.691700,446.569200,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,25.081143,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,34.818865,19.317501,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,25.508671,663.841507,9.019345,25.13,142.342386,16.992838,31.095619,19.689642,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

9,02:00-02:15,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,12.691700,446.569200,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,21.968885,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,76.725054,19.317501,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,25.508671,663.841507,9.019345,23.20,142.342386,15.556801,31.095619,19.689642,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

10,02:15-02:30,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,12.691700,446.569200,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,21.968885,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,76.725054,19.317501,0.000000,19.208275,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,25.508671,663.841507,9.019345,23.20,142.342386,16.992838,31.095619,19.689642,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

11,02:30-02:45,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,12.691700,446.569200,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,21.968885,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,76.725054,19.317501,0.000000,46.953562,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,25.508671,663.841507,9.019345,22.23,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

12,02:45-03:00,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,12.691700,446.569200,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,21.968885,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,76.725054,19.317501,0.000000,46.953562,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,25.508671,663.841507,9.019345,21.27,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

13,03:00-03:15,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,446.569200,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,21.968885,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,50.543514,19.317501,0.000000,13.872643,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,25.508671,663.841507,9.019345,20.30,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

14,03:15-03:30,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,446.569200,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,21.968885,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,38.750027,19.317501,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,25.508671,663.841507,9.019345,20.30,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

15,03:30-03:45,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,399.018860,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,21.968885,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,38.750027,16.294073,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,21.548994,663.841507,9.019345,18.37,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

16,03:45-04:00,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,379.686860,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,21.968885,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,38.750027,16.294073,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,21.548994,663.841507,9.019345,18.37,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

17,04:00-04:15,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,379.686860,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,21.968885,0.000000,0.000000,0.000000,88.927200,0.000000,0.000000,0.000000,38.750027,16.294073,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,21.548994,663.841507,9.019345,18.37,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

18,04:15-04:30,0.000000,0.000000,0.000000,0.000000,9.752027,0.000000,49.309939,11.763039,355.386632,17.620925,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47.785375,0.000000,0.000000,0.000000,21.968885,0.000000,0.000000,9.354600,88.927200,0.000000,0.000000,0.000000,38.750027,13.399040,0.000000,12.805517,0.000000,119.535193,38.918796,40.974271,99.680625,8.577608,0.000000,17.969577,600.980457,9.019345,17.40,142.342386,16.992838,31.095619,20.037618,12.788118,332.752050,56.024039,0.795115,0,0,0,0,0

