Block,Time,URI2,JHAJJAR,AURY_GF,URI,DHAULIGNGA,RAPPB,RAPPC,KOLDAM,UNCHAHAR3,CHAMERA2,CHAMERA1,UNCHAHAR2,SINGRAULI,BSIUL,UNCHAHAR1,RIHAND1,SEWA2,TEHRI,SALAL,DADRI_GF,TANAKPUR,UNCHAHAR4,KOTESHWR,DADRI_LF,RIHAND2,PARBATI3,SINGRAULI_HYDRO,AURY_LF,RAMPUR,ANTA_CRF,RIHAND3,TANDA2,DADRI_CRF,ANTA_LF,DADRI_RF,ANTA_GF,DADRT2,CHAMERA3,KISHANGANGA,AURY_RF,NJPC,NAPP,DULHASTI,AURY_CRF,ANTA_RF,TALA,BRBCL,KHSTPP-II,KHSTPP-I,FSTPP I & II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,34.008786,534.434131,0.000000,33.642302,0.000000,0.000000,67.560844,1.812615,26.737950,46.918734,27.182702,21.232979,145.099310,18.924666,21.892262,93.891919,18.187717,10.020881,35.971802,0.000000,0.247848,2.989266,8.921851,0.000000,120.325212,0.000000,0.754252,0.000000,1.668650,0.000000,126.323189,5.183415,0.000000,0.000000,49.916048,0.000000,665.973587,33.695754,5.379164,77.637774,43.119673,0.000000,56.455903,0.000000,47.284856,0.000000,19.348024,143.336369,44.886470,17.777235,401.591925,0,0,0,0,0

2,00:15-00:30,34.008786,534.434131,0.000000,33.642302,0.000000,0.000000,67.560844,1.812615,26.737950,46.918734,27.182702,21.232979,145.099310,18.924666,21.892262,93.891919,18.187717,0.000000,35.971802,0.000000,0.247848,2.989266,8.921851,0.000000,120.325212,0.000000,0.754252,0.000000,1.668650,0.000000,126.323189,5.183415,0.000000,0.000000,49.916048,0.000000,665.973587,33.695754,5.379164,77.637774,43.119673,49.162759,56.455903,0.000000,47.284856,0.000000,19.348024,143.336369,44.886470,17.818154,401.591925,0,0,0,0,0

3,00:30-00:45,34.008786,534.434131,0.000000,33.642302,0.000000,0.000000,67.560844,0.000000,26.737950,46.918734,27.182702,21.232979,145.099310,18.924666,21.892262,93.891919,18.187717,0.000000,64.636831,0.000000,0.247848,2.989266,8.921851,0.000000,120.325212,0.000000,0.754252,0.000000,1.668650,0.000000,126.323189,5.183415,0.000000,0.000000,49.916048,0.000000,665.973587,33.695754,5.379164,62.110219,43.119673,49.162759,56.455903,0.000000,47.284856,0.000000,17.691207,143.336369,44.886470,17.818154,401.591925,0,0,0,0,0

4,00:45-01:00,34.008786,534.434131,0.000000,33.642302,0.000000,0.000000,67.560844,0.000000,26.737950,46.918734,27.182702,21.232979,145.099310,18.924666,21.892262,93.891919,18.187717,0.000000,76.788555,0.000000,0.247848,2.989266,8.921851,0.000000,120.325212,0.000000,0.754252,0.000000,1.668650,0.000000,126.323189,5.183415,0.000000,0.000000,49.916048,0.000000,665.973587,33.695754,5.379164,54.346441,43.119673,49.162759,56.455903,0.000000,47.284856,0.000000,15.778843,143.336369,44.886470,17.818154,401.591925,0,0,0,0,0

5,01:00-01:15,34.008786,534.434131,0.000000,33.642302,0.000000,0.000000,67.560844,0.000000,26.737950,46.918734,27.182702,21.232979,145.099310,18.924666,21.892262,93.891919,18.187717,0.000000,76.788555,0.000000,0.247848,2.989266,8.921851,0.000000,120.325212,0.000000,0.754252,0.000000,1.668650,0.000000,126.323189,5.183415,0.000000,0.000000,29.022000,0.000000,665.973587,33.695754,5.379164,34.239561,43.119673,49.162759,56.455903,0.000000,47.284856,0.000000,15.159843,143.336369,44.886470,17.818154,401.591925,0,0,0,0,0

