Block,Time Block,KOTESHWR,CHAMERA1,BSIUL,BRBCL,KHSTPP-I,KISHANGANGA,KGSU3AND4,KHSTPP-II,KKNPPU2,KOLDAM,KKNP,KUDGI,MAPS,DADRT2,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,TANAKPUR,TelanganaSTPP,UNCHAHAR2,TALA,URI,SINGRAULI,TEHRI,VALLURNTECL,UNCHAHAR1,UNCHAHAR4,TANDA2,URI2,UNCHAHAR3,TALST2,SINGRAULI_HYDRO,DHAULIGNGA,FSTPP I & II,KGSU1AND2,DULHASTI,JHAJJAR,RAMPUR,NNTPP,RSTPSU1TO6,RAPPC,NTPL,RSTPSU7,SALAL,PARBATI3,NLCIIST2,RIHAND3,NLCTS2EXP,RAPPB,RIHAND2,SASAN,RIHAND1,SIMHST2,SEWA2,SIMHST1,CHAMERA3,CHAMERA2,NLCIIST1,NJPC,NAPP,NLCEXP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,8.51,0,0,16.8,42.52,0,0,142.31,0,0,0,0,0,288.66,0,0,0,0,0,0,0,0,0,0,0,0,11.44,0,30.34,0,1.07,84.92,14.33,0,13.46,0,0,4.39,18.8,0,0,8.74,16.72,0,15.81,236.48,0,0,0,50.18,0,0,2.24,0,0,119.3,0,0,113.96,401.85,88.28,0,0,0,0,2.3,0,0,40.07,0,0,0,0,0,0

2,00:15-00:30,8.51,0,0,17.16,42.52,0,0,142.31,0,0,0,0,0,288.66,0,0,0,0,0,0,0,0,0,0,0,0,11.44,0,30.34,0,1.07,84.92,14.33,0,13.46,0,0,4.39,18.8,0,0,8.74,16.72,0,15.81,236.48,0,0,0,50.18,0,0,2.24,0,0,119.3,0,0,113.96,401.85,88.28,0,0,0,0,2.3,0,0,40.07,0,0,0,0,0,0

3,00:30-00:45,8.51,0,0,14.76,42.52,0,0,142.31,0,0,0,0,0,288.66,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,30.34,0,1.07,84.92,14.33,0,13.46,0,0,4.39,18.8,0,0,8.74,16.72,0,15.81,236.48,0,0,0,50.18,0,0,2.24,0,0,119.3,0,0,113.96,401.85,88.28,0,0,0,0,2.3,0,0,40.07,0,0,0,0,0,0

4,00:45-01:00,8.51,0,0,14.72,42.52,0,0,142.31,0,0,0,0,0,288.66,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,30.34,0,1.07,84.92,14.33,0,13.46,0,0,4.39,18.8,0,0,8.74,16.72,0,15.81,236.48,0,0,0,50.18,0,0,2.24,0,0,119.3,0,0,113.96,401.85,88.28,0,0,0,0,2.3,0,0,40.07,0,0,0,0,0,0

5,01:00-01:15,8.51,0,0,15.42,42.52,0,0,142.31,0,0,0,0,0,288.66,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,30.49,0,1.07,84.92,14.33,0,14.86,0,0,4.39,19.23,0,0,1.27,17.2,0,15.81,236.48,0,0,0,50.18,0,0,13.39,0,0,119.3,0,0,113.96,401.85,88.28,0,0,0,0,2.3,0,0,40.07,0,0,0,0,0,0

