Block,Time Block,BRBCL,DHAULIGNGA,FSTPP I & II,CHAMERA2,DULHASTI,DADRT2,CHAMERA1,KGSU1AND2,BSIUL,JHAJJAR,CHAMERA3,RSTPSU7,RAPPC,SIMHST2,SALAL,SEWA2,RIHAND3,SINGRAULI,RAPPB,RIHAND2,SASAN,RAMPUR,RIHAND1,SIMHST1,PARBATI3,RSTPSU1TO6,SINGRAULI_HYDRO,TANDA2,UNCHAHAR1,URI,UNCHAHAR4,TALST2,TANAKPUR,UNCHAHAR3,TelanganaSTPP,TALA,UNCHAHAR2,TEHRI,ANTA_LF,VALLURNTECL,AURY_GF,DADRI_CRF,ANTA_GF,AURY_RF,URI2,AURY_CRF,DADRI_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,NLCIIST1,NLCIIST2,NTPL,NLCTS2EXP,NNTPP,KHSTPP-I,KOTESHWR,KGSU3AND4,KKNP,KHSTPP-II,KKNPPU2,KOLDAM,KUDGI,KISHANGANGA,MAPS,NJPC,NLCEXP,NAPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,16.54,39.13,19.78,42.83,52.1,527.96,40.82,0,6.31,111.47,31.07,0,58.33,0,81.03,11.22,123.58,137.31,0,56.27,403.14,3.43,0,0,16.34,0,0,0.74,15.22,46.51,0,0,12.53,19.41,0,10.39,31.19,74.48,0,0,0,0,0,0,35.2,0,0,0,0,0,0,0,0,0,0,0,0,32.63,37.42,0,0,95.76,0,5.18,0,1.39,0,161.84,0,43.34,0,0,0,0,0

2,00:15-00:30,14.6,39.13,19.78,42.83,52.1,527.96,40.82,0,6.31,111.47,31.07,0,58.33,0,81.03,5.61,123.58,137.31,0,56.27,403.14,3.43,0,0,16.34,0,0,0.74,15.22,46.51,0,0,12.53,19.41,0,10.39,30.77,74.48,0,0,0,0,0,0,35.2,0,0,0,0,0,0,0,0,0,0,0,0,32.63,37.42,0,0,95.76,0,5.18,0,1.39,0,161.84,0,43.34,0,0,0,0,0

3,00:30-00:45,12.84,39.13,14.66,42.83,52.1,503.75,40.82,0,6.31,111.47,31.07,0,58.33,0,81.03,5.61,123.58,137.31,0,56.27,403.14,3.43,0,0,16.34,0,0,0.74,15.22,42.77,0,0,12.53,19.41,0,10.39,30.77,74.48,0,0,0,0,0,0,35.2,0,0,0,0,0,0,0,0,0,0,0,0,32.63,37.42,0,0,95.76,0,5.18,0,1.39,0,161.84,0,43.34,0,0,0,0,0

4,00:45-01:00,13.5,39.13,14.66,42.83,52.1,479.53,40.82,0,6.31,111.47,31.07,0,58.33,0,81.03,5.61,123.58,137.31,0,56.27,403.14,3.43,0,0,16.34,0,0,0.74,15.22,42.77,0,0,12.53,19.41,0,10.39,30.77,74.48,0,0,0,0,0,0,35.2,0,0,0,0,0,0,0,0,0,0,0,0,32.63,37.42,0,0,95.76,0,5.18,0,1.39,0,161.84,0,43.34,0,0,0,0,0

5,01:00-01:15,12.2,39.13,14.66,42.83,52.1,455.32,40.82,0,6.31,111.47,31.07,0,58.33,0,81.03,5.61,123.58,137.31,0,56.27,403.14,3.43,0,0,16.34,0,0,0.74,15.22,42.77,0,0,12.53,19.41,0,10.57,30.77,74.48,0,0,0,0,0,0,35.2,0,0,0,0,0,0,0,0,0,0,0,0,32.63,37.42,0,0,95.76,0,5.18,0,1.39,0,161.84,0,43.34,0,0,0,0,0

