Block,Time Block,DADRI_RF,DADRI_LF,DADRI_GF,KGSU3AND4,KGSU1AND2,DADRI_CRF,ANTA_GF,AURY_CRF,AURY_RF,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,PARBATI3,RAMPUR,RAPPB,RIHAND1,RAPPC,CHAMERA2,BSIUL,CHAMERA3,BRBCL,CHAMERA1,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,UNCHAHAR3,URI2,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,ANTA_CRF,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NAPP,NNTPP,NTPL,NJPC,FSTPP I & II,DULHASTI,DHAULIGNGA,JHAJJAR,SALAL,SEWA2,SINGRAULI,TALA,RIHAND3,RIHAND2,TANDA2,SASAN,SIMHST1,SINGRAULI_HYDRO,TALST2,RSTPSU1TO6,SIMHST2,TANAKPUR,RSTPSU7,DADRT2,KHSTPP-II,KKNP,KOTESHWR,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,KUDGI,MAPS,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,19.95,0,0,0,26.1,0,41.13,6.43,45.29,0,0,0,0,0,39.78,0,0,68.07,20.18,47.95,17.68,537.74,20.86,0,123.69,10.47,120.6,115.21,0,395.62,0,0,0,0,0,12.67,0,316.68,127.06,0,8.6,0,0,0,32.38,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,19.95,0,0,0,26.1,0,41.13,6.43,45.29,0,0,0,0,0,39.78,0,0,68.07,20.18,47.95,17.68,537.74,20.86,0,123.69,10.47,120.6,115.21,0,395.62,0,0,0,0,0,12.67,0,329.32,127.21,0,8.6,0,0,0,32.38,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,19.95,0,0,0,26.1,0,41.13,6.43,45.29,0,0,0,0,0,39.78,0,0,68.07,20.18,47.95,17.68,526.98,20.86,0,127.3,10.47,120.6,115.21,0,395.62,0,0,0,0,0,12.67,0,329.32,127.21,0,8.6,0,0,0,34.69,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,19.95,0,0,0,26.1,0,41.13,6.43,30.2,0,0,0,0,0,39.78,0,0,68.07,20.18,47.95,17.68,526.98,20.86,0,127.3,10.47,120.6,115.21,0,395.62,0,0,0,0,0,12.67,0,329.32,127.21,0,8.6,0,0,0,35.91,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,17.19,0,0,0,26.1,0,41.13,6.43,30.2,0,0,0,0,0,39.78,0,0,68.07,20.18,47.95,17.68,460.26,20.86,0,127.3,10.47,120.6,115.21,0,395.62,0,0,0,0,0,11.19,0,329.32,127.21,0,8.6,0,0,0,35.91,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,17.19,0,0,0,26.1,0,41.13,6.43,14.48,0,0,0,0,0,39.78,0,0,68.07,20.18,47.95,17.68,421.46,20.86,0,127.3,10.47,120.6,115.21,0,395.62,0,0,0,0,0,11.19,0,329.32,127.21,0,8.6,0,0,0,36.95,0,0,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,17.19,0,0,0,5.22,0,41.13,6.43,14.48,0,0,0,0,0,39.78,0,0,68.07,20.18,47.95,17.68,421.46,20.86,0,128.73,10.47,120.6,115.21,0,395.62,0,0,0,0,0,11.19,0,329.32,127.21,0,8.6,0,0,0,37.1,0,0,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,17.19,0,0,0,5.22,0,41.13,6.43,14.48,0,0,0,0,0,39.78,0,0,68.07,20.18,47.95,17.68,421.46,37.2,0,128.73,10.47,120.6,115.21,0,395.62,0,0,0,0,0,11.19,0,329.32,127.21,0,8.6,0,0,0,37.1,0,0,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,17.19,0,0,0,5.22,0,41.13,6.43,14.48,0,0,0,0,0,39.78,0,0,68.07,20.18,47.95,17.68,421.46,77.01,0,128.73,10.61,120.6,115.21,0,395.62,0,0,0,0,0,11.19,0,329.32,127.21,0,8.6,0,0,0,37.1,0,0,0,0,0,0,0

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,17.19,0,0,0,5.22,0,41.13,6.43,14.48,0,0,0,0,0,39.78,0,0,45.38,20.18,47.95,17.68,421.46,77.01,0,128.73,10.61,120.6,115.21,0,395.62,0,0,0,0,0,11.19,0,329.32,127.21,0,8.6,0,0,0,38.14,0,0,0,0,0,0,0

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,17.19,0,0,0,5.22,0,39.65,6.43,14.48,0,0,0,0,0,39.78,0,0,45.38,20.18,47.95,17.68,421.46,77.01,0,128.73,10.61,120.6,115.21,0,395.62,0,0,0,0,0,11.19,0,293.91,127.21,0,8.6,0,0,0,38.27,0,0,0,0,0,0,0

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,17.19,0,0,0,5.22,0,36.5,6.43,14.48,0,0,0,0,0,39.78,0,0,45.38,20.18,47.95,17.68,421.46,77.01,0,128.73,10.61,120.6,115.21,0,395.62,0,0,0,0,0,11.19,0,288.5,127.21,0,8.6,0,0,0,38.27,0,0,0,0,0,0,0

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,17.19,0,0,0,5.22,0,41.13,6.43,14.48,0,0,0,0,0,39.78,0,0,45.38,20.18,47.95,17.68,392.36,27.06,0,128.73,11.18,120.6,115.21,0,395.62,0,0,0,0,0,11.19,0,288.5,127.21,0,8.6,0,0,0,38.27,0,0,0,0,0,0,0

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,15.04,0,0,0,5.22,0,36.5,6.43,14.48,0,0,0,0,0,39.78,0,0,45.38,20.18,47.95,17.68,363.21,25.36,0,128.73,11.18,120.6,115.21,0,395.62,0,0,0,0,0,11.19,0,288.5,127.21,0,8.6,0,0,0,38.27,0,0,0,0,0,0,0

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,15.04,0,0,0,5.22,0,36.5,6.43,14.48,0,0,0,0,0,39.78,0,0,45.38,20.18,47.95,17.68,343.8,25.36,0,128.73,11.18,120.6,115.21,0,395.62,0,0,0,0,0,11.19,0,288.5,127.21,0,8.6,0,0,0,38.27,0,0,0,0,0,0,0

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,12.78,0,9.39,14.55,0,15.04,0,0,0,5.22,0,36.5,6.43,14.54,0,0,0,0,0,39.78,0,0,45.38,20.18,47.95,17.68,305,25.36,0,128.73,11.18,120.6,115.21,0,395.62,0,0,0,0,0,11.19,0,288.5,127.21,0,8.6,0,0,0,38.27,0,0,0,0,0,0,0

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.62,50.1,2.08,0,0,14.55,0,15.04,0,0,0,5.22,0,36.5,6.43,15.09,0,0,0,0,0,39.78,0,0,45.38,20.18,47.95,17.68,305,25.36,0,128.73,11.18,120.6,115.21,0,395.62,0,0,0,0,0,11.19,0,288.5,127.21,0,8.6,0,0,0,41.51,0,0,0,0,0,0,0

