Block,Time,SALAL,AURY_RF,DULHASTI,DADRI_CRF,URI,SINGRAULI,SINGRAULI_HYDRO,CHAMERA1,KOTESHWR,UNCHAHAR4,RAPPC,JHAJJAR,CHAMERA2,UNCHAHAR2,ANTA_LF,TANDA2,TEHRI,SEWA2,NAPP,ANTA_CRF,BSIUL,DHAULIGNGA,RAPPB,DADRI_LF,KISHANGANGA,RIHAND3,UNCHAHAR3,RIHAND1,TANAKPUR,DADRI_RF,RAMPUR,AURY_LF,CHAMERA3,ANTA_GF,NJPC,AURY_CRF,DADRI_GF,DADRT2,PARBATI3,ANTA_RF,RIHAND2,URI2,KOLDAM,UNCHAHAR1,AURY_GF,FSTPP I & II,KHSTPP-I,BRBCL,TALA,SASAN,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,80.593531,0.000000,57.003666,0.000000,35.094946,143.512530,1.105720,40.601245,28.317874,2.976597,65.172181,406.940098,46.719885,42.068949,0.000000,5.157649,64.168857,0.000000,47.562931,0.000000,6.281487,41.938361,0.000000,0.000000,8.034549,125.787810,26.624629,93.493990,11.599481,0.000000,6.497955,0.000000,33.552946,0.000000,173.357832,0.000000,0.000000,528.578073,4.115306,0.000000,119.815254,36.499938,9.836884,9.981579,0.000000,13.775190,30.989457,14.449500,9.940678,335.797710,142.857390,0,0,0,0,0

2,00:15-00:30,80.593531,0.000000,57.003666,0.000000,35.094946,143.512530,1.105720,40.601245,28.317874,2.976597,65.172181,406.940098,46.719885,42.068949,0.000000,5.157649,64.168857,0.000000,47.562931,0.000000,6.281487,41.938361,0.000000,0.000000,8.034549,125.787810,26.624629,93.493990,11.599481,0.000000,6.497955,0.000000,33.552946,0.000000,173.357832,0.000000,0.000000,528.578073,4.115306,0.000000,119.815254,36.499938,9.836884,9.981579,0.000000,13.775190,30.989457,14.449500,9.940678,336.167618,142.857390,0,0,0,0,0

3,00:30-00:45,80.593531,0.000000,57.003666,0.000000,35.094946,143.512530,1.105720,40.601245,28.317874,2.976597,65.172181,406.940098,46.719885,42.068949,0.000000,5.157649,64.168857,0.000000,47.562931,0.000000,6.281487,31.453771,0.000000,0.000000,8.034549,125.787810,26.624629,93.493990,5.552943,0.000000,6.497955,0.000000,33.552946,0.000000,173.357832,0.000000,0.000000,528.578073,4.115306,0.000000,119.815254,36.499938,9.836884,9.981579,0.000000,13.775190,30.989457,14.449500,9.940678,336.167618,142.857390,0,0,0,0,0

4,00:45-01:00,80.593531,0.000000,57.003666,0.000000,35.094946,143.512530,1.105720,40.601245,28.317874,2.976597,65.172181,406.940098,46.719885,42.068949,0.000000,5.157649,64.168857,0.000000,47.562931,0.000000,6.281487,31.453771,0.000000,0.000000,8.034549,125.787810,26.624629,93.493990,4.318956,0.000000,6.497955,0.000000,33.552946,0.000000,173.357832,0.000000,0.000000,528.578073,4.115306,0.000000,119.815254,36.499938,9.836884,9.981579,0.000000,13.775190,30.989457,14.449500,9.940678,336.167618,142.857390,0,0,0,0,0

5,01:00-01:15,80.593531,0.000000,57.003666,0.000000,35.094946,143.512530,1.105720,40.601245,28.317874,2.976597,65.172181,377.050070,46.719885,42.068949,0.000000,5.157649,64.168857,0.000000,47.562931,0.000000,6.281487,31.453771,0.000000,0.000000,8.034549,125.787810,26.624629,93.493990,4.318956,0.000000,6.497955,0.000000,33.552946,0.000000,173.357832,0.000000,0.000000,494.030235,4.115306,0.000000,119.815254,36.499938,9.836884,9.981579,0.000000,13.775190,30.989457,13.216476,9.940678,336.167618,142.857390,0,0,0,0,0

6,01:15-01:30,80.593531,0.000000,57.003666,0.000000,35.094946,143.512530,1.105720,40.601245,28.317874,2.976597,65.172181,377.050070,46.719885,42.068949,0.000000,5.157649,64.168857,0.000000,47.562931,0.000000,6.281487,31.453771,0.000000,0.000000,8.034549,125.787810,26.624629,93.493990,11.599481,0.000000,6.497955,0.000000,33.552946,0.000000,173.357832,0.000000,0.000000,494.030235,4.115306,0.000000,119.815254,36.499938,9.836884,9.981579,0.000000,13.775190,30.989457,11.665563,9.940678,336.167618,142.857390,0,0,0,0,0

7,01:30-01:45,80.593531,0.000000,57.003666,0.000000,35.094946,143.512530,1.105720,40.601245,28.317874,2.976597,65.172181,377.050070,46.719885,42.068949,0.000000,5.157649,64.168857,0.000000,47.562931,0.000000,6.281487,31.453771,0.000000,0.000000,8.034549,125.787810,26.624629,93.493990,12.463272,0.000000,6.497955,0.000000,33.552946,0.000000,173.357832,0.000000,0.000000,494.030235,4.115306,0.000000,119.815254,36.499938,9.836884,9.981579,0.000000,13.775190,30.989457,13.765557,9.799073,336.167618,142.857390,0,0,0,0,0

8,01:45-02:00,80.593531,0.000000,57.003666,0.000000,35.094946,143.512530,1.105720,40.601245,28.317874,2.976597,65.172181,377.050070,46.719885,42.068949,0.000000,5.157649,64.168857,0.000000,47.562931,0.000000,6.281487,31.453771,0.000000,0.000000,8.034549,125.787810,26.624629,93.493990,12.463272,0.000000,6.497955,0.000000,33.552946,0.000000,173.357832,0.000000,0.000000,494.030235,4.115306,0.000000,119.815254,36.499938,9.836884,9.981579,0.000000,13.775190,30.989457,13.717392,9.799073,336.167618,142.857390,0,0,0,0,0

9,02:00-02:15,80.593531,0.000000,57.003666,0.000000,35.094946,143.512530,1.105720,40.601245,28.317874,2.976597,65.172181,400.458260,46.719885,42.068949,0.000000,5.157649,64.168857,0.000000,47.562931,0.000000,6.281487,31.453771,0.000000,0.000000,8.034549,125.787810,26.624629,93.493990,12.463272,0.000000,6.497955,0.000000,33.552946,0.000000,173.357832,0.000000,0.000000,526.181336,4.115306,0.000000,119.815254,36.499938,9.836884,9.981579,0.000000,13.775190,30.989457,13.380237,9.799073,336.167618,142.857390,0,0,0,0,0

10,02:15-02:30,80.593531,0.000000,57.003666,0.000000,35.094946,143.512530,1.105720,40.601245,28.317874,2.976597,65.172181,400.458260,46.719885,42.068949,0.000000,5.157649,64.168857,0.000000,47.562931,0.000000,6.281487,31.453771,0.000000,0.000000,8.034549,125.787810,26.624629,93.493990,12.463272,0.000000,6.497955,0.000000,33.552946,0.000000,173.357832,0.000000,0.000000,526.181336,4.115306,0.000000,119.815254,36.499938,9.836884,9.981579,0.000000,13.775190,30.989457,13.245375,9.799073,336.167618,142.857390,0,0,0,0,0

