Block,Time Block,DHAULIGNGA,DULHASTI,FSTPP I & II,KHSTPP-I,KISHANGANGA,KHSTPP-II,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,KGSU3AND4,RIHAND1,SASAN,RAPPC,TALST2,RSTPSU1TO6,SIMHST1,SINGRAULI_HYDRO,SIMHST2,RSTPSU7,RIHAND3,SALAL,SEWA2,SINGRAULI,RAPPB,TALA,RIHAND2,TEHRI,TANDA2,TANAKPUR,VALLURNTECL,ANTA_GF,UNCHAHAR1,UNCHAHAR4,ANTA_CRF,URI2,ANTA_RF,UNCHAHAR3,AURY_CRF,TelanganaSTPP,ANTA_LF,UNCHAHAR2,URI,JHAJJAR,KGSU1AND2,PARBATI3,NLCIIST2,RAMPUR,NLCTS2EXP,NNTPP,NTPL,KOTESHWR,NAPP,KKNP,NLCIIST1,KKNPPU2,KOLDAM,KUDGI,NLCEXP,MAPS,NJPC,CHAMERA1,DADRT2,BSIUL,CHAMERA3,BRBCL,CHAMERA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,8.84,31.97,13.87,43.58,0,143.87,0,0,0,0,0,0,0,0,43.65,392.89,50.23,0,0,0,0,0,0,120.6,2.26,0,98.95,0,5.84,115.21,45.29,0,12.67,0,0,19.95,0,0,26.1,0,0,0,0,0,41.13,5.03,382.99,0,0,0,0,0,0,0,8.6,40.4,0,0,0,0,0,0,0,45.38,0,183.65,0,9.39,14.55,12.78,0,0,0,0,0

2,00:15-00:30,8.84,31.97,13.87,43.58,0,143.87,0,0,0,0,0,0,0,0,43.65,392.89,50.23,0,0,0,0,0,0,120.6,2.26,0,98.95,0,5.84,115.21,28.98,0,12.67,0,0,19.95,0,0,26.1,0,0,0,0,0,41.13,5.03,382.99,0,0,0,0,0,0,0,8.6,40.4,0,0,0,0,0,0,0,45.38,0,219.06,0,9.39,14.55,12.67,0,0,0,0,0

3,00:30-00:45,8.84,31.97,11.68,43.58,0,143.87,0,0,0,0,0,0,0,0,43.65,392.89,50.23,0,0,0,0,0,0,120.6,25.93,0,98.95,0,5.99,115.21,14.48,0,12.67,0,0,16.73,0,0,26.1,0,0,0,0,0,35.3,5.03,382.99,0,0,0,0,0,0,0,8.6,40.4,0,0,0,0,0,0,0,45.38,0,240.03,0,9.39,14.55,12.67,0,0,0,0,0

4,00:45-01:00,8.84,31.97,11.68,43.58,0,143.87,0,0,0,0,0,0,0,0,43.65,392.89,50.23,0,0,0,0,0,0,120.6,77.01,0,98.95,0,5.99,115.21,14.48,0,12.67,0,0,16.73,0,0,26.1,0,0,0,0,0,35.3,5.03,382.99,0,0,0,0,0,0,0,8.6,40.4,0,0,0,0,0,0,0,45.38,0,240.03,0,9.39,14.55,12.67,0,0,0,0,0

5,01:00-01:15,8.84,31.97,11.68,43.58,0,143.87,0,0,0,0,0,0,0,0,43.65,392.89,50.23,0,0,0,0,0,0,120.6,77.01,0,98.95,0,5.99,115.21,14.48,0,11.19,0,0,16.73,0,0,5.22,0,0,0,0,0,35.3,5.03,382.99,0,0,0,0,0,0,0,8.6,40.4,0,0,0,0,0,0,0,45.38,0,240.03,0,9.39,14.55,12.67,0,0,0,0,0

