Block,Time Block,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KHSTPP-I,KISHANGANGA,KHSTPP-II,JHAJJAR,CHAMERA2,CHAMERA3,DADRT2,FSTPP I & II,DHAULIGNGA,DULHASTI,BRBCL,CHAMERA1,BSIUL,NNTPP,NTPL,NLCTS2EXP,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NAPP,UNCHAHAR4,TALST2,UNCHAHAR3,TANAKPUR,VALLURNTECL,TelanganaSTPP,TALA,UNCHAHAR2,URI,URI2,TEHRI,TANDA2,UNCHAHAR1,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,KUDGI,MAPS,SIMHST1,SINGRAULI_HYDRO,RAMPUR,RSTPSU1TO6,SIMHST2,RAPPC,RSTPSU7,SINGRAULI,SALAL,SEWA2,RIHAND3,PARBATI3,RAPPB,RIHAND2,SASAN,RIHAND1,KOTESHWR,KOLDAM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,34.08,1.39,79.59,300.33,42.83,20.7,366.23,18.15,38.93,52.1,17.06,40.82,6.31,0,0,0,0,0,161.84,0,44.84,1.3,0,0,7.44,0,0,9.89,17.63,43.3,35.2,74.48,0,14.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,58.48,0,119.61,81.03,11.22,123.58,17.01,0,117.88,217.91,45.84,37.42,3.88,0,0,0,0,0

2,00:15-00:30,0,0,0,0,34.08,1.39,75.98,300.33,42.83,20.7,366.23,15.17,38.93,52.1,14.52,40.82,6.31,0,0,0,0,0,161.84,0,44.84,0.8,0,0,7.44,0,0,9.89,17.63,43.3,35.2,74.48,0,11.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,58.48,0,119.61,81.03,11.22,123.58,17.01,0,117.88,217.91,45.84,37.42,3.88,0,0,0,0,0

3,00:30-00:45,0,0,0,0,34.08,1.39,75.98,300.33,42.83,20.7,366.23,15.17,39.13,52.1,12.89,27.21,6.31,0,0,0,0,0,161.84,0,44.84,0,0,0,7.44,0,0,10.02,17.63,43.3,35.2,74.48,0,11.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,58.48,0,119.61,81.03,11.22,91.93,14.97,0,95.45,217.91,32,37.42,3.88,0,0,0,0,0

4,00:45-01:00,0,0,0,0,34.08,1.39,75.98,300.33,42.83,20.7,366.23,12.86,39.13,52.1,11.02,27.21,6.31,0,0,0,0,0,161.84,0,44.84,0,0,0,7.44,0,0,10.02,17.63,48.65,35.2,74.48,0,11.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,58.48,0,119.61,81.03,11.22,91.93,14.97,0,95.45,217.91,32,37.42,3.88,0,0,0,0,0

5,01:00-01:15,0,0,0,0,34.08,1.39,75.98,300.33,42.83,20.7,366.23,12.86,39.13,52.1,11.27,27.21,6.31,0,0,0,0,0,161.84,0,44.84,0,0,0,12.59,0,0,10.02,17.63,48.65,35.2,74.48,0,11.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,58.48,0,119.61,81.03,11.22,91.93,17.01,0,95.45,217.91,32,37.42,3.88,0,0,0,0,0

6,01:15-01:30,0,0,0,0,34.08,1.39,75.98,300.33,42.83,20.7,366.23,12.86,39.13,52.1,10.65,27.21,6.31,0,0,0,0,0,161.84,0,44.84,0,0,0,12.59,0,0,10.02,17.63,48.65,35.2,74.48,0,11.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,58.48,0,119.61,81.03,11.22,91.93,17.01,0,95.45,217.91,32,37.42,3.88,0,0,0,0,0

7,01:30-01:45,0,0,0,0,34.08,1.39,75.98,300.33,42.83,20.7,366.23,12.86,39.13,52.1,12.42,27.21,6.31,0,0,0,0,0,150.31,0,44.84,0,0,0,12.59,0,0,10.02,17.63,43.3,35.2,74.48,0,11.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,58.48,0,119.61,76.88,11.22,91.93,17.01,0,95.45,217.91,32,37.42,3.88,0,0,0,0,0

8,01:45-02:00,0,0,0,0,34.08,1.39,75.98,300.33,27.45,20.7,366.23,12.86,39.13,52.1,10.91,27.21,6.31,0,0,0,0,0,150.31,0,44.84,0,0,0,12.59,0,0,10.02,17.63,43.3,35.2,74.48,0,11.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,58.48,0,119.61,76.88,5.57,91.93,17.01,0,95.45,217.91,32,37.42,3.88,0,0,0,0,0

9,02:00-02:15,0,0,0,0,34.08,1.39,75.98,300.33,26,20.7,366.23,11.08,39.13,52.1,10.66,27.21,6.31,0,0,0,0,0,150.31,0,44.84,0,0,0,12.59,0,0,10.02,17.63,43.3,35.2,74.48,0,11.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,58.48,0,119.61,76.88,5.57,91.93,17.01,0,95.45,217.91,32,37.42,3.88,0,0,0,0,0

10,02:15-02:30,0,0,0,0,34.08,1.39,75.98,300.33,26,20.7,366.23,11.08,39.13,52.1,10.66,27.21,6.31,0,0,0,0,0,150.31,0,44.84,0,0,0,12.59,0,0,10.02,17.63,43.3,35.2,74.48,0,11.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,58.48,0,119.61,76.88,0,91.93,17.01,0,95.45,217.91,32,37.42,3.88,0,0,0,0,0

