Block,Time,KHSTPP-II,BRBCL,SASAN,FSTPP I & II,KHSTPP-I,TALA,RAMPUR,JHAJJAR,AURY_RF,TEHRI,CHAMERA1,SEWA2,BSIUL,DHAULIGNGA,ANTA_CRF,UNCHAHAR1,NAPP,CHAMERA3,ANTA_GF,RIHAND2,AURY_LF,ANTA_RF,ANTA_LF,TANDA2,DADRT2,NJPC,KISHANGANGA,DADRI_CRF,SINGRAULI,SINGRAULI_HYDRO,KOTESHWR,PARBATI3,CHAMERA2,RAPPB,URI2,RIHAND1,DULHASTI,URI,DADRI_RF,UNCHAHAR4,UNCHAHAR2,AURY_CRF,UNCHAHAR3,AURY_GF,DADRI_LF,TANAKPUR,RAPPC,DADRI_GF,KOLDAM,RIHAND3,SALAL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,120.423330,14.406011,335.155590,13.464232,30.896164,9.317801,6.478393,405.711376,0.000000,61.832952,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,0.000000,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,1.486014,41.942301,0.000000,26.544476,0.000000,0.000000,12.425751,65.298443,0.000000,8.907521,125.409128,80.350906,0,0,0,0,0

2,00:15-00:30,120.895152,14.406011,335.155590,13.464232,30.896164,9.317801,6.478393,405.711376,0.000000,61.832952,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,0.000000,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,1.984965,41.942301,0.000000,26.544476,0.000000,0.000000,12.425751,65.298443,0.000000,8.907521,125.409128,80.350906,0,0,0,0,0

3,00:30-00:45,120.895152,14.406011,335.155590,13.464232,30.896164,9.317801,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,0.000000,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,2.495210,41.942301,0.000000,26.544476,0.000000,0.000000,12.425751,65.298443,0.000000,8.907521,125.409128,80.350906,0,0,0,0,0

4,00:45-01:00,120.895152,14.406011,335.155590,13.464232,30.896164,9.317801,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,0.000000,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,2.943972,41.942301,0.000000,26.544476,0.000000,0.000000,12.425751,65.298443,0.000000,8.907521,125.409128,80.350906,0,0,0,0,0

5,01:00-01:15,120.895152,14.406011,335.155590,13.464232,30.896164,9.120150,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,0.000000,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,2.967636,41.942301,0.000000,26.544476,0.000000,0.000000,12.425751,65.298443,0.000000,8.907521,125.409128,80.350906,0,0,0,0,0

6,01:15-01:30,120.895152,14.406011,335.155590,13.464232,30.896164,9.120150,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,0.000000,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,2.967636,41.942301,0.000000,26.544476,0.000000,0.000000,12.425751,65.298443,0.000000,8.907521,125.409128,80.350906,0,0,0,0,0

7,01:30-01:45,120.895152,14.370109,335.155590,13.464232,30.896164,9.120150,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,0.000000,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,2.967636,41.942301,0.000000,26.544476,0.000000,0.000000,12.425751,65.298443,0.000000,8.907521,125.409128,80.350906,0,0,0,0,0

8,01:45-02:00,120.895152,12.983461,335.155590,13.464232,30.896164,9.120150,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,0.000000,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,2.967636,41.942301,0.000000,26.544476,0.000000,0.000000,12.425751,65.298443,0.000000,8.907521,125.409128,80.350906,0,0,0,0,0

9,02:00-02:15,120.895152,13.031850,335.155590,13.464232,30.896164,9.120150,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,0.000000,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,12.425751,65.298443,0.000000,8.907521,125.409128,80.350906,0,0,0,0,0

10,02:15-02:30,120.895152,13.200787,335.155590,13.464232,30.896164,9.120150,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,0.000000,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,12.425751,65.298443,0.000000,8.907521,125.409128,80.350906,0,0,0,0,0

11,02:30-02:45,120.895152,12.636346,335.155590,13.733720,30.896164,9.120150,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,17.583929,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,12.425751,65.298443,0.000000,8.907521,125.409128,80.350906,0,0,0,0,0

12,02:45-03:00,120.895152,14.170029,335.155590,13.733720,30.896164,9.120150,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,17.583929,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,12.425751,65.298443,0.000000,8.907521,125.409128,80.350906,0,0,0,0,0

13,03:00-03:15,120.895152,14.406011,335.155590,13.733720,30.896164,9.120150,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,17.583929,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

14,03:15-03:30,120.895152,14.406011,335.155590,13.733720,30.896164,9.120150,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,16.118602,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

15,03:30-03:45,120.895152,14.406011,335.155590,13.733720,30.896164,8.753086,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,16.118602,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

16,03:45-04:00,120.895152,14.406011,335.155590,13.733720,30.896164,8.753086,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,16.118602,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

17,04:00-04:15,120.895152,14.406011,335.155590,13.733720,30.896164,8.753086,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,16.118602,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

18,04:15-04:30,120.895152,14.406011,335.155590,13.733720,30.896164,8.753086,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,16.118602,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

19,04:30-04:45,120.895152,14.406011,335.155590,13.733720,30.896164,8.753086,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,15.385938,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

20,04:45-05:00,120.895152,14.406011,335.155590,13.733720,30.896164,8.753086,6.478393,405.711376,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,19.334399,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.442796,172.835941,8.010361,0.000000,136.121838,1.164790,37.643498,4.102917,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

21,05:00-05:15,120.895152,14.406011,335.155590,13.733720,30.896164,8.753086,6.478393,304.006074,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,17.156105,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,585.894517,172.835941,8.010361,0.000000,136.117588,1.164790,37.643498,15.385938,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,36.887235,0.000000,23.053730,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

22,05:15-05:30,120.895152,14.406011,335.155590,13.733720,30.896164,8.753086,6.478393,194.548228,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,19.274422,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,605.101974,172.835941,8.010361,0.000000,136.117588,1.164790,37.643498,16.118602,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,42.501638,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

23,05:30-05:45,120.895152,14.406011,335.155590,13.733720,30.896164,8.753086,6.478393,194.548228,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,19.332852,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,605.102517,172.835941,8.010361,0.000000,136.117588,1.164790,37.643498,19.049256,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,42.501638,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

