Block,Time Block,BSIUL,CHAMERA3,CHAMERA2,BRBCL,DHAULIGNGA,DADRT2,CHAMERA1,KGSU1AND2,KHSTPP-I,KGSU3AND4,KKNP,KOLDAM,KKNPPU2,KHSTPP-II,KOTESHWR,KISHANGANGA,MAPS,KUDGI,DADRI_RF,ANTA_LF,ANTA_CRF,AURY_GF,DADRI_CRF,DADRI_LF,AURY_CRF,AURY_RF,DADRI_GF,ANTA_RF,ANTA_GF,AURY_LF,URI2,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,RIHAND3,RAPPB,RIHAND2,RAMPUR,RIHAND1,NTPL,RSTPSU1TO6,PARBATI3,RAPPC,RSTPSU7,TALST2,SASAN,TANAKPUR,SIMHST1,SINGRAULI_HYDRO,TALA,SIMHST2,SALAL,SEWA2,SINGRAULI,TANDA2,JHAJJAR,FSTPP I & II,DULHASTI,NAPP,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,NJPC,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,16.73,0,365.21,0,0,18.39,0,0,0,0,78.36,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,14.25,0,22.47,1.07,0,6.56,0,0,87.59,0,75.8,0,48.63,0,0,0,51.81,0,0,402.31,7.5,0,0,0,0,1.34,0,67.2,0,346.04,11.09,15.83,42.47,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,16.34,0,365.21,0,0,18.39,0,0,0,0,78.36,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,14.25,0,22.47,1.07,0,6.56,0,0,87.59,0,75.8,0,48.63,0,0,0,51.81,0,0,402.31,7.5,0,0,0,0,1.34,0,67.2,0,346.04,11.09,15.83,42.47,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,15.42,0,365.21,0,0,18.39,0,0,0,0,78.36,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,14.25,0,22.47,1.07,0,6.56,0,0,87.59,0,75.8,0,48.63,0,0,0,51.81,0,0,402.31,7.5,0,0,0,0,1.34,0,67.2,0,346.04,11.09,15.83,42.47,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,13.16,0,365.21,0,0,18.39,0,0,0,0,78.36,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,14.25,0,22.47,1.07,0,6.56,0,0,87.59,0,75.8,0,48.63,0,0,0,51.81,0,0,402.31,7.5,0,0,0,0,1.34,0,67.2,0,346.04,11.09,15.83,42.47,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,12.64,0,365.21,0,0,18.39,0,0,0,0,78.36,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,14.25,0,22.47,1.07,0,6.56,0,0,87.59,0,75.8,0,48.63,0,0,0,51.81,0,0,402.31,7.5,0,0,0,0,1.34,0,67.2,0,346.04,11.09,15.83,42.47,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,12.95,0,365.21,0,0,18.39,0,0,0,0,78.36,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,14.25,0,22.47,1.07,0,6.56,0,0,87.59,0,75.8,0,48.63,0,0,0,51.81,0,0,402.31,7.5,0,0,0,0,1.34,0,67.2,0,346.04,11.09,15.83,42.47,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,0,12.71,0,365.21,0,0,18.39,0,0,0,0,78.36,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,14.25,0,22.47,1.07,0,6.56,0,0,87.59,0,75.8,0,48.63,0,0,0,51.81,0,0,402.31,2.22,0,0,0,0,1.34,0,67.2,0,346.04,11.09,15.83,42.47,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,0,13.54,0,365.21,0,0,18.39,0,0,0,0,78.36,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,14.25,0,22.47,1.07,0,6.56,0,0,87.59,0,75.8,0,48.63,0,0,0,51.81,0,0,402.31,1.97,0,0,0,0,1.34,0,67.2,0,346.04,11.09,15.83,42.47,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,0,12.34,0,365.21,0,0,18.39,0,0,0,0,78.36,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,14.25,0,22.47,1.07,0,6.56,0,0,87.59,0,75.8,0,48.63,0,0,0,51.81,0,0,402.31,1.97,0,0,0,0,1.34,0,67.2,0,346.04,11.09,15.83,42.47,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,0,12.65,0,365.21,0,0,18.39,0,0,0,0,78.36,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,14.25,0,22.47,1.07,0,6.56,0,0,87.59,0,75.8,0,48.63,0,0,0,51.81,0,0,402.31,1.97,0,0,0,0,1.34,0,67.2,0,346.04,11.09,15.83,42.47,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,0,13.11,0,365.21,0,0,18.39,0,0,0,0,78.36,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,14.25,0,22.47,1.07,0,6.56,0,0,87.59,0,75.8,0,48.63,0,0,0,51.81,0,0,402.31,1.97,0,0,0,0,1.34,0,67.2,0,346.04,11.09,15.83,42.47,0,0,0,0,0,0,0,0,0,0,0

