Block,Time Block,BRBCL,CHAMERA2,CHAMERA1,BSIUL,KGSU3AND4,KGSU1AND2,JHAJJAR,DHAULIGNGA,DULHASTI,CHAMERA3,FSTPP I & II,DADRT2,SALAL,SIMHST1,SINGRAULI_HYDRO,SINGRAULI,SIMHST2,SEWA2,SASAN,NTPL,NNTPP,RIHAND3,RSTPSU1TO6,RSTPSU7,RIHAND1,RIHAND2,RAPPB,RAPPC,PARBATI3,RAMPUR,KHSTPP-II,KHSTPP-I,NJPC,NLCIIST1,NLCIIST2,NAPP,NLCTS2EXP,NLCEXP,MAPS,KUDGI,DADRI_CRF,DADRI_RF,DADRI_LF,AURY_CRF,ANTA_CRF,DADRI_GF,AURY_GF,ANTA_GF,AURY_LF,ANTA_LF,AURY_RF,ANTA_RF,KOTESHWR,KOLDAM,KISHANGANGA,KKNPPU2,KKNP,TALA,UNCHAHAR2,URI2,UNCHAHAR4,VALLURNTECL,UNCHAHAR3,URI,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHAHAR1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,19.24,0,0,0,0,0,346.12,0,15.85,0,11.25,356,1.35,0,0,104.42,0,0,397.65,0,0,119.57,0,0,77.25,98.44,0,51.26,0,0,73.14,33.73,0,0,0,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,0,30.55,18.11,0,0,19.27,1.28,0,3.7,0,0,0,17.03,0,0,0,0,0

2,00:15-00:30,19.24,0,0,0,0,0,346.12,0,15.85,0,11.25,356,1.35,0,0,104.42,0,0,397.65,0,0,119.57,0,0,76.26,98.44,0,51.26,0,0,70.31,32.21,0,0,0,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,0,22.55,18.11,0,0,19.27,1.28,0,3.7,0,0,0,17.03,0,0,0,0,0

3,00:30-00:45,19.24,0,0,0,0,0,346.12,0,15.85,0,8.75,356,1.35,0,0,104.42,0,0,397.65,0,0,119.57,0,0,76.26,98.44,0,51.26,0,0,70.31,32.21,0,0,0,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,0,22.55,18.11,0,0,14.28,1.28,0,3.7,0,0,0,13.16,0,0,0,0,0

4,00:45-01:00,17.79,0,0,0,0,0,346.12,0,15.85,0,8.75,356,1.35,0,0,104.42,0,0,397.65,0,0,119.57,0,0,76.26,98.44,0,51.26,0,0,70.31,32.21,0,0,0,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,0,22.55,18.11,0,0,14.28,1.28,0,3.7,0,0,0,13.16,0,0,0,0,0

5,01:00-01:15,16.94,0,0,0,0,0,346.12,0,15.85,0,8.75,356,1.35,0,0,104.42,0,0,397.65,0,0,119.57,0,0,76.26,98.44,0,51.26,0,0,52.3,24.55,0,0,0,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0,0,22.55,18.11,0,0,14.28,1.28,0,3.7,0,0,0,13.16,0,0,0,0,0

