Block,Time Block,SINGRAULI,TALST2,TANAKPUR,TALA,TEHRI,SINGRAULI_HYDRO,TANDA2,MAPS,NJPC,NAPP,NLCEXP,SIMHST2,SALAL,SEWA2,SASAN,SIMHST1,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,ANTA_LF,AURY_LF,ANTA_GF,AURY_GF,ANTA_CRF,ANTA_RF,AURY_CRF,FSTPP I & II,DHAULIGNGA,DULHASTI,KGSU1AND2,JHAJJAR,RIHAND3,RAPPB,RIHAND2,RIHAND1,RAPPC,RSTPSU1TO6,RSTPSU7,DADRT2,CHAMERA3,CHAMERA2,KGSU3AND4,CHAMERA1,BSIUL,BRBCL,KKNPPU2,KOLDAM,KUDGI,KHSTPP-II,KKNP,KISHANGANGA,KOTESHWR,KHSTPP-I,NLCIIST1,NLCIIST2,RAMPUR,NLCTS2EXP,NNTPP,NTPL,PARBATI3,UNCHAHAR2,URI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,TelanganaSTPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,84.42,0,10.61,5.35,51.44,0,2.71,0,140.17,43.3,0,0,76.82,0,405.16,0,0,0,0,0,24.8,0,0,0,0,0,30.91,0,20.13,38.9,52.77,0,400.44,123.48,0,56.22,45.8,58,0,0,663.89,20.68,25.98,0,27.19,6.31,14.52,0,3.88,0,95.68,0,0,9.35,43.47,0,0,3.02,0,0,0,3.81,18.99,16.03,20.28,0,1.57,34.31,0,0,0,0,0,0,0

2,00:15-00:30,84.42,0,10.61,5.35,51.44,0,2.71,0,140.17,43.3,0,0,76.82,0,405.24,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13,38.9,52.77,0,400.44,123.48,0,56.22,45.8,58,0,0,663.89,20.68,25.98,0,13.6,6.31,14.52,0,3.88,0,95.68,0,0,9.35,43.47,0,0,3.02,0,0,0,3.81,18.99,16.03,20.28,0,1.57,34.31,0,0,0,0,0,0,0

3,00:30-00:45,84.42,0,10.61,5.35,34.3,0,2.71,0,140.17,43.3,0,0,76.82,0,405.24,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13,38.9,52.77,0,400.44,123.48,0,56.22,45.8,58,0,0,663.89,20.68,25.98,0,13.6,6.31,14.52,0,3.88,0,95.68,0,0,9.35,43.47,0,0,3.02,0,0,0,3.81,18.99,16.03,20.28,0,1.57,34.31,0,0,0,0,0,0,0

4,00:45-01:00,84.42,0,10.61,5.35,34.3,0,2.71,0,140.17,43.3,0,0,76.82,0,405.24,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13,38.9,52.77,0,400.44,123.48,0,56.22,45.8,58,0,0,663.89,20.68,25.98,0,0,6.31,14.43,0,3.88,0,95.68,0,0,9.35,43.47,0,0,3.02,0,0,0,3.81,18.99,16.03,20.28,0,1.57,34.31,0,0,0,0,0,0,0

5,01:00-01:15,84.42,0,10.61,5.49,17.15,0,2.71,0,140.17,43.3,0,0,76.82,0,405.24,0,0,0,0,0,29.54,0,0,0,0,0,0,0,20.13,38.9,52.77,0,400.44,123.48,0,56.22,45.8,58,0,0,663.89,20.68,25.98,0,0,6.31,13.56,0,3.88,0,95.68,0,0,9.35,43.47,0,0,3.02,0,0,0,2.72,20.66,16.03,20.28,0,1.57,34.31,0,0,0,0,0,0,0

