Block,Time Block,DADRI_LF,DADRI_RF,DADRI_GF,DADRI_CRF,UNCHAHAR1,UNCHAHAR4,AURY_GF,ANTA_CRF,VALLURNTECL,AURY_CRF,URI2,ANTA_RF,AURY_RF,ANTA_LF,URI,AURY_LF,ANTA_GF,UNCHAHAR3,UNCHAHAR2,RSTPSU1TO6,RIHAND3,RIHAND2,SEWA2,SINGRAULI_HYDRO,TelanganaSTPP,SINGRAULI,TANDA2,TEHRI,TALST2,SIMHST1,TALA,TANAKPUR,SIMHST2,SASAN,RSTPSU7,SALAL,KHSTPP-I,PARBATI2,PARBATI3,RAMPUR,RAPPD,RIHAND1,NTPL,RAPPC,RAPPB,NJPC,NLCIIST1,NAPP,NLCIIST2,NNTPP,NLCEXP,NLCTS2EXP,MAPS,KHSTPP-II,KOLDAM,KISHANGANGA,KUDGI,KKNP,KOTESHWR,KKNPPU2,BSIUL,CHAMERA3,FSTPP I & II,KGSU3AND4,DHAULIGNGA,JHAJJAR,DADRT2,KGSU1AND2,DULHASTI,BRBCL,CHAMERA1,CHAMERA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,20.81,1.63,0,0,0,0,37.08,0,0,0,48.3,0,0,26.61,30.35,0,125.75,119.78,18.17,0.96,0,144.55,5.3,35.42,0,0,0,0,0,396.86,0,76.32,43.78,13,16.23,2.87,28.84,93.49,0,66.56,0,72.15,0,25.03,0,0,0,0,0,142.59,0,8.3,0,0,10.03,0,18.81,22.43,17.34,0,10.53,431.4,662.07,0,57.21,14.42,40.53,46.93,0,0,0,0,0

2,00:15-00:30,0,0,0,0,20.81,1.63,0,0,0,0,37.08,0,0,0,48.3,0,0,26.61,30.35,0,125.75,119.78,18.17,0.96,0,144.55,5.3,35.42,0,0,0,0,0,396.98,0,76.32,43.78,13,16.23,2.87,28.84,93.49,0,66.56,0,72.15,0,25.03,0,0,0,0,0,142.59,0,8.3,0,0,10.03,0,18.81,22.43,17.5,0,10.53,431.4,662.07,0,57.21,14.42,40.53,46.93,0,0,0,0,0

3,00:30-00:45,0,0,0,0,20.81,1.63,0,0,0,0,37.08,0,0,0,48.3,0,0,26.61,30.35,0,125.75,119.78,18.17,0.96,0,144.55,5.3,35.42,0,0,0,6.03,0,396.98,0,76.32,43.78,13,18.88,2.87,28.84,93.49,0,66.56,0,72.15,0,25.03,0,0,0,0,0,142.59,0,8.3,0,0,10.03,0,18.81,22.43,17.5,0,10.53,431.4,662.07,0,57.21,14.42,40.53,46.93,0,0,0,0,0

4,00:45-01:00,0,0,0,0,20.81,1.63,0,0,0,0,37.08,0,0,0,50.34,0,0,26.61,30.35,0,125.75,119.78,18.17,0.96,0,144.55,5.3,35.42,0,0,0,6.03,0,396.98,0,76.32,43.78,13,18.88,2.87,28.84,93.49,0,66.56,0,72.15,0,25.03,0,0,0,0,0,142.59,0,8.3,0,0,10.03,0,18.81,22.43,17.5,0,10.53,431.4,662.07,0,57.21,14.42,40.53,46.93,0,0,0,0,0

5,01:00-01:15,0,0,0,0,20.81,1.63,0,0,0,0,33.98,0,0,0,50.34,0,0,26.61,30.35,0,125.75,119.78,18.17,0.96,0,144.55,5.3,35.42,0,0,0,6.03,0,396.98,0,76.32,43.78,13,18.88,2.87,28.84,93.49,0,66.56,0,72.15,0,25.03,0,0,0,0,0,142.59,0,8.3,0,0,10.03,0,18.81,22.43,17.5,0,10.53,431.4,662.07,0,57.21,14.42,40.53,31.28,0,0,0,0,0

6,01:15-01:30,0,0,0,0,20.81,1.63,0,0,0,0,33.98,0,0,0,50.34,0,0,26.61,30.35,0,125.75,119.78,18.17,0.96,0,144.55,5.3,34.03,0,0,0,6.03,0,396.98,0,76.32,43.78,13,18.88,2.87,28.84,93.49,0,66.56,0,72.15,0,25.03,0,0,0,0,0,142.59,0,8.3,0,0,10.03,0,18.81,22.43,17.5,0,10.53,431.4,662.07,0,57.21,14.42,40.53,31.28,0,0,0,0,0

7,01:30-01:45,0,0,0,0,20.81,1.63,0,0,0,0,33.98,0,0,0,50.34,0,0,26.61,32.91,0,125.75,119.78,18.17,0.96,0,144.55,5.3,34.03,0,0,0,6.03,0,396.98,0,76.32,43.78,13,18.88,2.87,28.84,93.49,0,66.56,0,72.15,0,25.03,0,0,0,0,0,142.59,0,8.3,0,0,10.03,0,12.54,22.43,17.5,0,10.53,431.4,662.07,0,57.21,14.42,40.53,31.28,0,0,0,0,0

8,01:45-02:00,0,0,0,0,20.81,1.63,0,0,0,0,33.98,0,0,0,50.34,0,0,26.61,36.34,0,125.75,119.78,18.17,0.96,0,144.55,5.3,22.68,0,0,0,6.03,0,396.98,0,76.32,43.78,13,18.88,2.87,28.84,93.49,0,66.56,0,72.15,0,25.03,0,0,0,0,0,142.59,0,8.3,0,0,10.03,0,12.54,22.43,17.5,0,0,431.4,662.07,0,57.21,14.42,40.53,31.28,0,0,0,0,0

