Block,Time Block,UNCHAHAR4,TANDA2,UNCHAHAR3,URI2,TALST2,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,TALA,SINGRAULI,TEHRI,UNCHAHAR1,SASAN,RSTPSU1TO6,SIMHST1,RSTPSU7,SIMHST2,SALAL,SEWA2,BRBCL,BSIUL,CHAMERA1,CHAMERA2,JHAJJAR,KGSU1AND2,CHAMERA3,KGSU3AND4,KHSTPP-II,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,KHSTPP-I,NAPP,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NTPL,PARBATI3,RIHAND3,RAPPB,RIHAND2,RIHAND1,NLCTS2EXP,RAMPUR,NNTPP,RAPPC,KISHANGANGA,KOTESHWR,KUDGI,KOLDAM,MAPS,KKNP,KKNPPU2,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,VALLURNTECL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,14.26,4.14,0,0,7.51,0,22.49,3.18,0,94.97,0,5.77,402.69,0,0,0,0,1.35,0,19.23,0,0,0,345.41,0,0,0,94.74,0,11.1,0,249.29,18.41,42.31,0,0,0,0,0,0,100.8,0,75.87,48.66,0,0,0,51.73,0,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,14.26,4.14,0,0,7.51,0,22.49,0.63,0,94.97,0,5.77,402.69,0,0,0,0,1.35,0,19.23,0,0,0,345.41,0,0,0,94.74,0,11.1,0,353.47,18.41,42.31,0,0,0,0,0,0,87.68,0,75.87,48.66,0,0,0,51.73,0,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,14.26,4.14,0,0,7.51,0,22.49,0.63,0,94.97,0,5.77,402.69,0,0,0,0,1.35,0,19.23,0,0,0,345.41,0,0,0,94.74,0,11.1,0,362.67,18.41,42.31,0,0,0,0,0,0,87.68,0,75.87,48.66,0,0,0,51.73,0,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,14.26,4.14,0,0,7.51,0,22.49,0.63,0,94.97,0,5.77,402.69,0,0,0,0,1.35,0,18,0,0,0,345.41,0,0,0,94.74,0,11.1,0,362.67,18.41,42.31,0,0,0,0,0,0,87.68,0,75.87,48.66,0,0,0,51.73,0,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,14.26,4.14,0,0,7.51,0,22.49,0.63,0,94.97,0,5.77,402.69,0,0,0,0,1.35,0,17.63,0,0,0,345.41,0,0,0,78.44,0,11.1,0,362.67,18.41,42.31,0,0,0,0,0,0,87.68,0,75.87,48.66,0,0,0,51.73,0,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

