Block,Time,KHSTPP-II,TALA,KHSTPP-I,SASAN,FSTPP I & II,BRBCL,DADRI_GF,UNCHAHAR4,URI,JHAJJAR,NAPP,DADRT2,UNCHAHAR2,DADRI_RF,DADRI_CRF,RIHAND2,RIHAND1,RAPPB,RAMPUR,KOLDAM,RIHAND3,SINGRAULI,NJPC,TEHRI,PARBATI3,DADRI_LF,ANTA_LF,AURY_LF,TANAKPUR,AURY_GF,DHAULIGNGA,RAPPC,KISHANGANGA,ANTA_GF,CHAMERA3,AURY_RF,BSIUL,CHAMERA2,AURY_CRF,SALAL,KOTESHWR,UNCHAHAR1,SINGRAULI_HYDRO,UNCHAHAR3,DULHASTI,SEWA2,ANTA_RF,URI2,CHAMERA1,TANDA2,ANTA_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,78.595608,0.000000,24.867388,403.945542,11.092900,19.291953,0.000000,0.000000,40.466899,231.021700,42.134886,361.667124,22.494472,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,6.289964,0.000000,0.000000,12.329517,8.084313,6.414590,0.775018,14.005992,31.791001,0.000000,0.000000,30.768215,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,78.595608,0.000000,24.867388,403.945542,11.092900,19.291953,0.000000,0.000000,40.466899,231.021700,42.134886,361.667124,22.494472,0.000000,0.000000,113.943375,88.743200,0.000000,0.000000,0.000000,58.530578,121.141702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,6.289964,0.000000,0.000000,12.329517,8.084313,6.414590,0.775018,14.005992,31.791001,0.000000,0.000000,30.768215,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,78.595608,0.000000,24.867388,403.945542,11.092900,18.582392,0.000000,0.000000,26.622960,231.021700,42.134886,361.667124,22.494472,0.000000,0.000000,91.586166,61.286440,0.000000,0.000000,0.000000,43.051063,121.141702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,6.289964,0.000000,0.000000,12.329517,8.084313,6.414590,0.775018,14.005992,31.791001,0.000000,0.000000,30.768215,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,78.595608,0.000000,24.867388,403.945542,11.092900,17.784187,0.000000,0.000000,26.622960,231.021700,42.134886,361.667124,22.494472,0.000000,0.000000,91.586166,61.286440,0.000000,0.000000,0.000000,43.051063,121.141702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,6.289964,0.000000,0.000000,12.329517,8.084313,6.414590,0.775018,14.005992,31.791001,0.000000,0.000000,30.768215,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,78.595608,0.000000,24.867388,403.945542,11.092900,16.128278,0.000000,0.000000,26.622960,231.021700,42.134886,361.667124,22.494472,0.000000,0.000000,91.586166,61.286440,0.000000,0.000000,0.000000,43.051063,121.141702,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,52.268105,0.000000,0.000000,0.000000,0.000000,6.289964,0.000000,0.000000,12.329517,8.084313,6.414590,0.775018,14.005992,31.791001,0.000000,0.000000,30.768215,0.000000,0.000000,0.000000,0,0,0,0,0

