Block,Time,KISHANGANGA,JHAJJAR,TANDA2,ANTA_GF,ANTA_RF,DADRT2,DADRI_RF,URI,ANTA_CRF,UNCHAHAR4,KOTESHWR,AURY_LF,CHAMERA3,AURY_CRF,AURY_RF,SINGRAULI_HYDRO,DADRI_GF,UNCHAHAR3,UNCHAHAR1,DHAULIGNGA,RIHAND3,RIHAND2,SINGRAULI,AURY_GF,SALAL,UNCHAHAR2,URI2,RAPPB,KOLDAM,RIHAND1,PARBATI3,SEWA2,NAPP,TANAKPUR,BSIUL,NJPC,RAMPUR,DADRI_LF,CHAMERA2,RAPPC,CHAMERA1,DULHASTI,DADRI_CRF,ANTA_LF,TEHRI,FSTPP I & II,KHSTPP-I,BRBCL,KHSTPP-II,TALA,KUDGI,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,631.318115,0.000000,0.000000,0.000000,664.322252,0.000000,45.919666,10.282979,0.000000,25.751461,0.000000,18.722749,14.509500,0.000000,1.017745,0.000000,24.802032,19.331490,35.395151,119.621759,54.845910,134.754563,0.000000,83.176192,41.003944,31.749572,0.000000,0.000000,88.991600,0.000000,5.028703,17.562299,12.886758,6.307570,147.939346,0.000000,0.000000,38.218139,49.345649,0.000000,47.819981,11.870706,0.000000,43.876728,13.784025,42.274879,15.931094,142.691864,24.172827,48.36,402.638625,0,0,0,0,0

2,00:15-00:30,0.000000,631.792092,0.000000,0.000000,0.000000,664.322252,0.000000,45.919666,10.282979,0.000000,25.751461,0.000000,18.722749,14.509500,0.000000,1.017745,0.000000,25.527144,19.331490,35.395151,119.621759,54.845910,134.754563,0.000000,83.176192,41.003944,31.749572,0.000000,0.000000,88.991600,0.000000,5.028703,17.562299,12.886758,6.307570,147.939346,0.000000,0.000000,38.218139,49.345649,0.000000,47.819981,11.870706,0.000000,43.876728,13.784025,42.274879,15.520985,142.691864,24.172827,48.36,402.638625,0,0,0,0,0

3,00:30-00:45,0.000000,631.792092,0.000000,0.000000,0.000000,664.322252,0.000000,29.901178,10.282979,0.000000,25.751461,0.000000,18.722749,14.838382,0.000000,1.017745,0.000000,25.527144,19.331490,35.395151,119.621759,54.845910,134.754563,0.000000,83.176192,41.003944,31.749572,0.000000,0.000000,88.991600,0.000000,5.028703,17.562299,12.886758,6.307570,147.939346,0.000000,0.000000,38.218139,49.345649,0.000000,47.819981,11.870706,0.000000,43.876728,13.784025,42.274879,15.477502,142.691864,24.172827,38.69,402.638625,0,0,0,0,0

4,00:45-01:00,0.000000,631.792092,0.000000,0.000000,0.000000,664.322252,0.000000,29.901178,10.282979,0.000000,25.751461,0.000000,18.722749,14.509500,0.000000,1.017745,0.000000,25.527144,19.331490,35.395151,119.621759,54.845910,134.754563,0.000000,83.176192,41.003944,31.749572,0.000000,0.000000,88.991600,0.000000,5.028703,17.562299,12.886758,6.307570,147.939346,0.000000,0.000000,38.218139,49.345649,0.000000,47.819981,11.870706,0.000000,43.876728,13.784025,42.274879,16.629036,142.691864,24.172827,38.69,402.638625,0,0,0,0,0

5,01:00-01:15,0.000000,625.577189,0.000000,0.000000,0.000000,664.322252,0.000000,29.901178,10.282979,0.000000,25.751461,0.000000,18.722749,14.509500,0.000000,1.017745,0.000000,19.152153,14.713020,35.395151,119.621759,54.845910,134.754563,0.000000,83.176192,41.003944,31.749572,0.000000,0.000000,88.991600,0.000000,5.028703,17.562299,12.886758,6.307570,147.939346,0.000000,0.000000,38.218139,49.345649,0.000000,47.819981,11.870706,0.000000,43.876728,13.784025,42.860545,15.408898,142.691864,24.172827,33.86,402.638625,0,0,0,0,0

6,01:15-01:30,0.000000,625.577189,0.000000,0.000000,0.000000,664.322252,0.000000,29.901178,10.282979,0.000000,25.751461,0.000000,18.722749,14.509500,0.000000,1.017745,0.000000,19.152153,14.713020,35.395151,119.621759,54.845910,134.754563,0.000000,83.176192,41.003944,31.749572,0.000000,0.000000,88.991600,0.000000,5.028703,17.562299,12.886758,6.307570,147.939346,0.000000,0.000000,38.218139,49.345649,0.000000,47.819981,11.870706,0.000000,43.876728,13.784025,42.862030,15.700061,142.691864,24.172827,33.86,402.638625,0,0,0,0,0

7,01:30-01:45,0.000000,625.577189,0.000000,0.000000,0.000000,633.041843,0.000000,29.901178,10.282979,0.000000,25.751461,0.000000,18.722749,14.509500,0.000000,1.017745,0.000000,19.152153,14.713020,35.395151,119.621759,54.845910,134.754563,0.000000,83.176192,41.003944,31.749572,0.000000,0.000000,88.991600,0.000000,5.028703,17.562299,12.886758,6.307570,147.939346,0.000000,0.000000,38.218139,49.345649,0.000000,47.819981,11.870706,0.000000,43.876728,13.784025,42.862030,14.530065,142.691864,24.172827,29.02,402.638625,0,0,0,0,0

8,01:45-02:00,0.000000,625.577189,0.000000,0.000000,0.000000,604.022843,0.000000,29.901178,10.594643,0.000000,25.751461,0.000000,18.722749,14.509500,0.000000,1.017745,0.000000,19.152153,14.713020,35.395151,119.621759,54.845910,134.754563,0.000000,83.176192,41.003944,31.749572,0.000000,0.000000,88.991600,0.000000,5.028703,17.562299,12.886758,6.307570,147.939346,0.000000,0.000000,38.218139,49.345649,0.000000,47.819981,11.870706,0.000000,43.876728,13.784025,42.862030,14.836563,142.691864,24.172827,29.02,402.638625,0,0,0,0,0

9,02:00-02:15,0.000000,625.577189,0.000000,0.000000,0.000000,555.657843,0.000000,29.901178,1.493497,0.000000,25.751461,0.000000,18.722749,14.509500,0.000000,1.017745,0.000000,19.152153,14.713020,35.395151,119.621759,54.845910,134.754563,0.000000,83.176192,41.003944,22.120603,0.000000,0.000000,88.991600,0.000000,5.028703,17.562299,12.886758,6.307570,147.939346,0.000000,0.000000,38.218139,49.345649,0.000000,47.819981,11.870706,0.000000,43.876728,13.784025,42.862030,15.006558,142.691864,24.172827,29.02,402.638625,0,0,0,0,0

