Column1,Time,NR/01102023/19072037/LT-05,GNA/NR/2025/06/01/2868,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,GNA/NR/2025/06/01/7782,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7663,GNA/NR/2025/04/01/8456,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/5280,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7762,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/8510,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/8964,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/NR/2024/12/20/3668,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10,GNARE/SR/2025/01/13/4532,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14
1,00:00-00:15,115.51,17.39,76.6,0,11.9,273.16,41.06,20.53,20.53,53.38,0,41.06,41.06,5.98,0,26.58,11.91,30,20.53,5.62,225.99,12.39,0,8.88,53.14,26.74,4.14,4.83,4.69,0,40,0,0,0,120,0,0,0,0,0,28.01,0,38.33,40,0,0,0,0,0

2,00:15-00:30,115.51,17.39,76.6,0,11.9,273.16,41.06,20.53,20.53,53.38,0,41.06,41.06,5.98,0,26.58,11.91,30,20.53,5.62,225.99,12.39,0,8.88,53.14,26.74,4.14,4.83,4.69,0,40,0,0,0,120,0,0,0,0,0,28.01,0,38.33,40,0,0,0,0,0

3,00:30-00:45,115.51,17.39,76.6,0,11.9,273.16,41.06,20.53,20.53,53.38,0,41.06,41.06,5.98,0,26.94,11.91,26.94,20.53,5.62,225.99,12.39,0,8.88,53.14,27.24,4.14,4.83,4.69,0,40,0,0,0,120,0,0,0,0,0,28.01,0,38.33,40,0,0,0,0,0

4,00:45-01:00,115.51,17.39,76.6,0,11.9,273.16,41.06,20.53,20.53,53.38,0,41.06,41.06,5.98,0,26.94,11.91,26.94,20.53,5.62,225.99,12.39,0,8.88,53.14,27.24,4.14,4.83,4.69,0,40,0,0,0,120,0,0,0,0,0,28.01,0,38.33,40,0,0,0,0,0

5,01:00-01:15,115.51,17.39,76.6,0,11.9,273.16,41.06,20.53,20.53,53.38,0,41.06,41.06,5.98,0,26.94,11.91,26.94,20.53,5.55,225.99,12.2,0,8.88,53.14,27.24,4.14,4.68,4.69,0,40,0,0,0,120,0,0,0,0,0,22.01,0,38.33,40,0,0,0,0,0

6,01:15-01:30,115.51,17.39,76.6,0,11.9,273.16,41.06,20.53,20.53,53.38,0,41.06,41.06,5.98,0,26.94,11.91,26.94,20.53,5.55,225.99,12.2,0,8.88,53.14,27.24,4.14,4.68,4.69,0,40,0,0,0,120,0,0,0,0,0,22.01,0,38.33,40,0,0,0,0,0

7,01:30-01:45,98.48,17.39,76.6,0,11.9,273.16,41.06,20.53,20.53,53.38,0,41.06,41.06,5.98,0,26.94,11.91,26.94,20.53,5.55,225.99,12.2,0,8.88,53.14,27.24,4.14,4.68,4.69,0,40,0,0,0,120,0,0,0,0,0,21.81,0,38.33,40,0,0,0,0,0

8,01:45-02:00,70.44,17.39,76.6,0,11.9,273.16,41.06,20.53,20.53,53.38,0,41.06,41.06,5.98,0,26.94,11.91,26.94,20.53,5.55,225.99,12.2,0,8.88,53.14,27.24,4.14,4.68,4.69,0,40,0,0,0,120,0,0,0,0,0,21.61,0,38.33,40,0,0,0,0,0

9,02:00-02:15,70.44,17.39,58.61,0,11.9,273.16,41.06,20.53,20.53,53.38,164.24,41.06,41.06,5.98,0,26.94,11.91,26.94,20.53,5.39,165.87,12.02,0,8.88,53.14,27.24,1.19,4.68,4.69,0,40,0,0,0,120,0,0,0,0,40,22.01,0,38.33,40,0,0,0,40,0

10,02:15-02:30,70.44,17.39,58.61,0,11.9,273.16,41.06,20.53,20.53,53.38,164.24,41.06,41.06,5.98,0,26.94,11.91,26.94,20.53,5.39,165.87,12.02,0,8.88,53.14,27.24,1.19,4.68,4.49,0,40,0,0,0,120,0,0,0,0,40,22.01,0,38.33,40,0,0,0,40,0

11,02:30-02:45,70.44,17.39,58.61,0,11.9,273.16,41.06,20.53,20.53,53.38,164.24,41.06,41.06,5.98,0,26.94,11.91,26.94,20.53,5.39,165.87,12.02,0,8.88,53.14,27.24,4.14,4.52,4.49,0,40,0,0,0,120,0,0,0,0,40,21.61,0,38.33,40,0,0,0,40,0

12,02:45-03:00,70.44,17.39,58.61,0,11.9,273.16,41.06,20.53,20.53,53.38,164.24,41.06,41.06,5.98,0,26.94,11.91,26.94,20.53,5.39,165.87,12.02,0,8.88,53.14,27.24,4.14,4.52,4.49,0,40,0,0,0,120,0,0,0,0,40,21.21,0,38.33,40,0,0,0,40,0

13,03:00-03:15,70.44,17.39,38.64,0,11.9,273.16,41.06,20.53,20.53,53.38,164.24,41.06,41.06,5.98,0,26.94,11.91,26.94,20.53,5.55,165.87,11.93,0,2.42,77.29,27.24,1.19,4.52,4.49,0,40,0,0,0,120,0,0,0,0,40,23.21,0,38.33,40,0,0,0,40,0

14,03:15-03:30,70.44,17.39,38.64,0,11.9,273.16,41.06,20.53,20.53,53.38,164.24,41.06,41.06,0,0,26.94,11.91,26.94,20.53,5.55,165.87,11.93,0,2.42,77.29,27.24,1.19,4.52,4.49,0,40,0,0,0,120,0,0,0,0,40,22.81,0,38.33,40,0,0,0,40,0

15,03:30-03:45,70.44,17.39,38.64,0,11.9,273.16,41.06,20.53,20.53,53.38,164.24,41.06,41.06,0,0,26.94,11.91,26.94,20.53,5.55,110.14,11.93,0,2.42,77.29,27.24,1.19,4.52,4.49,0,40,0,0,0,120,0,0,0,0,40,23.01,0,38.33,40,0,0,0,40,0

