Block,Time,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01032024/15032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/31032046/L_NR_2020_05,NR/01032024/31032024/NVVN/OA/16997,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/16072048/L_NR_2022_08,NR/01102023/02012046/L_NR_2021_17,NR/01032024/31032024/SJVN010324NR1589,NR/26072023/31072042/L_NR_2023_07,NR/01102023/06022042/L_NR_2012_02,WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,NR/01032024/22032024/HP-59,NR/01102023/30042040/GNA_LT_36,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,SR/01032024/15032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/01102023/14082046/L_NR_2021_16,NR/01102023/31052040/LT-31,NR/02032024/02032024/DD20240302NR23105,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01032024/22032024/HP-56,SR/01032024/31032024/SJVN010324NR1590,NR/01102023/13082046/L_NR_2021_12,NR/01102023/23072042/L_NR_2012_04,WR/01102023/01102023/L_NR_2022_09,SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,SR/01032024/15032024/BYPL-APPCPL-KSEB,NR/01032024/31032024/SJVN010324NR1588,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/01012024/31032024/ ChanjuII,NR/01032024/15032024/HP-62,NR/01102023/31102037/L_NR_2019_11,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01102023/05012040/L_NR_2020_02
1,00:00-00:15,0.000000,144.690000,32.5,48.230000,25.690000,25.080000,10,0,0,0,128.030000,10.83,15.27,32.830000,0.000000,0,25.33,96.46,0,0,0,0,0.000000,0.000000,26.040000,0.620000,76.680000,0,0,212.210000,25.33,48.23,0.000000,53.050000,10.84,0,0,0,0,96.46,0,57.510000,35.170000,2.670000,98.400000,1.070000,0,0,1.210000

2,00:15-00:30,0.000000,144.690000,35,48.230000,25.690000,25.080000,10.66,0,0,0,128.030000,11.67,14.93,32.830000,0.000000,0,41.67,96.46,0,0,0,0,0.000000,0.000000,26.040000,0.620000,76.680000,0,0,212.210000,41.67,48.23,0.000000,53.050000,11.66,0,0,0,0,96.46,0,57.510000,35.170000,2.670000,98.400000,1.070000,0,0,1.210000

3,00:30-00:45,0.000000,144.690000,37.5,48.230000,25.690000,25.080000,11.66,0,0,0,128.030000,12.5,18.48,32.830000,0.000000,0,41.33,96.46,0,0,0,0,0.000000,0.000000,25.690000,0.620000,76.680000,0,0,212.210000,41.33,48.23,0.000000,53.050000,12.5,0,0,0,0,96.46,0,57.510000,35.170000,2.670000,98.400000,1.070000,0,0,1.210000

4,00:45-01:00,0.000000,144.690000,50,48.230000,25.690000,25.080000,13.34,0,0,0,128.030000,16.67,17.44,32.830000,0.000000,0,40.33,96.46,0,0,0,0,0.000000,0.000000,25.690000,0.620000,76.680000,0,0,192.920000,40.33,48.23,0.000000,53.050000,16.66,0,0,0,0,96.46,0,57.510000,35.170000,2.670000,98.400000,1.070000,0,0,1.210000

5,01:00-01:15,0.000000,144.690000,51,48.230000,25.690000,25.080000,15,0,0,0,128.030000,17,16.41,32.830000,0.000000,0,39.33,96.46,0,0,0,0,0.000000,0.000000,25.690000,0.770000,76.680000,0,0,149.200000,39.33,48.23,0.000000,53.050000,17,0,0,0,0,96.46,0,33.760000,35.170000,2.670000,98.400000,1.070000,0,0,1.210000

