Block,Time,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/23072042/L_NR_2012_04,NR/01052024/31052024/NDMC/D-37/EE(Power)/2024,NR/30092023/31122025/SH-07,NR/01052024/31052024/IEX-240323-06617_1,NR/01052024/31052024/DC20240501NR23728,NR/01102023/05012040/L_NR_2020_02,NR/01052024/31052024/2-R1,NR/01102023/06022042/L_NR_2012_07,NR/01052024/31052024/IEX_240416_00120_1,NR/01052024/31052024/MC120240501NR23436,NR/01102023/30042040/GNA_LT_36,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01042024/31072024/LT_MEJA_DELHI,NR/01052024/31052024/IEX_240415_00115_1,NR/01052024/31052024/DC20240501NR23726,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/25122043/GNA_MEJA_DELHI,NR/01052024/31052024/8581/OAN/GMRETL/RUVNLBYPL,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01052024/31052024/DC20240501NR23727,NR/01052024/31052024/M20240501NR23406,NR/01052024/31052024/DC20240501NR23735,NR/16042024/31052024/IEX_240323_06618,NR/30092023/26122029/SH-06,NR/01052024/31052024/IEX-240324-06625_1,NR/01102023/22052037/LT-59,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02012046/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06
1,00:00-00:15,0.000000,273.450000,4.920000,262.570000,0.000000,29.080000,29.980000,19.340000,6.770000,5.120000,41.100000,87.230000,46.420000,14.510000,0.000000,12.830000,15.650000,48.360000,4.840000,26.240000,0.000000,0.000000,100.750000,115.620000,0.000000,5.800000,24.180000,0.000000,48.360000,29.980000,19.340000,5.060000,0,0,0,39,0,13,0,9.01,0,0,0,0,0,0,0,33.67,13.4,0,33.67,0,13

2,00:15-00:30,0.000000,273.450000,4.920000,262.570000,0.000000,29.080000,29.980000,19.340000,6.770000,5.120000,41.100000,87.230000,46.420000,14.510000,0.000000,12.830000,15.650000,48.360000,4.840000,26.240000,0.000000,0.000000,100.750000,115.620000,0.000000,5.800000,24.180000,0.000000,48.360000,29.980000,19.340000,5.060000,0,0,0,39.5,0,13.17,0,9.01,0,0,0,0,0,0,0,34.33,13.56,0,34.33,0,13.16

3,00:30-00:45,0.000000,273.450000,4.920000,262.570000,0.000000,29.080000,29.980000,19.340000,6.770000,5.120000,41.100000,87.230000,46.420000,14.510000,0.000000,12.830000,15.650000,48.360000,4.840000,26.240000,0.000000,0.000000,100.750000,115.620000,0.000000,5.800000,24.180000,0.000000,48.360000,29.980000,19.340000,5.060000,0,0,0,42.5,0,14.17,0,7.01,0,0,0,0,0,0,0,35,14.3,0,35,0,14.16

4,00:45-01:00,0.000000,273.450000,4.920000,262.570000,0.000000,29.080000,29.980000,19.340000,6.770000,5.120000,41.100000,87.230000,46.420000,14.510000,0.000000,12.830000,15.650000,48.360000,4.840000,26.240000,0.000000,0.000000,100.750000,115.620000,0.000000,5.800000,24.180000,0.000000,48.360000,29.980000,19.340000,5.060000,0,0,0,43,0,14.33,0,7.01,0,0,0,0,0,0,0,35.67,15.03,0,35.67,0,14.34

5,01:00-01:15,0.000000,273.450000,4.920000,262.570000,0.000000,29.080000,29.980000,19.340000,6.770000,5.120000,41.100000,87.230000,46.420000,14.510000,0.000000,12.740000,15.650000,48.360000,4.840000,26.240000,0.000000,0.000000,100.750000,115.620000,0.000000,5.800000,24.180000,0.000000,48.360000,29.980000,19.340000,5.060000,0,0,0,43.5,0,14.5,0,7.01,0,0,0,0,0,0,0,36.33,15.77,0,36.33,0,14.5

6,01:15-01:30,0.000000,273.450000,4.920000,262.570000,0.000000,29.080000,29.980000,19.340000,6.770000,5.120000,41.100000,87.230000,46.420000,14.510000,0.000000,12.740000,15.650000,48.360000,4.840000,26.240000,0.000000,0.000000,100.750000,115.620000,0.000000,5.800000,24.180000,0.000000,48.360000,29.980000,19.340000,5.060000,0,0,0,44,0,14.67,0,7.01,0,0,0,0,0,0,0,37,16.86,0,37,0,14.66

7,01:30-01:45,0.000000,273.450000,4.920000,262.570000,0.000000,29.080000,29.980000,19.340000,6.770000,5.120000,41.100000,87.230000,46.420000,14.510000,0.000000,12.740000,15.650000,48.360000,4.840000,26.240000,0.000000,0.000000,100.750000,115.620000,0.000000,5.800000,24.180000,0.000000,48.360000,29.980000,19.340000,5.060000,0,0,0,45,0,15,0,7.01,0,0,0,0,0,0,0,37.33,16.86,0,37.33,0,15

8,01:45-02:00,0.000000,273.450000,4.920000,262.570000,0.000000,29.080000,29.980000,19.340000,6.770000,5.120000,41.100000,87.230000,46.420000,14.510000,0.000000,12.740000,15.650000,48.360000,4.840000,26.240000,0.000000,0.000000,100.750000,115.620000,0.000000,5.800000,24.180000,0.000000,48.360000,29.980000,19.340000,5.060000,0,0,0,46,0,15.33,0,7.01,0,0,0,0,0,0,0,38,17.23,0,38,0,15.34

9,02:00-02:15,0.000000,273.450000,4.850000,262.570000,0.000000,29.080000,30.650000,19.340000,6.770000,4.970000,41.100000,87.230000,46.420000,14.510000,0.000000,12.650000,15.650000,48.360000,4.840000,26.240000,0.000000,0.000000,100.750000,115.620000,0.000000,5.800000,24.180000,0.000000,48.360000,30.650000,19.340000,5.060000,0,0,0,47,0,15.67,0,9.01,0,0,0,0,0,0,0,33.33,13.66,0,33.33,0,15.66

10,02:15-02:30,0.000000,273.450000,4.850000,262.570000,0.000000,29.080000,30.650000,19.340000,6.770000,4.970000,41.100000,87.230000,46.420000,14.510000,0.000000,12.650000,15.650000,48.360000,4.840000,26.240000,0.000000,0.000000,100.750000,115.620000,0.000000,5.800000,24.180000,0.000000,48.360000,30.650000,19.340000,5.060000,0,0,0,47.5,0,15.83,0,9.01,0,0,0,0,0,0,0,34,14,0,34,0,15.84

11,02:30-02:45,0.000000,273.450000,4.850000,262.570000,0.000000,29.080000,30.650000,19.340000,6.770000,4.970000,41.100000,87.230000,46.420000,14.510000,0.000000,12.650000,15.650000,48.360000,4.840000,26.240000,0.000000,0.000000,100.750000,115.620000,0.000000,5.800000,24.180000,0.000000,48.360000,30.650000,19.340000,1.940000,0,0,0,46.5,0,15.5,0,11.01,0,0,0,0,0,0,0,34,15.97,0,34,0,15.5

12,02:45-03:00,0.000000,273.450000,4.850000,262.570000,0.000000,29.080000,30.650000,19.340000,6.770000,4.970000,41.100000,87.230000,46.420000,14.510000,0.000000,12.650000,15.650000,48.360000,4.840000,26.240000,0.000000,0.000000,100.750000,115.620000,0.000000,5.800000,24.180000,0.000000,48.360000,30.650000,19.340000,4.520000,0,0,0,46.5,0,15.5,0,10.81,0,0,0,0,0,0,0,35,16,0,35,0,15.5

13,03:00-03:15,0.000000,273.450000,4.850000,262.570000,0.000000,29.080000,30.950000,19.340000,6.770000,5.300000,41.100000,87.230000,46.420000,14.510000,0.000000,12.550000,15.650000,48.360000,4.840000,27.250000,0.000000,0.000000,100.750000,115.620000,0.000000,5.800000,24.180000,0.000000,48.360000,30.950000,19.340000,4.520000,0,0,0,46.5,0,15.5,0,11.41,0,0,0,0,0,0,0,34.33,16.03,0,34.33,0,15.5

14,03:15-03:30,0.000000,273.450000,4.850000,262.570000,0.000000,29.080000,30.950000,19.340000,6.770000,5.300000,41.100000,87.230000,46.420000,14.510000,0.000000,12.550000,15.650000,48.360000,4.840000,27.250000,0.000000,0.000000,100.750000,115.620000,0.000000,5.800000,24.180000,0.000000,48.360000,30.950000,19.340000,4.520000,0,0,0,47,0,15.67,0,12.01,0,0,0,0,0,0,0,35,16.06,0,35,0,15.66

15,03:30-03:45,0.000000,273.450000,4.850000,262.570000,0.000000,29.080000,30.950000,19.340000,6.770000,5.300000,41.100000,87.230000,46.420000,14.510000,0.000000,12.550000,15.650000,48.360000,4.840000,27.250000,0.000000,0.000000,100.750000,115.620000,0.000000,5.800000,24.180000,0.000000,48.360000,30.950000,19.340000,4.520000,0,0,0,47.5,0,15.83,0,12.01,0,0,0,0,0,0,0,35.67,16.1,0,35.67,0,15.84

