Block,Time,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/03112023/30112023/IEX-231101-05680,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01112023/30112023/HP-10,NR/01102023/23072042/L_NR_2012_04,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01112023/30112023/HP-09,NR/01102023/05012040/L_NR_2020_02,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/02112023/15112023/D20231102NR21539,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07)
1,00:00-00:15,101.260000,0.000000,48.340000,74.130000,0.000000,77.340000,2.080000,49.320000,271.910000,26.090000,2.100000,0.000000,76.850000,2.600000,48.340000,27.070000,0.000000,48.340000,26.090000,261.620000,7.01,0,0,20,0,6.67,7,0,0,15.79,15.79,145.02,0,6.66,0,0,0,0,0,0

2,00:15-00:30,101.260000,0.000000,48.340000,74.130000,0.000000,77.340000,2.080000,49.320000,271.910000,26.090000,2.100000,0.000000,76.850000,2.600000,48.340000,27.070000,0.000000,48.340000,26.090000,261.620000,7.01,0,0,20,0,6.67,7,0,0,16.05,16.05,145.02,0,6.66,0,0,0,0,0,0

3,00:30-00:45,101.260000,0.000000,48.340000,74.130000,0.000000,77.340000,2.080000,49.320000,271.910000,26.090000,2.100000,0.000000,76.850000,2.600000,48.340000,27.070000,0.000000,48.340000,26.090000,261.620000,7.01,0,0,20,0,6.67,7,0,0,16.34,16.34,145.02,0,6.66,0,0,0,0,0,0

4,00:45-01:00,101.260000,0.000000,48.340000,74.130000,0.000000,77.340000,2.080000,49.320000,271.910000,26.090000,2.100000,0.000000,76.850000,2.600000,48.340000,27.070000,0.000000,48.340000,26.090000,261.620000,7.01,0,0,20,0,6.67,7,0,0,16.63,16.63,145.02,0,6.66,0,0,0,0,0,0

5,01:00-01:15,101.260000,0.000000,48.340000,74.130000,0.000000,77.340000,2.000000,49.320000,271.910000,26.090000,2.100000,0.000000,76.850000,2.600000,48.340000,27.070000,0.000000,48.340000,26.090000,261.620000,7.01,0,0,20,0,6.67,7,0,0,16.68,16.68,145.02,0,6.66,0,0,0,0,0,0

