Block,Time,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,SR/01102023/07102043/L_NR_2018_61,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,NR/01102023/14082046/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02012046/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,3.690000,118.280000,0.000000,0.000000,10.32,0.000000,4.120000,271.770000,30.920000,28.950000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,8.31,0,0,0,0,0,24.96,0,0,0,0,8.29,8.32,0,31.87,0,31.87,0

2,00:15-00:30,3.690000,118.280000,0.000000,0.000000,9.72,0.000000,4.120000,271.770000,30.920000,28.950000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,8.89,0,0,0,0,0,26.7,0,0,0,0,8.7,8.9,0,32.87,0,32.87,0

3,00:30-00:45,3.690000,118.280000,0.000000,0.000000,9.12,0.000000,4.120000,271.770000,30.920000,28.950000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,9.28,0,0,0,0,0,27.85,0,0,0,0,9.12,9.28,0,33.83,0,33.83,0

4,00:45-01:00,3.690000,118.280000,0.000000,0.000000,8.46,0.000000,4.120000,271.770000,30.920000,28.950000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,9.81,0,0,0,0,0,29.48,0,0,0,0,9.67,9.83,0,34.62,0,34.62,0

5,01:00-01:15,3.690000,118.280000,0.000000,0.000000,7.41,0.000000,4.120000,271.770000,0.000000,28.950000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,13.04,0,0,0,0,0,39.17,0,0,0,0,10.23,13.06,0,35.05,0,35.05,0

6,01:15-01:30,3.690000,118.280000,0.000000,0.000000,7.41,0.000000,4.120000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,13.78,0,0,0,0,0,41.36,0,0,0,0,13.14,13.79,0,36.63,0,36.63,0

7,01:30-01:45,3.690000,118.280000,0.000000,0.000000,7.41,0.000000,4.120000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,14.76,0,0,0,0,0,44.28,0,0,0,0,13.51,14.76,0,51.8,0,51.8,0

8,01:45-02:00,3.690000,118.280000,0.000000,0.000000,7.41,0.000000,4.120000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,15.5,0,0,0,0,0,46.5,0,0,0,0,13.86,15.5,0,52.49,0,52.49,0

9,02:00-02:15,3.690000,118.280000,0.000000,0.000000,7.41,0.000000,4.120000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.810000,0.000000,16.34,0,0,0,0,0,49.03,0,0,0,0,18.34,16.34,0,53.17,0,53.17,0

10,02:15-02:30,3.690000,118.280000,0.000000,0.000000,7.87,0.000000,4.120000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.810000,0.000000,16.53,0,0,0,0,0,49.61,0,0,0,0,18.41,16.54,0,53.35,0,53.35,0

11,02:30-02:45,3.690000,118.280000,0.000000,0.000000,8.52,0.000000,4.120000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.810000,0.000000,16.89,0,0,0,0,0,50.72,0,0,0,0,18.36,16.91,0,53.77,0,53.77,0

12,02:45-03:00,3.690000,118.280000,0.000000,0.000000,9.44,0.000000,4.120000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.810000,0.000000,17.08,0,0,0,0,0,51.22,0,0,0,0,18.4,17.07,0,53.78,0,53.78,0

13,03:00-03:15,3.690000,118.280000,0.000000,0.000000,10,0.000000,4.120000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,20.76,0,0,0,0,0,62.33,0,0,0,0,18.2,20.78,0,53.22,0,53.22,0

14,03:15-03:30,3.690000,118.280000,0.000000,0.000000,9.85,0.000000,4.120000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,20.61,0,0,0,0,0,61.81,0,0,0,0,17.96,20.6,0,52.87,0,52.87,0

15,03:30-03:45,3.690000,118.280000,0.000000,0.000000,10.57,0.000000,4.120000,271.770000,9.070000,27.980000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,23.97,0,0,0,0,0,71.92,0,0,0,0,22.8,23.97,0,68.44,0,68.44,0

16,03:45-04:00,3.690000,118.280000,0.000000,0.000000,11.55,0.000000,4.120000,271.770000,9.070000,27.980000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,23.56,0,0,0,0,0,70.66,0,0,0,0,22.31,23.55,0,68.21,0,68.21,0

17,04:00-04:15,3.540000,118.280000,0.000000,0.000000,12.12,0.000000,4.040000,271.770000,9.070000,27.980000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,23.41,0,0,0,0,0,70.25,0,0,0,0,21.53,23.42,0,62.11,0,62.11,0

18,04:15-04:30,3.540000,118.280000,0.000000,0.000000,12.13,0.000000,4.040000,271.770000,9.070000,27.980000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,22.94,0,0,0,0,0,68.83,0,0,0,0,19.64,22.94,0,61.85,0,61.85,0

19,04:30-04:45,3.540000,118.280000,0.000000,0.000000,8.65,0.000000,4.040000,271.770000,15.840000,27.980000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,22.79,0,0,0,0,0,68.42,0,0,0,0,19.12,22.81,0,61.39,0,61.39,0

20,04:45-05:00,3.540000,118.280000,0.000000,0.000000,8.06,0.000000,4.040000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,22.48,0,0,0,0,0,67.49,0,0,0,0,18.95,22.5,0,61.1,0,61.1,0

21,05:00-05:15,3.540000,118.280000,0.000000,0.000000,7.65,0.000000,4.040000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,19.78,0,0,0,0,0,59.36,0,0,0,0,18.93,19.79,0,60.57,0,60.57,0

22,05:15-05:30,3.540000,118.280000,0.000000,0.000000,7.41,0.000000,4.040000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,19.58,0,0,0,0,0,58.75,0,0,0,0,19.97,19.58,0,65.21,0,65.21,0

23,05:30-05:45,3.540000,118.280000,0.000000,0.000000,7.41,0.000000,4.040000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,19.39,0,0,0,0,0,58.17,0,0,0,0,19.84,19.39,0,64.87,0,64.87,0

24,05:45-06:00,3.540000,118.280000,0.000000,0.000000,7.41,0.000000,4.040000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.900000,0.000000,19.22,0,0.18,0,0,0,57.68,0,0,0,0,19.75,19.23,0,64.42,0,64.42,0

25,06:00-06:15,3.770000,118.280000,0.000000,0.000000,7.41,0.000000,4.040000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.810000,0.000000,19.14,0,1.66,1.45,0,0,57.4,0,0,0,0,19.69,19.13,0,64.21,1.21,64.21,0

26,06:15-06:30,3.770000,118.280000,0.000000,0.000000,7.41,0.000000,4.040000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.810000,0.000000,19.09,0,3.79,3,0,3,57.3,0,2.04,0,2.81486,19.75,19.1,2,63.54,3.42,63.54,0

27,06:30-06:45,3.770000,118.280000,0.000000,0.030000,7.41,0.030000,4.040000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.810000,0.030000,19.03,0.32,6.53,8,0.04,4,57.12,1.48,5.85,0.64,12.11656,19.9,19.04,2,63.21,8.55,63.21,0.23

28,06:45-07:00,3.770000,118.280000,0.000000,0.300000,7.41,0.300000,4.040000,271.770000,0.000000,27.980000,101.210000,168.140000,71.510000,30.920000,3.810000,0.310000,18.93,1.08,9.75,15,0.26,7,56.82,5.47,14.25,2.34,21.15528,20.09,18.94,3,62.87,16.88,62.87,1.32

29,07:00-07:15,3.690000,118.280000,0.000000,1.020000,7.41,1.020000,4.040000,271.770000,13.910000,27.980000,101.210000,168.140000,71.510000,30.920000,3.810000,1.050000,18.72,2.55,3.33,22,2.23,12,56.16,12.29,26.29,5.27,30.28166,20.6,18.72,6,62.54,29.78,62.54,11.15

30,07:15-07:30,3.690000,118.280000,0.000000,2.040000,7.41,2.040000,4.040000,271.770000,13.910000,27.980000,101.210000,168.140000,71.510000,30.920000,3.810000,2.100000,18.87,4.69,6.67,28.52,5.1,13,56.63,21,28.52,9,40.59632,21.31,18.88,7,62.12,28.51,62.12,25.48

31,07:30-07:45,3.690000,118.280000,0.000000,3.250000,7.41,3.250000,4.040000,271.770000,13.910000,26.050000,101.210000,168.140000,71.510000,30.920000,3.810000,3.330000,19.28,7.47,10,30.03,8.8,21,57.84,39,30.03,16,51.95316,16.2,19.28,11,55.39,30.04,55.39,44.02

32,07:45:08:00,3.690000,118.280000,0.000000,4.580000,7.41,4.580000,4.040000,271.770000,13.910000,26.050000,101.210000,168.140000,71.510000,30.920000,3.810000,4.700000,20.32,11.72,21.36,30.53,13.06,23,60.99,53,30.53,22,63.73856,15.88,20.33,12,55.9,30.54,55.9,65.32

33,08:00-08:15,3.690000,118.280000,0.000000,5.920000,7.41,5.920000,4.040000,271.770000,20.670000,26.050000,101.210000,168.140000,71.510000,30.920000,3.810000,6.060000,16.07,15,28.41,31.53,17.69,30,48.22,67,31.53,28,74.72528,15.42,16.07,15,55.69,31.54,55.69,88.44

34,08:15-08:30,3.690000,118.280000,0.000000,7.320000,7.41,7.320000,4.040000,271.770000,20.670000,26.050000,101.210000,168.140000,71.510000,30.920000,3.810000,7.510000,15.65,19,35.83,31.87,22.34,37,46.93,81,31.87,34,84.7867,14.96,15.64,18,55.39,31.86,55.39,111.7

35,08:30-08:45,3.690000,118.280000,0.000000,8.620000,7.41,8.620000,4.040000,271.770000,20.670000,27.020000,101.210000,168.140000,71.510000,30.920000,3.810000,8.840000,15.08,23.5,43.22,31.87,26.69,48,45.22,102,31.87,43,94.07866,15.21,15.07,24,55.4,31.86,55.4,133.48

36,08:45:09:00,3.690000,118.280000,0.000000,9.860000,7.41,9.860000,4.040000,271.770000,20.670000,27.020000,101.210000,168.140000,71.510000,30.920000,3.810000,10.100000,14.82,27,50.42,31.87,30.93,53,44.48,119,31.87,51,102.6596,15.6,14.83,27,57.84,31.86,57.84,154.65

37,09:00:09:15,3.690000,118.280000,0.000000,10.960000,7.41,10.960000,4.040000,271.770000,25.470000,27.020000,101.210000,168.140000,71.510000,30.920000,3.810000,11.240000,19.26,30.5,57.2,32.03,34.85,58,57.76,126,32.03,54,101.32522,18.16,19.25,29,57.96,32.04,57.96,174.26

38,09:15-09:30,3.690000,118.280000,0.000000,12.020000,7.41,12.020000,4.040000,271.770000,20.670000,27.020000,101.210000,168.140000,71.510000,30.920000,3.810000,12.330000,19.42,32.5,63.69,32.03,38.5,69,58.26,151,32.03,64,108.8445,18.03,19.42,34,58.17,32.04,58.17,192.51

